T120_with_T75_b_plusDelta30cm_ca_wing_vs_V
T1-46.9 m/s-LLT-x0.085m
Freestream speed = 46.900 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0        -11.5            0     -0.30997     0.020862     0.018015    0.0028467            0     -0.12966            0     -0.12966   9.7802e-19   8.1594e-20   6.4037e-20   1.7557e-20      -14.858      -8.2724            0      -1139.9       76.717         -217            0      -1119.1            0            0            0            0            0            0       46.794      -3.2077         46.9      -3.8503   2.0932e-14      -223.62   1.7463e-15     -0.12304   2.2788e-16            0      -775.47      -3776.1         3598      0.86576     0.038138            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0          -11            0     -0.27678     0.018406     0.016161    0.0022457            0     -0.13027            0     -0.13027   5.0298e-19   9.1791e-20   9.0816e-20   9.7541e-22      -15.037      -7.9112            0      -1017.9       67.688      -186.11            0      -1000.7            0            0            0            0            0            0       46.797      -3.3542         46.9      -3.8046   1.0765e-14      -224.67   1.9646e-15     -0.14876   1.3125e-16            0      -689.61      -3948.5       3174.6      0.87505     0.041175            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0        -10.5            0     -0.23936     0.016388     0.014712    0.0016755            0     -0.13144            0     -0.13144   4.6572e-19    4.181e-20   3.7258e-20   4.5519e-21      -14.606       -7.146            0      -880.24       60.265      -154.35            0      -866.62            0            0            0            0            0            0        46.79      -3.7133         46.9      -3.9166   9.9678e-15       -226.7   8.9484e-16     -0.18813   1.4052e-16            0      -595.01      -4371.3       2826.4      0.87713     0.045031            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0          -10            0     -0.19963     0.014694     0.013528    0.0011661            0     -0.13293            0     -0.13293   9.7802e-19    5.242e-20   5.3558e-20   -1.138e-21      -13.586      -6.0702            0      -734.14       54.038      -123.26            0      -723.74            0            0            0            0            0            0       46.773      -4.3714         46.9      -4.2098   2.0932e-14      -229.27   1.1219e-15     -0.24767   3.5382e-16            0      -495.48        -5146       2534.4      0.87668     0.049443            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0         -9.5            0     -0.15814     0.013334     0.012601   0.00073307            0      -0.1347            0      -0.1347    8.709e-19   3.8912e-20   3.4929e-20   3.9829e-21       -11.86      -4.7162            0      -581.54       49.035      -93.323            0      -574.01            0            0            0            0            0            0       46.734      -5.6264         46.9      -4.8197    1.864e-14      -232.31   8.3283e-16      -0.3454   3.9775e-16            0      -391.96      -6623.4       2299.7      0.87501     0.054621            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0           -9            0     -0.11533      0.01227     0.011877   0.00039324            0     -0.13667            0     -0.13667   3.3066e-19   4.9226e-20   4.8901e-20   3.2514e-22      -9.3988      -3.1918            0      -424.11       45.124      -64.917            0      -419.12            0            0            0            0            0            0       46.637      -8.3135         46.9      -6.0732   7.0771e-15      -235.72   1.0536e-15     -0.52692   2.0707e-16            0      -285.64      -9786.7       2116.3      0.86757     0.060768            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0         -8.5            0    -0.071848     0.011436      0.01128   0.00015586            0     -0.13875            0     -0.13875   5.0065e-19   1.3498e-20   1.2807e-20   6.9091e-22      -6.2825       -1.684            0      -264.22       42.056      -38.487            0       -261.4            0            0            0            0            0            0       46.317      -15.757         46.9      -9.0441   1.0715e-14      -239.31    2.889e-16     -0.99313   5.0326e-16            0      -177.87       -18550       1972.4      0.84955     0.071354            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0           -8            0    -0.027844     0.010811     0.010785   2.5606e-05            0     -0.14094            0     -0.14094  -2.2122e-20   5.4232e-20    5.414e-20   9.1444e-23      -2.5755     -0.42975            0      -102.39       39.757      -14.157            0      -101.41            0            0            0            0            0            0        43.72      -61.745         46.9       -21.22  -4.7347e-16      -243.08   1.1607e-15      -1.3461  -5.7381e-17            0      -68.774       -72687       1864.6      0.77662      0.03748            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0         -7.5            0     0.017624     0.010457     0.010451   6.5795e-06            0     -0.14354            0     -0.14354  -1.4961e-19   4.0232e-20   4.0169e-20   6.3503e-23       1.6853      0.22374       7.5327       64.811       38.456       8.4835            0       64.253            0            0            0            0            0            0       40.334        118.6         46.9       30.683  -3.2021e-15      -247.56   8.6108e-16       3.2896   6.1312e-16            0       43.637   1.3962e+05       1803.6       1.2109     0.057975            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0           -7            0      0.06102    0.0097394    0.0096406   9.8775e-05            0     -0.14565            0     -0.14565  -2.3286e-19   2.9047e-20   2.9108e-20  -6.0963e-23       6.2653       1.5477       4.0482        224.4       35.816       27.708            0       222.68            0            0            0            0            0            0       46.314       17.145         46.9       9.0684  -4.9839e-15       -251.2   6.2168e-16       1.5268   2.7561e-16            0       151.26        20183       1679.8      0.96694     0.093168            0            0            0            0            0            0            0            0            0          120        0.085            0  
