ID_05_T120_with_T75_b_plusDelta50cm_ca_wing_vs_V
T1-46.9 m/s-LLT-x0.085m
Freestream speed = 46.900 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0        -11.5            0     -0.31211     0.020871     0.018149    0.0027226            0     -0.12963            0     -0.12963   7.2338e-19   9.3819e-20   9.2602e-20   1.2169e-21      -14.954      -8.3544            0      -1226.7       82.028      -234.07            0      -1204.2            0            0            0            0            0            0       46.795      -3.0724         46.9      -3.8257   1.7684e-14      -238.95   2.2935e-15     -0.12152   1.9119e-16            0      -894.07      -3616.8       3847.1      0.85873     0.037926            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0          -11            0     -0.27897     0.018403     0.016254    0.0021498            0      -0.1302            0      -0.1302   1.0546e-18   7.5837e-20   6.4276e-20   1.1561e-20      -15.159      -8.0063            0      -1096.4       72.329      -200.91            0      -1077.9            0            0            0            0            0            0       46.798       -3.206         46.9      -3.7743    2.578e-14         -240   1.8539e-15     -0.14693   3.1184e-16            0      -795.73        -3774       3392.2      0.86884     0.040988            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0        -10.5            0     -0.24139     0.016382     0.014777    0.0016054            0     -0.13137            0     -0.13137    2.266e-19   2.1612e-20   2.0699e-20   9.1268e-22      -14.735      -7.2395            0      -948.72       64.385      -166.69            0      -933.98            0            0            0            0            0            0       46.792      -3.5455         46.9      -3.8825   5.5395e-15      -242.15   5.2832e-16     -0.18579   7.7437e-17            0      -686.97      -4173.8       3019.7      0.87115     0.044849            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0          -10            0     -0.20143      0.01469     0.013573    0.0011171            0     -0.13286            0     -0.13286   6.7109e-19   4.1575e-20   4.2488e-20  -9.1268e-22      -13.712      -6.1543            0      -791.68       57.734      -133.15            0      -780.41            0            0            0            0            0            0       46.776      -4.1707         46.9       -4.171   1.6405e-14      -244.89   1.0163e-15     -0.24414   2.7482e-16            0      -572.36      -4909.8       2707.7      0.87181     0.049178            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0         -9.5            0      -0.1596      0.01333     0.012627   0.00070322            0     -0.13463            0     -0.13463   3.0504e-20   5.0977e-20   4.7935e-20   3.0423e-21      -11.973      -4.7831            0      -627.25       52.389       -100.8            0       -619.1            0            0            0            0            0            0       46.737      -5.3664         46.9      -4.7744    7.457e-16      -248.16   1.2462e-15     -0.34099   1.5767e-17            0      -452.87      -6317.3       2457.1      0.86934     0.054421            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0           -9            0     -0.11642      0.01227     0.011893   0.00037743            0     -0.13662            0     -0.13662    6.493e-19   1.0174e-20    7.626e-21   2.5479e-21      -9.4878      -3.2372            0      -457.54       48.224       -70.11            0      -452.14            0            0            0            0            0            0       46.642       -7.929         46.9      -6.0167   1.5873e-14      -251.82   2.4871e-16     -0.52011   4.6009e-16            0      -330.09        -9334       2261.7      0.86183     0.060549            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0         -8.5            0     -0.07254     0.011438     0.011289   0.00014968            0     -0.13872            0     -0.13872   3.0068e-19   4.4243e-20   4.3577e-20    6.655e-22      -6.3419      -1.7081            0       -285.1       44.955      -41.558            0      -282.05            0            0            0            0            0            0       46.328      -15.027         46.9      -8.9607   7.3505e-15       -255.7   1.0816e-15     -0.97913   3.4193e-16            0      -205.58       -17690       2108.4      0.84376     0.071027            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0           -8            0    -0.028138     0.010812     0.010788   2.4648e-05            0     -0.14092            0     -0.14092    3.094e-19   3.1952e-20   3.1594e-20   3.5889e-22      -2.6024     -0.43653            0      -110.59       42.495      -15.295            0      -109.52            0            0            0            0            0            0       43.779      -58.799         46.9       -21.02   7.5635e-15      -259.76    7.811e-16      -1.3733   9.0706e-16            0      -79.552       -69219         1993      0.77095     0.038641            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0         -7.5            0     0.017769     0.010456      0.01045   6.2725e-06            0     -0.14354            0     -0.14354   2.1571e-19   2.7702e-20   2.7781e-20  -7.8433e-23       1.6994      0.22653       7.5019       69.834       41.093       9.1397            0       69.234            0            0            0            0            0            0       40.421       113.31         46.9       30.474   5.2732e-15      -264.59    6.772e-16       3.3023  -1.0014e-15            0       50.389   1.3339e+05       1927.3       1.2081     0.058677            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0           -7            0     0.061559    0.0097247    0.0096301   9.4594e-05            0     -0.14567            0     -0.14567  -2.6146e-19   4.9816e-20   4.9569e-20   2.4718e-22       6.3302       1.5706       4.0304       241.94        38.22       29.854            0       240.09            0            0            0            0            0            0       46.326       16.343         46.9        8.977  -6.3917e-15      -268.51   1.2178e-15       1.5038   3.5037e-16            0       174.71        19239       1792.5      0.96152     0.092572            0            0            0            0            0            0            0            0            0          120        0.085            0  
