ID_07_T120_with_T75_b_plusDelta50cm_cb_wing_vs_V
T1-46.9 m/s-LLT-x0.085m
Freestream speed = 46.900 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0        -12.5            0     -0.38449      0.02425     0.019874    0.0043761            0     -0.12278            0     -0.12278   7.2338e-19    4.243e-20   5.3382e-20  -1.0952e-20      -15.855      -9.8314            0      -1614.2       101.81      -331.45            0        -1580            0            0            0            0            0            0       46.807       -2.526         46.9      -3.6089    1.889e-14      -258.26    1.108e-15    -0.085647   1.4529e-16            0      -1178.3      -2973.7         4775      0.86615     0.032931            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0          -12            0     -0.35615     0.021451     0.017733     0.003718            0     -0.12298            0     -0.12298   1.5862e-18   6.9498e-20   6.6455e-20   3.0423e-21      -16.603      -9.9085            0      -1495.2       90.058      -295.61            0      -1465.8            0            0            0            0            0            0       46.815      -2.5064         46.9      -3.4467   4.1422e-14      -258.67   1.8148e-15    -0.099032   3.4393e-16            0      -1085.5      -2950.5       4223.7       0.8747      0.03527            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0        -11.5            0     -0.32194     0.019148     0.016124    0.0030241            0     -0.12404            0     -0.12404   8.5411e-19    4.819e-20   4.5756e-20   2.4338e-21      -16.813      -9.5396            0      -1351.6       80.391      -257.03            0        -1327            0            0            0            0            0            0       46.817      -2.6033         46.9      -3.4038   2.2304e-14       -260.9   1.2584e-15     -0.12035   2.0487e-16            0      -978.22      -3064.6       3770.4      0.87872     0.038745            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0          -11            0      -0.2843     0.017148     0.014794    0.0023541            0     -0.12567            0     -0.12567    6.188e-19   6.9831e-20   6.1008e-20   8.8226e-21      -16.579        -8.84            0      -1193.6       71.995      -218.05            0      -1173.6            0            0            0            0            0            0       46.815      -2.8093         46.9      -3.4517   1.6159e-14      -264.34   1.8235e-15     -0.15013   1.6808e-16            0      -862.27      -3307.2       3376.6      0.88031     0.042683            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0        -10.5            0     -0.24453     0.015413     0.013671    0.0017425            0     -0.12764            0     -0.12764   1.2463e-18    7.779e-20   6.3187e-20   1.4603e-20      -15.865      -7.8449            0      -1026.6       64.711      -179.89            0      -1010.8            0            0            0            0            0            0       46.807      -3.1657         46.9      -3.6068   3.2546e-14      -268.47   2.0314e-15     -0.19283   3.9359e-16            0       -740.6      -3726.6       3034.9       0.8798     0.047152            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0          -10            0     -0.20333     0.013925     0.012718    0.0012066            0     -0.12983            0     -0.12983   1.4729e-18   8.5387e-20    7.626e-20   9.1268e-21      -14.602      -6.5843            0      -853.64       58.461      -143.24            0      -841.55            0            0            0            0            0            0        46.79      -3.7718         46.9      -3.9177   3.8463e-14      -273.08   2.2298e-15     -0.25649    5.594e-16            0      -615.14      -4440.2       2741.8      0.87846     0.052151            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0         -9.5            0     -0.16085     0.012717      0.01196   0.00075712            0     -0.13225            0     -0.13225    6.188e-19    4.292e-20   4.1398e-20   1.5211e-21      -12.648      -5.0726            0      -675.29        53.39      -108.32            0      -666.55            0            0            0            0            0            0       46.754      -4.8958         46.9      -4.5206   1.6159e-14      -278.17   1.1208e-15     -0.35927   2.9709e-16            0      -486.16      -5763.4         2504      0.87609     0.057786            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0           -9            0     -0.11752     0.011751     0.011343   0.00040788            0     -0.13481            0     -0.13481   3.8784e-19   3.9296e-20    3.922e-20   7.6057e-23      -10.001      -3.4284            0       -493.4       49.335      -75.493            0      -487.59            0            0            0            0            0            0       46.667      -7.2437         46.9      -5.7101   1.0128e-14      -283.55   1.0262e-15     -0.54719   2.5485e-16            0       -355.1      -8527.3       2313.8      0.86816     0.064306            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0         -8.5            0    -0.073807     0.010965     0.010801   0.00016395            0     -0.13744            0     -0.13744   4.7281e-19   4.0436e-20    3.922e-20   1.2169e-21      -6.7309      -1.8286            0      -309.87       46.037      -45.121            0      -306.57            0            0            0            0            0            0       46.391      -13.581         46.9      -8.4506   1.2347e-14      -289.09   1.0559e-15      -1.0203   4.9469e-16            0      -222.81       -15988       2159.1      0.85186     0.075304            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0           -8            0    -0.029289     0.010391     0.010363    2.795e-05            0     -0.14029            0     -0.14029  -5.0114e-20   3.1517e-20   3.1594e-20  -7.6057e-23      -2.8188     -0.48241            0      -122.97       43.625      -16.998            0      -121.79            0            0            0            0            0            0       44.201       -51.48         46.9      -19.533  -1.3087e-15      -295.08   8.2304e-16      -1.2849  -1.3213e-16            0      -88.292       -60603         2046      0.78692     0.037633            0            0            0            0            0            0            0            0            0          120        0.085            0  
