T120_with_T75_wing_vs_V
T1-25.0 m/s-LLT-x0.085m
Freestream speed = 25.000 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0         -4.5            0      0.29037     0.013296     0.010925     0.002371            0     -0.15376            0     -0.15376  -7.8927e-19   7.8109e-20   6.3609e-20     1.45e-20       21.838       11.768       1.8558       244.28       11.186       21.154            0       243.37            0            0            0            0            0            0       24.974       2.5131           25       2.6218   -3.466e-15      -54.457   3.4301e-16      0.31529   1.7593e-16            0       147.34       2958.4       279.65      0.91291     0.091549            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0           -4            0      0.33527     0.013633     0.010478    0.0031554            0     -0.15519            0     -0.15519  -1.4435e-18    6.038e-20   5.7118e-20   3.2626e-21       24.593        14.24        1.727       282.06       11.469       22.323            0       281.18            0            0            0            0            0            0       24.979       2.0768           25       2.3285  -6.3392e-15      -54.965   2.6516e-16      0.28562   2.7867e-16            0       170.25       2444.8       286.73      0.91455     0.095759            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0         -3.5            0      0.37917     0.014013    0.0099649     0.004048            0     -0.15636            0     -0.15636  -1.1112e-18   3.9821e-20   3.7646e-20    2.175e-21       27.058       16.661        1.624       318.98       11.789       22.873            0       318.18            0            0            0            0            0            0       24.983       1.7749           25       2.1165  -4.8798e-15      -55.379   1.7487e-16      0.26304   1.8968e-16            0       192.59       2089.5       294.72      0.91175     0.099734            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0           -3            0      0.42393     0.014666    0.0096029    0.0050633            0     -0.15778            0     -0.15778  -3.9463e-19   7.0472e-20   5.4522e-20    1.595e-20       28.905        18.82       1.5359       356.64       12.338       22.919            0       355.93            0            0            0            0            0            0       24.985       1.5714           25       1.9814   -1.733e-15      -55.882   3.0948e-16      0.24518   6.0251e-17            0       215.25       1849.8       308.46       0.9112      0.10394            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0         -2.5            0      0.46892     0.015522    0.0093242    0.0061978            0     -0.15929            0     -0.15929   -9.035e-19   6.0239e-20   4.2838e-20     1.74e-20        30.21       20.687       1.4603       394.49       13.058       22.417            0       393.89            0            0            0            0            0            0       24.986       1.4295           25       1.8959  -3.9677e-15      -56.416   2.6454e-16      0.23075   1.2471e-16            0       238.05       1682.8       326.46       0.9108       0.1082            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0           -2            0      0.51337     0.016483    0.0090445    0.0074383            0     -0.16067            0     -0.16067  -8.5158e-19   2.3753e-20   3.2453e-20  -8.7002e-21       31.146       22.316       1.3957       431.88       13.867       21.326            0        431.4            0            0            0            0            0            0       24.987       1.3252           25        1.839  -3.7397e-15      -56.905   1.0431e-16      0.21889   1.0736e-16            0       260.68         1560       346.66      0.90958      0.11237            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0         -1.5            0      0.55776     0.017605    0.0088168     0.008788            0     -0.16203            0     -0.16203    -1.08e-18    5.814e-20   4.2189e-20    1.595e-20       31.683       23.662        1.339       469.23        14.81       19.674            0       468.88            0            0            0            0            0            0       24.988       1.2498           25       1.8078   -4.743e-15      -57.388   2.5532e-16       0.2089   1.2533e-16            0       283.24       1471.3       370.26      0.90881      0.11652            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0           -1            0      0.60167     0.018858      0.00862     0.010238            0     -0.16328            0     -0.16328  -1.9109e-18   3.9137e-20   4.3488e-20  -4.3501e-21       31.906       24.749       1.2892       506.17       15.864       17.445            0       505.94            0            0            0            0            0            0       24.988       1.1949           25       1.7952  -8.3914e-15       -57.83   1.7187e-16      0.20036   2.0556e-16            0       305.62       1406.7       396.61      0.90779      0.12055            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0         -0.5            0      0.64486     0.020246    0.0084679     0.011778            0     -0.16436            0     -0.16436  -1.6201e-18   7.0734e-20   4.6084e-20   2.4651e-20       31.852       25.578       1.2453       542.51       17.032       14.642            0        542.4            0            0            0            0            0            0       24.988       1.1562           25       1.7982  -7.1145e-15      -58.211   3.1063e-16      0.19299    1.626e-16            0       327.72       1361.1       425.81      0.90641      0.12445            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0            0            0      0.68663     0.021743    0.0083587     0.013385            0     -0.16509            0     -0.16509  -1.2462e-18   2.4554e-20   3.1804e-20  -7.2502e-21       31.579       26.167       1.2068       577.65       18.292        11.26            0       577.65            0            0            0            0            0            0       24.987       1.1301           25       1.8138  -5.4727e-15       -58.47   1.0783e-16      0.18655   1.1747e-16            0       349.27       1330.4        457.3      0.90429      0.12809            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0          0.5            0      0.72678     0.023345    0.0083048      0.01504            0     -0.16542            0     -0.16542   -1.807e-18   5.1193e-20   3.9593e-20     1.16e-20       31.132        26.54        1.173       611.42        19.64       7.3171            0       611.51            0            0            0            0            0            0       24.987       1.1143           25       1.8398  -7.9354e-15      -58.589   2.2481e-16      0.18078   1.6092e-16            0       370.12       1311.7          491      0.90159      0.13139            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0            1            0      0.76486     0.025055     0.008335      0.01672            0     -0.16523            0     -0.16523  -1.9732e-18   1.1222e-19   5.7118e-20   5.5101e-20       30.527       26.698       1.1434       643.46       21.078       2.8344            0        643.6            0            0            0            0            0            0       24.987       1.1077           25       1.8762  -8.6651e-15      -58.521   4.9281e-16      0.17547   1.6697e-16            0       390.11         1304       526.96      0.89821      0.13421            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0          1.5            0      0.80312     0.026862    0.0083898     0.018472            0      -0.1652            0      -0.1652  -2.7624e-18   5.1842e-20   4.0242e-20     1.16e-20       29.898       26.794       1.1159       675.64       22.598      -2.1515            0       675.82            0            0            0            0            0            0       24.986       1.1037           25       1.9157  -1.2131e-14      -58.508   2.2766e-16      0.17082   2.2262e-16            0        409.7       1299.3       564.96       0.8964      0.13719            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0            2            0       0.8449     0.028787      0.00837     0.020417            0     -0.16628            0     -0.16628  -3.3232e-18   1.6821e-20   5.4522e-20  -3.7701e-20        29.35       26.978       1.0879       710.79       24.218      -7.6406            0       710.96            0            0            0            0            0            0       24.986       1.0962           25       1.9514  -1.4594e-14      -58.891   7.3868e-17      0.16682   2.5457e-16            0       430.52       1290.4       605.44       0.8976      0.14094            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0          2.5            0      0.88645     0.030846    0.0083692     0.022476            0     -0.16736            0     -0.16736  -1.3916e-18   1.0175e-19    3.505e-20   6.6701e-20       28.738       27.058       1.0621       745.75        25.95      -13.638            0       745.87            0            0            0            0            0            0       24.985        1.093           25       1.9929  -6.1112e-15      -59.275   4.4684e-16      0.16307   1.0161e-16            0       451.65       1286.6       648.74      0.89752      0.14456            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0            3            0      0.92354      0.03299    0.0085226     0.024467            0     -0.16713            0     -0.16713  -3.2401e-18   1.4083e-19   4.8031e-20   9.2802e-20       27.995       26.903       1.0406       776.95       27.754      -20.107            0       776.96            0            0            0            0            0            0       24.984       1.0992           25       2.0458  -1.4229e-14      -59.195   6.1846e-16      0.15937   2.2707e-16            0       471.45         1294       693.84      0.89493      0.14719            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0          3.5            0      0.95522     0.035161    0.0088142     0.026347            0     -0.16542            0     -0.16542  -4.4033e-18   1.1145e-19   3.8944e-20   7.2502e-20       27.167       26.551       1.0232       803.61       29.581      -26.935            0       803.46            0            0            0            0            0            0       24.983       1.1138           25       2.1081  -1.9337e-14      -58.587   4.8941e-16      0.15573   2.9835e-16            0       489.04       1311.2       739.51      0.88907      0.14876            0            0            0            0            0            0            0            0            0          120        0.085            0  
