T120_with_T75_b_plusDelta50cm_wing_vs_V
T1-46.9 m/s-LLT-x0.085m
Freestream speed = 46.900 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0          -14            0    -0.029092     0.088191     0.088166    2.473e-05            0    -0.084037            0    -0.084037   1.5034e-19   2.2676e-19    2.266e-19   1.6162e-22     -0.32988    -0.056265            0      -102.64       311.13      -24.745            0      -99.608            0            0            0            0            0            0       14.692       -481.5         46.9      -71.743   3.2991e-15      -124.82   4.9761e-15      0.25574    4.749e-16            0      -76.443  -5.6682e+05        14592      0.73734     -0.00744            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0        -13.5            0    -0.011196     0.081592     0.081588   3.9923e-06            0    -0.089799            0    -0.089799   7.8439e-20   3.1378e-19   3.1376e-19   2.7333e-23     -0.13722    -0.014519            0      -39.499       287.85      -9.2072            0      -38.411            0            0            0            0            0            0       6.3759      -1865.9         46.9      -82.187   1.7213e-15      -133.38   6.8856e-15     0.077445   6.4382e-16            0      -29.005  -2.1965e+06        13500      0.67646  -0.00086708            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0          -13            0     0.014957     0.077795      0.07779   4.6957e-06            0    -0.094615            0    -0.094615   7.1358e-20   1.0456e-19   1.0459e-19  -2.7333e-23      0.19226     0.023512       8.1768       52.766       274.46       11.886            0        51.41            0            0            0            0            0            0       8.8547       1152.2         46.9       79.117   1.5659e-15      -140.53   2.2944e-15     -0.19098  -4.3844e-16            0       39.042   1.3564e+06        12872       1.0264   -0.0028564            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0        -12.5            0     0.041879     0.073199     0.073157   4.2209e-05            0     -0.10216            0     -0.10216  -7.5171e-20   1.7025e-19   1.6995e-19   2.9472e-22      0.57213      0.11708       4.8865       147.75       258.24       32.124            0       144.21            0            0            0            0            0            0        23.29       231.39         46.9       60.225  -1.6495e-15      -151.74   3.7359e-15       44.828   1.6495e-16            0       109.01   2.7239e+05        12112      0.89523       1.8774            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0          -12            0     0.065351     0.068576     0.068468   0.00010805            0     -0.10831            0     -0.10831  -1.7431e-20   1.3062e-19   1.3073e-19  -1.1408e-22      0.95298      0.24362       3.9118       230.56       241.93       48.308            0       225.44            0            0            0            0            0            0       32.355       111.21         46.9       46.379   -3.825e-16      -160.88   2.8663e-15       9.9243   2.4511e-17            0       170.75   1.3091e+05        11347      0.85155      0.64856            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0         -9.5            0      -0.1526     0.016143      0.01553   0.00061371            0     -0.13781            0     -0.13781   2.7715e-18  -4.6753e-19  -4.4449e-19  -2.3045e-20      -9.4529      -3.6927            0      -538.38       56.953      -86.722            0      -531.35            0            0            0            0            0            0        46.64      -7.3365         46.9      -6.0387   6.0818e-14      -204.68   -1.026e-14     -0.32706    1.669e-15            0      -379.65      -8636.5       2671.1      0.81753      0.04991            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0           -9            0     -0.10906     0.014879     0.014493   0.00038578            0     -0.13888            0     -0.13888   2.3336e-18  -5.1049e-19  -4.7063e-19  -3.9854e-20      -7.3303      -2.4208            0      -384.78       52.491      -58.848            0      -380.25            0            0            0            0            0            0        46.47      -11.191         46.9      -7.7683   5.1208e-14      -206.28  -1.1202e-14     -0.75902   1.9662e-15            0      -267.61       -13174       2461.8      0.66431     0.082783            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0         -8.5            0    -0.064931     0.013965      0.01375   0.00021475            0     -0.14016            0     -0.14016   1.8607e-18  -4.2902e-19  -3.7912e-19  -4.9893e-20      -4.6497      -1.1848            0      -229.08       49.266       -33.11            0      -226.67            0            0            0            0            0            0       45.852      -22.865         46.9      -12.137   4.0832e-14      -208.18  -9.4143e-15       -1.742   2.6335e-15            0      -155.09       -26917       2310.6      0.42298      0.11311            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0           -8            0    -0.025238     0.011668     0.011649   1.8428e-05            0      -0.1422            0      -0.1422   6.5366e-20    4.676e-20   4.6846e-20  -8.5564e-23       -2.163     -0.34363            0      -89.038       41.163      -12.327            0       -88.18            0            0            0            0            0            0       42.571       -78.84         46.9      -24.812   1.4344e-15       -211.2   1.0261e-15      -1.5722   2.3801e-16            0      -64.612       -92810       1930.6      0.74467     0.039678            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0         -7.5            0     0.018467     0.010803     0.010797   6.2049e-06            0      -0.1433            0      -0.1433   -1.852e-20   2.8782e-20    2.887e-20  -8.7941e-23       1.7095      0.23231       7.3587       65.152       38.113       8.5257            0       64.592            0            0            0            0            0            0       40.482       116.62         46.9       30.327  -4.0641e-16      -212.83   6.3159e-16       2.9248    9.216e-17            0       47.341   1.3729e+05       1787.5       1.1842     0.054012            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0           -7            0     0.062723     0.010006    0.0099178   8.8656e-05            0     -0.14456            0     -0.14456   -3.813e-19   1.0622e-20   9.8049e-21   8.1761e-22       6.2683       1.5699       3.9929       221.28       35.302       27.278            0        219.6            0            0            0            0            0            0       46.314       17.257         46.9       9.0642  -8.3672e-15      -214.71    2.331e-16       1.3097   5.5865e-16            0       160.43        20315       1655.7      0.95606     0.082145            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0         -6.5            0      0.10878    0.0096949    0.0094207   0.00027419            0     -0.14612            0     -0.14612  -3.0722e-19   3.6344e-20   3.6496e-20  -1.5211e-22        11.22       3.7007        3.032       383.77       34.203       44.406            0        381.2            0            0            0            0            0            0       46.715       7.3207         46.9       5.0929  -6.7416e-15      -217.03   7.9753e-16      0.70611   2.5954e-16            0       277.65       8617.9       1604.1      0.92979     0.076811            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0           -6            0      0.15536     0.009617    0.0090496   0.00056749            0     -0.14779            0     -0.14779  -4.8371e-19   2.0206e-20   1.9065e-20   1.1408e-21       16.154       6.3673       2.5371       548.09       33.929       59.283            0       544.88            0            0            0            0            0            0        46.81       4.2548         46.9       3.5422  -1.0614e-14      -219.51    4.434e-16      0.51215   2.8612e-16            0       396.37       5008.8       1591.3      0.91632     0.079566            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0         -5.5            0      0.20199    0.0096785    0.0087123   0.00096613            0     -0.14945            0     -0.14945  -1.6124e-19   3.1088e-20   2.9415e-20   1.6732e-21        20.87       9.3799        2.225       712.62       34.145       71.695            0       709.02            0            0            0            0            0            0       46.846       2.8883         46.9       2.7432  -3.5382e-15      -221.98   6.8219e-16      0.41095   7.3354e-17            0       515.31       3400.1       1601.4      0.90987      0.08301            0            0            0            0            0            0            0            0            0          120        0.085            0  
