T120_with_T75_b_plusDelta20cm_wing_vs_V
T1-46.9 m/s-Quads-ThickSurf-x0.085m
Freestream speed = 46.900 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0          -11            0     -0.31787     0.030309     0.027851    0.0024582   -1.402e-19     -0.12362   0.00088658     -0.12451  -2.6533e-06  -3.2106e-06  -5.9608e-08   -3.151e-06      -10.488      -5.9129            0      -1013.3       96.616      -185.65   -4.469e-16      -996.14      -129.87      0.02579         -966            0            0            0       46.688      -4.8201         46.9      -5.4467    -0.047534       -165.9    -0.057517    -0.091228   3.4983e-05    -0.012781      -626.68      -5674.3       4531.3      0.98012     0.028999            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0        -10.5            0     -0.27077     0.016949     0.015168    0.0017801  -1.1227e-19     -0.12609    0.0004772     -0.12657  -2.6071e-06  -3.1888e-06  -3.2477e-08  -3.1563e-06      -15.976      -8.3134            0      -863.13       54.026      -151.71  -3.5788e-16      -849.71      -100.33     0.023097      -822.52            0            0            0       46.808      -3.4283         46.9      -3.5816    -0.046706      -169.21    -0.057126     -0.12449   4.0933e-05    -0.018861      -533.01      -4035.8       2533.8      0.98213     0.033708            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0          -10            0     -0.22362     0.012131      0.01092     0.001211  -8.5875e-20     -0.12831   0.00033945     -0.12864  -2.5623e-06  -3.1889e-06  -4.1012e-08  -3.1478e-06      -18.434      -8.7171            0      -712.83        38.67      -119.98  -2.7374e-16      -702.67      -72.827     0.020857       -678.3            0            0            0       46.831      -3.2696         46.9      -3.1052    -0.045903      -172.19    -0.057127     -0.17188   4.9433e-05    -0.027575      -438.96      -3848.9       1813.6      0.98463     0.038438            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0         -9.5            0     -0.17643     0.016306     0.015554    0.0007519  -6.1021e-20     -0.13026   0.00047762     -0.13074  -2.5188e-06  -3.1595e-06  -3.3837e-08  -3.1257e-06       -10.82      -4.5446            0      -562.39       51.978      -90.457  -1.9451e-16      -555.07      -47.375     0.019072      -533.39            0            0            0       46.701      -6.2714         46.9      -5.2805    -0.045124      -174.81    -0.056601     -0.24478   6.2529e-05    -0.041042      -344.55      -7382.7       2437.8      0.98711     0.043185            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0           -9            0     -0.12919     0.029452     0.029049   0.00040343  -3.7716e-20     -0.13197   0.00088096     -0.13285  -2.4768e-06  -3.1995e-06  -1.0979e-07  -3.0897e-06      -4.3865      -1.5766            0      -411.82       93.884      -63.153  -1.2022e-16      -406.95      -23.981      0.01774      -387.82            0            0            0       45.727      -18.077         46.9      -12.842    -0.044371      -177.11    -0.057318     -0.37114   8.5262e-05    -0.064481       -249.8       -21280       4403.2       0.9865     0.047949            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0         -8.5            0    -0.081924     0.060508     0.060342    0.0001663  -1.5967e-20     -0.13318    0.0018069     -0.13498  -2.4361e-06  -3.1103e-06  -7.0215e-08  -3.0401e-06      -1.3539     -0.38753            0      -261.15       192.88      -38.075  -5.0896e-17      -258.36      -2.6517     0.016864      -241.66            0            0            0       37.726      -73.546         46.9      -36.449    -0.043642      -178.72     -0.05572      -0.6436   0.00013432     -0.11516      -154.76       -86579         9046      0.96236     0.052726            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0           -8            0     -0.03463     0.055343     0.055302   4.1069e-05   4.2199e-21     -0.13549    0.0016347     -0.13713  -2.3969e-06  -3.0342e-06  -5.7442e-08  -2.9768e-06     -0.62573     -0.11644            0      -110.39       176.41      -15.233   1.3451e-17      -109.33       16.607     0.016443      -94.927            0            0            0       24.878      -244.77         46.9      -57.965     -0.04294      -181.83    -0.054357      -1.6608   0.00031757     -0.30474       -59.44  -2.8814e+05       8273.8      0.69627     0.057515            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0         -7.5            0     0.012684     0.051614     0.051586   2.8246e-05   2.2838e-20     -0.13778    0.0015049     -0.13929  -2.3591e-06  -2.9647e-06  -6.4949e-08  -2.8997e-06      0.24575     0.027677       8.8791       40.433       164.53       5.3668   7.2798e-17       40.075       33.788     0.016476       52.319            0            0            0       11.193       1029.8         46.9       76.193    -0.042263      -184.91    -0.053111       4.9126  -0.00086682      0.92132       36.133   1.2122e+06       7716.3      0.13582     0.062313            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0           -7            0     0.060011     0.010514     0.010386   0.00012824   3.9881e-20     -0.14116   0.00029896     -0.14146  -2.3228e-06  -2.8236e-06  -1.4538e-08  -2.8091e-06       5.7075       1.3982       4.0821       191.29       33.516       23.719   1.2713e-16       189.82       48.888     0.016966       200.04            0            0            0       46.196       20.384         46.9       9.9378    -0.041611      -189.44    -0.050583       1.1184  -0.00018323      0.21385       131.91        23997       1571.9      0.66966     0.067118            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0         -6.5            0      0.10734    0.0099888    0.0096474   0.00034136   5.5345e-20     -0.14338   0.00027392     -0.14365  -2.2879e-06  -2.7109e-06  -6.1324e-09  -2.7047e-06       10.747       3.5209       3.0522       342.18       31.841       39.817   1.7642e-16       339.86         61.9      0.01791       348.18            0            0            0       46.698       8.0948         46.9       5.3163    -0.040986      -192.41    -0.048564      0.67005  -0.00010247      0.13037       227.87       9529.2       1493.3      0.80491     0.071927            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0           -6            0      0.15468    0.0097493    0.0090814   0.00066785   6.9224e-20      -0.1456   0.00025427     -0.14585  -2.2545e-06  -2.5914e-06  -4.6138e-09  -2.5868e-06       15.866       6.2398       2.5426       493.06       31.077       53.656   2.2066e-16       490.14       72.822     0.019309        496.7            0            0            0       46.807       4.5676         46.9       3.6065    -0.040388      -195.39    -0.046424      0.49612  -7.1152e-05     0.098065       323.98         5377       1457.5      0.85423     0.076739            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0         -5.5            0      0.20201    0.0098491    0.0087412    0.0011079   8.1515e-20     -0.14783   0.00024129     -0.14807  -2.2225e-06  -2.4591e-06  -3.7773e-09  -2.4553e-06        20.51       9.2183       2.2249       643.92       31.395       65.232   2.5984e-16       640.62        81.65     0.021162       645.56            0            0            0       46.844       3.0918         46.9       2.7913    -0.039815      -198.38    -0.044054       0.4037  -5.4519e-05      0.08097       420.22       3639.7       1472.4      0.87828      0.08155            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0           -5            0      0.24932     0.010112    0.0084506    0.0016615   9.2213e-20     -0.15006   0.00022991     -0.15029   -2.192e-06  -2.3135e-06  -3.1506e-09  -2.3103e-06       24.656       12.311       2.0027       794.74       32.234       74.542   2.9394e-16       791.26       88.381     0.023469       794.71            0            0            0       46.861       2.3151         46.9       2.3226    -0.039269      -201.38    -0.041445      0.34638  -4.4207e-05      0.07042       516.56       2725.3       1511.8       0.8921      0.08636            0            0            0            0            0            0            0            0            0          120        0.085            0  
