T75_HTP&VTP_detail
T1-46.9 m/s-LLT-x0.155m
Freestream speed = 46.900 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0          -12            0     -0.90243     0.068923     0.015569     0.053354            0     0.025632     0.006011     0.019621   1.0377e-17    3.364e-19   3.5023e-20   3.0138e-19      -13.093      -12.438            0      -411.25       31.409      -61.722            0      -407.32            0            0            0            0            0            0       46.764      -6.0602         46.9      -4.3674   6.1761e-15       3.0253   2.0021e-16      0.06232            0            0      -59.916      -7134.1       1473.1      0.96354    -0.056239            0            0            0            0            0            0            0            0            0          120        0.155            0  
          0        -11.5            0     -0.86562     0.063984     0.014964      0.04902            0     0.023434    0.0057774     0.017657   7.8451e-18   4.7459e-19   1.7901e-19   2.9558e-19      -13.529      -12.587            0      -394.48       29.159      -56.756            0      -391.01            0            0            0            0            0            0       46.772      -5.9886         46.9      -4.2274   4.6691e-15        2.766   2.8246e-16     0.062323            0            0      -57.374      -7049.8       1367.5      0.96492    -0.053948            0            0            0            0            0            0            0            0            0          120        0.155            0  
          0          -11            0     -0.82549     0.058937     0.014343     0.044594            0     0.020406    0.0055377     0.014869   6.8904e-18   2.0834e-19   1.3879e-19   6.9548e-20      -14.006      -12.726            0      -376.19       26.858      -51.832            0      -373.16            0            0            0            0            0            0       46.781      -5.9234         46.9      -4.0838   4.1009e-15       2.4086     1.24e-16     0.062056            0            0      -54.707        -6973       1259.7      0.96462    -0.051227            0            0            0            0            0            0            0            0            0          120        0.155            0  
          0        -10.5            0     -0.78541     0.054013     0.013653      0.04036            0     0.017399    0.0052715     0.012127   1.4113e-18   1.6319e-19   1.2842e-19   3.4774e-20      -14.541      -12.887            0      -357.93       24.615      -47.142            0      -355.28            0            0            0            0            0            0       46.789      -5.8493         46.9       -3.934   8.3995e-16       2.0536   9.7126e-17     0.061742            0            0      -52.039      -6885.8       1154.4      0.96484    -0.048493            0            0            0            0            0            0            0            0            0          120        0.155            0  
          0          -10            0     -0.74492     0.049315     0.013008     0.036308            0      0.01442    0.0050223    0.0093976   4.0678e-18   1.9926e-19   1.2971e-19   6.9548e-20      -15.105      -13.037            0      -339.47       22.474      -42.654            0      -337.19            0            0            0            0            0            0       46.798      -5.7819         46.9      -3.7876    2.421e-15        1.702   1.1859e-16     0.061352            0            0      -49.336      -6806.5         1054      0.96477    -0.045702            0            0            0            0            0            0            0            0            0          120        0.155            0  
          0         -9.5            0     -0.70371     0.044876      0.01246     0.032415            0     0.011429    0.0048109     0.006618   7.7206e-18   3.3033e-19   8.6908e-20   2.4342e-19      -15.681      -13.155            0      -320.69       20.451       -38.36            0      -318.73            0            0            0            0            0            0       46.805      -5.7302         46.9      -3.6488    4.595e-15        1.349    1.966e-16     0.060868            0            0       -46.61      -6745.6       959.13      0.96436    -0.042833            0            0            0            0            0            0            0            0            0          120        0.155            0  
          0           -9            0     -0.66196     0.040671      0.01196      0.02871            0    0.0084525    0.0046179    0.0038346   5.6867e-18   2.8827e-19   1.4917e-19    1.391e-19      -16.276      -13.242            0      -301.67       18.534      -34.269            0         -300            0            0            0            0            0            0       46.812      -5.6922         46.9      -3.5158   3.3845e-15      0.99766   1.7157e-16     0.060271            0            0      -43.869      -6700.9       869.26      0.96347    -0.039898            0            0            0            0            0            0            0            0            0          120        0.155            0  
          0         -8.5            0     -0.62133     0.036733     0.011435     0.025298            0    0.0058918    0.0044151    0.0014766   4.1509e-18   3.1885e-19   1.4787e-19   1.7097e-19      -16.915      -13.333            0      -283.15        16.74       -30.45            0      -281.74            0            0            0            0            0            0       46.818      -5.6537         46.9      -3.3834   2.4704e-15      0.69541   1.8977e-16     0.059717            0            0      -41.176      -6655.5       785.11       0.9633    -0.037104            0            0            0            0            0            0            0            0            0          120        0.155            0  
          0           -8            0     -0.57983     0.033001     0.010944     0.022057            0    0.0032277    0.0042256   -0.0009979   1.5358e-18   1.4302e-19   5.3183e-20   8.9833e-20       -17.57      -13.379            0      -264.24       15.039      -26.821            0      -263.06            0            0            0            0            0            0       46.824      -5.6342         46.9      -3.2575   9.1406e-16      0.38097   8.5118e-17     0.058976            0            0      -38.436      -6632.6       705.34      0.96218    -0.034196            0            0            0            0            0            0            0            0            0          120        0.155            0  
          0         -7.5            0     -0.53798     0.029512     0.010485     0.019026            0   0.00061616    0.0040483   -0.0034322   3.9848e-18   2.1411e-19   8.9503e-20   1.2461e-19      -18.229      -13.371            0      -245.16       13.449      -23.404            0       -244.2            0            0            0            0            0            0        46.83      -5.6377         46.9      -3.1399   2.3716e-15     0.072726   1.2743e-16     0.058097            0            0      -35.707      -6636.7       630.75      0.96023    -0.031255            0            0            0            0            0            0            0            0            0          120        0.155            0  
          0           -7            0     -0.49723     0.026307     0.010015     0.016292            0   -0.0015077     0.003867   -0.0053746   2.5943e-18   1.9341e-19   3.1131e-20   1.6228e-19      -18.901      -13.328            0       -226.6       11.989      -20.246            0      -225.81            0            0            0            0            0            0       46.834      -5.6557         46.9      -3.0285    1.544e-15     -0.17795   1.1511e-16     0.057256            0            0      -33.052      -6657.9       562.27      0.95798     -0.02847            0            0            0            0            0            0            0            0            0          120        0.155            0  
          0         -6.5            0     -0.45756     0.023372    0.0095425      0.01383            0   -0.0031965    0.0036844   -0.0068809   3.8395e-18   8.3707e-20   8.9503e-20  -5.7957e-21      -19.577      -13.243            0      -208.52       10.651      -17.343            0      -207.89            0            0            0            0            0            0       46.839      -5.6922         46.9      -2.9241   2.2852e-15     -0.37729    4.982e-17     0.056442            0            0      -30.462      -6700.8       499.54      0.95563    -0.025826            0            0            0            0            0            0            0            0            0          120        0.155            0  
          0           -6            0     -0.41915     0.020706    0.0090696     0.011636            0   -0.0043967    0.0035018   -0.0078985   3.6527e-18   1.4372e-19   8.4314e-20   5.9406e-20      -20.243      -13.106            0      -191.01       9.4359      -14.693            0      -190.52            0            0            0            0            0            0       46.843      -5.7515         46.9       -2.828    2.174e-15     -0.51894   8.5537e-17     0.055765            0            0      -27.952      -6770.7       442.54      0.95311    -0.023374            0            0            0            0            0            0            0            0            0          120        0.155            0  
          0         -5.5            0     -0.38207     0.018271    0.0085746    0.0096967            0   -0.0051007    0.0033107   -0.0084114   1.3283e-18   1.2366e-19   7.0046e-20    5.361e-20      -20.911      -12.925            0      -174.11       8.3265       -12.29            0      -173.74            0            0            0            0            0            0       46.846      -5.8319         46.9      -2.7379   7.9054e-16     -0.60204   7.3596e-17     0.055261            0            0      -25.528      -6865.3       390.52      0.95031    -0.021114            0            0            0            0            0            0            0            0            0          120        0.155            0  
          0           -5            0     -0.34658     0.016039     0.008037    0.0080023            0   -0.0052617    0.0031031   -0.0083648   3.3622e-18    1.167e-19   4.2806e-20   7.3895e-20      -21.608      -12.721            0      -157.94       7.3094      -10.133            0      -157.66            0            0            0            0            0            0        46.85      -5.9257         46.9      -2.6497   2.0011e-15     -0.62104   6.9456e-17        0.055            0            0      -23.205      -6975.7       342.81      0.94753    -0.019062            0            0            0            0            0            0            0            0            0          120        0.155            0  
          0         -4.5            0     -0.31344     0.013983    0.0074303    0.0065526            0   -0.0047095    0.0028688   -0.0075784    7.264e-19   1.2199e-19   8.4314e-20   3.7672e-20      -22.416       -12.55            0      -142.84       6.3722      -8.2302            0      -142.63            0            0            0            0            0            0       46.853      -6.0064         46.9      -2.5543   4.3233e-16     -0.55587   7.2602e-17      0.05528            0            0      -20.996      -7070.7       298.86      0.94646    -0.017327            0            0            0            0            0            0            0            0            0          120        0.155            0  
          0           -4            0     -0.28073     0.012077    0.0068154    0.0052616            0   -0.0039689    0.0026314   -0.0066003   1.5981e-18   4.1929e-20   4.4103e-20  -2.1734e-21      -23.245      -12.316            0      -127.93       5.5037      -6.5321            0      -127.79            0            0            0            0            0            0       46.857      -6.1205         46.9      -2.4634   9.5112e-16     -0.46845   2.4955e-17     0.055709            0            0      -18.813        -7205       258.12      0.94548    -0.015639            0            0            0            0            0            0            0            0            0          120        0.155            0  
          0         -3.5            0     -0.24893     0.010337    0.0062035    0.0041339            0   -0.0028779    0.0023952   -0.0052731    1.982e-18   4.9326e-20   4.2806e-20   6.5201e-21      -24.081      -12.015            0      -113.44       4.7109      -5.0451            0      -113.35            0            0            0            0            0            0        46.86      -6.2739         46.9      -2.3779   1.1796e-15     -0.33968   2.9357e-17       0.0566            0            0      -16.671      -7385.7       220.94      0.94626    -0.014089            0            0            0            0            0            0            0            0            0          120        0.155            0  
