T75_HTP&VTP
HTP&VTP_T75_T5-a0.0°-29.5m/s-VLM2-x0.15m


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0            0          -15      0.33522     0.077111     0.019679     0.057432     -0.47735    -0.075368    0.0092625    -0.084631     0.074846   -0.0062997  -0.00022864   -0.0060711       4.3472       2.5169       1.7272       44.848       10.317      -9.1575      -63.864       44.848      -17.089      -63.777        50.04            0            0            0       28.749            0         29.5       12.955       13.078      -2.6116      -1.1007      0.17391     0.072012       0.1142       8.3676            0       304.34      0.12351     0.058299            0            0            0            0            0            0            0            0            0            0         0.15            0  
          0            0        -14.5      0.33637     0.073591     0.019473     0.054118     -0.46285    -0.070614    0.0091652    -0.079779     0.072573   -0.0061032  -0.00021655   -0.0058867       4.5708        2.651       1.7242       45.003       9.8457       -8.536      -61.924       45.003      -15.993      -61.839       49.862            0            0            0       28.818            0         29.5       12.341       12.681      -2.4469      -1.0664      0.17275     0.069584      0.11293       8.3537            0       290.45      0.13198     0.058108            0            0            0            0            0            0            0            0            0            0         0.15            0  
          0            0          -14      0.33749     0.070166     0.019275     0.050891      -0.4482    -0.066016    0.0090624    -0.075078     0.070277   -0.0059114  -0.00021097   -0.0057004       4.8099       2.7943       1.7213       45.153       9.3874      -7.9338      -59.965       45.153       -14.93      -59.883       49.689            0            0            0       28.882            0         29.5       11.745       12.279      -2.2875      -1.0329      0.17162     0.067159       0.1117       8.3384            0       276.93      0.14128     0.057922            0            0            0            0            0            0            0            0            0            0         0.15            0  
          0            0        -13.5      0.33858     0.066828     0.019074     0.047754     -0.43342    -0.061574     0.008955    -0.070529     0.067959   -0.0057202  -0.00020773   -0.0055124       5.0664        2.948       1.7186       45.298       8.9409       -7.351      -57.987       45.298      -13.903      -57.908       49.521            0            0            0       28.942            0         29.5       11.166       11.874      -2.1336     -0.99948      0.17055     0.064737      0.11053       8.3216            0       263.76      0.15153     0.057743            0            0            0            0            0            0            0            0            0            0         0.15            0  
          0            0          -13      0.33962     0.063574     0.018864     0.044709     -0.41851    -0.057292    0.0088409    -0.066133     0.065621    -0.005534  -0.00021121   -0.0053228       5.3422       3.1133       1.7159       45.438       8.5055      -6.7879      -55.992       45.438      -12.909      -55.916       49.359            0            0            0       28.996            0         29.5       10.602       11.466      -1.9853     -0.96695      0.16951     0.062316       0.1094       8.3034            0       250.91      0.16286     0.057569            0            0            0            0            0            0            0            0            0            0         0.15            0  
          0            0        -12.5      0.34064     0.060414     0.018655     0.041759     -0.40347    -0.053167    0.0087243    -0.061892     0.063263   -0.0053543  -0.00022282   -0.0051315       5.6383       3.2907       1.7134       45.573       8.0828      -6.2446       -53.98       45.573      -11.951      -53.907       49.203            0            0            0       29.047            0         29.5       10.057       11.054      -1.8423     -0.93556      0.16851     0.059899      0.10832       8.2839            0       238.44       0.1754     0.057402            0            0            0            0            0            0            0            0            0            0         0.15            0  
          0            0          -12      0.34161     0.057351     0.018445     0.038906     -0.38831    -0.049204    0.0086024    -0.057806     0.060886   -0.0051772  -0.00023849   -0.0049387       5.9565       3.4814       1.7109       45.704       7.6729      -5.7212      -51.952       45.704      -11.028      -51.881       49.053            0            0            0       29.093            0         29.5       9.5302       10.638       -1.705      -0.9046      0.16756     0.057484      0.10728       8.2629            0       226.35      0.18934     0.057241            0            0            0            0            0            0            0            0            0            0         0.15            0  
          0            0        -11.5      0.34254     0.054382      0.01823     0.036152     -0.37303    -0.045403    0.0084741    -0.053878      0.05849   -0.0049994  -0.00025511   -0.0047443       6.2989       3.6866       1.7086       45.829       7.2757      -5.2179      -49.907       45.829       -10.14      -49.839       48.908            0            0            0       29.135            0         29.5       9.0209        10.22      -1.5733     -0.87355      0.16665     0.055071      0.10629       8.2405            0       214.63      0.20488     0.057086            0            0            0            0            0            0            0            0            0            0         0.15            0  
          0            0          -11      0.34344     0.051515     0.018015       0.0335     -0.35764    -0.041764    0.0083438    -0.050107     0.056076   -0.0048189   -0.0002703   -0.0045485       6.6669       3.9071       1.7064       45.949       6.8921      -4.7349      -47.848       45.949       -9.288      -47.782        48.77            0            0            0       29.174            0         29.5       8.5304       9.7981      -1.4472     -0.84199      0.16578      0.05266      0.10534       8.2167            0       203.32      0.22227     0.056937            0            0            0            0            0            0            0            0            0            0         0.15            0  
          0            0        -10.5       0.3443     0.048748     0.017798      0.03095     -0.34213    -0.038285    0.0082111    -0.046497     0.053645   -0.0046366  -0.00028523   -0.0043514        7.063       4.1444       1.7042       46.064       6.5219      -4.2724      -45.774       46.064      -8.4721      -45.711       48.637            0            0            0       29.209            0         29.5       8.0586       9.3733      -1.3266     -0.81015      0.16495     0.050251      0.10444       8.1916            0        192.4      0.24179     0.056794            0            0            0            0            0            0            0            0            0            0         0.15            0  
