T75_wing_exposed
T75_T1-29.5 m/s-LLT-x0.104m
Freestream speed = 29.500 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0         -5.5            0      0.20008     0.014597     0.013389    0.0012088            0     -0.14205            0     -0.14205   -2.784e-19  -1.1752e-19  -1.0858e-19  -8.9406e-21       13.706       6.1308       2.2356       162.18       11.833        16.52            0       161.34            0            0            0            0            0            0       29.422            0         29.5       4.1729  -1.0986e-15      -48.477  -4.6373e-16      0.41708            0            0       91.402            0       349.07      0.91164     0.083447            0            0            0            0            0            0            0            0            0            0        0.104            0  
          0           -5            0      0.24311     0.013943      0.01218    0.0017631            0     -0.14134            0     -0.14134  -2.1715e-19   7.9801e-20   7.3776e-20   6.0252e-21       17.435       8.5967       2.0282       197.06       11.303       18.599            0       196.19            0            0            0            0            0            0       29.452            0         29.5       3.2826  -8.5689e-16      -48.234    3.149e-16      0.35904            0            0       110.67            0       333.43      0.92279     0.087286            0            0            0            0            0            0            0            0            0            0        0.104            0  
          0         -4.5            0      0.28762     0.014099     0.011628     0.002471            0     -0.14082            0     -0.14082  -8.6861e-19   9.6863e-20   8.9088e-20   7.7744e-21         20.4        10.94       1.8646       233.15       11.429       20.289            0       232.27            0            0            0            0            0            0       29.465            0         29.5       2.8064  -3.4276e-15      -48.058   3.8222e-16      0.31769            0            0       130.86            0       337.15       0.9216     0.091373            0            0            0            0            0            0            0            0            0            0        0.104            0  
          0           -4            0      0.33225      0.01446     0.011157    0.0033031            0     -0.14034            0     -0.14034  -4.4544e-19   5.3422e-20    4.176e-20   1.1662e-20       22.977       13.244       1.7349       269.32       11.721       21.458            0       268.48            0            0            0            0            0            0       29.472            0         29.5        2.492  -1.7577e-15      -47.894    2.108e-16      0.28773            0            0        151.2            0       345.78         0.92     0.095596            0            0            0            0            0            0            0            0            0            0        0.104            0  
          0         -3.5            0      0.37519     0.014748     0.010521    0.0042269            0     -0.13949            0     -0.13949  -1.8931e-19   4.5558e-20   2.9232e-20   1.6326e-20        25.44       15.582       1.6326       304.13       11.955       21.987            0       303.35            0            0            0            0            0            0       29.477            0         29.5       2.2511  -7.4703e-16      -47.602   1.7977e-16      0.26491            0            0       170.87            0       352.67      0.91675     0.099392            0            0            0            0            0            0            0            0            0            0        0.104            0  
          0           -3            0      0.41923     0.015404     0.010124    0.0052804            0      -0.1388            0      -0.1388  -1.9377e-18   4.0768e-20   2.3664e-20   1.7104e-20       27.216       17.622       1.5444       339.83       12.487        22.06            0       339.14            0            0            0            0            0            0        29.48            0         29.5       2.1043  -7.6461e-15      -47.369   1.6087e-16      0.24699            0            0       190.84            0       368.36      0.91627      0.10354            0            0            0            0            0            0            0            0            0            0        0.104            0  
          0         -2.5            0      0.46379     0.016218    0.0097558    0.0064623            0     -0.13828            0     -0.13828  -1.7149e-18   8.3342e-20   5.8464e-20   2.4878e-20       28.597       19.475       1.4684       375.95       13.147       21.632            0       375.37            0            0            0            0            0            0       29.482            0         29.5       2.0027  -6.7672e-15       -47.19   3.2887e-16      0.23237            0            0       211.04            0       387.82       0.9163      0.10777            0            0            0            0            0            0            0            0            0            0        0.104            0  
          0           -2            0      0.50778     0.017241    0.0094854     0.007756            0     -0.13765            0     -0.13765  -1.7261e-18    -1.34e-21   1.8096e-20  -1.9436e-20       29.451       20.987       1.4033       411.61       13.976       20.648            0       411.14            0            0            0            0            0            0       29.483            0         29.5       1.9447  -6.8112e-15      -46.975  -5.2876e-18      0.22033            0            0       231.12            0       412.29      0.91517      0.11188            0            0            0            0            0            0            0            0            0            0        0.104            0  
          0         -1.5            0      0.55164     0.018394    0.0092315    0.0091628            0     -0.13699            0     -0.13699  -2.0936e-18   3.0224e-20   4.7328e-20  -1.7104e-20        29.99       22.274       1.3464       447.16       14.911        19.13            0       446.82            0            0            0            0            0            0       29.484            0         29.5       1.9098  -8.2613e-15      -46.751   1.1927e-16      0.21022            0            0       251.11            0       439.86      0.91426      0.11597            0            0            0            0            0            0            0            0            0            0        0.104            0  
          0           -1            0      0.59513     0.019678    0.0090037     0.010674            0     -0.13627            0     -0.13627   -1.804e-18   1.3923e-19   4.5936e-20   9.3293e-20       30.244       23.332       1.2963       482.42       15.951       17.071            0        482.2            0            0            0            0            0            0       29.484            0         29.5       1.8938  -7.1188e-15      -46.503    5.494e-16      0.20162            0            0       270.96            0       470.56      0.91343      0.11999            0            0            0            0            0            0            0            0            0            0        0.104            0  
