T75_wing_exposed
T1-43.2 m/s-LLT-x0.085m
Freestream speed = 43.210 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0          -14            0    -0.039502     0.090183      0.09013   5.3267e-05            0    -0.082429            0    -0.082429  -4.5936e-20   3.8978e-19   3.8976e-19   2.4295e-23     -0.43802    -0.087056            0      -92.581       211.36      -22.276            0      -89.862            0            0            0            0            0            0       17.337      -351.77        43.21      -66.346   -5.241e-16      -81.334   4.4472e-15      0.23649            0            0      -53.037   -4.141e+05       9133.1      0.80641   -0.0093419            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0        -13.5            0     -0.01404     0.084776     0.084768   7.5954e-06            0    -0.088275            0    -0.088275  -1.1206e-19    2.894e-19   2.8954e-19  -1.4121e-22     -0.16561    -0.019623            0      -32.905       198.69      -7.6643            0          -32            0            0            0            0            0            0       7.0599      -1560.6        43.21      -80.597  -1.2785e-15      -87.102   3.3018e-15     0.031081            0            0      -18.745  -1.8371e+06       8585.5      0.71442  -0.00043637            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0          -13            0     0.013955     0.080689     0.080684   4.8544e-06            0    -0.094182            0    -0.094182  -1.3781e-19   1.2256e-19    1.225e-19   6.2256e-23      0.17295     0.020431        8.465       32.708       189.11       7.3687            0       31.867            0            0            0            0            0            0       7.3639       1498.9        43.21       80.188  -1.5723e-15       -92.93   1.3983e-15     -0.31476            0            0       18.747   1.7644e+06       8171.6       1.1044   -0.0043926            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0        -12.5            0     0.039328     0.075807     0.075761   4.6453e-05            0     -0.10175            0     -0.10175  -5.2618e-19   2.1219e-19   2.1158e-19   6.0738e-22       0.5188      0.10288       5.0425       92.175       177.67       20.057            0       89.967            0            0            0            0            0            0       19.899       297.65        43.21        62.58  -6.0033e-15       -100.4    2.421e-15       9.9663            0            0       52.914   3.5039e+05       7677.2       0.9166      0.39196            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0          -12            0     0.062454      0.06999     0.069868   0.00012264            0     -0.11032            0     -0.11032  -2.2272e-20    1.499e-19   1.5034e-19  -4.3731e-22      0.89233        0.223       4.0015       146.38       164.04       30.714            0       143.12            0            0            0            0            0            0       28.769       137.33        43.21       48.257  -2.5411e-16      -108.86   1.7102e-15       3.3223            0            0       84.252   1.6166e+05       7088.1      0.87554      0.20749            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0        -11.5            0     0.081353     0.064664     0.064448   0.00021635            0     -0.11641            0     -0.11641  -2.2272e-20   3.8312e-19   3.8419e-19   -1.069e-21       1.2581      0.35884        3.506       190.67       151.56        38.51            0       186.74            0            0            0            0            0            0       33.826        85.34        43.21        38.48  -2.5411e-16      -114.86   4.3712e-15        1.057            0            0        110.4   1.0046e+05       6548.7      0.84214     0.085989            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0          -11            0     0.094748     0.059509     0.059202   0.00030672            0      -0.1207            0      -0.1207  -2.3942e-19   2.7028e-19   2.6726e-19   3.0126e-21       1.5922      0.49009       3.2487       222.06       139.47       43.077            0       217.85            0            0            0            0            0            0       36.591       62.486        43.21       32.132  -2.7317e-15      -119.09   3.0837e-15      0.82536            0            0       129.61        73559       6026.6      0.80571     0.078201            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0         -9.5            0     -0.01091     0.039368      0.03884    0.0005281            0     -0.13913            0     -0.13913   4.2707e-18  -1.9789e-20   4.4544e-20  -6.4333e-20     -0.27712    -0.028945            0      -25.569       92.267      -2.9994            0      -25.423            0            0            0            0            0            0       11.539        -1058        43.21      -74.511   4.8725e-14      -137.28  -2.2578e-16      -1.1607            0            0       10.084  -1.2455e+06       3986.9    0.0062042     0.012663            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0         -8.5            0    -0.049221     0.017167     0.016707    0.0004604            0        -0.14            0        -0.14   4.7495e-18  -6.5411e-19  -5.6237e-19  -9.1738e-20      -2.8672     -0.63611            0      -115.36       40.235      -15.984            0      -114.25            0            0            0            0            0            0         40.8      -48.142        43.21      -19.228   5.4188e-14      -138.14  -7.4629e-15      -1.3001            0            0      -47.078       -56673       1738.6      0.14486     0.063994            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0           -8            0     -0.01988     0.013551     0.013433   0.00011766            0     -0.14166            0     -0.14166   2.7116e-18   -4.978e-19  -4.2317e-19  -7.4634e-20       -1.467     -0.20684            0      -46.592        31.76      -6.2113            0      -46.177            0            0            0            0            0            0       35.704      -148.05        43.21      -34.281   3.0938e-14      -139.78  -5.6796e-15       -2.199            0            0      -21.722  -1.7429e+05       1372.4     0.092464     0.043715            0            0            0            0            0            0            0            0            0          120        0.085            0  
