T120_with_T75_wing
T1-43.2 m/s-LLT-x0.085m
Freestream speed = 43.210 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0          -14            0    -0.039752     0.090235     0.090184   5.0867e-05            0    -0.082371            0    -0.082371   2.5054e-19   3.1703e-19   3.1674e-19   2.8321e-22     -0.44054    -0.087835            0      -99.905       226.78      -24.045            0      -96.968            0            0            0            0            0            0        17.42      -336.69        43.21      -66.225   3.2868e-15      -87.154   4.1591e-15      0.23819   4.0792e-16            0      -61.492  -3.9635e+05       9799.1      0.79753   -0.0094684            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0        -13.5            0    -0.014151     0.084792     0.084784   7.2613e-06            0    -0.088251            0    -0.088251  -4.2514e-19   1.3476e-19   1.3501e-19  -2.4922e-22     -0.16689    -0.019853            0      -35.564        213.1      -8.2845            0      -34.586            0            0            0            0            0            0       7.1129      -1489.6        43.21      -80.525  -5.5774e-15      -93.375   1.7679e-15      0.03231  -1.9445e-15            0      -21.769  -1.7536e+06         9208      0.70797  -0.00045722            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0          -13            0     0.014038     0.080677     0.080672   4.6079e-06            0    -0.094199            0    -0.094199   -1.363e-20   2.0757e-19    2.077e-19  -1.3028e-22        0.174     0.020617         8.44       35.281       202.76       7.9477            0       34.374            0            0            0            0            0            0       7.4074       1434.4        43.21       80.129  -1.7882e-16      -99.668   2.7231e-15     -0.31562   6.2843e-17            0       21.735   1.6886e+06       8761.1       1.0979   -0.0044308            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0        -12.5            0     0.039567     0.075758     0.075714   4.4185e-05            0     -0.10182            0     -0.10182  -3.0766e-19    1.976e-19   1.9732e-19   2.8321e-22      0.52228      0.10389       5.0273        99.44        190.4       21.631            0       97.058            0            0            0            0            0            0       20.004       284.66        43.21       62.423  -4.0361e-15      -107.73   2.5923e-15       10.054   5.0326e-16            0       61.342    3.351e+05         8227      0.90961      0.39782            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0          -12            0     0.062822     0.069888     0.069771   0.00011638            0     -0.11046            0     -0.11046   7.7888e-21   1.5086e-19   1.5058e-19   2.7188e-22      0.89889       0.2253       3.9898       157.88       175.64       33.112            0       154.37            0            0            0            0            0            0       28.886       131.26        43.21       48.048   1.0218e-16      -116.88   1.9791e-15       3.1936  -8.0246e-18            0       97.648   1.5452e+05       7589.5      0.87058      0.20063            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0        -11.5            0     0.081742     0.064543     0.064337    0.0002055            0     -0.11653            0     -0.11653  -9.0869e-20   4.4669e-19   4.4656e-19   1.3594e-22       1.2665      0.36209       3.4977       205.43       162.21       41.463            0       201.21            0            0            0            0            0            0       33.913       81.672        43.21       38.294  -1.1921e-15      -123.29   5.8601e-15       1.0426    7.195e-17            0       127.79        96145         7009       0.8347     0.085223            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0          -11            0     0.095076     0.059358     0.059068   0.00029051            0     -0.12081            0     -0.12081  -5.4002e-19   2.9607e-19   2.9597e-19   9.0627e-23       1.6017      0.49389       3.2431       238.95       149.18        46.31            0       234.42            0            0            0            0            0            0       36.653       59.878        43.21       31.977  -7.0845e-15      -127.82   3.8841e-15      0.81791   3.6762e-16            0       149.79        70489         6446      0.79883     0.077764            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0          -10            0   -0.0094879     0.044232     0.043448   0.00078392            0     -0.13574            0     -0.13574    4.206e-18   9.2092e-20   1.6097e-19  -6.8876e-20      -0.2145    -0.020894            0      -23.845       111.16      -2.2004            0      -23.825            0            0            0            0            0            0       9.0626      -1415.4        43.21      -77.893   5.5178e-14      -143.62   1.2082e-15      -2.1121   2.8692e-14            0       25.474  -1.6662e+06       4803.4     0.002948      0.02004            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0         -9.5            0   -0.0068336     0.037412     0.036597   0.00081489            0     -0.13695            0     -0.13695   2.2458e-18   7.5718e-21    6.231e-20  -5.4739e-20     -0.18266      -0.0151            0      -17.174       94.023     -0.81469            0      -17.277            0            0            0            0            0            0       7.7643      -1958.5        43.21      -79.648   2.9462e-14       -144.9   9.9334e-17      -4.2445    2.127e-14            0       14.423  -2.3056e+06       4062.7    0.0014712     0.029005            0            0            0            0            0            0            0            0            0          120        0.085            0  
          0           -9            0   -0.0071336       0.0308     0.030005   0.00079473            0     -0.13899            0     -0.13899   2.1913e-18   -4.162e-19  -3.9463e-19  -2.1569e-20     -0.23161    -0.019562            0      -17.928       77.406     -0.83188            0       -18.02            0            0            0            0            0            0         9.75      -1511.7        43.21      -76.959   2.8747e-14      -147.06  -5.4601e-15      -6.8797   1.9881e-14            0       26.866  -1.7796e+06       3344.7    0.0016439     0.049077            0            0            0            0            0            0            0            0            0          120        0.085            0  
