SOLARTII_v1_Mass_Dihedral_5deg
T1-20.0 m/s-TriUniform-ThickSurf-x0.64m-z0.0m

 alpha       beta         phi          ctrl         VInf(m/s)
       -5.5            0            0            0           20

CL           CX           CY           CD_inviscid  CD_viscous   Cl           Cm_inviscid  Cm_viscous   Cn_inviscid  Cn_viscous
   -0.52061     0.021592   2.4511e-05    0.0067597     0.014833  -0.00070676     0.014422    0.0030145  -4.4215e-05  -1.1194e-06
CP.x(m)      CP.y(m)      CP.z(m)      NP.x(m)      
    0.65617     0.007562     0.085581            0            0

mass(kg)     CoG.x(m)     CoG.y(m)     CoG.z(m)     CoG_Ixx(kg.m²)  CoG_Iyy(kg.m²)  CoG_Izz(kg.m²)  CoG_Ixz(kg.m²)  
     19.502         0.64  -1.9925e-17     0.017249          100          100          100          100





Main Wing
y(m)         Re           Ai           Cd_i         Cd_v         Cl           CP.x(%)      Trans.top    Trans.bot    Cm_i         Cm_v         Bending.mom  Vd.x         Vd.y         Vd.z         F.x          F.y          F.z        
  -2.996922  203474.854344     9.775587     0.007791     0.012596    -0.179682    -0.158635     0.615855     0.806213    -0.033044     0.011767     0.000000     0.000000     0.302701     3.432504    -0.002882    -0.003122    -0.029930  
  -2.984686  204138.227743     4.014290     0.026850     0.012005    -0.271817     0.148553     0.655957     0.754525    -0.021181     0.011126    -0.000368     0.000000     0.159050     1.394995    -0.013014    -0.014098    -0.135156  
  -2.960516  205448.640087     2.798454     0.017977     0.011668    -0.347876     0.244942     0.690035     0.689870     0.001620     0.010643    -0.004379     0.000000     0.174982     0.966048    -0.027478    -0.029767    -0.285375  
  -2.925006  207373.824675     2.240626     0.016111     0.011763    -0.407109     0.279546     0.718526     0.595978     0.014760     0.010481    -0.020460     0.000000     0.168377     0.770783    -0.044317    -0.048008    -0.460255  
  -2.879031  209866.377073     1.873208     0.014794     0.012275    -0.452896     0.294940     0.743903     0.485373     0.022976     0.010609    -0.062551     0.000000     0.143299     0.644068    -0.062017    -0.067181    -0.644072  
  -2.823723  212864.922368     1.586712     0.013448     0.013023    -0.487873     0.301937     0.765670     0.369355     0.028028     0.010847    -0.148997     0.000000     0.114738     0.546087    -0.079338    -0.085945    -0.823958  
  -2.760444  216295.626424     1.356421     0.012105     0.013968    -0.514338     0.304901     0.783623     0.267296     0.031040     0.011148    -0.300317     0.000000     0.089723     0.467528    -0.095299    -0.103234    -0.989716  
  -2.690752  220074.013921     1.175300     0.010878     0.015505    -0.534221     0.305948     0.801022     0.171513     0.032801     0.011799    -0.536312     0.000000     0.070254     0.405736    -0.109127    -0.118213    -1.133323  
  -2.616363  224107.048419     1.036514     0.009811     0.016574    -0.548938     0.305996     0.812741     0.103902     0.033745     0.011979    -0.872964     0.000000     0.055937     0.358339    -0.120181    -0.130188    -1.248128  
  -2.539109  228295.423224     0.927811     0.006632     0.017244    -0.559115     0.304975     0.819629     0.059997     0.033845     0.011804    -1.319515     0.000000     0.045510     0.321151    -0.127845    -0.138490    -1.327721  
  -2.496922  230582.585513     0.988426     0.007885     0.017281    -0.560641     0.300268     0.819590     0.058082     0.031597     0.011479    -1.619673     0.000000     0.044437     0.342490    -0.010190    -0.011039    -0.105829  
  -2.484686  231245.958912     0.835287     0.009752     0.017496    -0.564185     0.302614     0.822765     0.055696     0.032770     0.011520    -1.708033     0.000000     0.039028     0.289290    -0.030599    -0.033147    -0.317782  
  -2.460516  232556.371256     0.804012     0.008537     0.017705    -0.567971     0.304212     0.825691     0.053207     0.033924     0.011456    -1.890299     0.000000     0.036710     0.278532    -0.050783    -0.055012    -0.527403  
  -2.425006  234481.555844     0.777440     0.008097     0.017904    -0.571954     0.305093     0.828307     0.050500     0.034665     0.011289    -2.176902     0.000000     0.034127     0.269445    -0.070401    -0.076264    -0.731146  
  -2.379031  236974.108242     0.746846     0.007723     0.018082    -0.575980     0.305572     0.830451     0.047558     0.035183     0.011023    -2.581760     0.000000     0.031241     0.258976    -0.089059    -0.096475    -0.924914  
  -2.323723  239972.653537     0.714005     0.007362     0.018224    -0.579804     0.305809     0.831896     0.044469     0.035554     0.010660    -3.120230     0.000000     0.028294     0.247724    -0.106295    -0.115146    -1.103920  
  -2.260444  243403.357593     0.681686     0.007021     0.018319    -0.583209     0.305884     0.832470     0.041377     0.035807     0.010213    -3.806530     0.000000     0.025492     0.236643    -0.121602    -0.131728    -1.262889  
  -2.190752  247181.745090     0.652355     0.006710     0.018359    -0.586035     0.305822     0.832094     0.038446     0.035948     0.009696    -4.650861     0.000000     0.022974     0.226585    -0.134456    -0.145652    -1.396382  
  -2.116363  251214.779588     0.628137     0.006432     0.018337    -0.588151     0.305565     0.830759     0.036327     0.035934     0.009128    -5.656521     0.000000     0.020819     0.218286    -0.144342    -0.156361    -1.499045  
  -2.039109  255403.154393     0.610307     0.004648     0.018238    -0.589240     0.304820     0.828309     0.035792     0.035591     0.008523    -6.817335     0.000000     0.019057     0.212192    -0.150731    -0.163283    -1.565404  
  -1.996922  257690.316682     0.578766     0.005046     0.018072    -0.587733     0.301621     0.824990     0.035793     0.033928     0.008152    -7.517613     0.000000     0.017514     0.201274    -0.011938    -0.012933    -0.123985  
  -1.984686  258353.690081     0.534694     0.006517     0.018120    -0.589137     0.302804     0.825749     0.035540     0.034345     0.008090    -7.722248     0.000000     0.016013     0.185961    -0.035698    -0.038670    -0.370736  
  -1.960516  259664.102425     0.537493     0.005951     0.018130    -0.590284     0.303880     0.825718     0.035267     0.035082     0.007928    -8.135488     0.000000     0.015793     0.186961    -0.058930    -0.063837    -0.612014  
  -1.925006  261589.287013     0.540652     0.005838     0.018107    -0.591274     0.304599     0.825010     0.034965     0.035568     0.007679    -8.764444     0.000000     0.015464     0.188097    -0.081193    -0.087954    -0.843224  
  -1.879031  264081.839411     0.539947     0.005755     0.018053    -0.592130     0.305059     0.823683     0.034635     0.035889     0.007351    -9.617730     0.000000     0.014929     0.187896    -0.102029    -0.110525    -1.059616  
  -1.823723  267080.384706     0.536405     0.005668     0.017970    -0.592810     0.305335     0.821749     0.034289     0.036093     0.006960   -10.703151    -0.000000     0.014250     0.186715    -0.120956    -0.131028    -1.256180  
  -1.760444  270511.088762     0.531507     0.005580     0.017857    -0.593261     0.305479     0.819228     0.033939     0.036206     0.006520   -12.024914    -0.000000     0.013495     0.185064    -0.137475    -0.148922    -1.427729  
  -1.690752  274289.476259     0.526724     0.005496     0.017716    -0.593433     0.305501     0.816155     0.033597     0.036233     0.006048   -13.580659    -0.000000     0.012730     0.183455    -0.151085    -0.163666    -1.569080  
  -1.616363  278322.510757     0.523959     0.005418     0.017549    -0.593260     0.305353     0.812566     0.033273     0.036142     0.005557   -15.358592    -0.000000     0.012024     0.182548    -0.161306    -0.174738    -1.675226  
  -1.539109  282510.885562     0.525479     0.004051     0.017350    -0.592493     0.304808     0.808361     0.032999     0.035800     0.005063   -17.335108    -0.000000     0.011453     0.183131    -0.167650    -0.181610    -1.741110  
  -1.496922  284798.047851     0.455580     0.004111     0.017172    -0.590398     0.302153     0.804706     0.033023     0.034415     0.004783   -18.488272    -0.000000     0.008998     0.158851    -0.013254    -0.014358    -0.137649  
  -1.484686  285461.421250     0.448582     0.005476     0.017181    -0.591217     0.302975     0.804815     0.032878     0.034586     0.004720   -18.824431    -0.000000     0.008690     0.156426    -0.039583    -0.042879    -0.411082  
  -1.460516  286771.833594     0.461183     0.005120     0.017150    -0.591676     0.303882     0.804082     0.032716     0.035189     0.004583   -19.498460    -0.000000     0.008887     0.160824    -0.065236    -0.070668    -0.677500  
