SOLARTII_v1
T1-20.0 m/s-LLT-x0.52m_3000m
Freestream speed = 20.000 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0          -10            0      -0.7398     0.043934     0.026769     0.017165            0     0.024023            0     0.024023  -3.1609e-18  -6.4888e-19   7.1396e-21  -6.5602e-19      -16.839      -14.483            0      -191.02       11.344      -28.806            0      -188.89            0            0            0            0            0            0       19.965            0           20      -3.3986  -4.9991e-15       3.4389  -1.3932e-16       0.6162            0            0      -119.85            0       226.88      0.80346     -0.45587            0            0            0            0            0            0            0            0            0            0         0.52            0  
          0         -9.5            0     -0.70456     0.039425     0.023763     0.015662            0     0.025049            0     0.025049  -4.4072e-18  -9.3478e-19  -5.3952e-20  -8.8083e-19      -17.871      -15.001            0      -181.93        10.18      -26.038            0       -180.1            0            0            0            0            0            0       19.969            0           20      -3.2028  -6.9596e-15       3.5857  -3.0373e-16      0.61837            0            0      -114.45            0        203.6      0.79871     -0.43568            0            0            0            0            0            0            0            0            0            0         0.52            0  
          0           -9            0     -0.66984     0.035407     0.021242     0.014165            0     0.026082            0     0.026082  -3.2797e-18  -6.2263e-19  -2.8642e-20  -5.9399e-19      -18.919      -15.484            0      -172.96       9.1424      -23.444            0       -171.4            0            0            0            0            0            0       19.972            0           20      -3.0257  -5.1625e-15       3.7336  -1.5898e-16       0.6205            0            0       -108.9            0       182.85      0.79821     -0.41563            0            0            0            0            0            0            0            0            0            0         0.52            0  
          0         -8.5            0     -0.63535     0.032042     0.019287     0.012755            0     0.027467            0     0.027467   -4.206e-18  -7.5547e-19  -7.6264e-20  -6.7921e-19      -19.829      -15.805            0      -164.05       8.2736      -20.991            0      -162.74            0            0            0            0            0            0       19.975            0           20      -2.8871  -6.6001e-15       3.9319  -1.9702e-16      0.62291            0            0       -103.3            0       165.47       0.7975     -0.39577            0            0            0            0            0            0            0            0            0            0         0.52            0  
          0           -8            0      -0.6002     0.028976     0.017582     0.011394            0     0.028645            0     0.028645  -3.6233e-18  -5.7022e-19   1.6316e-20  -5.8654e-19      -20.714      -16.047            0      -154.98       7.4819      -18.655            0      -153.88            0            0            0            0            0            0       19.977            0           20       -2.764  -5.6853e-15       4.1005  -9.3089e-17      0.62568            0            0      -97.556            0       149.64      0.79673     -0.37553            0            0            0            0            0            0            0            0            0            0         0.52            0  
          0         -7.5            0     -0.56653     0.026257     0.016078     0.010178            0     0.030566            0     0.030566  -3.9661e-18  -5.4864e-19   2.5484e-20  -5.7412e-19      -21.576       -16.24            0      -146.28       6.7798      -16.488            0      -145.37            0            0            0            0            0            0       19.979            0           20      -2.6536  -6.2081e-15       4.3755  -4.0016e-17      0.62945            0            0      -92.218            0        135.6      0.79461      -0.3566            0            0            0            0            0            0            0            0            0            0         0.52            0  
          0           -7            0       -0.534     0.023748     0.014689    0.0090593            0     0.033218            0     0.033218  -3.0977e-18  -3.8986e-19  -6.5415e-21  -3.8332e-19      -22.486      -16.432            0      -137.88       6.1319      -14.482            0      -137.14            0            0            0            0            0            0        19.98            0           20      -2.5464  -4.8357e-15        4.755  -1.4773e-17      0.63437            0            0      -87.287            0       122.64      0.79319     -0.33875            0            0            0            0            0            0            0            0            0            0         0.52            0  
          0         -6.5            0     -0.50158     0.021289     0.013291    0.0079974            0     0.035893            0     0.035893  -3.2839e-18  -4.4518e-19   -1.768e-20   -4.275e-19      -23.561      -16.686            0      -129.51        5.497       -12.61            0      -128.92            0            0            0            0            0            0       19.982            0           20      -2.4304  -5.1298e-15       5.1381  -1.0969e-16      0.63974            0            0        -82.4            0       109.94      0.79274     -0.32088            0            0            0            0            0            0            0            0            0            0         0.52            0  
          0           -6            0     -0.46907     0.018997     0.011997    0.0069998            0     0.038586            0     0.038586  -2.6409e-18  -3.1959e-19  -2.4252e-20  -2.9534e-19      -24.692      -16.911            0      -121.12       4.9052      -10.863            0      -120.64            0            0            0            0            0            0       19.984            0           20      -2.3192  -4.1169e-15       5.5235  -6.5152e-17      0.64771            0            0      -77.561            0       98.104       0.7921     -0.30382            0            0            0            0            0            0            0            0            0            0         0.52            0  
          0         -5.5            0     -0.43536     0.016974     0.010923    0.0060515            0      0.04085            0      0.04085   -2.835e-18  -2.5738e-19   5.2482e-21  -2.6263e-19      -25.648      -16.923            0      -112.41       4.3829       -9.219            0      -112.05            0            0            0            0            0            0       19.985            0           20      -2.2328   -4.411e-15       5.8476   2.4136e-17      0.65619            0            0      -72.468            0       87.658      0.78926     -0.28568            0            0            0            0            0            0            0            0            0            0         0.52            0  
          0           -5            0     -0.39887     0.015309     0.010193    0.0051161            0     0.042495            0     0.042495  -8.9317e-19  -6.6651e-20   8.5352e-21  -7.5187e-20      -26.055      -16.455            0      -102.99       3.9529      -7.6602            0      -102.71            0            0            0            0            0            0       19.985            0           20       -2.198  -1.3886e-15       6.0831   1.7836e-17      0.66517            0            0      -66.818            0       79.058      0.78362     -0.26531            0            0            0            0            0            0            0            0            0            0         0.52            0  
          0         -4.5            0     -0.35996     0.013947    0.0097202    0.0042267            0     0.043848            0     0.043848  -2.3661e-18  -1.6873e-19   7.8844e-21  -1.7661e-19      -25.809      -15.484            0      -92.944       3.6012      -6.2043            0      -92.744            0            0            0            0            0            0       19.985            0           20      -2.2189  -3.6758e-15       6.2767    2.708e-17      0.67548            0            0      -60.799            0       72.025      0.77249     -0.24315            0            0            0            0            0            0            0            0            0            0         0.52            0  
          0           -4            0     -0.31885     0.012842     0.009457    0.0033854            0     0.044587            0     0.044587  -1.0107e-18  -5.3606e-20   5.2597e-21  -5.8866e-20      -24.828      -14.019            0      -82.329        3.316       -4.871            0      -82.189            0            0            0            0            0            0       19.984            0           20      -2.3065  -1.5684e-15       6.3825   2.6417e-17      0.68729            0            0      -54.303            0       66.321      0.75673     -0.21914            0            0            0            0            0            0            0            0            0            0         0.52            0  
          0         -3.5            0     -0.27574     0.012004    0.0093832    0.0026207            0     0.045007            0     0.045007  -1.5482e-18  -5.0838e-20   2.7629e-20  -7.8467e-20      -22.971      -12.062            0        -71.2       3.0995      -3.6712            0      -71.108            0            0            0            0            0            0       19.981            0           20      -2.4927  -2.4015e-15       6.4427   6.7976e-17      0.70214            0            0      -47.506            0       61.991      0.73112     -0.19361            0            0            0            0            0            0            0            0            0            0         0.52            0  
          0           -3            0     -0.23153      0.01135    0.0094069    0.0019433            0     0.045007            0     0.045007  -7.2761e-19   2.5789e-20   4.4755e-20  -1.8966e-20      -20.399      -9.8155            0      -59.784       2.9307      -2.6278            0      -59.728            0            0            0            0            0            0       19.976            0           20      -2.8065  -1.1273e-15       6.4427   9.9086e-17      0.72031            0            0      -40.444            0       58.614      0.69515     -0.16678            0            0            0            0            0            0            0            0            0            0         0.52            0  
          0         -2.5            0      -0.1865     0.010877    0.0095091     0.001368            0     0.044814            0     0.044814  -1.0019e-18   3.4275e-20   5.3333e-20  -1.9058e-20      -17.146      -7.4047            0      -48.156       2.8086      -1.7476            0      -48.126            0            0            0            0            0            0       19.966            0           20      -3.3378   -1.552e-15        6.415   1.2091e-16       0.7498            0            0      -33.246            0       56.171      0.64071     -0.13984            0            0            0            0            0            0            0            0            0            0         0.52            0  
          0           -2            0     -0.14114     0.010565    0.0096638   0.00090109            0     0.044503            0     0.044503  -7.1206e-19   3.9522e-20    4.413e-20  -4.6084e-21      -13.359      -5.0189            0      -36.444        2.728      -1.0393            0       -36.43            0            0            0            0            0            0       19.944            0           20      -4.2808  -1.1027e-15       6.3706   9.9776e-17       0.9103            0            0          -26            0       54.559      0.55709     -0.12848            0            0            0            0            0            0            0            0            0            0         0.52            0  
          0         -1.5            0    -0.095475       0.0104    0.0098517   0.00054843            0     0.044064            0     0.044064  -4.4324e-19   6.2224e-20   5.4684e-20   7.5406e-21      -9.1801      -2.8366            0      -24.653       2.6854     -0.50377            0      -24.648            0            0            0            0            0            0       19.882            0           20      -6.2168  -6.8615e-16       6.3077    1.144e-16       1.1926            0            0      -18.699            0       53.708      0.41884     -0.11386            0            0            0            0            0            0            0            0            0            0         0.52            0  
          0           -1            0    -0.049635     0.010355     0.010043   0.00031225            0     0.043542            0     0.043542   8.9327e-20   6.3119e-20    4.481e-20    1.831e-20      -4.7932      -1.0679            0      -12.816       2.6739     -0.14306            0      -12.816            0            0            0            0            0            0       19.578            0           20      -11.785   1.3886e-16       6.2329   9.5379e-17       1.3159            0            0      -11.358            0       53.478      0.19883    -0.065315            0            0            0            0            0            0            0            0            0            0         0.52            0  
          0         -0.5            0   -0.0034571     0.010439     0.010247   0.00019202            0     0.042828            0     0.042828   2.5033e-19   2.5643e-20   1.1863e-20    1.378e-20     -0.33117    -0.019472            0     -0.89267       2.6955     0.041789            0     -0.89307            0            0            0            0            0            0       6.2875            0           20      -71.677     3.88e-16       6.1308   3.6343e-17     -0.88691            0            0       -3.934            0        53.91    0.0015685    0.0030662            0            0            0            0            0            0            0            0            0            0         0.52            0  
          0            0            0     0.043101     0.010652     0.010461   0.00019109            0     0.041925            0     0.041925   4.0862e-19    5.656e-20   5.1407e-20   5.1533e-21       4.0462      0.84002       4.8168       11.129       2.7505     0.049341            0       11.129            0            0            0            0            0            0       19.416            0           20       13.882   6.3306e-16       6.0014   8.7627e-17      0.77644            0            0        3.571            0       55.011      0.24499     0.033465            0            0            0            0            0            0            0            0            0            0         0.52            0  
          0          0.5            0     0.090083     0.011004     0.010692   0.00031202            0     0.040818            0     0.040818   6.1091e-19   2.2427e-20   2.9657e-20  -7.2294e-21       8.1864        2.457       3.3318        23.26       2.8413     -0.12242            0        23.26            0            0            0            0            0            0       19.852            0           20       6.9644   9.4652e-16       5.8431   4.3007e-17       0.5449            0            0       11.173            0       56.827      0.65538     0.049087            0            0            0            0            0            0            0            0            0            0         0.52            0  
          0            1            0      0.13765     0.011485     0.010928   0.00055737            0     0.039429            0     0.039429   7.4446e-19   7.6452e-21   3.0312e-20  -2.2667e-20       11.985       4.4465       2.6953       35.543       2.9656     -0.47641            0        35.54            0            0            0            0            0            0       19.931            0           20       4.7696   1.1538e-15       5.6442   3.1986e-17       0.4708            0            0        18.92            0       59.313      0.85665     0.064806            0            0            0            0            0            0            0            0            0            0         0.52            0  
          0          1.5            0      0.18589     0.012086     0.011152   0.00093408            0     0.037754            0     0.037754   8.4555e-19   2.3211e-20   6.0613e-20  -3.7402e-20        15.38       6.6313       2.3194           48       3.1208      -1.0154            0       47.989            0            0            0            0            0            0       19.958            0           20         3.72    1.311e-15       5.4044   7.0303e-17      0.44155            0            0       26.798            0       62.417      0.93226     0.082081            0            0            0            0            0            0            0            0            0            0         0.52            0  
          0            2            0      0.23455     0.012809     0.011366    0.0014436            0     0.035849            0     0.035849   4.8917e-19  -2.2934e-20   1.9101e-20  -4.2036e-20       18.311        8.868       2.0648       60.563       3.3075      -1.7411            0       60.539            0            0            0            0            0            0        19.97            0           20       3.1259   7.5967e-16       5.1318  -9.0249e-18      0.48351            0            0        34.77            0       66.149      0.96032      0.11341            0            0            0            0            0            0            0            0            0            0         0.52            0  
          0          2.5            0      0.28331     0.013671     0.011585    0.0020864            0     0.033816            0     0.033816   8.9929e-19  -3.3714e-20   3.8848e-20  -7.2562e-20       20.723        11.03       1.8787       73.154         3.53      -2.6527            0       73.108            0            0            0            0            0            0       19.977            0           20       2.7627   1.3968e-15       4.8407   8.7046e-18      0.51058            0            0       42.768            0         70.6      0.96944      0.14465            0            0            0            0            0            0            0            0            0            0         0.52            0  
          0            3            0      0.33204     0.014679     0.011818     0.002862            0     0.031725            0     0.031725   4.8197e-19  -6.1922e-20   9.8724e-21  -7.1794e-20       22.619       13.034       1.7354       85.735       3.7904       -3.749            0       85.656            0            0            0            0            0            0        19.98            0           20       2.5314    7.515e-16       4.5413   -5.668e-17      0.52924            0            0       50.752            0       75.808      0.97072      0.17573            0            0            0            0            0            0            0            0            0            0         0.52            0  
          0          3.5            0      0.38196     0.015845     0.012049    0.0037963            0     0.029443            0     0.029443   1.1317e-19  -2.3387e-20   2.6313e-20    -4.97e-20       24.105       14.898       1.6181       98.625       4.0914      -5.0425            0       98.501            0            0            0            0            0            0       19.983            0           20       2.3755   1.7971e-16       4.2148  -2.5309e-17      0.54324            0            0       58.858            0       81.829       0.9684      0.20749            0            0            0            0            0            0            0            0            0            0         0.52            0  
          0            4            0      0.43533       0.0172     0.012266    0.0049341            0      0.02633            0      0.02633  -3.4177e-20  -2.8015e-20    7.232e-21  -3.5247e-20        25.31       16.699       1.5156       112.41       4.4412      -6.5701            0       112.22            0            0            0            0            0            0       19.984            0           20       2.2626  -4.9011e-17        3.769  -4.6936e-17      0.55245            0            0       67.474            0       88.823      0.96787       0.2405            0            0            0            0            0            0            0            0            0            0         0.52            0  
          0          4.5            0      0.48998     0.018725     0.012476    0.0062492            0     0.022749            0     0.022749  -1.2315e-18   8.5236e-20   7.8844e-21   7.7352e-20       26.167       18.316       1.4286       126.52       4.8351      -8.3179            0       126.26            0            0            0            0            0            0       19.985            0           20       2.1886  -1.9114e-15       3.2564  -1.7971e-17      0.56101            0            0       76.346            0       96.701      0.96812      0.27489            0            0            0            0            0            0            0            0            0            0         0.52            0  
          0            5            0      0.54441     0.020416       0.0127     0.007716            0     0.019125            0     0.019125  -1.6139e-19  -2.5911e-20   3.9393e-21   -2.985e-20       26.666       19.675       1.3553       140.57       5.2716      -10.267            0       140.21            0            0            0            0            0            0       19.986            0           20       2.1477  -2.4505e-16       2.7377  -6.1736e-17      0.56818            0            0       85.222            0       105.43      0.96794      0.30932            0            0            0            0            0            0            0            0            0            0         0.52            0  
          0          5.5            0      0.59823     0.022287     0.012963    0.0093246            0     0.015575            0     0.015575   7.5898e-19  -1.3942e-19   9.8404e-21  -1.4926e-19       26.842       20.761       1.2929       154.47       5.7548      -12.409            0       153.99            0            0            0            0            0            0       19.986            0           20       2.1336   1.1926e-15       2.2295  -1.0216e-16      0.57355            0            0       94.016            0        115.1      0.96716      0.34311            0            0            0            0            0            0            0            0            0            0         0.52            0  
          0            6            0      0.65154     0.024407     0.013321     0.011086            0     0.012051            0     0.012051   4.7095e-19  -1.2702e-19   3.2773e-20  -1.5979e-19       26.695       21.547       1.2389       168.23       6.3022      -14.738            0       167.61            0            0            0            0            0            0       19.986            0           20       2.1453    7.515e-16        1.725  -1.1889e-16      0.57783            0            0       102.71            0       126.04      0.96489      0.37648            0            0            0            0            0            0            0            0            0            0         0.52            0  
          0          6.5            0      0.70422     0.026683     0.013708     0.012975            0    0.0087448            0    0.0087448   7.8235e-19  -1.6245e-19   5.0422e-20  -2.1288e-19       26.392       22.148       1.1916       181.84       6.8897      -17.256            0       181.05            0            0            0            0            0            0       19.986            0           20       2.1699   1.2416e-15       1.2518  -1.1185e-16      0.58158            0            0       111.27            0       137.79      0.96316      0.40955            0            0            0            0            0            0            0            0            0            0         0.52            0  
          0            7            0      0.75622     0.029028     0.014024     0.015003            0    0.0057439            0    0.0057439   1.6332e-18   -3.232e-19   4.6445e-20  -3.6965e-19       26.052       22.655       1.1499       195.26       7.4952      -19.951            0       194.28            0            0            0            0            0            0       19.985            0           20       2.1982   2.5812e-15      0.82222  -1.8755e-16      0.58436            0            0       119.64            0        149.9       0.9605       0.4419            0            0            0            0            0            0            0            0            0            0         0.52            0  
          0          7.5            0      0.80785     0.031479     0.014307     0.017172            0     0.002908            0     0.002908   1.8156e-18  -4.2306e-19    4.574e-21  -4.2764e-19       25.664       23.067       1.1126        208.6       8.1281      -22.831            0       207.39            0            0            0            0            0            0       19.985            0           20       2.2314   2.8753e-15      0.41628  -2.8255e-16       0.5865            0            0       127.91            0       162.56      0.95772      0.47381            0            0            0            0            0            0            0            0            0            0         0.52            0  
          0            8            0      0.85641     0.034015     0.014674     0.019341            0   0.00068253            0   0.00068253   8.8328e-19  -3.4434e-19   3.8506e-20  -3.8285e-19       25.177         23.3       1.0806       221.13        8.783       -25.83            0       219.68            0            0            0            0            0            0       19.984            0           20       2.2745   1.4377e-15     0.097703  -3.3666e-16       0.5881            0            0       135.69            0       175.66      0.95558      0.50366            0            0            0            0            0            0            0            0            0            0         0.52            0  
          0          8.5            0      0.89995     0.036637     0.015168     0.021469            0  -0.00048506            0  -0.00048506   3.2427e-18  -8.0793e-19   3.8458e-20  -8.4639e-19       24.564       23.302       1.0541       232.37       9.4601      -28.865            0       230.64            0            0            0            0            0            0       19.983            0           20       2.3313   5.1625e-15    -0.069436  -4.9406e-16      0.58906            0            0        142.7            0        189.2      0.95062      0.53012            0            0            0            0            0            0            0            0            0            0         0.52            0  
          0            9            0      0.93882     0.039178      0.01567     0.023509            0  -0.00043505            0  -0.00043505   2.4767e-18  -9.2124e-19   2.4085e-20  -9.4532e-19       23.963       23.218       1.0321       242.41       10.116      -31.926            0       240.38            0            0            0            0            0            0       19.983            0           20       2.3897   4.0189e-15    -0.062276   -8.085e-16      0.58912            0            0       148.88            0       202.32      0.94476      0.55307            0            0            0            0            0            0            0            0            0            0         0.52            0  
          0          9.5            0      0.97184     0.041497     0.016118     0.025379            0   0.00065412            0   0.00065412   6.6364e-18  -1.6811e-18   6.2402e-20  -1.7435e-18        23.42       23.087       1.0144       250.94       10.715      -34.954            0       248.58            0            0            0            0            0            0       19.982            0           20        2.445   1.0586e-14     0.093635  -8.6915e-16      0.58863            0            0       154.23            0        214.3       0.9378      0.57206            0            0            0            0            0            0            0            0            0            0         0.52            0  
          0           10            0       1.0012       0.0438     0.016613     0.027187            0    0.0025687            0    0.0025687   8.8812e-18  -2.5259e-18   5.9713e-20  -2.5856e-18       22.858       22.871      0.99941       258.51        11.31      -37.977            0       255.81            0            0            0            0            0            0       19.981            0           20        2.505   1.4246e-14       0.3677  -1.4618e-15      0.58778            0            0       158.97            0       226.19      0.92908      0.58847            0            0            0            0            0            0            0            0            0            0         0.52            0  
          0         10.5            0        1.024      0.04591     0.017216     0.028694            0    0.0050998            0    0.0050998   9.9741e-18  -2.9422e-18   6.5451e-20  -3.0076e-18       22.305       22.572       0.9882       264.42       11.854      -40.901            0       261.34            0            0            0            0            0            0        19.98            0           20        2.567   1.6043e-14      0.73003  -1.6624e-15      0.58673            0            0       162.91            0       237.09      0.92094      0.60083            0            0            0            0            0            0            0            0            0            0         0.52            0  
