SOLARTII_v1_Mass_Dihedral_5deg
T1-20.0 m/s-LLT-x0.6m-z0.0m
Freestream speed = 20.000 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0        -18.5            0     -0.70695      0.21273      0.18424     0.028483            0  -0.00031477     0.023834    -0.024148  -2.6429e-18  -1.3795e-18  -1.4054e-18   2.5872e-20      -3.3233      -2.7943            0      -181.85       54.719      -50.753            0      -174.78            0            0            0            0            0            0       19.152      -6.1727           20      -16.747  -3.8409e-15    -0.044888   -9.514e-16      0.61917            0            0      -104.57      -1180.9       1094.4      0.44386     -0.43773            0            0            0            0            0            0            0            0            0       19.502         0.55     0.017249  
          0          -18            0     -0.69239      0.20422      0.17715     0.027073            0   -0.0012054     0.022931    -0.024136  -1.9691e-18  -1.4519e-18  -1.6202e-18   1.6832e-19      -3.3904      -2.8211            0       -178.1       52.531      -48.413            0      -171.54            0            0            0            0            0            0       19.183      -6.1139           20      -16.433  -2.7993e-15      -0.1719  -1.4376e-15      0.61885            0            0       -102.5      -1169.7       1050.6      0.44793     -0.42849            0            0            0            0            0            0            0            0            0       19.502         0.55     0.017249  
          0        -17.5            0     -0.67795      0.19584      0.17011     0.025729            0   -0.0020945     0.022017    -0.024111  -6.9727e-19  -1.1833e-18  -1.7755e-18    5.922e-19      -3.4618      -2.8504            0      -174.39       50.375      -46.128            0      -168.31            0            0            0            0            0            0       19.214      -6.0512           20      -16.112  -7.4864e-16     -0.29868  -1.6716e-15      0.61847            0            0      -100.48      -1157.7       1007.5      0.45188     -0.41929            0            0            0            0            0            0            0            0            0       19.502         0.55     0.017249  
          0          -17            0     -0.66339       0.1879      0.16346     0.024441            0   -0.0028899     0.021145    -0.024035  -6.5628e-19  -1.3413e-18  -1.8949e-18   5.5357e-19      -3.5306      -2.8756            0      -170.64       48.333      -43.878            0      -165.02            0            0            0            0            0            0       19.243      -5.9982           20      -15.814  -7.1609e-16     -0.41211  -1.9375e-15      0.61811            0            0      -98.492      -1147.5       966.66      0.45547     -0.41004            0            0            0            0            0            0            0            0            0       19.502         0.55     0.017249  
          0        -16.5            0     -0.64873      0.18057      0.15739     0.023176            0    -0.003874     0.020353    -0.024227  -1.7714e-18  -1.8843e-18  -2.0502e-18   1.6587e-19      -3.5927      -2.8937            0      -166.87       46.448      -41.678            0      -161.69            0            0            0            0            0            0       19.268      -5.9607           20      -15.554  -2.5389e-15     -0.55244  -2.2695e-15      0.61743            0            0       -96.46      -1140.4       928.96      0.45934     -0.40055            0            0            0            0            0            0            0            0            0       19.502         0.55     0.017249  
          0          -16            0     -0.63384      0.17349      0.15154     0.021951            0   -0.0047986     0.019601      -0.0244  -2.3201e-18  -1.7584e-18  -1.7082e-18   -5.026e-20      -3.6534      -2.9086            0      -163.04       44.627      -39.513            0      -158.28            0            0            0            0            0            0        19.29        -5.93           20      -15.308  -3.4503e-15      -0.6843  -1.8232e-15      0.61679            0            0      -94.391      -1134.5       892.55      0.46297     -0.39095            0            0            0            0            0            0            0            0            0       19.502         0.55     0.017249  
          0        -15.5            0     -0.62097      0.16564      0.14483     0.020809            0   -0.0062602     0.018786    -0.025046  -3.5165e-18  -1.6858e-18  -1.4529e-18  -2.3286e-19       -3.749      -2.9543            0      -159.73       42.607      -37.528            0      -155.35            0            0            0            0            0            0       19.324      -5.8384           20      -14.935  -5.3056e-15     -0.89272  -1.2183e-15      0.61573            0            0      -92.552        -1117       852.13      0.46875     -0.38235            0            0            0            0            0            0            0            0            0       19.502         0.55     0.017249  
          0        -14.5            0     -0.60279      0.14985         0.13     0.019849            0   -0.0046353     0.016599    -0.021234  -6.5324e-18   -2.672e-18   -9.582e-19  -1.7138e-18      -4.0226      -3.1232            0      -155.05       38.546       -33.88            0      -151.39            0            0            0            0            0            0       19.409      -5.5227           20       -13.96  -1.0383e-14       -0.661  -1.5581e-15       0.6193            0            0      -91.973      -1056.6       770.91      0.46306     -0.37331            0            0            0            0            0            0            0            0            0       19.502         0.55     0.017249  
          0          -14            0     -0.59049      0.14221      0.12357     0.018644            0   -0.0054052     0.015718    -0.021123  -5.1269e-18  -2.2508e-18  -9.3593e-19  -1.3148e-18      -4.1523      -3.1907            0      -151.89        36.58      -32.092            0      -148.54            0            0            0            0            0            0       19.444      -5.4057           20      -13.541  -8.1374e-15      -0.7708  -1.5376e-15      0.61871            0            0      -90.423      -1034.2        731.6      0.47307     -0.36534            0            0            0            0            0            0            0            0            0       19.502         0.55     0.017249  
          0        -13.5            0     -0.58009      0.13405      0.11652     0.017528            0   -0.0063191     0.014745    -0.021064  -3.9511e-18  -2.0869e-18  -1.1322e-18  -9.5465e-19      -4.3274      -3.2959            0      -149.22       34.482       -30.45            0      -146.15            0            0            0            0            0            0       19.486      -5.2333           20      -13.012  -6.2495e-15     -0.90112  -1.7993e-15      0.61795            0            0      -89.234      -1001.2       689.64      0.48563     -0.35847            0            0            0            0            0            0            0            0            0       19.502         0.55     0.017249  
