SOLARTII_v1_Mass_Dihedral_2_5deg
T1-20.0 m/s-TriUniform-ThickSurf-x0.67m-z0.0m
Freestream speed = 20.000 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0         -7.5            0       -0.717      0.05503     0.042756     0.012274  -1.0422e-05    -0.025856     0.004519    -0.030375  -0.00072625  -1.3482e-05  -1.5847e-07  -1.3323e-05      -13.029      -11.033            0      -184.96       14.196      -21.003   -0.0026884      -183.79      -17.822      0.29952       -179.8            0            0            0       19.941      -1.5612           20      -4.3889      -1.1161      -3.6977      0.12591      0.63041    0.0057714     0.034905      -116.74      -298.67       283.92       1.0565     -0.45201            0            0            0            0            0            0            0            0            0       19.502         0.67     0.017249  
          0           -7            0     -0.66926       0.0325     0.021794     0.010706  -1.1196e-05    -0.022785    0.0018784    -0.024663  -0.00061645  -4.1162e-06  -8.4361e-08  -4.0319e-06      -20.593      -16.847            0      -172.64       8.3837      -18.299   -0.0028882      -171.69      -15.544      0.25594      -168.55            0            0            0       19.976      -1.0224           20      -2.7801     -0.94688      -3.2585      0.10985      0.63591    0.0052541     0.033796      -109.02       -195.6       167.67       1.0553     -0.42559            0            0            0            0            0            0            0            0            0       19.502         0.67     0.017249  
          0         -6.5            0     -0.62143      0.02831     0.019068    0.0092426  -1.1972e-05    -0.017665     0.001656    -0.019321  -0.00051515   2.7181e-06  -5.8584e-08   2.7767e-06      -21.951      -17.304            0      -160.31        7.303      -15.778   -0.0030884      -159.55      -13.414      0.21537      -157.15            0            0            0       19.979     -0.99537           20      -2.6084     -0.79097      -2.5264     0.094351      0.64141     0.004734     0.032395      -101.27      -190.43       146.06       1.0539     -0.39859            0            0            0            0            0            0            0            0            0       19.502         0.67     0.017249  
          0           -6            0     -0.57351     0.024734     0.016849    0.0078847  -1.2749e-05    -0.012879    0.0014715    -0.014351   -0.0004224   7.2841e-06  -4.1963e-08   7.3261e-06      -23.188       -17.56            0      -147.95       6.3804      -13.442   -0.0032889      -147.35      -11.432      0.17784      -145.58            0            0            0       19.981     -0.98084           20      -2.4694      -0.6484      -1.8419     0.079476      0.64693    0.0042113     0.030627      -93.486      -187.65       127.61       1.0522     -0.37102            0            0            0            0            0            0            0            0            0       19.502         0.67     0.017249  
          0         -5.5            0     -0.52552     0.021559     0.014926    0.0066334  -1.3528e-05   -0.0084605    0.0012924   -0.0097529  -0.00033828   9.8124e-06   -2.946e-08   9.8419e-06      -24.376      -17.671            0      -135.57       5.5615       -11.29   -0.0034896      -135.11       -9.598      0.14335      -133.87            0            0            0       19.983     -0.97469           20      -2.3492     -0.51921      -1.2099     0.065238      0.65248    0.0036857     0.028392      -85.675      -186.47       111.23       1.0502     -0.34289            0            0            0            0            0            0            0            0            0       19.502         0.67     0.017249  
          0           -5            0     -0.47746       0.0183     0.012811    0.0054895  -1.4307e-05   -0.0044331    0.0010962   -0.0055294  -0.00026283    1.054e-05  -1.0635e-08   1.0551e-05      -26.091      -18.028            0      -123.17       4.7208      -9.3241   -0.0036906      -122.82      -7.9136      0.11191      -122.01            0            0            0       19.985     -0.95537           20       -2.195     -0.40345     -0.63399     0.051658      0.65808    0.0031572     0.025549      -77.839      -182.78       94.416       1.0475     -0.31421            0            0            0            0            0            0            0            0            0       19.502         0.67     0.017249  
          0         -4.5            0     -0.42934     0.015729     0.011275    0.0044539  -1.5086e-05  -0.00070811   0.00097333   -0.0016814  -0.00019611   9.6756e-06  -6.5735e-09   9.6822e-06      -27.297      -17.886            0      -110.75       4.0574      -7.5443   -0.0038918       -110.5      -6.3789      0.08353      -110.01            0            0            0       19.987     -0.96298           20      -2.0981     -0.30114     -0.10127     0.038708      0.66374    0.0026255     0.021893       -69.98      -184.23       81.149       1.0439     -0.28497            0            0            0            0            0            0            0            0            0       19.502         0.67     0.017249  
          0           -4            0     -0.38116     0.013823     0.010296    0.0035273  -1.5866e-05    0.0026989   0.00090912    0.0017898  -0.00013816   7.4523e-06    -1.24e-08   7.4647e-06      -27.573      -17.023            0      -98.325        3.566      -5.9511    -0.004093      -98.149      -4.9945     0.058226      -97.864            0            0            0       19.987      -1.0118           20       -2.077     -0.21232      0.38597     0.026399      0.66952    0.0020901     0.017114        -62.1      -193.57       71.319       1.0389     -0.25519            0            0            0            0            0            0            0            0            0       19.502         0.67     0.017249  
          0         -3.5            0     -0.33293     0.012663    0.0099527    0.0027104  -1.6647e-05    0.0057796   0.00089646    0.0048832  -8.9027e-05   4.1223e-06  -7.1005e-09   4.1294e-06      -26.291       -15.17            0      -85.884       3.2666      -4.5452   -0.0042942      -85.766      -3.7607        0.036      -85.582            0            0            0       19.986      -1.1354           20      -2.1782     -0.13702      0.82656     0.014767      0.67546    0.0015503     0.010725      -54.202      -217.21       65.333       1.0315     -0.22488            0            0            0            0            0            0            0            0            0       19.502         0.67     0.017249  
          0           -3            0     -0.28465     0.011777    0.0097733    0.0020037  -1.7426e-05    0.0084916   0.00089378    0.0075979  -4.8728e-05  -1.0098e-07  -8.5959e-09  -9.2384e-08       -24.17      -12.896            0      -73.431        3.038      -3.3269   -0.0044954      -73.357      -2.6779     0.016861      -73.167            0            0            0       19.983      -1.3356           20      -2.3691    -0.075253       1.2144    0.0037875      0.68169    0.0010046    0.0019065      -46.288      -255.52       60.761         1.02     -0.19405            0            0            0            0            0            0            0            0            0       19.502         0.67     0.017249  
          0         -2.5            0     -0.23634     0.011244    0.0098363    0.0014077  -1.8206e-05     0.010842     0.000909     0.009933  -1.7291e-05  -4.9773e-06  -8.9596e-09  -4.9684e-06      -21.019      -10.219            0      -60.968       2.9006      -2.2966   -0.0046965      -60.926      -1.7464   0.00081337      -60.622            0            0            0       19.977      -1.6855           20      -2.7238    -0.027046       1.5505    -0.006523      0.68838   0.00045029    -0.010833       -38.36      -322.46       58.011       1.0009     -0.16269            0            0            0            0            0            0            0            0            0       19.502         0.67     0.017249  
          0           -2            0       -0.188     0.010866    0.0099434   0.00092296  -1.8985e-05     0.012813   0.00092559     0.011888   5.2685e-06  -1.0277e-05  -1.0566e-08  -1.0266e-05      -17.301      -7.5018            0      -48.498       2.8031      -1.4546   -0.0048975      -48.477     -0.96656    -0.012138      -47.952            0            0            0       19.967      -2.2959           20      -3.3079    0.0075878       1.8325    -0.016165      0.69592   -0.0001182     -0.03052      -30.422      -439.25       56.062      0.96595     -0.13084            0            0            0            0            0            0            0            0            0       19.502         0.67     0.017249  
          0         -1.5            0     -0.13964     0.010666     0.010117   0.00054964  -1.9763e-05     0.014408   0.00094575     0.013462    1.894e-05  -1.5784e-05  -3.1819e-08  -1.5752e-05      -13.091       -4.892            0      -36.022       2.7516      -0.8012   -0.0050982      -36.013     -0.33858    -0.021988       -35.16            0            0            0       19.942      -3.5208           20      -4.3681     0.028639       2.0604    -0.025165      0.70527  -0.00071448    -0.064371      -22.474      -673.58       55.031      0.89482    -0.098482            0            0            0            0            0            0            0            0            0       19.502         0.67     0.017249  
          0           -1            0    -0.091256     0.010598      0.01031   0.00028804   -2.054e-05     0.015621   0.00096655     0.014654    2.372e-05  -2.1224e-05  -3.0735e-08  -2.1194e-05      -8.6111      -2.6013            0      -23.541       2.7338     -0.33655   -0.0052986      -23.539      0.13735    -0.028735       -22.25            0            0            0       19.866      -6.6212           20      -6.6241     0.036101        2.234    -0.033455      0.71932   -0.0013812     -0.13492      -14.521      -1266.7       54.676      0.72926    -0.065642            0            0            0            0            0            0            0            0            0       19.502         0.67     0.017249  
          0         -0.5            0    -0.042863     0.010649     0.010511    0.0001383  -2.1316e-05     0.016452   0.00098672     0.015465   1.9613e-05  -2.6382e-05  -2.4733e-08  -2.6358e-05      -4.0251     -0.83334            0      -11.057        2.747    -0.060817   -0.0054987      -11.057      0.46109    -0.032376      -9.2267            0            0            0        19.41      -20.668           20      -13.952     0.029971       2.3528    -0.041058      0.75418   -0.0023543     -0.36645      -6.5636      -3954.1       54.941      0.33509    -0.032327            0            0            0            0            0            0            0            0            0       19.502         0.67     0.017249  
