SOLARTII_v1_Mass_Dihedral_0deg
T1-20.0 m/s-TriUniform-ThickSurf-x0.75m-z0.0m
Freestream speed = 20.000 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0         -7.5            0     -0.72322     0.058663     0.045796     0.012868   2.5498e-06      -0.1586   -0.0016796     -0.15692   -0.0001097  -2.5219e-05   -2.782e-07  -2.4941e-05      -12.328      -10.484            0      -186.74       15.147      -21.081   0.00065838      -185.58      -16.935    0.0047929      -171.04            0            0            0       19.935       -1.642           20      -4.6373     -0.17354      -22.703    -0.016553      0.56348   0.00087682    -0.020323      -118.31      -314.14       302.95       1.0243     -0.40752            0            0            0            0            0            0            0            0            0       19.502         0.75     0.017249  
          0           -7            0     -0.67494     0.033307     0.022131     0.011176   2.7418e-07     -0.13927  -0.00097053     -0.13829  -7.7641e-05  -1.2685e-05  -2.0105e-07  -1.2484e-05      -20.264      -16.648            0      -174.28       8.6003      -18.375   7.0795e-05      -173.33      -14.934     0.014068      -161.97            0            0            0       19.976      -1.0341           20      -2.8252     -0.12175      -19.936    -0.004846      0.58029   0.00066007    -0.021793      -110.43      -197.84       172.01       1.0271     -0.39166            0            0            0            0            0            0            0            0            0       19.502         0.75     0.017249  
          0         -6.5            0     -0.62657     0.028925      0.01932    0.0096045  -2.0008e-06     -0.12166  -0.00081405     -0.12085  -5.0657e-05  -2.9961e-06  -1.6815e-07  -2.8279e-06      -21.662      -17.147            0      -161.79       7.4687      -15.851  -0.00051662      -161.03      -13.042     0.020883      -152.45            0            0            0       19.979       -1.004           20      -2.6431    -0.078472      -17.415    0.0042724      0.59669   0.00045868    -0.023533      -102.51      -192.08       149.37         1.03     -0.37387            0            0            0            0            0            0            0            0            0       19.502         0.75     0.017249  
          0           -6            0     -0.57811     0.025161     0.017009    0.0081528  -4.2743e-06     -0.10526  -0.00068868     -0.10458   -2.882e-05   4.0599e-06  -9.9692e-08   4.1596e-06      -22.976       -17.47            0      -149.27       6.4969       -13.51   -0.0011037      -148.68      -11.261     0.025236      -142.49            0            0            0       19.981     -0.98545           20      -2.4921    -0.043732      -15.068     0.010923      0.61258     0.000277     -0.02561      -94.565      -188.53       129.94        1.033     -0.35414            0            0            0            0            0            0            0            0            0       19.502         0.75     0.017249  
          0         -5.5            0     -0.52958     0.021849     0.015027    0.0068225  -6.5458e-06    -0.090075  -0.00058783    -0.089487  -1.2202e-05   8.5417e-06  -7.2488e-08   8.6141e-06      -24.238      -17.638            0      -136.74       5.6417      -11.353   -0.0016902      -136.28      -9.5905     0.027126       -132.1            0            0            0       19.983     -0.97603           20      -2.3626    -0.017538      -12.894     0.014984      0.62781   0.00012093    -0.028117      -86.588      -186.73       112.83       1.0359     -0.33248            0            0            0            0            0            0            0            0            0       19.502         0.75     0.017249  
          0           -5            0     -0.48097     0.018486     0.012871    0.0056145  -8.8145e-06     -0.07607  -0.00048283    -0.075587  -8.6784e-07   1.0632e-05  -4.0489e-08   1.0673e-05      -26.018      -18.044            0      -124.19       4.7733      -9.3798    -0.002276      -123.84      -8.0313     0.026552      -121.27            0            0            0       19.985     -0.95408           20      -2.2011   0.00010174      -10.889     0.016527      0.64222  -1.2632e-06    -0.031187      -78.584      -182.53       95.465       1.0383     -0.30889            0            0            0            0            0            0            0            0            0       19.502         0.75     0.017249  
          0         -4.5            0      -0.4323     0.015825     0.011295    0.0045297   -1.108e-05    -0.063275  -0.00039756    -0.062878   5.1207e-06   1.0458e-05  -1.6718e-08   1.0475e-05      -27.317      -17.961            0      -111.62       4.0862      -7.5919   -0.0028609      -111.37      -6.5838     0.023514      -110.01            0            0            0       19.987     -0.95849           20      -2.0965    0.0091822      -9.0577      0.01553      0.65551  -7.7592e-05    -0.035009      -70.557      -183.37       81.724       1.0397     -0.28338            0            0            0            0            0            0            0            0            0       19.502         0.75     0.017249  
          0           -4            0     -0.38357     0.013866     0.010297    0.0035688  -1.3341e-05      -0.0517  -0.00033591    -0.051364    5.706e-06   8.1551e-06  -5.9457e-09   8.1611e-06      -27.663      -17.132            0      -99.042       3.5803      -5.9896   -0.0034448      -98.865      -5.2485     0.018013      -98.318            0            0            0       19.987      -1.0048           20      -2.0703    0.0097005      -7.4007     0.011987       0.6673  -9.0016e-05    -0.039872      -62.507      -192.24       71.607       1.0389     -0.25596            0            0            0            0            0            0            0            0            0       19.502         0.75     0.017249  
          0         -3.5            0     -0.33479     0.012684     0.009951    0.0027325  -1.5597e-05    -0.041352  -0.00030315    -0.041049   8.3436e-07   3.8694e-06  -4.0252e-09   3.8735e-06      -26.396      -15.273            0      -86.447        3.275      -4.5732   -0.0040274      -86.329      -4.0259     0.010052      -86.202            0            0            0       19.986      -1.1272           20      -2.1696    0.0016566      -5.9195    0.0059047      0.67693  -9.9959e-06    -0.046231      -54.438      -215.65         65.5       1.0337     -0.22663            0            0            0            0            0            0            0            0            0       19.502         0.75     0.017249  
          0           -3            0     -0.28597     0.011787     0.009766    0.0020214  -1.7848e-05    -0.032215  -0.00027921    -0.031936  -9.5436e-06  -2.2364e-06   7.6574e-09   -2.244e-06      -24.261      -12.974            0      -73.841       3.0436      -3.3433   -0.0046085      -73.767      -2.9162  -0.00036913      -73.666            0            0            0       19.983      -1.3269           20      -2.3603    -0.014947      -4.6116   -0.0026861      0.68334   0.00021047    -0.054855      -46.352      -253.86       60.872       1.0195     -0.19542            0            0            0            0            0            0            0            0            0       19.502         0.75     0.017249  
