SOLARTII_v1_Mass_Dihedral_2_5deg_sweep_25deg
T1-20.0 m/s-TriUniform-ThinSurf-x0.83m-z0.0m
Freestream speed = 20.000 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0         -8.5            0     -0.72583     0.067731     0.055026     0.012705  -1.2275e-06     0.043268    0.0086251     0.034643   5.6817e-08  -2.0301e-07   9.6047e-09  -2.1261e-07      -10.716        -9.13            0      -187.24       17.472      -24.434  -0.00031666      -185.67       3.6196  -0.00034835      -149.32            0            0            0       19.913      -1.8865           20      -5.3311   3.8297e-05       6.1878  -0.00032346      0.67819    2.119e-07     0.047939      -118.26      -360.91       349.44        1.046     -0.49225            0            0            0            0            0            0            0            0            0       19.502         0.83     0.017249  
          0           -8            0      -0.6838      0.03401     0.022722     0.011288   -1.253e-06     0.036731    0.0022915     0.034439   6.8838e-08  -2.0505e-07    1.076e-08  -2.1581e-07      -20.106      -16.626            0      -176.39       8.7735      -21.666  -0.00032322      -175.08       3.4169  -0.00035931      -140.59            0            0            0       19.975       -1.036           20      -2.8474   5.8966e-05       5.2529   -0.0003288      0.68019   1.2209e-07     0.047941      -111.52       -198.2       175.47       1.0448     -0.46511            0            0            0            0            0            0            0            0            0       19.502         0.83     0.017249  
          0         -7.5            0     -0.64167     0.029956     0.020004    0.0099513  -1.2784e-06     0.036235    0.0019937     0.034241   8.0757e-08  -2.0702e-07   1.1968e-08  -2.1899e-07      -21.421      -17.159            0      -165.53       7.7275      -19.061  -0.00032977      -164.45        3.212  -0.00036981      -131.81            0            0            0       19.978      -1.0038           20      -2.6728   7.9608e-05        5.182  -0.00033367      0.68214   1.9796e-08      0.04792      -104.74      -192.04       154.55       1.0436     -0.43771            0            0            0            0            0            0            0            0            0       19.502         0.83     0.017249  
          0           -7            0     -0.59947     0.026591     0.017895    0.0086958  -1.3036e-06     0.035835    0.0017869     0.034048   9.2573e-08  -2.0939e-07   1.2748e-08  -2.2214e-07      -22.544      -17.455            0      -154.64       6.8595       -16.62  -0.00033629      -153.76       3.0049  -0.00037985      -122.99            0            0            0        19.98     -0.98676           20      -2.5398   0.00010022       5.1248  -0.00033881      0.68407  -9.7588e-08     0.047873      -97.928      -188.78       137.19       1.0424     -0.41008            0            0            0            0            0            0            0            0            0       19.502         0.83     0.017249  
          0         -6.5            0     -0.55719     0.023701     0.016179    0.0075222  -1.3289e-06     0.035461    0.0016001     0.033861   1.0429e-07   -2.116e-07   1.3659e-08  -2.2526e-07      -23.509      -17.548            0      -143.74       6.1141      -14.343   -0.0003428      -143.03       2.7958  -0.00038943      -114.12            0            0            0       19.982      -0.9815           20      -2.4357   0.00012079       5.0713  -0.00034336      0.68599  -2.3348e-07     0.047795      -91.091      -187.78       122.28        1.041     -0.38223            0            0            0            0            0            0            0            0            0       19.502         0.83     0.017249  
          0           -6            0     -0.51484     0.020845     0.014413    0.0064315   -1.354e-06     0.035071    0.0013921     0.033679   1.1589e-07  -2.1433e-07   1.4026e-08  -2.2836e-07      -24.699      -17.722            0      -132.81       5.3772      -12.233  -0.00034928      -132.26       2.5846  -0.00039855      -105.22            0            0            0       19.984     -0.97187           20      -2.3185   0.00014132       5.0156  -0.00034834      0.68791  -3.9242e-07      0.04768      -84.229      -185.93       107.54       1.0395     -0.35416            0            0            0            0            0            0            0            0            0       19.502         0.83     0.017249  
          0         -5.5            0     -0.47243     0.017922     0.012498    0.0054244   -1.379e-06     0.034677    0.0011744     0.033503    1.274e-07  -2.1838e-07   1.3044e-08  -2.3142e-07       -26.36      -18.118            0      -121.87       4.6232      -10.288  -0.00035573      -121.44       2.3714   -0.0004072       -96.29            0            0            0       19.986     -0.95061           20      -2.1725   0.00016179       4.9592  -0.00035501      0.68985   -5.806e-07      0.04752      -77.342      -181.87       92.465       1.0378     -0.32591            0            0            0            0            0            0            0            0            0       19.502         0.83     0.017249  
          0           -5            0     -0.42996     0.015716     0.011215    0.0045015  -1.4039e-06      0.03438     0.001048     0.033332    1.388e-07  -2.2242e-07   1.2028e-08  -2.3445e-07      -27.357      -17.938            0      -110.91       4.0543        -8.51  -0.00036215      -110.59       2.1564  -0.00041538      -87.326            0            0            0       19.987     -0.96015           20      -2.0934   0.00018221       4.9167  -0.00036133      0.69186  -8.0665e-07     0.047304      -70.434      -183.69       81.086       1.0359     -0.29747            0            0            0            0            0            0            0            0            0       19.502         0.83     0.017249  
          0         -4.5            0     -0.38744     0.013992     0.010328    0.0036636  -1.4287e-06      0.03414    0.0009735     0.033167   1.5009e-07  -2.2571e-07   1.1734e-08  -2.3745e-07       -27.69      -17.235            0      -99.945       3.6094      -6.8994  -0.00036855      -99.711       1.9395  -0.00042309      -78.332            0            0            0       19.987     -0.99931           20      -2.0683   0.00020256       4.8825  -0.00036615      0.69398   -1.083e-06     0.047015      -63.507      -191.18       72.188       1.0335     -0.26887            0            0            0            0            0            0            0            0            0       19.502         0.83     0.017249  
          0           -4            0     -0.34486     0.012908     0.009997    0.0029111  -1.4534e-06     0.033961    0.0009532     0.033007   1.6128e-07  -2.2929e-07    1.111e-08   -2.404e-07      -26.717       -15.69            0      -88.963       3.3298      -5.4566  -0.00037491      -88.798       1.7208  -0.00043032      -69.312            0            0            0       19.986      -1.0978           20      -2.1435   0.00022284       4.8568  -0.00037108      0.69629  -1.4283e-06     0.046628      -56.562      -210.02       66.596       1.0305     -0.24013            0            0            0            0            0            0            0            0            0       19.502         0.83     0.017249  
          0         -3.5            0     -0.30225     0.011993    0.0097483    0.0022446  -1.4779e-06      0.03379   0.00093625     0.032854   1.7236e-07  -2.3302e-07   1.0293e-08  -2.4331e-07      -25.202      -13.856            0       -77.97       3.0938       -4.182  -0.00038124       -77.86       1.5005  -0.00043708       -60.27            0            0            0       19.984      -1.2431           20      -2.2722   0.00024305       4.8324  -0.00037591      0.69891  -1.8717e-06     0.046105      -49.601      -237.82       61.875       1.0266     -0.21125            0            0            0            0            0            0            0            0            0       19.502         0.83     0.017249  
          0           -3            0      -0.2596     0.011455    0.0097901    0.0016646  -1.5023e-06      0.03365   0.00094398     0.032706   1.8333e-07  -2.3677e-07   9.4062e-09  -2.4617e-07      -22.663      -11.547            0      -66.968       2.9549       -3.076  -0.00038754      -66.899       1.2785  -0.00044336      -51.206            0            0            0       19.981      -1.4916           20      -2.5265   0.00026318       4.8124  -0.00038045      0.70202  -2.4615e-06     0.045382      -42.628      -285.36       59.098       1.0212     -0.18225            0            0            0            0            0            0            0            0            0       19.502         0.83     0.017249  
          0         -2.5            0     -0.21692     0.011025    0.0098536    0.0011713  -1.5265e-06     0.033516    0.0009515     0.032564    1.942e-07  -2.3992e-07   9.0718e-09  -2.4899e-07      -19.676      -9.1639            0      -55.958        2.844       -2.139  -0.00039379      -55.918       1.0549  -0.00044916      -42.125            0            0            0       19.974      -1.8795           20      -2.9095   0.00028321       4.7931  -0.00038373      0.70599   -3.284e-06     0.044344      -35.643      -359.58        56.88       1.0133     -0.15314            0            0            0            0            0            0            0            0            0       19.502         0.83     0.017249  
          0           -2            0     -0.17421      0.01075    0.0099846   0.00076514  -1.5506e-06     0.033391    0.0009624     0.032428   2.0496e-07  -2.4337e-07   8.3856e-09  -2.5176e-07      -16.206      -6.7644            0      -44.941       2.7731      -1.3712  -0.00040001      -44.921      0.82986  -0.00045447       -33.03            0            0            0       19.962      -2.5462           20      -3.5309   0.00030315       4.7752  -0.00038716      0.71151  -4.5105e-06     0.042766       -28.65      -487.13       55.461       1.0005     -0.12395            0            0            0            0            0            0            0            0            0       19.502         0.83     0.017249  
          0         -1.5            0     -0.13149     0.010588     0.010142   0.00044629  -1.5746e-06     0.033271   0.00097292     0.032298   2.1562e-07   -2.474e-07   7.0742e-09  -2.5447e-07      -12.419      -4.5031            0      -33.919       2.7313     -0.77281  -0.00040619      -33.911      0.60338  -0.00045931      -23.921            0            0            0       19.935      -3.8248           20      -4.6038     0.000323       4.7581  -0.00039115      0.72017  -6.5347e-06     0.040126      -21.649      -731.74       54.627      0.97715    -0.094693            0            0            0            0            0            0            0            0            0       19.502         0.83     0.017249  
          0           -1            0    -0.088747     0.010531     0.010316   0.00021495  -1.5984e-06     0.033157     0.000983     0.032174   2.2617e-07  -2.5104e-07   6.0915e-09  -2.5713e-07       -8.427      -2.5104            0      -22.894       2.7167     -0.34411  -0.00041232      -22.891      0.37553  -0.00046365      -14.804            0            0            0       19.861      -6.8608           20      -6.7674   0.00034273       4.7418  -0.00039423      0.73664  -1.0509e-05     0.034901      -14.644      -1312.6       54.334      0.92424    -0.065375            0            0            0            0            0            0            0            0            0       19.502         0.83     0.017249  
          0         -0.5            0    -0.045997     0.010565     0.010493   7.1203e-05  -1.6219e-06     0.033048   0.00099185     0.032056   2.3661e-07  -2.5574e-07    3.985e-09  -2.5973e-07      -4.3539     -0.93378            0      -11.866       2.7253    -0.085179   -0.0004184      -11.865      0.14638  -0.00046752      -5.6798            0            0            0       19.492      -18.445           20      -12.935   0.00036235       4.7262  -0.00039864        0.783  -2.1871e-05     0.019899      -7.6362      -3528.8       54.506       0.7495    -0.036016            0            0            0            0            0            0            0            0            0       19.502         0.83     0.017249  
          0            0            0   -0.0032441     0.010692     0.010677   1.5103e-05  -1.6454e-06     0.032945    0.0010006     0.031944   2.4695e-07  -2.6685e-07  -4.5845e-09  -2.6227e-07     -0.30342    -0.017282            0     -0.83686       2.7581     0.003896  -0.00042444     -0.83686     -0.08398  -0.00047089       3.4482            0            0            0        5.807      -996.62           20      -73.121   0.00038186       4.7115  -0.00041263        2.044  -0.00033269     -0.39115     -0.62796  -1.9067e+05       55.161     0.017577    -0.006631            0            0            0            0            0            0            0            0            0       19.502         0.83     0.017249  
          0          0.5            0     0.039507     0.010917      0.01087   4.6615e-05  -1.6686e-06     0.032847    0.0010093     0.031838   2.5718e-07  -2.7152e-07  -6.7806e-09  -2.6474e-07        3.619      0.71932       5.0311       10.191       2.8161    -0.076911  -0.00043044       10.191      -0.3155  -0.00047377       12.577            0            0            0       19.278       23.944           20       15.447   0.00040123       4.6976  -0.00041637       0.5762   2.9169e-05     0.087431       6.3789       4580.9       56.322      0.84456     0.022764            0            0            0            0            0            0            0            0            0       19.502         0.83     0.017249  
          0            1            0      0.08225     0.011227     0.011061   0.00016564  -1.6916e-06     0.032755    0.0010172     0.031738    2.673e-07  -2.7515e-07  -7.9958e-09  -2.6715e-07       7.3262       2.1011       3.4868       21.218       2.8961     -0.32757  -0.00043638       21.215     -0.54809  -0.00047617       21.705            0            0            0       19.816       8.1974           20       7.7726   0.00042048       4.6844  -0.00041818      0.63408   1.4898e-05     0.068561       13.382       1568.3       57.923       1.0302     0.052153            0            0            0            0            0            0            0            0            0       19.502         0.83     0.017249  
          0          1.5            0      0.12498     0.011644     0.011272   0.00037202  -1.7144e-06      0.03267    0.0010258     0.031645   2.7733e-07  -2.7903e-07   -9.535e-09  -2.6949e-07       10.734       3.7947       2.8287        32.24       3.0036     -0.74802  -0.00044226       32.232      -0.7817  -0.00047807       30.827            0            0            0       19.914       4.5389           20       5.3225   0.00043959       4.6722  -0.00042009      0.65227   1.0386e-05     0.062593       20.378       868.36       60.073       1.0591     0.081521            0            0            0            0            0            0            0            0            0       19.502         0.83     0.017249  
          0            2            0      0.16769     0.012141     0.011476   0.00066553  -1.7371e-06      0.03259    0.0010333     0.031557   2.8724e-07  -2.8239e-07  -1.0624e-08  -2.7176e-07       13.812       5.6559        2.442       43.258        3.132      -1.3381   -0.0004481       43.238      -1.0162  -0.00047949       39.943            0            0            0       19.948       3.0453           20       4.1412   0.00045856       4.6608  -0.00042089      0.66105   8.1732e-06     0.059658       27.367       582.61       62.641       1.0658      0.11085            0            0            0            0            0            0            0            0            0       19.502         0.83     0.017249  
          0          2.5            0      0.21038     0.012712     0.011666    0.0010459  -1.7595e-06     0.032515    0.0010392     0.031476   2.9706e-07  -2.8458e-07  -1.0617e-08  -2.7396e-07        16.55       7.5908       2.1802        54.27       3.2793      -2.0977  -0.00045388        54.23      -1.2517  -0.00048041       49.049            0            0            0       19.964        2.269           20       3.4579   0.00047738         4.65  -0.00041959      0.66609    6.858e-06     0.057904       34.345        434.1       65.585       1.0674      0.14013            0            0            0            0            0            0            0            0            0       19.502         0.83     0.017249  
          0            3            0      0.25304     0.013358     0.011846    0.0015127  -1.7816e-06     0.032445    0.0010441     0.031401   3.0677e-07  -2.8692e-07  -1.0831e-08  -2.7609e-07       18.942       9.5283        1.988       65.274        3.446      -3.0265   -0.0004596       65.205      -1.4879  -0.00048084       58.141            0            0            0       19.972       1.8076           20        3.022   0.00049605         4.64  -0.00041823      0.66924   5.9859e-06     0.056729       41.311       345.82        68.92       1.0676      0.16934            0            0            0            0            0            0            0            0            0       19.502         0.83     0.017249  
          0          3.5            0      0.29566     0.014088     0.012023    0.0020655  -1.8036e-06      0.03238    0.0010483     0.031332   3.1638e-07  -2.8957e-07  -1.1439e-08  -2.7813e-07       20.986       11.411       1.8391       76.269       3.6342      -4.1243  -0.00046526       76.159      -1.7248  -0.00048078       67.218            0            0            0       19.977       1.5094           20       2.7281   0.00051456       4.6308  -0.00041707      0.67128   5.3649e-06      0.05588       48.263       288.76       72.684       1.0675      0.19847            0            0            0            0            0            0            0            0            0       19.502         0.83     0.017249  
          0            4            0      0.33824     0.014938     0.012234    0.0027039  -1.8253e-06     0.032325    0.0010552     0.031269   3.2588e-07  -2.9148e-07  -1.1381e-08   -2.801e-07       22.643       13.169       1.7194       87.253       3.8535      -5.3907  -0.00047086       87.089      -1.9624  -0.00048022       76.277            0            0            0       19.981       1.3079           20       2.5288    0.0005329       4.6228  -0.00041447       0.6726   4.8998e-06     0.055231       55.198       250.23        77.07       1.0672       0.2275            0            0            0            0            0            0            0            0            0       19.502         0.83     0.017249  
          0          4.5            0      0.38077     0.015872     0.012445    0.0034273  -1.8467e-06     0.032276    0.0010623     0.031213   3.3529e-07  -2.9359e-07  -1.1604e-08  -2.8198e-07        23.99       14.803       1.6206       98.226       4.0945      -6.8253  -0.00047639       97.992      -2.2006  -0.00047918       85.315            0            0            0       19.983       1.1635           20        2.387   0.00055108       4.6158   -0.0004119       0.6734   4.5381e-06     0.054711       62.114       222.59       81.889       1.0671      0.25641            0            0            0            0            0            0            0            0            0       19.502         0.83     0.017249  
          0            5            0      0.42325     0.016847     0.012612     0.004235  -1.8679e-06     0.032229    0.0010661     0.031163    3.446e-07  -2.9496e-07  -1.1178e-08  -2.8378e-07       25.123       16.345       1.5371       109.18       4.3459      -8.4277  -0.00048186       108.86      -2.4392  -0.00047764       94.329            0            0            0       19.984       1.0538           20       2.2794   0.00056907       4.6092  -0.00040793      0.67382   4.2485e-06     0.054281        69.01        201.6       86.919        1.067       0.2852            0            0            0            0            0            0            0            0            0       19.502         0.83     0.017249  
          0          5.5            0      0.46568     0.017881     0.012754    0.0051264  -1.8889e-06     0.032188    0.0010682      0.03112    3.538e-07  -2.9668e-07  -1.1184e-08   -2.855e-07       26.044       17.772       1.4654       120.13       4.6126      -10.197  -0.00048727        119.7      -2.6784  -0.00047561       103.32            0            0            0       19.985      0.96913           20       2.1989   0.00058689       4.6033  -0.00040421      0.67394   4.0111e-06     0.053913       75.882       185.41       92.252        1.067      0.31384            0            0            0            0            0            0            0            0            0       19.502         0.83     0.017249  
