SOLARTII_v1_Mass_Dihedral_5deg_sweep_35deg
T1-20.0 m/s-TriUniform-ThinSurf-x1.03m-z0.0m
Freestream speed = 20.000 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0           -9            0      -0.7114     0.051367     0.038339     0.013027  -1.3887e-06      0.04913     0.012604     0.036526   1.8019e-07   -2.977e-07    1.581e-08  -3.1351e-07      -13.849      -11.681            0      -182.99       13.213      -25.316  -0.00035721      -181.26       3.4939  -0.00040204      -146.66            0            0            0       19.948      -1.4766           20      -4.1299   0.00019823       7.0061  -0.00049541      0.83872   -2.691e-07     0.092758      -116.06      -282.49       264.26      0.98269     -0.59666            0            0            0            0            0            0            0            0            0       19.502         1.03    0.0018594  
          0         -8.5            0     -0.67253     0.033683     0.022026     0.011657  -1.3998e-06     0.041725    0.0055638     0.036161   1.8238e-07  -3.0276e-07   1.4349e-08  -3.1711e-07      -19.966      -16.374            0      -172.99       8.6642      -22.604  -0.00036006      -171.54       3.3111  -0.00040622      -138.55            0            0            0       19.975      -1.0534           20      -2.8672   0.00020526       5.9501  -0.00050183      0.84075  -3.1612e-07     0.092807       -109.8      -201.53       173.28      0.98149     -0.56542            0            0            0            0            0            0            0            0            0       19.502         1.03    0.0018594  
          0           -8            0     -0.63357     0.030049      0.01969     0.010359  -1.4107e-06     0.040747    0.0049393     0.035808   1.8447e-07  -3.0671e-07   1.3957e-08  -3.2067e-07      -21.085      -16.783            0      -162.97       7.7294      -20.043  -0.00036286      -161.76       3.1261  -0.00041024      -130.41            0            0            0       19.978      -1.0277           20      -2.7154   0.00021225       5.8107  -0.00050645      0.84269  -3.6912e-07     0.092823       -103.5      -196.62       154.59      0.98023      -0.5339            0            0            0            0            0            0            0            0            0       19.502         1.03    0.0018594  
          0         -7.5            0     -0.59454     0.026908     0.017774    0.0091341  -1.4214e-06     0.039918     0.004453     0.035465   1.8646e-07  -3.1027e-07   1.3902e-08  -3.2417e-07      -22.095      -17.037            0      -152.93       6.9215      -17.632  -0.00036562      -151.93        2.939  -0.00041412      -122.22            0            0            0        19.98      -1.0124           20      -2.5914   0.00021918       5.6924  -0.00051037      0.84455  -4.2928e-07     0.092801      -97.182      -193.69       138.43       0.9789     -0.50212            0            0            0            0            0            0            0            0            0       19.502         1.03    0.0018594  
          0           -7            0     -0.55543       0.0242     0.016217    0.0079836  -1.4319e-06     0.039171    0.0040386     0.035133   1.8836e-07  -3.1433e-07   1.3284e-08  -3.2761e-07      -22.951      -17.105            0      -142.87       6.2249      -15.373  -0.00036832      -142.06       2.7499  -0.00041784      -114.01            0            0            0       19.981      -1.0084           20      -2.4948   0.00022605        5.586  -0.00051497      0.84633  -4.9809e-07     0.092736      -90.838      -192.92        124.5      0.97747     -0.47008            0            0            0            0            0            0            0            0            0       19.502         1.03    0.0018594  
          0         -6.5            0     -0.51625     0.021485     0.014577    0.0069082  -1.4422e-06     0.038385    0.0035737     0.034812   1.9016e-07  -3.1771e-07   1.3282e-08    -3.31e-07      -24.028      -17.264            0      -132.79       5.5266      -13.267  -0.00037098      -132.14       2.5588   -0.0004214      -105.76            0            0            0       19.983     -0.99906           20      -2.3831   0.00023287       5.4739  -0.00051844      0.84804  -5.7753e-07      0.09262      -84.471      -191.14       110.53       0.9759      -0.4378            0            0            0            0            0            0            0            0            0       19.502         1.03    0.0018594  
          0           -6            0     -0.47701     0.018684     0.012775    0.0059085  -1.4523e-06     0.037567    0.0030658     0.034502   1.9186e-07  -3.2187e-07    1.245e-08  -3.3432e-07       -25.53      -17.633            0       -122.7        4.806      -11.314  -0.00037358      -122.19       2.3658  -0.00042481       -97.48            0            0            0       19.985     -0.97819           20      -2.2431   0.00023964       5.3572  -0.00052299       0.8497  -6.7023e-07     0.092445      -78.085      -187.14        96.12      0.97415     -0.40531            0            0            0            0            0            0            0            0            0       19.502         1.03    0.0018594  
          0         -5.5            0     -0.43771     0.016424     0.011438    0.0049853  -1.4622e-06     0.036909    0.0027066     0.034203   1.9347e-07  -3.2621e-07    1.137e-08  -3.3758e-07      -26.651      -17.632            0      -112.59       4.2246      -9.5149  -0.00037613       -112.2       2.1709  -0.00042807      -89.176            0            0            0       19.986     -0.97822           20      -2.1488   0.00024634       5.2634  -0.00052774       0.8513  -7.7974e-07     0.092198      -71.681      -187.15       84.492      0.97215     -0.37262            0            0            0            0            0            0            0            0            0       19.502         1.03    0.0018594  
          0           -5            0     -0.39836     0.014688     0.010549    0.0041392   -1.472e-06      0.03642    0.0025052     0.033915   1.9498e-07  -3.2968e-07   1.1091e-08  -3.4077e-07      -27.121      -17.118            0      -102.47       3.7782        -7.87  -0.00037863      -102.17       1.9742  -0.00043117      -80.847            0            0            0       19.986      -1.0076           20      -2.1116   0.00025297       5.1936  -0.00053107      0.85288  -9.1107e-07     0.091861       -65.26      -192.77       75.563      0.96979     -0.33975            0            0            0            0            0            0            0            0            0       19.502         1.03    0.0018594  
          0         -4.5            0     -0.35895     0.013505     0.010134    0.0033707  -1.4815e-06     0.036052    0.0024135     0.033638    1.964e-07  -3.3342e-07   1.0472e-08  -3.4389e-07      -26.579      -15.924            0      -92.332       3.4738      -6.3799  -0.00038107      -92.116       1.7757  -0.00043411      -72.498            0            0            0       19.986      -1.0831           20      -2.1546   0.00025955       5.1411  -0.00053473      0.85446  -1.0714e-06     0.091408      -58.825      -207.22       69.477      0.96693     -0.30671            0            0            0            0            0            0            0            0            0       19.502         1.03    0.0018594  
          0           -4            0     -0.31951     0.012539    0.0098589    0.0026805  -1.4908e-06     0.035735    0.0023619     0.033373   1.9773e-07  -3.3712e-07   9.8182e-09  -3.4694e-07       -25.48      -14.403            0      -82.186       3.2255      -5.0452  -0.00038346      -82.034       1.5756  -0.00043689      -64.129            0            0            0       19.985      -1.1976           20      -2.2475   0.00026605       5.0959  -0.00053826      0.85608  -1.2714e-06     0.090802      -52.377      -229.11        64.51      0.96336     -0.27352            0            0            0            0            0            0            0            0            0       19.502         1.03    0.0018594  
          0         -3.5            0     -0.28002     0.011866    0.0097973     0.002069  -1.4998e-06     0.035471    0.0023511      0.03312   1.9896e-07  -3.4063e-07   9.2834e-09  -3.4991e-07      -23.598      -12.487            0      -72.029       3.0523      -3.8661   -0.0003858      -71.927       1.3738  -0.00043951      -55.744            0            0            0       19.982      -1.3813           20      -2.4265   0.00027249       5.0582  -0.00054142       0.8578   -1.528e-06     0.089982       -45.92      -264.25       61.047      0.95869      -0.2402            0            0            0            0            0            0            0            0            0       19.502         1.03    0.0018594  
