SOLARTII_v1_Mass_Dihedral_0deg_sweep_35deg
T1-20.0 m/s-VLM1-x1.03m-z0.0m
Freestream speed = 20.000 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0           -8            0     -0.64037     0.030103     0.020213    0.0098906  -7.7843e-07     0.023507   0.00068717      0.02282  -3.7169e-07  -2.3613e-07  -7.0419e-08  -1.6571e-07      -21.272      -17.023            0      -165.35        7.773      -20.483    -0.000201       -164.1      -23.003  -0.00018594      -163.67            0            0            0       19.978      -1.0113           20      -2.6915  -0.00060597        3.365  -0.00028212       1.0498   3.8874e-06    0.0037754      -105.76      -193.48       155.46       1.0448     -0.67226            0            0            0            0            0            0            0            0            0       19.502         1.03    0.0018594  
          0         -7.5            0     -0.60096     0.026708      0.01799    0.0087177  -8.5271e-07     0.023364    0.0005151     0.022849  -3.2789e-07  -1.9817e-07  -1.7371e-08   -1.808e-07      -22.501      -17.443            0      -155.17       6.8962      -18.023  -0.00022018      -154.14      -20.244    -0.000206      -153.77            0            0            0        19.98     -0.98693           20      -2.5447   -0.0005402       3.3445  -0.00023808        1.051   3.7181e-06    0.0037177      -99.366      -188.81       137.92        1.044     -0.63159            0            0            0            0            0            0            0            0            0       19.502         1.03    0.0018594  
          0           -7            0     -0.56149     0.024042     0.016425    0.0076172   -9.256e-07      0.02331   0.00043939     0.022871  -2.8436e-07  -2.0764e-07  -1.1969e-08  -1.9567e-07      -23.354        -17.5            0      -144.98        6.208      -15.717    -0.000239      -144.14      -17.658  -0.00022571      -143.81            0            0            0       19.982     -0.98374           20      -2.4518  -0.00047421       3.3368   -0.0002656       1.0523   3.5252e-06    0.0036521      -92.936       -188.2       124.16        1.043     -0.59088            0            0            0            0            0            0            0            0            0       19.502         1.03    0.0018594  
          0         -6.5            0     -0.52196      0.02132     0.014731    0.0065898  -9.9706e-07     0.023234   0.00034821     0.022886  -2.4109e-07  -2.2134e-07  -1.1013e-08  -2.1032e-07      -24.482      -17.687            0      -134.78       5.5051      -13.566  -0.00025745       -134.1      -15.246  -0.00024507      -133.82            0            0            0       19.983     -0.97332           20       -2.339    -0.000408       3.3259  -0.00029842        1.054   3.3033e-06    0.0035767      -86.479      -186.21        110.1       1.0418     -0.55012            0            0            0            0            0            0            0            0            0       19.502         1.03    0.0018594  
          0           -6            0     -0.48238     0.018461     0.012825    0.0056358  -1.0671e-06     0.023143   0.00024928     0.022893  -1.9809e-07  -2.3344e-07  -8.6946e-09  -2.2475e-07       -26.13      -18.148            0      -124.55       4.7667      -11.572  -0.00027553      -124.02       -13.01  -0.00026407      -123.78            0            0            0       19.985     -0.94861           20      -2.1917  -0.00034161       3.3128   -0.0003276       1.0559    3.045e-06     0.003489      -79.995      -181.48       95.335       1.0404     -0.50932            0            0            0            0            0            0            0            0            0       19.502         1.03    0.0018594  
          0         -5.5            0     -0.44274     0.016178     0.011423    0.0047556  -1.1356e-06     0.023084   0.00018967     0.022894  -1.5535e-07  -2.3419e-07   4.7436e-09  -2.3893e-07      -27.367       -18.21            0      -114.32       4.1774      -9.7348  -0.00029323      -113.91      -10.948  -0.00028269       -113.7            0            0            0       19.987     -0.94541           20      -2.0927  -0.00027505       3.3044  -0.00033808       1.0581   2.7406e-06    0.0033858      -73.487      -180.87       83.547       1.0387     -0.46848            0            0            0            0            0            0            0            0            0       19.502         1.03    0.0018594  
          0           -5            0     -0.40307     0.014456     0.010506    0.0039497  -1.2027e-06     0.023057    0.0001689     0.022888  -1.1287e-07  -2.4382e-07   9.0489e-09  -2.5287e-07      -27.883      -17.702            0      -104.08       3.7326      -8.0548  -0.00031055      -103.77      -9.0633  -0.00030095      -103.59            0            0            0       19.987     -0.97252           20       -2.054  -0.00020835       3.3005  -0.00036106       1.0609   2.3764e-06    0.0032623      -66.956      -186.06       74.653       1.0365      -0.4276            0            0            0            0            0            0            0            0            0       19.502         1.03    0.0018594  
          0         -4.5            0     -0.36335     0.013294     0.010075    0.0032183  -1.2683e-06     0.023033   0.00015849     0.022875  -7.0649e-08  -2.5483e-07   1.1722e-08  -2.6655e-07      -27.332      -16.476            0      -93.821       3.4326      -6.5326  -0.00032748      -93.597      -7.3549  -0.00031883      -93.453            0            0            0       19.987      -1.0449           20      -2.0953  -0.00014152       3.2971  -0.00038499       1.0642   1.9326e-06    0.0031118      -60.406      -199.91       68.652       1.0337      -0.3867            0            0            0            0            0            0            0            0            0       19.502         1.03    0.0018594  
          0           -4            0      -0.3236     0.012361    0.0097995    0.0025617  -1.3323e-06     0.023008   0.00015367     0.022854  -2.8678e-08  -2.6772e-07   1.2255e-08  -2.7997e-07      -26.179      -14.892            0      -83.557       3.1918      -5.1688  -0.00034402      -83.399      -5.8238  -0.00033632      -83.284            0            0            0       19.985       -1.156           20      -2.1876  -7.4578e-05       3.2935  -0.00041066       1.0685   1.3799e-06    0.0029245      -53.837      -221.16       63.836       1.0301     -0.34576            0            0            0            0            0            0            0            0            0       19.502         1.03    0.0018594  
          0         -3.5            0     -0.28382     0.011709    0.0097286    0.0019801  -1.3948e-06     0.022974   0.00014711     0.022827   1.3043e-08   -2.808e-07   1.2326e-08  -2.9312e-07       -24.24      -12.914            0      -73.286       3.0233      -3.9637  -0.00036016       -73.18      -4.4704  -0.00035342       -73.09            0            0            0       19.983      -1.3331           20      -2.3623  -7.5537e-06       3.2887  -0.00043545       1.0739   6.7232e-07    0.0026848      -47.252      -255.04       60.466       1.0252     -0.30479            0            0            0            0            0            0            0            0            0       19.502         1.03    0.0018594  
