SOLARTII_v1
T5-a0.0°-20.0m/s-VLM2-x0.5m


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0            0          -20     0.035692    0.0054869     0.011409   -0.0059222     0.027899       0.0161   0.00025917     0.015841   -0.0091033    0.0025212  -7.7055e-05    0.0025982       6.5049       1.2289       5.2931        9.216       3.9728      -1.5292       7.2038        9.216      -2.6079       7.1651       10.363            0            0            0       19.768            0           20       8.7397      -14.103       2.3047        3.906      0.30674      -1.4426     0.037363       8.3533            0       28.336   -0.0054206     0.010948            0            0            0            0            0            0            0            0            0            0         0.52            0  
          0            0        -19.5     0.035848    0.0054826     0.011117    -0.005634     0.027331     0.016516   0.00017045     0.016346   -0.0089166    0.0025916    4.562e-05     0.002546       6.5386        1.238       5.2816       9.2564       3.8548      -1.4548       7.0571       9.2564      -2.4856       7.0192        10.35            0            0            0        19.77            0           20       8.6954      -13.814       2.3643       4.0151      0.29838      -1.4069     0.036668       8.2288            0       28.313   -0.0057479     0.010697            0            0            0            0            0            0            0            0            0            0         0.52            0  
          0            0          -19     0.036001    0.0057406     0.011092   -0.0053519     0.026754     0.017005   0.00016522      0.01684   -0.0087272    0.0025442   5.1301e-05    0.0024929       6.2713       1.1899       5.2704       9.2958       3.8067      -1.3819       6.9082       9.2958      -2.3659       6.8712       10.338            0            0            0        19.75            0           20       9.0599      -13.521       2.4343       3.9417      0.29027      -1.3711     0.035994       8.1026            0       29.646   -0.0061026      0.01045            0            0            0            0            0            0            0            0            0            0         0.52            0  
          0            0        -18.5      0.03615    0.0059954     0.011071    -0.005076      0.02617     0.017485   0.00016084     0.017324   -0.0085353    0.0024954   5.6289e-05    0.0024391       6.0297       1.1464       5.2595       9.3343       3.7599      -1.3107       6.7573       9.3343      -2.2489       6.7211       10.326            0            0            0        19.73            0           20       9.4166      -13.223       2.5029        3.866      0.28238      -1.3354     0.035339       7.9748            0       30.961   -0.0064877     0.010208            0            0            0            0            0            0            0            0            0            0         0.52            0  
          0            0          -18     0.036296    0.0062445     0.011051   -0.0048063     0.025578     0.017954   0.00015645     0.017797   -0.0083407    0.0024455   6.0918e-05    0.0023846       5.8124       1.1074        5.249       9.3719        3.714       -1.241       6.6044       9.3719      -2.1344       6.5691       10.314            0            0            0        19.71            0           20       9.7619      -12.922         2.57       3.7887      0.27474      -1.2998     0.034705       7.8455            0       32.248   -0.0069069    0.0099718            0            0            0            0            0            0            0            0            0            0         0.52            0  
          0            0        -17.5     0.036437    0.0064898     0.011033    -0.004543     0.024977     0.018412   0.00015278      0.01826   -0.0081437    0.0023937    6.444e-05    0.0023293       5.6145       1.0717       5.2387       9.4085       3.6694      -1.1731       6.4494       9.4085      -2.0226        6.415       10.302            0            0            0        19.69            0           20       10.099      -12.617       2.6357       3.7084      0.26732      -1.2641      0.03409       7.7146            0       33.515   -0.0073644    0.0097406            0            0            0            0            0            0            0            0            0            0         0.52            0  
          0            0          -17     0.036575    0.0067302     0.011016   -0.0042862      0.02437      0.01886   0.00014933     0.018711   -0.0079443    0.0023406   6.7345e-05    0.0022732       5.4345       1.0393       5.2288       9.4441       3.6259      -1.1067       6.2926       9.4441      -1.9136        6.259        10.29            0            0            0        19.67            0           20       10.426      -12.308       2.6998       3.6261      0.26014      -1.2285     0.033495       7.5822            0       34.756    -0.007865    0.0095147            0            0            0            0            0            0            0            0            0            0         0.52            0  
          0            0        -16.5      0.03671    0.0069641        0.011   -0.0040359     0.023755     0.019297   0.00014594     0.019151   -0.0077425    0.0022868    7.034e-05    0.0022165       5.2713         1.01       5.2193       9.4788       3.5832      -1.0421       6.1338       9.4788      -1.8072       6.1011       10.279            0            0            0        19.65            0           20       10.742      -11.995       2.7623       3.5429      0.25318      -1.1929     0.032919       7.4483            0       35.964   -0.0084143    0.0092942            0            0            0            0            0            0            0            0            0            0         0.52            0  
          0            0          -16      0.03684    0.0071914     0.010984   -0.0037921     0.023133     0.019722   0.00014253      0.01958   -0.0075384    0.0022325   7.3408e-05    0.0021591       5.1228      0.98326         5.21       9.5125       3.5413     -0.97916       5.9732       9.5125      -1.7037       5.9414       10.268            0            0            0        19.63            0           20       11.046      -11.679       2.8232       3.4587      0.24645      -1.1573     0.032362        7.313            0       37.138   -0.0090189    0.0090792            0            0            0            0            0            0            0            0            0            0         0.52            0  
          0            0        -15.5     0.036967    0.0074129     0.010968   -0.0035551     0.022504     0.020137   0.00013929     0.019997    -0.007332    0.0021772   7.6188e-05     0.002101       4.9868      0.95881       5.2011       9.5452       3.5004     -0.91795       5.8108       9.5452      -1.6029       5.7799       10.257            0            0            0        19.61            0           20       11.339      -11.359       2.8825        3.373      0.23993      -1.1217     0.031824       7.1764            0       38.282   -0.0096866    0.0088696            0            0            0            0            0            0            0            0            0            0         0.52            0  
          0            0          -15      0.03709    0.0076294     0.010954   -0.0033247     0.021869      0.02054   0.00013655     0.020403   -0.0071235    0.0021205    7.825e-05    0.0020422       4.8614      0.93624       5.1925       9.5769       3.4607     -0.85848       5.6467       9.5769       -1.505       5.6167       10.246            0            0            0        19.59            0           20       11.624      -11.036       2.9402       3.2851      0.23364      -1.0862     0.031304       7.0384            0         39.4    -0.010427    0.0086657            0            0            0            0            0            0            0            0            0            0         0.52            0  
          0            0        -14.5     0.037209    0.0078393      0.01094   -0.0031012     0.021227     0.020931   0.00013382     0.020797   -0.0069129    0.0020631   8.0224e-05    0.0019828       4.7464      0.91556       5.1842       9.6076        3.422     -0.80076       5.4809       9.6076      -1.4099       5.4518       10.236            0            0            0        19.57            0           20       11.897       -10.71       2.9963       3.1962      0.22757      -1.0507     0.030803       6.8991            0       40.484     -0.01125    0.0084674            0            0            0            0            0            0            0            0            0            0         0.52            0  
          0            0          -14     0.037324    0.0080427     0.010927   -0.0028845     0.020578     0.021311   0.00013102      0.02118   -0.0067002    0.0020048   8.1953e-05    0.0019228       4.6407      0.89655       5.1762       9.6373       3.3843     -0.74482       5.3134       9.6373      -1.3178       5.2853       10.225            0            0            0       19.551            0           20        12.16       -10.38       3.0506       3.1059      0.22171      -1.0152     0.030321       6.7586            0       41.534     -0.01217    0.0082748            0            0            0            0            0            0            0            0            0            0         0.52            0  
          0            0        -13.5     0.037434    0.0082393     0.010914   -0.0026748     0.019923     0.021678    0.0001282      0.02155   -0.0064855    0.0019458   8.3584e-05    0.0018622       4.5434      0.87906       5.1685        9.666       3.3475     -0.69067       5.1444        9.666      -1.2285       5.1172       10.215            0            0            0       19.532            0           20       12.413      -10.048       3.1032       3.0146      0.21606     -0.97978     0.029856       6.6169            0       42.549    -0.013202     0.008088            0            0            0            0            0            0            0            0            0            0         0.52            0  
          0            0          -13     0.037541    0.0084291     0.010901   -0.0024721     0.019263     0.022034   0.00012543     0.021909   -0.0062689    0.0018863   8.5198e-05    0.0018011       4.4538      0.86295       5.1611       9.6936       3.3117     -0.63833       4.9738       9.6936      -1.1422       4.9475       10.205            0            0            0       19.514            0           20       12.655      -9.7122       3.1541       2.9223      0.21062     -0.94435     0.029409        6.474            0        43.53    -0.014366     0.007907            0            0            0            0            0            0            0            0            0            0         0.52            0  
          0            0        -12.5     0.037644    0.0086132      0.01089   -0.0022765     0.018596     0.022378   0.00012289     0.022255   -0.0060505    0.0018255   8.6179e-05    0.0017393       4.3705      0.84798       5.1541       9.7201       3.2772     -0.58782       4.8017       9.7201      -1.0589       4.7764       10.195            0            0            0       19.496            0           20       12.888      -9.3738       3.2034       2.8282      0.20539     -0.90894      0.02898         6.33            0        44.48    -0.015686    0.0077319            0            0            0            0            0            0            0            0            0            0         0.52            0  
