Cirio_WING
T1-24.0 m/s-TriUniform-ThinSurf-x0.07m
Freestream speed = 24.000 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0           -8            0     -0.41267     0.073631     0.068991    0.0046401    9.617e-17    -0.054147      0.01632    -0.070467   1.1713e-15   3.9198e-16   2.5127e-16   1.4072e-16      -5.6046      -3.6003            0      -87.306       15.578      -11.179   2.0346e-14      -86.593       9.8414   1.6546e-14       -63.46            0            0            0       23.627      -2.4019           24      -10.117   6.6861e-13      -2.6782   1.2758e-13    0.0037699    -7.24e-15     0.042367       -24.19      -65.976       373.86      0.97581   -0.0015557            0            0            0            0            0            0            0            0            0          2.8         0.07            0  
          0         -7.5            0     -0.36638     0.054038     0.050376    0.0036615    8.386e-17    -0.059062     0.011945    -0.071007   9.8005e-16   4.7907e-16   3.6579e-16   1.1328e-16        -6.78      -4.1039            0      -77.512       11.432      -9.3494   1.7742e-14       -76.95       9.2863   1.4917e-14      -55.148            0            0            0       23.743      -2.1072           24      -8.3902   5.5918e-13      -2.9213   1.9675e-13     -0.00308  -7.4207e-15     0.041363      -21.501      -57.881       274.38      0.97475    0.0011284            0            0            0            0            0            0            0            0            0          2.8         0.07            0  
          0           -7            0     -0.32003     0.044441     0.041644    0.0027971   7.1025e-17    -0.061624    0.0098993    -0.071524   8.5609e-16   2.1972e-16    1.316e-16   8.8114e-17      -7.2011      -4.0738            0      -67.706       9.4022       -7.664   1.5026e-14      -67.274       8.7264   1.3069e-14      -46.797            0            0            0       23.772      -2.1228           24      -7.9059   4.8776e-13       -3.048   6.4462e-14    -0.011951   -7.603e-15     0.040014      -18.804      -58.309       225.65      0.97354    0.0038248            0            0            0            0            0            0            0            0            0          2.8         0.07            0  
          0         -6.5            0     -0.27363     0.034542     0.032494    0.0020478   5.9085e-17    -0.064277    0.0077414    -0.072018   7.8952e-16   2.3959e-16   1.6433e-16   7.5251e-17      -7.9216      -4.1437            0      -57.889       7.3078      -6.1228     1.25e-14      -57.566       8.1619   1.1307e-14       -38.41            0            0            0       23.811      -2.0869           24      -7.1948    4.495e-13      -3.1792   8.4273e-14    -0.023871  -7.7209e-15     0.038146      -16.098      -57.324       175.39       0.9721    0.0065319            0            0            0            0            0            0            0            0            0          2.8         0.07            0  
          0           -6            0     -0.22718     0.029193     0.027778    0.0014144   4.7967e-17    -0.065856    0.0066332    -0.072489   6.1763e-16   1.2826e-16   7.2467e-17   5.5797e-17      -7.7819      -3.7091            0      -48.062       6.1761      -4.7263   1.0148e-14       -47.83       7.5931   9.5211e-15      -29.989            0            0            0       23.804      -2.3315           24      -7.3225    3.515e-13      -3.2573   3.5707e-14     -0.04071   -7.516e-15     0.035443      -13.383      -64.041       148.23      0.97018    0.0092483            0            0            0            0            0            0            0            0            0          2.8         0.07            0  
          0         -5.5            0     -0.18069     0.020443     0.019546   0.00089745   3.7662e-17    -0.068262    0.0046762    -0.072938   5.1863e-16   7.2609e-17   3.5454e-17   3.7156e-17      -8.8386      -3.7571            0      -38.227        4.325      -3.4749   7.9679e-15      -38.069         7.02    7.756e-15      -21.537            0            0            0       23.848      -2.3017           24       -6.455   2.9466e-13      -3.3763   1.2791e-14    -0.066261   -7.618e-15     0.031267      -10.662      -63.224        103.8      0.96725     0.011973            0            0            0            0            0            0            0            0            0          2.8         0.07            0  
          0           -5            0     -0.13417     0.017663     0.017165   0.00049762    2.779e-17    -0.069248    0.0041152    -0.073363   3.9936e-16   4.8109e-17   1.6271e-17   3.1838e-17      -7.5959      -2.7823            0      -28.385       3.7368       -2.369   5.8793e-15      -28.286       6.4428   5.9656e-15      -13.056            0            0            0       23.795      -3.1081           24      -7.4998   2.2709e-13      -3.4251   7.4363e-15     -0.10959  -7.8993e-15     0.024089      -7.9347      -85.375       89.684      0.96179     0.014703            0            0            0            0            0            0            0            0            0          2.8         0.07            0  
          0         -4.5            0    -0.087618     0.015591     0.015375   0.00021538   1.8586e-17    -0.070072    0.0036934    -0.073766   2.6732e-16   2.2464e-17   7.7593e-18   1.4705e-17      -5.6199      -1.6635            0      -18.537       3.2984      -1.4089   3.9321e-15      -18.483       5.8618   4.2126e-15      -4.5492            0            0            0       23.629      -5.1985           24       -10.09   1.5172e-13      -3.4659   8.0414e-16     -0.19904  -8.0963e-15     0.009134      -5.2018      -142.79       79.162      0.94767     0.017439            0            0            0            0            0            0            0            0            0          2.8         0.07            0  
          0           -4            0    -0.041049     0.014144     0.014093   5.1161e-05   1.0095e-17    -0.070753    0.0033918    -0.074145   1.4786e-16   1.4999e-17   4.4727e-18   1.0526e-17      -2.9022     -0.58801            0      -8.6846       2.9924     -0.59501   2.1357e-15      -8.6642        5.277   2.4466e-15       3.9809            0            0            0       22.691      -14.707           24      -19.012   8.4027e-14      -3.4995   2.6352e-15     -0.49157  -9.5046e-15    -0.040053      -2.4644      -403.97       71.817      0.87572     0.020179            0            0            0            0            0            0            0            0            0          2.8         0.07            0  
          0         -3.5            0    0.0055322     0.012814     0.012809   5.2628e-06    2.394e-18    -0.071412    0.0030884      -0.0745   1.4066e-17   4.2464e-18   1.2758e-18   2.9707e-18      0.43173     0.032111       13.445       1.1704        2.711     0.072563   5.0648e-16       1.1682       4.6888   7.0894e-16       12.532            0            0            0       9.5128       269.31           24       66.649   8.0616e-15      -3.5321   1.9169e-15       4.1431   1.1918e-14      0.74115      0.27669       7397.3       65.063      0.15462      0.02292            0            0            0            0            0            0            0            0            0          2.8         0.07            0  
          0           -3            0      0.05212      0.01214     0.012062   7.7918e-05  -4.7091e-18    -0.071919    0.0029135    -0.074832  -9.7522e-17  -9.1572e-18  -4.3093e-18   -4.848e-18       4.2934      0.98018       4.3802       11.027       2.5683      0.59356  -9.9628e-16       11.011       4.0971   -1.068e-15       21.101            0            0            0       23.374       8.8226           24       13.111   -5.535e-14      -3.5572  -2.2911e-15      0.49237  -5.3131e-15      0.12599       3.0207       242.34       61.639      0.92697     0.025663            0            0            0            0            0            0            0            0            0          2.8         0.07            0  
          0         -2.5            0     0.098709     0.011342     0.011073   0.00026926  -1.1026e-17    -0.072461    0.0026791     -0.07514  -2.2797e-16  -1.2243e-17  -5.8549e-18  -6.3883e-18       8.7031       2.7343       3.1829       20.883       2.3995      0.96782  -2.3326e-15       20.861       3.5024  -2.8428e-15       29.685            0            0            0       23.843       3.1627           24       6.5546  -1.2927e-13       -3.584  -1.2971e-15      0.28776  -6.6064e-15     0.091599       5.7667       86.872       57.588       0.9621     0.028404            0            0            0            0            0            0            0            0            0          2.8         0.07            0  
