Cirio - HTP&VTP
T1-24.0 m/s-TriUniform-ThinSurf-x0.73_HTP
Freestream speed = 24.000 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0         -9.5            0     -0.75613     0.056777     0.028242     0.028536   4.9045e-06     0.072646     0.067207     0.005439  -1.7919e-06  -8.4844e-07  -7.4545e-09  -8.4099e-07      -13.317       -11.58            0      -16.006       1.2019      -2.0459   0.00010382      -15.886  -3.0448e-05   0.00013908      -11.864            0            0            0       23.933      -2.3609           24      -4.2943   -2.421e-05      0.16659  -6.8718e-06     0.054137   1.5693e-07      0.21932     -0.86318      -64.848       28.845       1.0629    -0.040935            0            0            0            0            0            0            0            0            0          2.8        0.073            0  
          0           -9            0     -0.71713      0.05154     0.025868     0.025672   4.9098e-06     0.065994     0.060831    0.0051625  -1.7956e-06  -8.3327e-07  -1.1436e-08  -8.2183e-07      -13.914      -11.783            0       -15.18        1.091       -1.838   0.00010393      -15.078    -2.89e-05   0.00013911      -11.261            0            0            0       23.938      -2.3203           24      -4.1108  -2.4158e-05      0.15134  -6.8853e-06     0.054257   1.6582e-07      0.21981      -0.8193      -63.733       26.184       1.0628    -0.038909            0            0            0            0            0            0            0            0            0          2.8        0.073            0  
          0         -8.5            0       -0.678     0.046696     0.023746      0.02295   4.9145e-06     0.060008     0.055123    0.0048845  -1.7988e-06  -8.1402e-07  -1.1467e-08  -8.0255e-07       -14.52      -11.956            0      -14.352      0.98845      -1.6409   0.00010403      -14.266  -2.7343e-05   0.00013912      -10.654            0            0            0       23.943      -2.2867           24      -3.9399  -2.4102e-05      0.13761  -6.8482e-06      0.05437   1.7573e-07      0.22026     -0.77517      -62.812       23.723       1.0626    -0.036863            0            0            0            0            0            0            0            0            0          2.8        0.073            0  
          0           -8            0     -0.63875     0.042659     0.022287     0.020372   4.9183e-06     0.055831     0.051226     0.004605  -1.8015e-06  -7.9285e-07  -9.7026e-09  -7.8315e-07      -14.973      -11.967            0      -13.521      0.90301      -1.4547   0.00010411      -13.449  -2.5778e-05    0.0001391      -10.044            0            0            0       23.947      -2.2845           24      -3.8208  -2.4043e-05      0.12803  -6.7874e-06     0.054476   1.8684e-07      0.22069      -0.7308      -62.752       21.672       1.0625    -0.034797            0            0            0            0            0            0            0            0            0          2.8        0.073            0  
          0         -7.5            0     -0.59939     0.038926     0.020986      0.01794   4.9214e-06      0.05207     0.047746    0.0043241  -1.8038e-06  -7.7476e-07  -1.1125e-08  -7.6364e-07      -15.398      -11.921            0      -12.688      0.82399      -1.2796   0.00010418      -12.629  -2.4205e-05   0.00013906      -9.4316            0            0            0        23.95      -2.2933           24      -3.7157  -2.3979e-05      0.11941  -6.7657e-06     0.054576    1.994e-07       0.2211     -0.68621      -62.993       19.776       1.0624    -0.032712            0            0            0            0            0            0            0            0            0          2.8        0.073            0  
          0           -7            0     -0.55992     0.035518     0.019861     0.015657   4.9238e-06     0.048785     0.044744    0.0040418  -1.8055e-06  -7.5141e-07  -7.3798e-09  -7.4403e-07      -15.764      -11.796            0      -11.852      0.75185      -1.1155   0.00010423      -11.804  -2.2625e-05     0.000139      -8.8158            0            0            0       23.952      -2.3177           24      -3.6297  -2.3912e-05      0.11187  -6.6778e-06      0.05467   2.1371e-07      0.22148     -0.64141      -63.662       18.044       1.0623    -0.030611            0            0            0            0            0            0            0            0            0          2.8        0.073            0  
          0         -6.5            0     -0.52035      0.03249     0.018967     0.013523   4.9254e-06      0.04612     0.042362    0.0037584  -1.8067e-06  -7.3034e-07  -6.0041e-09  -7.2433e-07      -16.016      -11.553            0      -11.015      0.68775     -0.96248   0.00010426      -10.976  -2.1038e-05   0.00013892      -8.1974            0            0            0       23.953      -2.3664           24      -3.5729  -2.3841e-05      0.10576  -6.6186e-06     0.054757   2.3019e-07      0.22183     -0.59641      -65.002       16.506       1.0622    -0.028493            0            0            0            0            0            0            0            0            0          2.8        0.073            0  
          0           -6            0     -0.48068     0.029801      0.01826     0.011541   4.9262e-06     0.043964      0.04049    0.0034738  -1.8074e-06  -7.1017e-07  -5.6085e-09  -7.0456e-07      -16.129      -11.183            0      -10.175      0.63084     -0.82062   0.00010428      -10.145  -1.9445e-05   0.00013881      -7.5765            0            0            0       23.954      -2.4448           24      -3.5477  -2.3766e-05      0.10082  -6.5708e-06     0.054838   2.4937e-07      0.22216     -0.55124      -67.153        15.14       1.0621     -0.02636            0            0            0            0            0            0            0            0            0          2.8        0.073            0  
          0         -5.5            0     -0.44093     0.027444     0.017732    0.0097119   4.9263e-06     0.042292     0.039104    0.0031881  -1.8077e-06  -6.8902e-07   -4.292e-09  -6.8473e-07      -16.067      -10.669            0      -9.3336      0.58094     -0.68995   0.00010428      -9.3103  -1.7845e-05   0.00013868      -6.9532            0            0            0       23.954      -2.5626           24      -3.5616  -2.3687e-05     0.096985  -6.5103e-06     0.054912   2.7199e-07      0.22246     -0.50589      -70.389       13.942        1.062    -0.024213            0            0            0            0            0            0            0            0            0          2.8        0.073            0  
          0           -5            0      -0.4011     0.025428     0.017391    0.0080371   4.9256e-06     0.041131      0.03823    0.0029015  -1.8074e-06   -6.667e-07  -1.8573e-09  -6.6484e-07      -15.774      -9.9898            0      -8.4905      0.53827     -0.57051   0.00010427       -8.473   -1.624e-05   0.00013853      -6.3278            0            0            0       23.952      -2.7367           24      -3.6275  -2.3604e-05     0.094322  -6.4346e-06      0.05498   2.9909e-07      0.22274     -0.46039      -75.172       12.918       1.0619    -0.022053            0            0            0            0            0            0            0            0            0          2.8        0.073            0  
          0         -4.5            0      -0.3612     0.023752     0.017234    0.0065179   4.9242e-06     0.040472     0.037858    0.0026139  -1.8067e-06   -6.454e-07  -4.8967e-10  -6.4491e-07      -15.207      -9.1392            0      -7.6458      0.50279     -0.46234   0.00010423       -7.633  -1.4631e-05   0.00013836      -5.7006            0            0            0       23.948      -2.9914           24      -3.7624  -2.3518e-05     0.092811  -6.3715e-06     0.055042   3.3215e-07      0.22299     -0.41475      -82.169       12.067       1.0619    -0.019881            0            0            0            0            0            0            0            0            0          2.8        0.073            0  
          0           -4            0     -0.32123     0.022392     0.017236    0.0051555    4.922e-06     0.040248     0.037922    0.0023256  -1.8054e-06  -6.2438e-07   5.6161e-10  -6.2494e-07      -14.346      -8.1307            0      -6.7997      0.47399     -0.36546   0.00010419      -6.7908  -1.3016e-05   0.00013816      -5.0715            0            0            0       23.942      -3.3625           24      -3.9875  -2.3428e-05     0.092296  -6.3113e-06     0.055097   3.7341e-07      0.22321     -0.36899       -92.36       11.376       1.0618    -0.017699            0            0            0            0            0            0            0            0            0          2.8        0.073            0  
          0         -3.5            0      -0.2812     0.021298     0.017347    0.0039509    4.919e-06      0.04032     0.038284    0.0020366  -1.8036e-06  -6.0383e-07   1.1239e-09  -6.0496e-07      -13.203      -7.0015            0      -5.9525      0.45083     -0.27991   0.00010413      -5.9465  -1.1398e-05   0.00013794       -4.441            0            0            0       23.931      -3.9048           24      -4.3313  -2.3334e-05     0.092463  -6.2564e-06     0.055145   4.2639e-07       0.2234     -0.32311      -107.26        10.82       1.0618    -0.015507            0            0            0            0            0            0            0            0            0          2.8        0.073            0  
          0           -3            0     -0.24112     0.020399     0.017494    0.0029051   4.9153e-06     0.040491     0.038744     0.001747  -1.8014e-06  -5.8374e-07   1.2238e-09  -5.8496e-07       -11.82      -5.8042            0      -5.1041      0.43181     -0.20572   0.00010405      -5.1003  -9.7768e-06    0.0001377       -3.809            0            0            0       23.915      -4.7102           24      -4.8358  -2.3237e-05     0.092855  -6.2063e-06     0.055188   4.9694e-07      0.22357     -0.27713      -129.38       10.363       1.0617    -0.013307            0            0            0            0            0            0            0            0            0          2.8        0.073            0  
          0         -2.5            0       -0.201     0.019663     0.017644    0.0020188   4.9108e-06     0.040666     0.039209    0.0014568  -1.7987e-06   -5.638e-07    1.167e-09  -5.6496e-07      -10.222       -4.583            0      -4.2548      0.41622      -0.1429   0.00010395      -4.2526  -8.1523e-06   0.00013743       -3.176            0            0            0       23.886      -5.9653           24      -5.5872  -2.3136e-05     0.093255  -6.1574e-06     0.055223   5.9561e-07      0.22372     -0.23107      -163.86       9.9894       1.0617      -0.0111            0            0            0            0            0            0            0            0            0          2.8        0.073            0  
          0           -2            0     -0.16084     0.019063      0.01777    0.0012928   4.9056e-06     0.040772     0.039606    0.0011662  -1.7954e-06  -5.4404e-07   9.3633e-10  -5.4498e-07      -8.4374      -3.3839            0      -3.4048      0.40353    -0.091475   0.00010384      -3.4036  -6.5253e-06   0.00013715      -2.5419            0            0            0       23.833      -8.0793           24      -6.7591  -2.3031e-05     0.093498  -6.1097e-06     0.055252   7.4349e-07      0.22384     -0.18494      -221.92       9.6847       1.0617    -0.008887            0            0            0            0            0            0            0            0            0          2.8        0.073            0  
          0         -1.5            0     -0.12066     0.018605     0.017877   0.00072749   4.8996e-06      0.04082     0.039945   0.00087518  -1.7917e-06  -5.2447e-07   5.5157e-10  -5.2502e-07      -6.4854      -2.2527            0      -2.5541      0.39382    -0.051464   0.00010371      -2.5536  -4.8964e-06   0.00013684      -1.9071            0            0            0        23.72      -12.136           24      -8.7656  -2.2923e-05     0.093608  -6.0632e-06     0.055275    9.898e-07      0.22393     -0.13875      -333.35       9.4517       1.0616   -0.0066693            0            0            0            0            0            0            0            0            0          2.8        0.073            0  
          0           -1            0    -0.080449     0.018252     0.017929   0.00032342   4.8929e-06     0.040714      0.04013   0.00058393  -1.7875e-06  -5.0474e-07   3.4457e-10  -5.0509e-07      -4.4076      -1.2501            0      -1.7029      0.38637    -0.022875   0.00010357      -1.7028   -3.266e-06   0.00013651      -1.2717            0            0            0       23.405      -21.869           24      -12.783  -2.2811e-05     0.093364  -6.0134e-06     0.055291   1.4822e-06      0.22399    -0.092525      -600.69       9.2728       1.0616   -0.0044481            0            0            0            0            0            0            0            0            0          2.8        0.073            0  
          0         -0.5            0    -0.040226     0.018044     0.017963    8.086e-05   4.8854e-06     0.040555     0.040262   0.00029251  -1.7828e-06  -4.8513e-07   6.9549e-11   -4.852e-07      -2.2293     -0.44712            0      -0.8515      0.38196    -0.005719   0.00010341     -0.85148  -1.6346e-06   0.00013616     -0.63588            0            0            0       21.898      -61.145           24       -24.16  -2.2696e-05        0.093  -5.9637e-06     0.055301   2.9589e-06      0.22402    -0.046268      -1679.5        9.167       1.0616   -0.0022245            0            0            0            0            0            0            0            0            0          2.8        0.073            0  
          0            0            0   4.8785e-06     0.017966     0.017966    4.419e-12   4.8771e-06     0.040305     0.040304   9.9594e-07  -1.7776e-06  -4.6502e-07   3.4795e-10  -4.6537e-07   0.00027155   5.9977e-07       452.75   0.00010327       0.3803   9.3542e-11   0.00010324   0.00010327  -2.8006e-09   0.00013578   0.00010959            0            0            0    0.0065171   4.5582e+07           24       89.984  -2.2577e-05     0.092427  -5.9062e-06     0.055348    -0.024348      0.31836   6.8449e-06   1.2521e+09       9.1271      0.28572   2.7002e-07            0            0            0            0            0            0            0            0            0          2.8        0.073            0  
          0          0.5            0     0.040235     0.018044     0.017963     8.09e-05   4.8682e-06     0.040038     0.040328  -0.00029052   -1.772e-06  -4.4567e-07  -7.0077e-11   -4.456e-07       2.2299      0.44728       4.9854       0.8517      0.38195     -0.00572   0.00010305      0.85169    1.629e-06   0.00013539       0.6361            0            0            0       21.899       61.123           24       24.154  -2.2455e-05     0.091815  -5.8566e-06     0.055301  -2.9455e-06      0.22405     0.046279       1678.9       9.1669       1.0616    0.0022251            0            0            0            0            0            0            0            0            0          2.8        0.073            0  
          0            1            0     0.080459     0.018252     0.017929    0.0003235   4.8585e-06      0.03968     0.040262  -0.00058194  -1.7658e-06  -4.2625e-07  -3.4302e-10  -4.2591e-07       4.4082       1.2504       3.5254       1.7031      0.38636    -0.022877   0.00010284        1.703   3.2603e-06   0.00013497       1.2719            0            0            0       23.405       21.864           24       12.781   -2.233e-05     0.090994  -5.8044e-06     0.055291  -1.4693e-06        0.224     0.092536       600.57       9.2726       1.0616    0.0044487            0            0            0            0            0            0            0            0            0          2.8        0.073            0  
          0          1.5            0      0.12067     0.018604     0.017876   0.00072761    4.848e-06      0.03927     0.040143  -0.00087319  -1.7592e-06  -4.0685e-07  -5.4495e-10  -4.0631e-07       6.4861       2.2531       2.8788       2.5543      0.39381    -0.051467   0.00010262       2.5538   4.8906e-06   0.00013453       1.9073            0            0            0        23.72       12.134           24       8.7646  -2.2201e-05     0.090053  -5.7504e-06     0.055275  -9.7703e-07      0.22393      0.13877        333.3       9.4514       1.0616    0.0066699            0            0            0            0            0            0            0            0            0          2.8        0.073            0  
          0            2            0      0.16085     0.019062      0.01777    0.0012929   4.8368e-06     0.038706      0.03987   -0.0011642  -1.7521e-06  -3.8772e-07  -9.1929e-10   -3.868e-07       8.4383       3.3843       2.4934        3.405      0.40351    -0.091479   0.00010239       3.4038   6.5194e-06   0.00013407       2.5421            0            0            0       23.833       8.0782           24       6.7585  -2.2069e-05      0.08876  -5.6979e-06     0.055252  -7.3076e-07      0.22384      0.18495       221.89       9.6843       1.0617    0.0088876            0            0            0            0            0            0            0            0            0          2.8        0.073            0  
