Cirio - HTP&VTP
T5-a0.0°-24.0m/s-TriUniform-ThinSurf-x0.0m


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0            0        -13.5   -0.0015076    -0.076556     0.024426     -0.10098      0.59525     0.059409     0.050585    0.0088232     -0.15926      0.01998    0.0004072     0.019573     0.019693   0.00076462            0    -0.031913         1.38      -2.1376         12.6    -0.031913   2.7813e-05       9.3519     -0.23342            0            0            0      0.47253        35755           24       88.872      -2.0227      0.13624      0.25376      0.63388       14.064       2.1943     -0.23314   9.8213e+05      -38.893   -1.194e-06  -0.00095562            0            0            0            0            0            0            0            0            0          2.8            0            0  
          0            0          -13   -0.0013995    -0.070255     0.023512    -0.093767      0.57478     0.057079     0.048887    0.0081926     -0.15378     0.019283   0.00038312       0.0189      0.01992   0.00074519            0    -0.029624       1.3007      -1.9849       12.167    -0.029624   2.6823e-05       9.0302     -0.21673            0            0            0      0.47798        36688           24       88.859      -1.9531      0.13089       0.2449      0.63404        14.63       2.1948     -0.22507   1.0077e+06      -35.692  -1.1081e-06  -0.00088732            0            0            0            0            0            0            0            0            0          2.8            0            0  
          0            0        -12.5   -0.0012951    -0.063958     0.022848    -0.086805      0.55412     0.055326     0.047742    0.0075842     -0.14826     0.018583   0.00036259      0.01822      0.02025   0.00072876            0    -0.027416       1.2285      -1.8375        11.73    -0.027416   2.5828e-05       8.7057     -0.20063            0            0            0       0.4859        37514           24        88.84       -1.883      0.12687      0.23602      0.63423        15.24       2.1954     -0.21694   1.0304e+06      -32.493  -1.0252e-06  -0.00082142            0            0            0            0            0            0            0            0            0          2.8            0            0  
          0            0          -12   -0.0011947    -0.058055     0.022045      -0.0801       0.5333     0.053205     0.046207    0.0069982     -0.14268     0.017876   0.00034071     0.017536     0.020578   0.00071127            0    -0.025289       1.1552      -1.6956       11.289    -0.025289   2.4827e-05       8.3785     -0.18512            0            0            0      0.49377        38437           24       88.821      -1.8122      0.12201      0.22704      0.63444       15.901       2.1961     -0.20874   1.0558e+06      -29.494  -9.4528e-07  -0.00075795            0            0            0            0            0            0            0            0            0          2.8            0            0  
          0            0        -11.5   -0.0010981    -0.052046     0.021606    -0.073652      0.51231     0.051949     0.045514    0.0064347     -0.13707     0.017169   0.00032331     0.016846     0.021098   0.00069911            0    -0.023244       1.0917      -1.5591       10.845    -0.023244   2.3821e-05       8.0488     -0.17021            0            0            0      0.50623        39106           24       88.791      -1.7409      0.11913      0.21806      0.63468       16.619       2.1969     -0.20048   1.0742e+06      -26.441  -8.6848e-07  -0.00069691            0            0            0            0            0            0            0            0            0          2.8            0            0  
          0            0          -11   -0.0010053    -0.046264       0.0212    -0.067464      0.49117     0.050803     0.044909    0.0058939     -0.13141     0.016457   0.00030665      0.01615      0.02173     0.000689            0    -0.021281       1.0308      -1.4281       10.397    -0.021281    2.281e-05       7.7167      -0.1559            0            0            0      0.52141        39679           24       88.755       -1.669       0.1165      0.20902      0.63494       17.403       2.1978     -0.19217   1.0899e+06      -23.504  -7.9478e-07  -0.00063833            0            0            0            0            0            0            0            0            0          2.8            0            0  
          0            0        -10.5  -0.00091653    -0.040806     0.020731    -0.061537      0.46988     0.049496      0.04412     0.005376     -0.12572      0.01574   0.00028941      0.01545     0.022461   0.00067998            0    -0.019401      0.97061      -1.3026       9.9464    -0.019401   2.1795e-05       7.3822      -0.1422            0            0            0      0.53892        40206           24       88.713      -1.5967       0.1135      0.19991      0.63525       18.261       2.1988      -0.1838   1.1044e+06      -20.731   -7.242e-07  -0.00058223            0            0            0            0            0            0            0            0            0          2.8            0            0  
          0            0          -10  -0.00083169    -0.035512     0.020363    -0.055875      0.44844     0.048416     0.043535    0.0048811     -0.11998     0.015019   0.00027333     0.014746      0.02342   0.00067541            0    -0.017605      0.91465      -1.1828       9.4927    -0.017605   2.0776e-05       7.0454      -0.1291            0            0            0      0.56193        40478           24       88.658      -1.5239      0.11103      0.19075       0.6356       19.206       2.1999     -0.17538   1.1118e+06      -18.041  -6.5676e-07  -0.00052862            0            0            0            0            0            0            0            0            0          2.8            0            0  
          0            0         -9.5  -0.00075082    -0.030455     0.020022    -0.050477      0.42687     0.047393     0.042984    0.0044093     -0.11421     0.014294   0.00025755     0.014036     0.024653   0.00067552            0    -0.015893      0.86136      -1.0685       9.0361    -0.015893   1.9753e-05       6.7065     -0.11662            0            0            0       0.5915        40471           24       88.588      -1.4506      0.10868      0.18154      0.63601       20.252       2.2012     -0.16691   1.1117e+06      -15.472  -5.9248e-07  -0.00047752            0            0            0            0            0            0            0            0            0          2.8            0            0  
          0            0           -9  -0.00067395    -0.025647     0.019699    -0.045346      0.40517      0.04643     0.042469    0.0039609      -0.1084     0.013565   0.00024219     0.013323     0.026278   0.00068218            0    -0.014266      0.81061     -0.95988       8.5767    -0.014266   1.8726e-05       6.3656     -0.10475            0            0            0      0.63045        40076           24       88.495      -1.3768      0.10647      0.17229      0.63648       21.415       2.2028     -0.15839   1.1008e+06       -13.03  -5.3139e-07  -0.00042895            0            0            0            0            0            0            0            0            0          2.8            0            0  
