Cessna208_v2
T1-90.1 m/s-LLT-x4.15m
Freestream speed = 90.078 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0        -23.5            0      -1.6863      0.12463     0.024712     0.099921            0     0.028736     0.014772     0.013963    5.222e-18   2.0488e-18   3.3915e-19   1.7096e-18       -13.53       -17.57            0  -1.6164e+05        11946       -55670            0  -1.5205e+05            0            0            0            0            0            0       89.833      -3.1244       90.078       -4.227   8.3155e-12       4628.8  -2.1979e-13      0.47498            0            0  -2.8503e+05  -1.1123e+05   1.0761e+06      0.94068     -0.80097            0            0            0            0            0            0            0            0            0         3629         4.15            0  
          0          -23            0      -1.6684      0.12023     0.022566     0.097662            0     0.028069     0.013489      0.01458   4.4233e-18   1.6235e-18   1.8627e-19   1.4373e-18      -13.877      -17.924            0  -1.5992e+05        11524       -53869            0  -1.5087e+05            0            0            0            0            0            0       89.845      -3.0627       90.078      -4.1217   7.0427e-12       4521.4  -3.0848e-13      0.47815            0            0  -2.8224e+05  -1.0903e+05   1.0381e+06      0.94208     -0.79773            0            0            0            0            0            0            0            0            0         3629         4.15            0  
          0        -22.5            0      -1.6472      0.11589      0.02081     0.095079            0     0.027589     0.012439      0.01515   7.6055e-18   2.7062e-18   6.2049e-20   2.6441e-18      -14.214      -18.243            0  -1.5789e+05        11108       -52003            0  -1.4936e+05            0            0            0            0            0            0       89.856      -3.0092       90.078      -4.0243   1.2219e-11       4444.1  -6.0876e-13      0.48133            0            0  -2.7886e+05  -1.0713e+05   1.0006e+06       0.9433     -0.79286            0            0            0            0            0            0            0            0            0         3629         4.15            0  
          0          -22            0      -1.6236      0.11163     0.019349     0.092281            0     0.027302     0.011566     0.015737   6.3242e-18   1.9451e-18   1.6336e-19   1.7818e-18      -14.545      -18.533            0  -1.5563e+05        10700       -50098            0  -1.4761e+05            0            0            0            0            0            0       89.866      -2.9621       90.078      -3.9331   9.9276e-12         4398  -8.2216e-13      0.48457            0            0  -2.7503e+05  -1.0545e+05   9.6384e+05      0.94422     -0.78675            0            0            0            0            0            0            0            0            0         3629         4.15            0  
          0        -21.5            0      -1.5984      0.10747     0.018122     0.089351            0     0.027253     0.010832     0.016421    2.774e-18   6.0092e-19   2.7592e-20   5.7333e-19      -14.872      -18.803            0  -1.5321e+05        10302       -48183            0  -1.4569e+05            0            0            0            0            0            0       89.875      -2.9196       90.078      -3.8467   4.2426e-12       4390.1  -6.8947e-13      0.48795            0            0  -2.7093e+05  -1.0394e+05   9.2794e+05       0.9451     -0.77992            0            0            0            0            0            0            0            0            0         3629         4.15            0  
          0          -21            0      -1.5713      0.10337     0.017076      0.08629            0     0.027295     0.010207     0.017088   5.2338e-18   1.9594e-18     1.71e-20   1.9423e-18      -15.201      -19.055            0  -1.5061e+05         9908       -46253            0  -1.4357e+05            0            0            0            0            0            0       89.884       -2.881       90.078      -3.7638   8.4852e-12       4396.8  -6.6938e-14      0.49135            0            0  -2.6649e+05  -1.0256e+05   8.9249e+05      0.94572     -0.77205            0            0            0            0            0            0            0            0            0         3629         4.15            0  
          0        -20.5            0      -1.5429     0.099331     0.016174     0.083157            0     0.027472    0.0096671     0.017805   -4.087e-18  -1.6318e-18   2.9412e-20  -1.6612e-18      -15.533      -19.294            0  -1.4789e+05       9521.2       -44327            0  -1.4132e+05            0            0            0            0            0            0       89.892      -2.8453       90.078      -3.6836  -6.7033e-12       4425.2  -1.4183e-13      0.49484            0            0  -2.6181e+05  -1.0129e+05   8.5765e+05      0.94622     -0.76349            0            0            0            0            0            0            0            0            0         3629         4.15            0  
          0          -20            0      -1.5143      0.09543     0.015372     0.080058            0     0.027994    0.0091883     0.018806   5.9115e-18   2.2219e-18   2.0491e-20   2.2014e-18      -15.868      -19.526            0  -1.4515e+05       9147.2       -42432            0  -1.3902e+05            0            0            0            0            0            0         89.9      -2.8114       90.078       -3.606   9.5882e-12       4509.4   1.0423e-13      0.49866            0            0  -2.5707e+05  -1.0009e+05   8.2397e+05      0.94671     -0.75511            0            0            0            0            0            0            0            0            0         3629         4.15            0  
          0        -19.5            0      -1.4843     0.091585     0.014675      0.07691            0     0.028541    0.0087721     0.019769   4.9625e-18   1.8747e-18   1.6444e-21   1.8731e-18      -16.207      -19.745            0  -1.4228e+05       8778.8       -40543            0  -1.3658e+05            0            0            0            0            0            0       89.907      -2.7802       90.078      -3.5308   8.0609e-12       4597.5   1.6852e-13       0.5025            0            0  -2.5214e+05       -98978   7.9077e+05      0.94686     -0.74586            0            0            0            0            0            0            0            0            0         3629         4.15            0  
          0          -19            0      -1.4515     0.087613     0.014058     0.073555            0     0.028525    0.0084035     0.020121   1.0033e-18   1.6412e-19   -8.247e-21   1.7237e-19      -16.567       -19.96            0  -1.3913e+05         8398       -38631            0  -1.3385e+05            0            0            0            0            0            0       89.914      -2.7503       90.078      -3.4542   1.5273e-12       4594.9  -2.6206e-13      0.50577            0            0  -2.4687e+05       -97912   7.5647e+05      0.94679     -0.73414            0            0            0            0            0            0            0            0            0         3629         4.15            0  
          0        -18.5            0      -1.4164     0.083582     0.013501     0.070081            0     0.028091    0.0080697     0.020021   2.5573e-18   6.2181e-19  -3.7222e-21   6.2553e-19      -16.946      -20.167            0  -1.3576e+05       8011.6       -36708            0  -1.3088e+05            0            0            0            0            0            0       89.922       -2.722       90.078      -3.3772    3.988e-12         4525   -3.377e-13       0.5086            0            0  -2.4125e+05       -96906   7.2167e+05      0.94616     -0.72037            0            0            0            0            0            0            0            0            0         3629         4.15            0  
          0          -18            0      -1.3796     0.079496     0.012968     0.066529            0     0.027375    0.0077504     0.019625    2.541e-18   6.5083e-19  -1.9079e-20   6.6991e-19      -17.354      -20.383            0  -1.3224e+05         7620       -34799            0  -1.2774e+05            0            0            0            0            0            0       89.929      -2.6932       90.078      -3.2979    3.988e-12       4409.7   -2.556e-13      0.51114            0            0  -2.3522e+05       -95879   6.8639e+05       0.9456     -0.70516            0            0            0            0            0            0            0            0            0         3629         4.15            0  
          0        -17.5            0      -1.3417     0.075386     0.012453     0.062933            0     0.026441    0.0074423     0.018999   2.1647e-18   5.8739e-19   2.7451e-20   5.5994e-19      -17.797      -20.614            0   -1.286e+05         7226       -32918            0  -1.2446e+05            0            0            0            0            0            0       89.936       -2.663       90.078       -3.216   3.3941e-12       4259.2  -1.3396e-13      0.51343            0            0  -2.2892e+05       -94804   6.5091e+05      0.94542     -0.68885            0            0            0            0            0            0            0            0            0         3629         4.15            0  
          0          -17            0      -1.3021     0.071283     0.011972      0.05931            0     0.025194    0.0071542      0.01804    3.814e-18   1.2395e-18   -3.253e-20    1.272e-18      -18.267      -20.845            0  -1.2481e+05       6832.7       -31056            0  -1.2102e+05            0            0            0            0            0            0       89.943      -2.6335       90.078      -3.1334   6.1093e-12       4058.3   1.0231e-13      0.51531            0            0  -2.2237e+05       -93755   6.1547e+05      0.94495     -0.67101            0            0            0            0            0            0            0            0            0         3629         4.15            0  
          0        -16.5            0      -1.2602     0.067119     0.011517     0.055602            0     0.023374     0.006882     0.016492   1.0041e-19   8.2145e-20   2.8016e-20   5.4129e-20      -18.776      -21.078            0   -1.208e+05       6433.6       -29198            0  -1.1733e+05            0            0            0            0            0            0       89.951      -2.6045       90.078      -3.0487    1.697e-13       3765.1   7.9957e-14      0.51646            0            0  -2.1538e+05       -92721   5.7952e+05       0.9441     -0.65084            0            0            0            0            0            0            0            0            0         3629         4.15            0  
          0          -16            0      -1.2177     0.063064     0.011097     0.051967            0      0.02153    0.0066307     0.014899   3.6596e-18   1.0088e-18            0   1.0088e-18      -19.308      -21.306            0  -1.1672e+05       6044.9       -27383            0  -1.1357e+05            0            0            0            0            0            0       89.957      -2.5765       90.078      -2.9648   5.7699e-12       3468.1  -5.9238e-14      0.51744            0            0  -2.0828e+05       -91726   5.4451e+05      0.94306     -0.63006            0            0            0            0            0            0            0            0            0         3629         4.15            0  
          0        -15.5            0      -1.1745     0.059085      0.01068     0.048405            0     0.019662    0.0063824     0.013279   3.7321e-18   1.1585e-18  -5.8835e-21   1.1644e-18      -19.879      -21.544            0  -1.1258e+05       5663.4       -25615            0  -1.0973e+05            0            0            0            0            0            0       89.964      -2.5482       90.078      -2.8798   5.9396e-12       3167.2   1.8028e-13      0.51826            0            0  -2.0102e+05       -90715   5.1015e+05      0.94201     -0.60871            0            0            0            0            0            0            0            0            0         3629         4.15            0  
          0          -15            0      -1.1317     0.055265     0.010295     0.044969            0     0.017987    0.0061532     0.011833   2.0308e-18   6.3784e-19   2.1063e-20   6.1678e-19      -20.477      -21.784            0  -1.0847e+05       5297.3       -23912            0  -1.0589e+05            0            0            0            0            0            0       89.971      -2.5201       90.078      -2.7958   3.2244e-12       2897.3   1.3977e-13       0.5192            0            0  -1.9382e+05       -89716   4.7717e+05      0.94133     -0.58756            0            0            0            0            0            0            0            0            0         3629         4.15            0  
          0        -14.5            0      -1.0889     0.051644    0.0099475     0.041697            0     0.016523     0.005946     0.010577     3.09e-18     8.53e-19  -1.8578e-20   8.7158e-19      -21.085      -22.003            0  -1.0438e+05       4950.3       -22265            0  -1.0205e+05            0            0            0            0            0            0       89.977      -2.4949       90.078      -2.7153    4.879e-12       2661.5    7.746e-14      0.52026            0            0   -1.867e+05       -88821   4.4591e+05      0.93999     -0.56652            0            0            0            0            0            0            0            0            0         3629         4.15            0  
