Cessna208_HTP_VTP_v1
HTPVTP_T1-90.1 m/s-LLT-x0.39m_FL100
Freestream speed = 90.078 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0           -7            0     -0.56755     0.023904    0.0063281     0.017576            0  -0.00075405   2.4721e-05  -0.00077877   3.4119e-18   5.4467e-19   4.5746e-20   4.9892e-19      -23.743      -17.887            0       -13764       579.72      -1254.3            0       -13713            0            0            0            0            0            0       89.998      -6.1016       90.078      -2.4118   5.2369e-13      -19.802   1.9063e-14      0.39173            0            0      -9279.1  -2.1722e+05        52220      0.98228     -0.22232            0            0            0            0            0            0            0            0            0         3629         0.39            0  
          0         -6.5            0      -0.5242     0.021082    0.0060806     0.015001            0   -0.0015305   2.3741e-05   -0.0015543   1.4206e-18   1.1702e-19   2.7586e-20   8.9436e-20      -24.865      -18.003            0       -12713       511.26      -1077.7            0       -12672            0            0            0            0            0            0       90.005      -6.0622       90.078       -2.303   2.1595e-13      -40.193  -6.7125e-15      0.39039            0            0      -8568.2  -2.1582e+05        46054      0.98181     -0.20464            0            0            0            0            0            0            0            0            0         3629         0.39            0  
          0           -6            0     -0.48272     0.018623    0.0058923     0.012731            0   -0.0016568   2.2981e-05   -0.0016798   2.5622e-18   2.6959e-19   -2.209e-21   2.7179e-19      -25.921      -18.009            0       -11707       451.64      -916.63            0       -11675            0            0            0            0            0            0       90.011      -6.0602       90.078      -2.2093   3.9141e-13      -43.509   3.9482e-17      0.39012            0            0      -7882.7  -2.1575e+05        40683      0.98103     -0.18832            0            0            0            0            0            0            0            0            0         3629         0.39            0  
          0         -5.5            0     -0.44243     0.016409     0.005709       0.0107            0   -0.0014155   2.2248e-05   -0.0014378   8.9863e-19    1.691e-19    4.643e-20   1.2267e-19      -26.962      -17.934            0       -10730       397.95       -770.1            0       -10705            0            0            0            0            0            0       90.016      -6.0854       90.078       -2.124   1.3767e-13      -37.173   1.2551e-14      0.39067            0            0      -7220.3  -2.1664e+05        35847      0.98051     -0.17285            0            0            0            0            0            0            0            0            0         3629         0.39            0  
          0           -5            0     -0.40291      0.01442    0.0055422    0.0088774            0  -0.00094826    2.156e-05  -0.00096982    1.963e-18   2.3675e-19   4.2595e-20   1.9415e-19      -27.942      -17.736            0      -9771.2        349.7      -637.15            0      -9752.8            0            0            0            0            0            0        90.02      -6.1534       90.078      -2.0497   2.9963e-13      -24.902   9.8876e-15      0.39182            0            0      -6574.7  -2.1907e+05        31500      0.98012     -0.15787            0            0            0            0            0            0            0            0            0         3629         0.39            0  
          0         -4.5            0     -0.36322     0.012614    0.0053954    0.0072191            0  -0.00053978   2.0944e-05  -0.00056072   1.3813e-18   1.4759e-19   3.2662e-20   1.1493e-19      -28.794      -17.353            0      -8808.7       305.92      -516.58            0      -8795.2            0            0            0            0            0            0       90.024      -6.2892       90.078      -1.9891   2.1055e-13      -14.175   5.9193e-15      0.39297            0            0        -5928   -2.239e+05        27557      0.97949     -0.14273            0            0            0            0            0            0            0            0            0         3629         0.39            0  
          0           -4            0     -0.32316     0.010981    0.0052614    0.0057199            0  -0.00026699   2.0393e-05  -0.00028738  -8.4904e-19  -6.1666e-20    2.382e-20  -8.5486e-20      -29.428      -16.729            0      -7837.1       266.32      -408.31            0      -7827.7            0            0            0            0            0            0       90.026      -6.5239       90.078      -1.9462  -1.2957e-13      -7.0114  -3.3021e-16      0.39387            0            0      -5275.2  -2.3225e+05        23989      0.97856     -0.12728            0            0            0            0            0            0            0            0            0         3629         0.39            0  
          0         -3.5            0     -0.28289    0.0095207    0.0051322    0.0043885            0   -9.229e-05   1.9847e-05  -0.00011214   8.6886e-19   6.7955e-20   1.1085e-20    5.687e-20      -29.713      -15.803            0      -6860.5       230.89      -312.59            0      -6854.2            0            0            0            0            0            0       90.027      -6.9059       90.078      -1.9276   1.3227e-13      -2.4236   2.2525e-15      0.39459            0            0      -4618.6  -2.4585e+05        20798      0.97737     -0.11162            0            0            0            0            0            0            0            0            0         3629         0.39            0  
          0           -3            0     -0.24258    0.0082155    0.0049832    0.0032323            0   2.8913e-05   1.9241e-05   9.6728e-06   9.5771e-19   7.6521e-20   1.6082e-20    6.044e-20      -29.528      -14.543            0      -5883.1       199.24      -229.62            0      -5879.1            0            0            0            0            0            0       90.026      -7.5044       90.078      -1.9397   1.4577e-13      0.75929   4.0011e-15      0.39521            0            0      -3961.1  -2.6716e+05        17947      0.97581    -0.095873            0            0            0            0            0            0            0            0            0         3629         0.39            0  
          0         -2.5            0     -0.20223    0.0070835    0.0048324    0.0022511            0   0.00010417   1.8631e-05   8.5537e-05   1.9084e-18   1.2247e-19   3.8834e-20   8.3633e-20      -28.549      -12.839            0      -4904.4       171.79      -159.39            0      -4902.1            0            0            0            0            0            0       90.023      -8.5008       90.078      -2.0061   2.9019e-13       2.7355   5.9521e-15      0.39574            0            0      -3302.6  -3.0263e+05        15474      0.97373     -0.08003            0            0            0            0            0            0            0            0            0         3629         0.39            0  
          0           -2            0     -0.16168    0.0061691    0.0047254    0.0014437            0   0.00012158   1.8191e-05   0.00010339   2.1296e-19    2.883e-20   1.7204e-20   1.1626e-20      -26.207      -10.538            0      -3920.9       149.61      -101.85            0      -3919.7            0            0            0            0            0            0       90.012      -10.357       90.078      -2.1852   3.2393e-14       3.1927   3.2511e-15      0.39609            0            0      -2640.8  -3.6871e+05        13477      0.97042    -0.064037            0            0            0            0            0            0            0            0            0         3629         0.39            0  
          0         -1.5            0      -0.1212    0.0054158    0.0046001   0.00081574            0   0.00012097   1.7743e-05   0.00010323   7.3268e-19   3.4358e-20   1.2768e-20    2.159e-20      -22.379      -7.7912            0      -2939.4       131.34      -57.168            0      -2938.9            0            0            0            0            0            0       89.988      -14.008       90.078      -2.5585   1.1135e-13       3.1767   2.3053e-15      0.39641            0            0      -1979.6  -4.9869e+05        11831      0.96521    -0.048046            0            0            0            0            0            0            0            0            0         3629         0.39            0  
          0           -1            0    -0.080636    0.0048763    0.0045113   0.00036499            0   9.8798e-05     1.74e-05   8.1399e-05   3.7756e-19   3.1549e-20    2.554e-20   6.0087e-21      -16.536      -4.6957            0      -1955.6       118.26      -25.279            0      -1955.4            0            0            0            0            0            0       89.914      -23.242       90.078      -3.4606   5.7362e-14       2.5945   3.7921e-15      0.39656            0            0      -1317.2  -8.2742e+05        10653      0.95484    -0.031977            0            0            0            0            0            0            0            0            0         3629         0.39            0  
          0         -0.5            0    -0.039996     0.004554    0.0044613    9.274e-05            0   6.1757e-05   1.7202e-05   4.4555e-05   1.0661e-19  -4.8675e-21  -6.1081e-21   1.2405e-21      -8.7825      -1.7564            0      -969.97       110.44      -6.2154            0      -969.95            0            0            0            0            0            0         89.5      -62.137       90.078      -6.4959   1.6196e-14       1.6218  -8.8081e-16      0.39619            0            0      -653.54  -2.2121e+06       9948.5       0.9245    -0.015846            0            0            0            0            0            0            0            0            0         3629         0.39            0  
          0            0            0    0.0006754    0.0044427    0.0044428  -7.4262e-08            0    1.744e-05   1.7137e-05   3.0253e-07  -4.7027e-21   4.3313e-20   4.3313e-20  -3.7622e-25      0.15202    0.0039509       38.479        16.38       107.74    -0.001801            0        16.38            0            0            0            0            0            0       13.538        27624       90.078       81.356  -7.1439e-16      0.45797   6.5798e-15      0.40715            0            0       10.753   9.8342e+08       9705.3     -0.32923   0.00027499            0            0            0            0            0            0            0            0            0         3629         0.39            0  
          0          0.5            0     0.041346    0.0045487    0.0044619   8.6816e-05            0  -2.6063e-05   1.7205e-05  -4.3267e-05  -3.1095e-19   1.3906e-20   1.1106e-20   2.8009e-21       9.0896       1.8483       4.9179       1002.7       110.31      -6.6449            0       1002.7            0            0            0            0            0            0       89.538       59.049       90.078       6.2782   -4.724e-14     -0.68443   1.7004e-15      0.39576            0            0       675.03   2.1022e+06       9936.9       1.0554     0.016363            0            0            0            0            0            0            0            0            0         3629         0.39            0  
          0            1            0     0.081969    0.0048702    0.0045172   0.00035301            0  -5.7875e-05   1.7425e-05    -7.53e-05  -5.2411e-19   5.4108e-20   4.4417e-20   9.6913e-21       16.831       4.8187       3.4928       1987.9       118.11      -26.134            0       1987.7            0            0            0            0            0            0       89.919       22.649       90.078       3.4003  -7.9633e-14      -1.5198    6.831e-15      0.39654            0            0       1338.4   8.0632e+05        10639       1.0201     0.032504            0            0            0            0            0            0            0            0            0         3629         0.39            0  
