Cessna208_HTP_VTP_v1
HTPVTP_T1-90.1 m/s-TriUniform-ThinSurf-x0.3825m_FL100
Freestream speed = 90.078 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0          -11            0     -0.95288     0.084364     0.035319     0.049045   9.2643e-05    0.0011221    0.0027903   -0.0016683   9.2614e-06  -4.4393e-05    3.213e-06  -4.7606e-05      -11.295      -11.026            0       -23109         2046      -3241.8       2.2467       -22911      -2673.1       6.5033       -23248            0            0            0       89.727      -9.8986       90.078      -5.0595    0.0011457       29.466      -6.8884      0.37844  -0.00015226    0.0037404       -15658  -3.5239e+05    1.843e+05      0.99228     -0.36061            0            0            0            0            0            0            0            0            0         3629       0.3825            0  
          0        -10.5            0     -0.91502     0.090411     0.045174     0.045236   8.7694e-05    0.0012406    0.0030979   -0.0018573   9.0598e-06  -3.9708e-05   4.5116e-06   -4.422e-05      -10.121      -9.6811            0       -22191       2192.6      -2965.3       2.1267       -22019      -2444.4       5.8971       -22346            0            0            0       89.641      -11.273       90.078      -5.6429      0.12908       32.579      -6.1819      0.37881  -0.00014933    0.0033126       -15056  -4.0133e+05   1.9751e+05      0.99202     -0.34662            0            0            0            0            0            0            0            0            0         3629       0.3825            0  
          0          -10            0     -0.87699      0.12022      0.07865     0.041566   8.2718e-05    0.0017265    0.0037648   -0.0020383   8.8497e-06  -3.3803e-05   7.1297e-06  -4.0932e-05      -7.2952      -6.8318            0       -21269       2915.4      -2700.5        2.006       -21120      -2225.8       5.3173       -21437            0            0            0       89.243      -15.975       90.078      -7.8053      0.24418       45.339      -5.2904      0.37914  -0.00014618     0.002828       -14449  -5.6872e+05   2.6262e+05      0.99175      -0.3325            0            0            0            0            0            0            0            0            0         3629       0.3825            0  
          0         -9.5            0      -0.8388      0.10392     0.065881     0.038036   7.7716e-05    0.0011759    0.0033873   -0.0022114   8.6283e-06  -3.0612e-05   7.1321e-06  -3.7744e-05      -8.0718      -7.3927            0       -20342       2520.2      -2447.7       1.8848       -20216      -2017.3       4.7642       -20520            0            0            0       89.395      -14.763       90.078      -7.0622      0.34643        30.88      -4.8028      0.37941  -0.00014279    0.0022787       -13838  -5.2557e+05   2.2701e+05      0.99144     -0.31825            0            0            0            0            0            0            0            0            0         3629       0.3825            0  
          0           -9            0     -0.80046     0.082831      0.04818     0.034651   7.2691e-05   0.00053137    0.0029078   -0.0023764   8.3931e-06  -2.1633e-05   1.3021e-05  -3.4654e-05      -9.6638      -8.6461            0       -19413       2008.8      -2206.8       1.7629       -19305        -1819        4.238       -19598            0            0            0         89.6      -12.623       90.078      -5.9079      0.43579       13.954      -3.4453      0.37963  -0.00013911    0.0016551       -13223  -4.4938e+05   1.8095e+05       0.9911     -0.30388            0            0            0            0            0            0            0            0            0         3629       0.3825            0  
          0         -8.5            0     -0.76198      0.05721     0.025799     0.031411   6.7644e-05  -0.00015239     0.002381   -0.0025334   8.1414e-06  -2.1746e-05   9.9177e-06  -3.1664e-05      -13.319      -11.626            0       -18479       1387.4        -1978       1.6405       -18389        -1631       3.7387       -18668            0            0            0       89.825      -9.3871       90.078      -4.2938      0.51222       -4.002        -3.45      0.37979  -0.00013508   0.00094584       -12604  -3.3419e+05   1.2498e+05      0.99072     -0.28939            0            0            0            0            0            0            0            0            0         3629       0.3825            0  
          0           -8            0     -0.72336      0.03832         0.01      0.02832   6.2575e-05  -0.00063521     0.002047   -0.0026822   7.8706e-06  -2.5377e-05    3.394e-06  -2.8771e-05      -18.877      -16.055            0       -17543       929.34      -1761.3       1.5176       -17468      -1453.2       3.2666       -17733            0            0            0       89.952      -6.7979       90.078      -3.0325      0.57571      -16.681       -3.984      0.37989  -0.00013064    0.0001369       -11982  -2.4201e+05        83713      0.99028      -0.2748            0            0            0            0            0            0            0            0            0         3629       0.3825            0  
          0         -7.5            0     -0.68461     0.034589    0.0092088      0.02538   5.7488e-05  -0.00078649    0.0020364   -0.0028229    7.578e-06  -2.5884e-05   9.3314e-08  -2.5978e-05      -19.793      -16.377            0       -16603       838.84      -1556.9       1.3942       -16541      -1285.8       2.8217       -16792            0            0            0       89.963      -6.6642       90.078      -2.8923      0.62625      -20.654      -4.0487      0.37992  -0.00012572  -0.00078891       -11356  -2.3725e+05        75561      0.98978      -0.2601            0            0            0            0            0            0            0            0            0         3629       0.3825            0  
          0           -7            0     -0.64573     0.031524    0.0089309     0.022593   5.2383e-05  -0.00091943    0.0020359   -0.0029553   7.2611e-06  -2.3211e-05   7.0381e-08  -2.3282e-05      -20.484       -16.46            0       -15660        764.5      -1364.6       1.2704       -15610      -1128.8       2.4043       -15846            0            0            0       89.971      -6.6304       90.078      -2.7949       0.6638      -24.145      -3.6342      0.37987  -0.00012021    -0.001853       -10727  -2.3604e+05        68865      0.98919      -0.2453            0            0            0            0            0            0            0            0            0         3629       0.3825            0  
          0         -6.5            0     -0.60674     0.028684    0.0087229     0.019961   4.7261e-05   -0.0010429    0.0020366   -0.0030795   6.9172e-06  -2.0628e-05   5.5062e-08  -2.0683e-05      -21.153      -16.477            0       -14714       695.62      -1184.7       1.1462       -14675       -982.2       2.0144       -14894            0            0            0       89.978      -6.6238       90.078      -2.7067      0.68837      -27.388      -3.2325      0.37974    -0.000114   -0.0030822       -10095  -2.3581e+05        62660       0.9885      -0.2304            0            0            0            0            0            0            0            0            0         3629       0.3825            0  
