Cessna208_wing
T1-90.0 m/s-LLT-x0.56m
Freestream speed = 90.028 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0          -24            0      -1.7194      0.12946     0.025468      0.10399            0    -0.037955    0.0017767    -0.039731   2.1923e-18   9.4927e-19   2.4622e-19   7.0305e-19      -13.282      -17.416            0   -2.229e+05        16783       -78346            0  -2.0911e+05            0            0            0            0            0            0       89.774       -2.709       90.028      -4.3058    4.705e-12      -8268.5   4.1321e-14      0.47352            0            0   -3.934e+05       -96440   1.5109e+06       0.9397     -0.81418            0            0            0            0            0            0            0            0            0         3629         0.56            0  
          0        -23.5            0      -1.7024      0.12498     0.023206      0.10177            0    -0.036421    0.0016124    -0.038033   4.6044e-18   1.8485e-18   1.1838e-19   1.7301e-18      -13.622      -17.773            0   -2.207e+05        16202       -75903            0  -2.0765e+05            0            0            0            0            0            0       89.786      -2.6545       90.028      -4.1987   1.0098e-11      -7934.4  -2.4736e-13      0.47662            0            0  -3.8977e+05       -94501   1.4586e+06      0.94129     -0.81141            0            0            0            0            0            0            0            0            0         3629         0.56            0  
          0          -23            0      -1.6828      0.12061     0.021311     0.099299            0    -0.034638    0.0014768    -0.036115   7.6811e-19   3.8085e-19   1.9028e-19   1.9057e-19      -13.952      -18.099            0  -2.1815e+05        15635       -73388            0  -2.0584e+05            0            0            0            0            0            0       89.797      -2.6066       90.028      -4.0995   1.6066e-12        -7546   1.6859e-13      0.47985            0            0  -3.8542e+05       -92797   1.4076e+06      0.94263     -0.80749            0            0            0            0            0            0            0            0            0         3629         0.56            0  
          0        -22.5            0      -1.6604       0.1163     0.019727     0.096574            0    -0.032711    0.0013641    -0.034075   4.4382e-18   9.6543e-19   1.5633e-19    8.091e-19      -14.277      -18.397            0  -2.1525e+05        15077       -70805            0  -2.0365e+05            0            0            0            0            0            0       89.808      -2.5645       90.028      -4.0067   9.0657e-12      -7126.3  -1.6069e-12      0.48311            0            0  -3.8044e+05       -91298   1.3573e+06       0.9436     -0.80216            0            0            0            0            0            0            0            0            0         3629         0.56            0  
          0          -22            0      -1.6358      0.11205     0.018414     0.093641            0    -0.030651    0.0012706    -0.031922   4.9345e-18   2.0532e-18   1.0998e-19   1.9432e-18      -14.598      -18.671            0  -2.1206e+05        14526       -68182            0  -2.0116e+05            0            0            0            0            0            0       89.817      -2.5268       90.028      -3.9187   1.0902e-11      -6677.5   1.4772e-13      0.48643            0            0  -3.7497e+05       -89957   1.3078e+06      0.94453      -0.7957            0            0            0            0            0            0            0            0            0         3629         0.56            0  
          0        -21.5            0      -1.6095      0.10788     0.017309     0.090575            0     -0.02847     0.001192    -0.029662   8.0343e-18   3.5499e-18   3.3273e-20   3.5166e-18      -14.919      -18.927            0  -2.0865e+05        13986       -65544            0  -1.9843e+05            0            0            0            0            0            0       89.826      -2.4927       90.028      -3.8348   1.8017e-11      -6202.2   7.4648e-13      0.48982            0            0  -3.6912e+05       -88741   1.2591e+06      0.94534     -0.78837            0            0            0            0            0            0            0            0            0         3629         0.56            0  
          0          -21            0      -1.5815      0.10376     0.016359     0.087405            0    -0.026237    0.0011245    -0.027361   7.7409e-18   2.8554e-18  -3.2572e-20    2.888e-18      -15.242      -19.168            0  -2.0502e+05        13451       -62895            0  -1.9547e+05            0            0            0            0            0            0       89.835      -2.4613       90.028      -3.7537   1.6984e-11      -5715.8  -2.3195e-13      0.49325            0            0  -3.6288e+05       -87624    1.211e+06       0.9459     -0.78009            0            0            0            0            0            0            0            0            0         3629         0.56            0  
          0        -20.5            0      -1.5525     0.099723     0.015537     0.084186            0    -0.023891    0.0010663    -0.024957   3.9215e-18   1.5434e-18   7.7205e-20   1.4662e-18      -15.568      -19.398            0  -2.0126e+05        12928       -60261            0  -1.9234e+05            0            0            0            0            0            0       89.843      -2.4321       90.028      -3.6752   8.6067e-12      -5204.8   1.6944e-13      0.49678            0            0  -3.5638e+05       -86584   1.1638e+06      0.94636     -0.77127            0            0            0            0            0            0            0            0            0         3629         0.56            0  
          0          -20            0      -1.5221     0.095695     0.014805      0.08089            0    -0.021582    0.0010132    -0.022595   4.9628e-18   1.7166e-18   9.8355e-21   1.7068e-18      -15.906      -19.624            0  -1.9732e+05        12405       -57634            0  -1.8901e+05            0            0            0            0            0            0        89.85      -2.4041       90.028      -3.5974   1.0787e-11      -4701.6  -1.7076e-13      0.50029            0            0  -3.4966e+05       -85587   1.1168e+06      0.94675     -0.76151            0            0            0            0            0            0            0            0            0         3629         0.56            0  
          0        -19.5            0      -1.4901     0.091689     0.014161     0.077528            0    -0.019383   0.00096667    -0.020349  -1.5845e-19  -2.3176e-19  -1.0277e-20  -2.2148e-19      -16.252      -19.839            0  -1.9317e+05        11886       -55007            0  -1.8544e+05            0            0            0            0            0            0       89.858      -2.3781       90.028      -3.5211  -4.5902e-13      -4222.6  -3.4287e-13      0.50367            0            0  -3.4265e+05       -84662   1.0701e+06      0.94667     -0.75052            0            0            0            0            0            0            0            0            0         3629         0.56            0  
