Cessna208_HTP_VTP_v1
T5-a0.0°-90.1m/s-VLM2-x0.4m


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0            0          -15     -0.10361    -0.032133    0.0076947    -0.039828      0.24234    -0.061644    0.0031617    -0.064806    -0.036482    0.0093655   2.5905e-05    0.0093396       3.2245        1.038            0      -2512.8       774.76      -965.89       5877.2      -2512.8      -1573.3       5871.5        -1188            0            0            0       86.036       105.15       90.078        17.23      -5542.1      -1618.8       1422.7      0.30529     -0.77329     -0.47936      -2599.4   3.7433e+06       -70196    -0.014448    -0.031633            0            0            0            0            0            0            0            0            0         3629         0.39            0  
          0            0        -14.5     -0.10426    -0.029613    0.0076161    -0.037229      0.23498    -0.057614    0.0030565     -0.06067    -0.035374      0.00908   2.4012e-05    0.0090559       3.5206       1.1368            0      -2528.4       737.42      -902.87       5698.7      -2528.4      -1472.4       5693.2      -1288.6            0            0            0        86.65       96.007       90.078       15.857      -5373.7        -1513       1379.4      0.31099     -0.74519     -0.44483      -2581.4   3.4179e+06       -64691    -0.015648    -0.032423            0            0            0            0            0            0            0            0            0         3629         0.39            0  
          0            0          -14     -0.10488    -0.027163    0.0075478    -0.034711      0.22755    -0.053696    0.0029664    -0.056663    -0.034255    0.0087919   2.2372e-05    0.0087695        3.861       1.2504            0      -2543.5       701.27       -841.8       5518.4      -2543.5      -1374.6       5513.1        -1386            0            0            0       87.201       87.283       90.078        14.52      -5203.7      -1410.1       1335.6      0.31645     -0.71733     -0.41177      -2562.8   3.1073e+06       -59339    -0.016984    -0.033189            0            0            0            0            0            0            0            0            0         3629         0.39            0  
          0            0        -13.5     -0.10548    -0.024774    0.0075006    -0.032274      0.22004    -0.049874    0.0029111    -0.052785    -0.033125    0.0085017   2.1233e-05    0.0084805       4.2577       1.3828            0      -2558.1       666.59      -782.71       5336.4      -2558.1      -1279.9       5331.3      -1480.3            0            0            0       87.692       78.924       90.078       13.217      -5032.2      -1309.7       1291.5      0.32167     -0.68972     -0.38015      -2543.7   2.8097e+06       -54119    -0.018477     -0.03393            0            0            0            0            0            0            0            0            0         3629         0.39            0  
          0            0          -13     -0.10606    -0.022466    0.0074538     -0.02992      0.21247    -0.046182    0.0028548    -0.049037    -0.031986    0.0082089   2.0114e-05    0.0081888        4.721       1.5375            0      -2572.2        632.9       -725.6       5152.9      -2572.2      -1188.5       5147.9      -1571.4            0            0            0       88.123       70.984       90.078        11.96        -4859      -1212.8         1247      0.32666     -0.66234     -0.34993        -2524   2.5271e+06       -49078    -0.020152    -0.034646            0            0            0            0            0            0            0            0            0         3629         0.39            0  
          0            0        -12.5     -0.10662    -0.020229    0.0074184    -0.027648      0.20484    -0.042607    0.0028148    -0.045422    -0.030837    0.0079139   1.9208e-05    0.0078947       5.2707       1.7211            0      -2585.8       600.51       -670.5       4967.7      -2585.8      -1100.2       4962.9      -1659.3            0            0            0       88.499       63.413       90.078       10.743      -4684.4      -1118.9       1202.2      0.33142     -0.63518     -0.32109      -2503.9   2.2576e+06       -44192    -0.022039    -0.035337            0            0            0            0            0            0            0            0            0         3629         0.39            0  
          0            0          -12     -0.10716    -0.018075    0.0073841    -0.025459      0.19714    -0.039163    0.0027759    -0.041939    -0.029678    0.0076164   1.8333e-05    0.0075981       5.9287       1.9408            0      -2598.9       569.17      -617.43       4781.1      -2598.9      -1015.3       4776.4        -1744            0            0            0       88.823       56.233       90.078        9.574      -4508.4      -1028.4         1157      0.33596     -0.60823      -0.2936      -2483.2   2.0019e+06       -39486    -0.024177    -0.036002            0            0            0            0            0            0            0            0            0         3629         0.39            0  
          0            0        -11.5     -0.10768    -0.016004     0.007351    -0.023355      0.18939    -0.035851    0.0027382     -0.03859     -0.02851    0.0073167   1.7486e-05    0.0072993       6.7285        2.208            0      -2611.5       538.93       -566.4       4592.9      -2611.5      -933.54       4588.5      -1825.4            0            0            0       89.099       49.429       90.078       8.4535        -4331      -941.48       1111.5      0.34028     -0.58148     -0.26742      -2461.9   1.7597e+06       -34961    -0.026611    -0.036642            0            0            0            0            0            0            0            0            0         3629         0.39            0  
          0            0          -11     -0.10818    -0.014019    0.0073169    -0.021335      0.18157    -0.032677    0.0026982    -0.035376    -0.027334    0.0070148   1.6627e-05    0.0069982        7.717       2.5382            0      -2623.6       509.74      -517.42       4403.4      -2623.6      -855.11       4399.2      -1903.6            0            0            0       89.331       42.998       90.078       7.3834      -4152.3      -858.13       1065.6      0.34438     -0.55491     -0.24253      -2440.2   1.5307e+06       -30624      -0.0294    -0.037256            0            0            0            0            0            0            0            0            0         3629         0.39            0  
          0            0        -10.5     -0.10866     -0.01212    0.0072811    -0.019401       0.1737    -0.029643    0.0026544    -0.032297    -0.026149    0.0067107   1.5749e-05    0.0066949       8.9651       2.9552            0      -2635.2       481.62      -470.52       4212.6      -2635.2         -780       4208.5      -1978.4            0            0            0       89.523       36.931       90.078       6.3647      -3972.4      -778.45       1019.4      0.34828     -0.52852     -0.21891      -2417.9   1.3148e+06       -26477    -0.032618    -0.037844            0            0            0            0            0            0            0            0            0         3629         0.39            0  
