Cessna208_wing
T1-90.1 m/s-TriUniform-ThickSurf-x0.58m_FL100
Freestream speed = 90.078 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0        -21.5            0      -1.6984      0.11682     0.019955     0.096861   9.9338e-07    -0.051613    0.0014232    -0.053036   5.1677e-06  -2.5115e-05  -1.3456e-06  -2.3769e-05      -14.539      -18.947            0   -1.628e+05        11197       -51026     0.095219  -1.5487e+05       -47742      -9.2244  -1.5247e+05            0            0            0       89.866      -2.8973       90.078      -3.9346      -5.9332        -8314      -38.398      0.50716  -2.8872e-05     0.092408  -2.6279e+05  -1.0314e+05   1.0086e+06      0.98434     -0.86135            0            0            0            0            0            0            0            0            0         3629         0.58            0  
          0          -21            0      -1.6571      0.11018     0.017805     0.092377   9.1491e-07    -0.049867    0.0012549    -0.051122   5.1862e-06  -2.3656e-05  -7.6607e-07   -2.289e-05       -15.04      -19.361            0  -1.5884e+05        10561       -48657     0.087697  -1.5146e+05       -45489      -8.8675  -1.4915e+05            0            0            0        89.88      -2.8354       90.078       -3.804      -5.1096      -8032.7      -36.395      0.50872  -3.0494e-05     0.092106  -2.5716e+05  -1.0094e+05   9.5134e+05      0.98257     -0.84301            0            0            0            0            0            0            0            0            0         3629         0.58            0  
          0        -20.5            0      -1.6156      0.10434     0.016381     0.087964   8.3548e-07    -0.048091     0.001151    -0.049242   5.2176e-06  -2.2549e-05  -5.1795e-07  -2.2031e-05      -15.483      -19.681            0  -1.5486e+05        10002       -46336     0.080083  -1.4801e+05       -43283      -8.5184  -1.4578e+05            0            0            0       89.891      -2.7894       90.078      -3.6953      -4.2989      -7746.7      -34.882      0.51023  -3.2315e-05     0.091764  -2.5144e+05       -99303   9.0094e+05      0.98082     -0.82434            0            0            0            0            0            0            0            0            0         3629         0.58            0  
          0          -20            0      -1.5739     0.098914      0.01529     0.083624   7.5511e-07    -0.046323    0.0010747    -0.047398   5.2616e-06  -2.1588e-05   -3.969e-07  -2.1191e-05      -15.911      -19.961            0  -1.5086e+05       9481.2       -44065      0.07238   -1.445e+05       -41124      -8.1772  -1.4236e+05            0            0            0       89.901      -2.7501       90.078      -3.5962      -3.5013      -7461.9      -33.571      0.51169  -3.4344e-05     0.091378  -2.4565e+05       -97906   8.5405e+05      0.97908     -0.80532            0            0            0            0            0            0            0            0            0         3629         0.58            0  
          0        -19.5            0      -1.5319     0.093792     0.014432     0.079361   6.7384e-07    -0.044574    0.0010153     -0.04559   5.3175e-06  -2.0648e-05  -2.7661e-07  -2.0371e-05      -16.332      -20.214            0  -1.4683e+05       8990.3       -41843      0.06459  -1.4095e+05       -39014       -7.844   -1.389e+05            0            0            0        89.91      -2.7157       90.078      -3.5037      -2.7171      -7180.2      -32.283      0.51308  -3.6594e-05     0.090944  -2.3977e+05       -96681   8.0983e+05      0.97735     -0.78597            0            0            0            0            0            0            0            0            0         3629         0.58            0  
          0          -19            0      -1.4896     0.088917     0.013739     0.075178   5.9169e-07    -0.042849   0.00096858    -0.043818   5.3847e-06  -1.9785e-05  -2.1365e-07  -1.9572e-05      -16.753      -20.447            0  -1.4278e+05         8523       -39673     0.056715  -1.3735e+05       -36952      -7.5189  -1.3538e+05            0            0            0       89.918      -2.6848       90.078       -3.416      -1.9465      -6902.3      -31.101      0.51442  -3.9078e-05     0.090457  -2.3382e+05       -95581   7.6773e+05      0.97562     -0.76629            0            0            0            0            0            0            0            0            0         3629         0.58            0  
          0        -18.5            0      -1.4472     0.084236     0.013156      0.07108   5.0867e-07    -0.041152   0.00093102    -0.042083   5.4627e-06  -1.8959e-05  -1.6586e-07  -1.8793e-05       -17.18      -20.667            0  -1.3871e+05       8074.3       -37554     0.048758  -1.3371e+05       -34940      -7.2021  -1.3182e+05            0            0            0       89.926      -2.6562       90.078      -3.3313      -1.1898        -6629      -29.964       0.5157   -4.181e-05     0.089912  -2.2779e+05       -94563   7.2731e+05      0.97388      -0.7463            0            0            0            0            0            0            0            0            0         3629         0.58            0  
          0          -18            0      -1.4045     0.079685     0.012617     0.067068   4.2482e-07    -0.039489   0.00089783    -0.040386   5.5508e-06  -1.8184e-05  -1.4812e-07  -1.8036e-05      -17.625      -20.888            0  -1.3462e+05       7638.1       -35487     0.040721  -1.3002e+05       -32979      -6.8936  -1.2821e+05            0            0            0       89.933      -2.6282       90.078      -3.2473     -0.44716        -6361      -28.894      0.51691  -4.4808e-05     0.089303  -2.2168e+05       -93564   6.8802e+05      0.97213     -0.72599            0            0            0            0            0            0            0            0            0         3629         0.58            0  
          0        -17.5            0      -1.3616     0.075258     0.012111     0.063148   3.4017e-07    -0.037861   0.00086668    -0.038728   5.6484e-06  -1.7423e-05   -1.237e-07  -1.7299e-05      -18.092      -21.111            0  -1.3051e+05       7213.7       -33472     0.032606  -1.2629e+05       -31067      -6.5936  -1.2456e+05            0            0            0       89.941      -2.6004       90.078      -3.1637      0.28115      -6098.8       -27.84      0.51806   -4.809e-05     0.088621  -2.1551e+05       -92576    6.498e+05      0.97037     -0.70537            0            0            0            0            0            0            0            0            0         3629         0.58            0  
          0          -17            0      -1.3184     0.070981     0.011661     0.059321   2.5473e-07    -0.036269    0.0008388    -0.037107    5.755e-06   -1.669e-05  -1.0458e-07  -1.6585e-05      -18.574      -21.328            0  -1.2638e+05       6803.8       -31511     0.024416  -1.2252e+05       -29207       -6.302  -1.2087e+05            0            0            0       89.948      -2.5739       90.078      -3.0817      0.99494      -5842.3      -26.818      0.51914  -5.1678e-05     0.087861  -2.0926e+05       -91633   6.1287e+05      0.96858     -0.68446            0            0            0            0            0            0            0            0            0         3629         0.58            0  
