Cessna208_wing
T1-90.1 m/s-VLM1-x0.56m_FL100_wingtip_pressure
Freestream speed = 90.078 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0          -23            0      -1.7101      0.11132     0.019721     0.091596    5.965e-18    -0.072178    0.0014476    -0.073626   6.5328e-17   7.1503e-18   3.1735e-18   3.9769e-18      -15.362       -20.09            0  -1.6392e+05        10670       -55966   5.7177e-13  -1.5432e+05       -65568  -2.0229e-12  -1.5447e+05            0            0            0       89.888      -2.7326       90.078      -3.7244   9.3769e-11       -11627  -2.8667e-11      0.55483  -9.3681e-16      0.14169  -2.6017e+05       -97281   9.6114e+05       1.0553     -0.94882            0            0            0            0            0            0            0            0            0         3629         0.56            0  
          0        -22.5            0      -1.6723      0.10565     0.017868     0.087781   5.1917e-18    -0.069913     0.001302    -0.071215  -1.5046e-17  -2.3712e-18   1.1169e-18   -3.488e-18      -15.828      -20.469            0  -1.6029e+05        10127       -53567   4.9764e-13  -1.5131e+05       -62734   3.4838e-13  -1.5145e+05            0            0            0       89.899       -2.682       90.078       -3.615  -2.3159e-11       -11262   5.3969e-12      0.55391  -1.1311e-15      0.14161  -2.5521e+05       -95480    9.122e+05        1.053     -0.92628            0            0            0            0            0            0            0            0            0         3629         0.56            0  
          0          -22            0      -1.6342      0.10057     0.016561     0.084011  -1.0446e-17    -0.067641    0.0012042    -0.068845  -6.1571e-17  -4.9437e-17   3.0496e-18  -5.2486e-17      -16.249      -20.771            0  -1.5664e+05       9640.2       -51212  -1.0013e-12  -1.4825e+05       -59952   1.4862e-12  -1.4839e+05            0            0            0       89.908      -2.6429       90.078      -3.5217  -1.1666e-10       -10896  -3.4492e-11      0.55298    4.259e-16      0.14154  -2.5017e+05       -94087   8.6837e+05       1.0507     -0.90367            0            0            0            0            0            0            0            0            0         3629         0.56            0  
          0        -21.5            0      -1.5959     0.095833     0.015542     0.080291  -2.3905e-18    -0.065387    0.0011305    -0.066518   1.1528e-16   2.7156e-17   4.3253e-19   2.6723e-17      -16.653      -21.037            0  -1.5297e+05       9185.9       -48902  -2.2913e-13  -1.4514e+05       -57224   3.2951e-12  -1.4527e+05            0            0            0       89.916      -2.6096       90.078      -3.4365   1.7792e-10       -10533  -2.5859e-11      0.55205  -2.3245e-15      0.14148  -2.4505e+05       -92901   8.2745e+05       1.0484     -0.88099            0            0            0            0            0            0            0            0            0         3629         0.56            0  
          0          -21            0      -1.5573     0.091334     0.014712     0.076622  -3.8218e-18    -0.063161    0.0010717    -0.064233   4.0959e-17   3.2726e-17   9.0853e-19   3.1817e-17      -17.051      -21.278            0  -1.4927e+05       8754.7       -46638  -3.6634e-13  -1.4199e+05       -54552   1.5534e-12  -1.4211e+05            0            0            0       89.923        -2.58       90.078      -3.3565   7.5456e-11       -10174   2.4232e-11       0.5511   2.0791e-16      0.14142  -2.3985e+05       -91848    7.886e+05       1.0462     -0.85824            0            0            0            0            0            0            0            0            0         3629         0.56            0  
          0        -20.5            0      -1.5185     0.087041     0.014032     0.073009  -8.1623e-18    -0.060968    0.0010243    -0.061992   4.1668e-17   4.7589e-18   4.4919e-19   4.3097e-18      -17.446      -21.499            0  -1.4556e+05       8343.2       -44420  -7.8238e-13  -1.3879e+05       -51934   4.3071e-13   -1.389e+05            0            0            0        89.93      -2.5534       90.078      -3.2805   6.1619e-11      -9820.9  -1.5346e-11      0.55015   -1.612e-15      0.14137  -2.3457e+05       -90904   7.5154e+05        1.044     -0.83542            0            0            0            0            0            0            0            0            0         3629         0.56            0  
          0          -20            0      -1.4796     0.082915     0.013462     0.069454  -7.9686e-18    -0.058811    0.0009849    -0.059796  -3.9031e-17  -6.4472e-17    2.173e-19  -6.4689e-17      -17.844      -21.705            0  -1.4182e+05       7947.7       -42250  -7.6381e-13  -1.3555e+05       -49373  -1.8421e-12  -1.3565e+05            0            0            0       89.937      -2.5292       90.078      -3.2075  -8.9382e-11      -9473.4  -7.1777e-11      0.54918  -1.0625e-15      0.14133  -2.2922e+05       -90040   7.1591e+05       1.0418     -0.81255            0            0            0            0            0            0            0            0            0         3629         0.56            0  
          0        -19.5            0      -1.4404     0.078924     0.012965     0.065959  -6.3042e-18    -0.056692    0.0009519    -0.057644  -5.4926e-17  -3.3595e-17   -1.972e-20  -3.3576e-17       -18.25      -21.903            0  -1.3806e+05       7565.1       -40127  -6.0428e-13  -1.3226e+05       -46870  -1.6121e-12  -1.3236e+05            0            0            0       89.943      -2.5064       90.078      -3.1363  -9.5737e-11      -9132.1  -2.0353e-11       0.5482   5.2716e-16      0.14129   -2.238e+05       -89227   6.8145e+05       1.0397     -0.78961            0            0            0            0            0            0            0            0            0         3629         0.56            0  
          0          -19            0       -1.401     0.075013     0.012484     0.062529   2.3949e-18    -0.054617   0.00092071    -0.055538    8.391e-17   2.5854e-17    9.447e-19   2.4909e-17      -18.676      -22.106            0  -1.3429e+05       7190.2       -38052   2.2956e-13  -1.2892e+05       -44424   1.3297e-12  -1.2902e+05            0            0            0       89.949      -2.4834       90.078      -3.0649   1.3292e-10      -8797.9  -4.2651e-12       0.5472   7.3972e-17      0.14126   -2.183e+05       -88409   6.4768e+05       1.0375     -0.76661            0            0            0            0            0            0            0            0            0         3629         0.56            0  
          0        -18.5            0      -1.3613     0.071197     0.012032     0.059165  -1.1361e-17    -0.052587   0.00089128    -0.053478  -2.1428e-17  -3.1311e-17   3.3759e-19  -3.1649e-17      -19.121       -22.31            0  -1.3049e+05       6824.5       -36027   -1.089e-12  -1.2555e+05       -42036   3.1302e-12  -1.2563e+05            0            0            0       89.955      -2.4607       90.078      -2.9938  -4.6152e-11      -8470.8  -3.4814e-11      0.54619  -3.7482e-16      0.14124  -2.1273e+05       -87601   6.1473e+05       1.0354     -0.74355            0            0            0            0            0            0            0            0            0         3629         0.56            0  
          0          -18            0      -1.3215     0.067497     0.011627      0.05587  -7.9093e-18      -0.0506   0.00086462    -0.051465  -6.6844e-18  -5.9718e-18   1.3459e-19  -6.1064e-18      -19.579      -22.508            0  -1.2667e+05       6469.8       -34051  -7.5813e-13  -1.2213e+05       -39709  -1.4415e-12  -1.2221e+05            0            0            0       89.961       -2.439       90.078      -2.9238  -1.2531e-11      -8150.8  -5.5394e-12      0.54515  -9.9761e-16      0.14123   -2.071e+05       -86829   5.8279e+05       1.0332     -0.72044            0            0            0            0            0            0            0            0            0         3629         0.56            0  
          0        -17.5            0      -1.2815     0.063899      0.01125     0.052648  -4.4407e-18     -0.04866   0.00083927    -0.049499   5.9272e-17  -1.8034e-18   2.3371e-19  -2.0371e-18      -20.056      -22.704            0  -1.2284e+05       6124.9       -32126  -4.2566e-13  -1.1867e+05       -37441  -2.7058e-12  -1.1875e+05            0            0            0       89.966      -2.4179       90.078      -2.8545   8.4995e-11      -7838.3  -2.9751e-11      0.54409  -1.2674e-15      0.14123  -2.0139e+05       -86078   5.5172e+05       1.0311     -0.69727            0            0            0            0            0            0            0            0            0         3629         0.56            0  
