KingAir350_HTP_v2
T1-100.3 m/s-TriUniform-ThickSurf-x0.8m
Freestream speed = 100.317 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0          -22            0      -1.5674      0.17107     0.018969       0.1521     3.29e-16   -0.0015159    0.0002815   -0.0017974   0.00016124   1.8984e-05   1.9572e-06   1.7027e-05      -9.1622      -11.471            0       -26323         2873      -7492.5   5.5252e-12       -25364      -7262.3   1.1454e-11       -25373            0            0            0       99.725            0       100.32      -6.2288       15.055      -29.576      -4.1337      0.77015   5.9472e-15    -0.022263       -15859            0   2.8821e+05      0.98684      -1.2071            0            0            0            0            0            0            0            0            0            0          0.8            0  
          0        -21.5            0      -1.5361      0.16379     0.017688       0.1461   2.6012e-16   -0.0015511   0.00020796   -0.0017591   0.00015804   1.8176e-05    1.825e-06   1.6351e-05      -9.3783      -11.623            0       -25797       2750.7      -7171.8   4.3685e-12       -24901      -6952.1   1.9153e-12       -24911            0            0            0       99.752            0       100.32      -6.0864       14.781      -30.264       -3.961      0.77123   5.8829e-15    -0.022391       -15570            0   2.7594e+05      0.98671      -1.1847            0            0            0            0            0            0            0            0            0            0          0.8            0  
          0          -21            0      -1.5045      0.15693     0.016769      0.14016   2.9946e-16   -0.0015556   0.00016486   -0.0017205   0.00015482   1.7412e-05   1.7302e-06   1.5682e-05      -9.5866      -11.759            0       -25266       2635.6        -6857   5.0291e-12       -24431      -6647.8   1.2446e-11       -24441            0            0            0       99.776            0       100.32      -5.9551       14.502      -30.352      -3.7884      0.77228   8.8798e-15    -0.022531       -15276            0   2.6439e+05      0.98661      -1.1619            0            0            0            0            0            0            0            0            0            0          0.8            0  
          0        -20.5            0      -1.4726      0.15032     0.016021       0.1343   2.7291e-16    -0.001546   0.00013564   -0.0016816   0.00015156   1.6674e-05    1.653e-06   1.5022e-05      -9.7964      -11.888            0       -24730       2524.4      -6548.2   4.5833e-12       -23954      -6349.2    1.048e-11       -23964            0            0            0       99.798            0       100.32      -5.8285       14.219      -30.163      -3.6177       0.7733   7.5444e-15    -0.022686       -14978            0   2.5325e+05      0.98652      -1.1387            0            0            0            0            0            0            0            0            0            0          0.8            0  
          0          -20            0      -1.4404      0.14387      0.01537       0.1285   2.4219e-16   -0.0015281   0.00011441   -0.0016425   0.00014827   1.5955e-05   1.5858e-06   1.4369e-05      -10.012      -12.016            0       -24190       2416.2      -6245.7   4.0675e-12       -23470      -6056.6   1.1188e-11       -23479            0            0            0        99.82            0       100.32       -5.704       13.931      -29.814      -3.4497      0.77431   9.5514e-15    -0.022855       -14675            0   2.4239e+05      0.98645      -1.1153            0            0            0            0            0            0            0            0            0            0          0.8            0  
          0        -19.5            0       -1.408      0.13757     0.014784      0.12279   2.4201e-16   -0.0015041   9.9038e-05   -0.0016031   0.00014495   1.5251e-05   1.5253e-06   1.3726e-05      -10.234      -12.144            0       -23646       2310.4      -5949.3   4.0643e-12       -22978      -5770.1   8.8987e-12       -22987            0            0            0       99.842            0       100.32      -5.5806       13.639      -29.346      -3.2847      0.77529   1.1331e-14     -0.02304       -14367            0   2.3178e+05       0.9864      -1.0916            0            0            0            0            0            0            0            0            0            0          0.8            0  
          0          -19            0      -1.3753      0.13139     0.014234      0.11716   1.8765e-16    -0.001475   8.8498e-05   -0.0015635   0.00014161    1.456e-05   1.4686e-06   1.3092e-05      -10.467      -12.275            0       -23097       2206.6      -5659.2   3.1515e-12       -22479      -5489.6   7.9788e-12       -22488            0            0            0       99.862            0       100.32      -5.4574       13.343      -28.778      -3.1231      0.77625     8.75e-15    -0.023243       -14056            0   2.2136e+05      0.98636      -1.0676            0            0            0            0            0            0            0            0            0            0          0.8            0  
          0        -18.5            0      -1.3424      0.12531     0.013695      0.11162   1.8459e-16   -0.0014438   7.9775e-05   -0.0015236   0.00013824   1.3881e-05    1.413e-06   1.2468e-05      -10.712      -12.411            0       -22544       2104.5      -5375.6      3.1e-12       -21974      -5215.3   1.2497e-11       -21983            0            0            0       99.883            0       100.32      -5.3333       13.043      -28.171      -2.9651      0.77718   9.5121e-15    -0.023466       -13739            0   2.1112e+05      0.98633      -1.0433            0            0            0            0            0            0            0            0            0            0          0.8            0  
          0          -18            0      -1.3092      0.11934     0.013173      0.10617   1.2468e-16   -0.0014124   7.1182e-05   -0.0014836   0.00013484   1.3213e-05   1.3591e-06   1.1854e-05       -10.97      -12.552            0       -21987       2004.2      -5098.5   2.0939e-12       -21461      -4947.4   6.4793e-12       -21470            0            0            0       99.903            0       100.32      -5.2085       12.739      -27.557      -2.8106      0.77809   5.5892e-15     -0.02371       -13419            0   2.0106e+05      0.98632      -1.0186            0            0            0            0            0            0            0            0            0            0          0.8            0  
          0        -17.5            0      -1.2757      0.11348     0.012662      0.10082   1.7008e-16   -0.0013803   6.2936e-05   -0.0014433   0.00013141   1.2557e-05   1.3064e-06   1.1251e-05      -11.242      -12.698            0       -21425       1905.8      -4827.9   2.8563e-12       -20943      -4685.7   6.9314e-12       -20951            0            0            0       99.922            0       100.32      -5.0831       12.431      -26.932      -2.6599      0.77897   9.3577e-15    -0.023977       -13095            0   1.9118e+05      0.98632     -0.99377            0            0            0            0            0            0            0            0            0            0          0.8            0  
          0          -17            0      -1.2421      0.10771      0.01215     0.095563   1.7758e-16   -0.0013479   5.4898e-05   -0.0014028   0.00012796   1.1913e-05   1.2536e-06   1.0659e-05      -11.531      -12.851            0       -20860         1809        -4564   2.9824e-12       -20417      -4430.6   7.6221e-12       -20426            0            0            0       99.942            0       100.32      -4.9563        12.12      -26.299       -2.513      0.77983   9.0899e-15    -0.024269       -12766            0   1.8147e+05      0.98634     -0.96861            0            0            0            0            0            0            0            0            0            0          0.8            0  
          0        -16.5            0      -1.2082      0.10206     0.011646     0.090416    8.772e-17   -0.0013156   4.6541e-05   -0.0013622   0.00012449   1.1281e-05   1.2016e-06    1.008e-05      -11.838      -13.012            0       -20290         1714      -4306.8   1.4732e-12       -19886      -4181.9   1.0179e-11       -19895            0            0            0       99.961            0       100.32      -4.8286       11.804      -25.669        -2.37      0.78067   1.0003e-14     -0.02459       -12434            0   1.7195e+05      0.98636     -0.94319            0            0            0            0            0            0            0            0            0            0          0.8            0  
          0          -16            0       -1.174     0.096541     0.011164     0.085377   1.0376e-16   -0.0012842    3.712e-05   -0.0013213   0.00012098   1.0664e-05   1.1519e-06   9.5121e-06      -12.161      -13.177            0       -19717       1621.3      -4056.5   1.7425e-12       -19349      -3939.8   6.5599e-12       -19357            0            0            0        99.98            0       100.32      -4.7008       11.485      -25.057      -2.2307      0.78148   7.1047e-15    -0.024941       -12098            0   1.6265e+05      0.98639      -0.9175            0            0            0            0            0            0            0            0            0            0          0.8            0  
          0        -15.5            0      -1.1397     0.091158     0.010707     0.080451   1.2637e-16   -0.0012531   2.7249e-05   -0.0012804   0.00011746   1.0062e-05   1.1047e-06   8.9572e-06      -12.502      -13.347            0       -19140       1530.9        -3813   2.1223e-12       -18805      -3704.4   6.1617e-12       -18814            0            0            0       99.998            0       100.32      -4.5731       11.163       -24.45      -2.0952      0.78227   1.0588e-14    -0.025326       -11758            0   1.5358e+05      0.98643     -0.89155            0            0            0            0            0            0            0            0            0            0          0.8            0  
          0          -15            0      -1.1051     0.085978     0.010337     0.075641   1.2333e-16   -0.0012185   2.0744e-05   -0.0012393   0.00011391    9.482e-06   1.0665e-06   8.4154e-06      -12.854      -13.512            0       -18560       1443.9      -3576.6   2.0712e-12       -18256      -3475.8   5.2903e-12       -18264            0            0            0       100.01            0       100.32      -4.4486       10.837      -23.775      -1.9628      0.78304   7.2949e-15    -0.025749       -11415            0   1.4485e+05      0.98648     -0.86536            0            0            0            0            0            0            0            0            0            0          0.8            0  
          0        -14.5            0      -1.0704        0.081     0.010048     0.070952   7.1061e-17   -0.0011802   1.7778e-05    -0.001198   0.00011034   8.9239e-06   1.0367e-06   7.8872e-06      -13.214      -13.671            0       -17976       1360.3      -3347.1   1.1934e-12       -17702      -3253.9   5.9118e-12       -17709            0            0            0       100.03            0       100.32      -4.3277       10.508      -23.028      -1.8337      0.78378   5.2574e-15    -0.026214       -11068            0   1.3646e+05      0.98653     -0.83892            0            0            0            0            0            0            0            0            0            0          0.8            0  
          0          -14            0      -1.0354      0.07616    0.0097741     0.066386   7.2603e-17   -0.0011406   1.6053e-05   -0.0011567   0.00010674   8.3813e-06   1.0084e-06   7.3729e-06      -13.595      -13.833            0       -17388       1279.1      -3124.8   1.2193e-12       -17142      -3038.9   8.3144e-12       -17149            0            0            0       100.05            0       100.32       -4.207       10.175      -22.254      -1.7086      0.78449   6.9906e-15    -0.026724       -10718            0   1.2831e+05      0.98659     -0.81225            0            0            0            0            0            0            0            0            0            0          0.8            0  
          0        -13.5            0      -1.0002     0.071452    0.0095046     0.061948   9.4026e-17   -0.0011001   1.5092e-05   -0.0011152   0.00010313   7.8536e-06   9.8064e-07   6.8729e-06      -13.998      -13.999            0       -16798         1200      -2909.7   1.5791e-12       -16576      -2830.9    5.163e-12       -16584            0            0            0       100.06            0       100.32      -4.0862       9.8399      -21.464      -1.5876      0.78519   7.5475e-15    -0.027287       -10365            0   1.2038e+05      0.98665     -0.78534            0            0            0            0            0            0            0            0            0            0          0.8            0  
          0          -13            0     -0.96483     0.066874    0.0092335      0.05764   7.1626e-17   -0.0010596   1.4031e-05   -0.0010736   9.9491e-05   7.3403e-06   9.5267e-07   6.3876e-06      -14.428      -14.172            0       -16203       1123.1      -2701.8   1.2029e-12       -16006      -2629.9   5.5797e-12       -16013            0            0            0       100.08            0       100.32      -3.9649       9.5014      -20.674      -1.4708      0.78585   4.9454e-15    -0.027907       -10008            0   1.1266e+05      0.98672     -0.75821            0            0            0            0            0            0            0            0            0            0          0.8            0  
