KingAir350_HTP_v2
T1-84.9 m/s-TriUniform-ThickSurf-x0.8m
Freestream speed = 84.880 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0        -23.5            0      -1.6597      0.18652      0.01606      0.17046   3.8098e-16   -0.0017661   0.00014436   -0.0019104   0.00017065   2.0751e-05    1.657e-06   1.9094e-05      -8.8984      -11.464            0       -46492       5224.8       -14160   1.0672e-11       -44540       -13721   1.7016e-11       -44556            0            0            0       84.349            0        84.88       -6.412       26.437      -57.474      -7.8964      0.76679    9.951e-15    -0.021945       -27850            0   4.4348e+05      0.98735      -1.2727            0            0            0            0            0            0            0            0            0            0          0.8            0  
          0          -23            0      -1.6292      0.17962     0.015331      0.16429   3.4451e-16   -0.0017589   0.00011417   -0.0018731   0.00016755   1.9981e-05   1.5818e-06   1.8399e-05      -9.0706      -11.578            0       -45638       5031.5       -13596   9.6503e-12       -43809       -13176   7.9814e-12       -43825            0            0            0       84.369            0        84.88      -6.2913       26.003       -57.24      -7.5832      0.76794   7.4201e-15    -0.022041       -27392            0   4.2707e+05      0.98716      -1.2512            0            0            0            0            0            0            0            0            0            0          0.8            0  
          0        -22.5            0      -1.5985      0.17293     0.014758      0.15817    2.773e-16   -0.0017397   9.5697e-05   -0.0018354   0.00016441   1.9232e-05   1.5227e-06    1.771e-05      -9.2437      -11.687            0       -44776         4844       -13042   7.7676e-12       -43064       -12640   1.1236e-11       -43080            0            0            0       84.388            0        84.88      -6.1744       25.561      -56.615      -7.2731      0.76906   5.8934e-15    -0.022147       -26926            0   4.1116e+05      0.98699      -1.2293            0            0            0            0            0            0            0            0            0            0          0.8            0  
          0          -22            0      -1.5674      0.16637     0.014269       0.1521   2.5342e-16   -0.0017142   8.3197e-05   -0.0017974   0.00016124   1.8499e-05   1.4722e-06   1.7027e-05      -9.4211      -11.795            0       -43906       4660.4       -12497   7.0988e-12       -42305       -12113   1.9105e-11       -42321            0            0            0       84.406            0        84.88       -6.059       25.111      -55.785      -6.9673      0.77015   5.9472e-15    -0.022263       -26452            0   3.9558e+05      0.98684      -1.2071            0            0            0            0            0            0            0            0            0            0          0.8            0  
          0        -21.5            0      -1.5361      0.15993     0.013829       0.1461   2.1716e-16    -0.001685   7.4104e-05   -0.0017591   0.00015804   1.7778e-05   1.4268e-06   1.6351e-05      -9.6047      -11.904            0       -43028       4479.9       -11962   6.0831e-12       -41534       -11596   3.1947e-12       -41550            0            0            0       84.424            0        84.88       -5.944       24.654      -54.835      -6.6665      0.77123   5.8829e-15    -0.022391       -25970            0   3.8026e+05      0.98671      -1.1847            0            0            0            0            0            0            0            0            0            0          0.8            0  
          0          -21            0      -1.5045      0.15358     0.013415      0.14016   1.7476e-16   -0.0016539   6.6551e-05   -0.0017205   0.00015482   1.7066e-05   1.3841e-06   1.5682e-05       -9.796      -12.015            0       -42143         4302       -11437   4.8955e-12       -40751       -11088   2.0759e-11       -40767            0            0            0       84.441            0        84.88      -5.8287       24.189      -53.825      -6.3709      0.77228   8.8798e-15    -0.022531       -25480            0   3.6516e+05      0.98661      -1.1619            0            0            0            0            0            0            0            0            0            0          0.8            0  
          0        -20.5            0      -1.4726      0.14732      0.01302       0.1343   2.3813e-16   -0.0016217   5.9918e-05   -0.0016816   0.00015156   1.6365e-05   1.3434e-06   1.5022e-05       -9.996       -12.13            0       -41249       4126.6       -10922   6.6704e-12       -39955       -10590    1.748e-11       -39970            0            0            0       84.458            0        84.88      -5.7129       23.716      -52.776      -6.0809       0.7733   7.5444e-15    -0.022686       -24982            0   3.5027e+05      0.98652      -1.1387            0            0            0            0            0            0            0            0            0            0          0.8            0  
          0          -20            0      -1.4404      0.14114      0.01264       0.1285   2.0893e-16   -0.0015886   5.3897e-05   -0.0016425   0.00014827   1.5673e-05   1.3041e-06   1.4369e-05      -10.205      -12.248            0       -40349       3953.7       -10417   5.8524e-12       -39146       -10102   1.8661e-11       -39162            0            0            0       84.475            0        84.88      -5.5965       23.236      -51.698      -5.7966      0.77431   9.5514e-15    -0.022855       -24477            0   3.3559e+05      0.98645      -1.1153            0            0            0            0            0            0            0            0            0            0          0.8            0  
          0        -19.5            0       -1.408      0.13506     0.012272      0.12279   2.4242e-16   -0.0015547   4.8417e-05   -0.0016031   0.00014495   1.4992e-05   1.2662e-06   1.3726e-05      -10.425       -12.37            0       -39440       3783.4      -9923.2   6.7908e-12       -38326      -9624.2   1.4843e-11       -38342            0            0            0       84.492            0        84.88      -5.4794        22.75      -50.595      -5.5182      0.77529   1.1331e-14     -0.02304       -23964            0   3.2113e+05       0.9864      -1.0916            0            0            0            0            0            0            0            0            0            0          0.8            0  
          0          -19            0      -1.3753      0.12908     0.011918      0.11716   2.3072e-16   -0.0015199    4.361e-05   -0.0015635   0.00014161   1.4321e-05   1.2296e-06   1.3092e-05      -10.655      -12.495            0       -38525       3615.7      -9439.4   6.4628e-12       -37494      -9156.4   1.3308e-11       -37510            0            0            0       84.509            0        84.88      -5.3617       22.256      -49.462      -5.2456      0.77625     8.75e-15    -0.023243       -23444            0    3.069e+05      0.98636      -1.0676            0            0            0            0            0            0            0            0            0            0          0.8            0  
