KingAir350_HTP_VTP_v2
T1-100.3 m/s-TriUniform-ThickSurf-x0.8m
Freestream speed = 100.317 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0        -21.5            0      -1.5692      0.17366     0.021325      0.15234  -0.00022499       1.5282     0.041363       1.4869   0.00027193   6.2732e-05   4.1371e-06   5.8595e-05      -9.0361      -11.319            0       -26354       2916.5      -7278.4      -3.7785       -25458        -7056      -7.2216       -25860            0            0            0       99.708            0       100.32       -6.315        26.51        29817      -3.9884       2.4577  -0.00020675       1.9506      -4.0984            0   2.9258e+05      0.98762      -3.8567            0            0            0            0            0            0            0            0            0            0          0.8            0  
          0          -21            0      -1.5377      0.16646      0.02018      0.14628  -0.00022145       1.5157     0.038804       1.4769   0.00026656   5.9957e-05   3.3568e-06     5.66e-05      -9.2377      -11.455            0       -25825       2795.6      -6961.2      -3.7191       -24990      -6749.8      -7.0677       -25384            0            0            0       99.734            0       100.32      -6.1784       25.993        29573      -3.8199       2.4591  -0.00020568       1.9509      -4.0329            0   2.8044e+05       0.9876      -3.7814            0            0            0            0            0            0            0            0            0            0          0.8            0  
          0        -20.5            0      -1.5059      0.15961     0.019314      0.14029  -0.00021789       1.5026      0.03686       1.4657   0.00026116   5.7612e-05   2.9726e-06    5.464e-05       -9.435      -11.578            0       -25290       2680.5        -6650      -3.6592       -24514      -6449.3      -6.9141       -24901            0            0            0       99.758            0       100.32      -6.0501       25.473        29317      -3.6213       2.4605  -0.00020465       1.9511      -3.9668            0    2.689e+05      0.98759      -3.7053            0            0            0            0            0            0            0            0            0            0          0.8            0  
          0          -20            0      -1.4738      0.15297     0.018592      0.13438  -0.00021429       1.4886     0.035231       1.4533   0.00025572   5.5437e-05    2.725e-06   5.2712e-05      -9.6347      -11.697            0       -24752         2569      -6344.9      -3.5988       -24031      -6154.8       -6.761       -24410            0            0            0       99.781            0       100.32      -5.9256        24.95        29043      -3.4159       2.4618  -0.00020369       1.9513      -3.9003            0   2.5772e+05      0.98761      -3.6283            0            0            0            0            0            0            0            0            0            0          0.8            0  
          0        -19.5            0      -1.4415       0.1465     0.017959      0.12854  -0.00021067       1.4735     0.033799       1.4397   0.00025026   5.3359e-05   2.5396e-06   5.0819e-05      -9.8395      -11.813            0       -24209       2460.4      -6046.1       -3.538       -23541      -5866.3      -6.6083       -23912            0            0            0       99.803            0       100.32      -5.8031       24.422        28750      -3.2105       2.4631  -0.00020278       1.9515      -3.8332            0   2.4682e+05      0.98764      -3.5506            0            0            0            0            0            0            0            0            0            0          0.8            0  
          0          -19            0      -1.4089      0.14017     0.017387      0.12279  -0.00020702       1.4574     0.032505       1.4249   0.00024478   5.1359e-05   2.3987e-06    4.896e-05      -10.051       -11.93            0       -23661       2354.1      -5753.5      -3.4767       -23043      -5583.8      -6.4562       -23407            0            0            0       99.824            0       100.32      -5.6818       23.892        28435      -3.0066       2.4644  -0.00020194       1.9517      -3.7657            0   2.3616e+05      0.98769      -3.4721            0            0            0            0            0            0            0            0            0            0          0.8            0  
          0        -18.5            0       -1.376      0.13396     0.016848      0.11712  -0.00020334       1.4401     0.031284       1.4089   0.00023927    4.944e-05   2.3046e-06   4.7136e-05      -10.272      -12.049            0       -23109       2249.8      -5467.4      -3.4149       -22539      -5307.6      -6.3047       -22895            0            0            0       99.845            0       100.32      -5.5606       23.359        28098      -2.8042       2.4657  -0.00020116       1.9518      -3.6977            0   2.2569e+05      0.98775      -3.3928            0            0            0            0            0            0            0            0            0            0          0.8            0  
          0          -18            0      -1.3429      0.12785      0.01631      0.11154  -0.00019964       1.4217     0.030075       1.3916   0.00023373   4.7573e-05    2.227e-06   4.5346e-05      -10.504      -12.172            0       -22553       2147.1      -5187.7      -3.3528       -22028      -5037.6      -6.1539       -22376            0            0            0       99.865            0       100.32      -5.4383       22.822        27739      -2.6059       2.4669  -0.00020046       1.9519      -3.6293            0   2.1539e+05      0.98784      -3.3127            0            0            0            0            0            0            0            0            0            0          0.8            0  
          0        -17.5            0      -1.3095      0.12183     0.015779      0.10605  -0.00019591       1.4021     0.028885       1.3732   0.00022817   4.5738e-05   2.1455e-06   4.3592e-05      -10.749        -12.3            0       -21992         2046      -4914.6      -3.2902       -21510        -4774      -6.0037       -21851            0            0            0       99.886            0       100.32      -5.3152       22.283        27356      -2.4138       2.4681  -0.00019983        1.952      -3.5605            0   2.0525e+05      0.98793       -3.232            0            0            0            0            0            0            0            0            0            0          0.8            0  
          0          -17            0      -1.2759      0.11592     0.015258      0.10067  -0.00019217       1.3813     0.027724       1.3536    0.0002226   4.3959e-05    2.086e-06   4.1873e-05      -11.006      -12.432            0       -21428       1946.8      -4648.2      -3.2273       -20986      -4516.7      -5.8542       -21319            0            0            0       99.905            0       100.32      -5.1914       21.741        26951      -2.2254       2.4692  -0.00019929       1.9521      -3.4914            0    1.953e+05      0.98804      -3.1505            0            0            0            0            0            0            0            0            0            0          0.8            0  
