KingAir350_HTP_VTP_v2
T5-a0.0°-100.3m/s-TriUniform-ThickSurf-x0.8m


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0            0          -15    -0.011003    -0.022866     0.008199    -0.031065      0.22076      0.09487     0.010539     0.084331    -0.057769     0.009546   0.00042989    0.0091161      0.48121     0.050478            0      -184.79       593.34      -521.71       3707.5      -184.79      -599.26       3676.7      -1247.2            0            0            0       43.499            0       100.32       64.302      -5579.4         1851       921.96       18.337       11.263       12.463       3418.1            0       -38523  -0.00023812     -0.20177            0            0            0            0            0            0            0            0            0            0          0.8            0  
          0            0        -14.5    -0.012389    -0.020891    0.0081744    -0.029065      0.21405     0.092073     0.010539     0.081533     -0.05601    0.0092501   0.00041509     0.008835      0.59306     0.066012            0      -208.07       564.78      -488.12       3594.8      -208.07      -562.69       3564.6      -1205.7            0            0            0       51.172            0       100.32        59.33      -5409.4       1796.4       893.38       15.663       9.6992       10.596       3314.2            0       -35195  -0.00032266     -0.19406            0            0            0            0            0            0            0            0            0            0          0.8            0  
          0            0          -14    -0.013732    -0.018977    0.0081501    -0.027127      0.20728     0.089363     0.010539     0.078824    -0.054233    0.0089517   0.00040033    0.0085514      0.72362     0.084798            0      -230.62       536.98      -455.58       3481.1      -230.62      -527.25       3451.5      -1165.5            0            0            0       58.809            0       100.32        54.11      -5237.9       1743.6       864.56       13.588       8.4737       9.1455       3209.3            0       -31972  -0.00042472     -0.18659            0            0            0            0            0            0            0            0            0            0          0.8            0  
          0            0        -13.5    -0.015032    -0.017126    0.0081261    -0.025252      0.20044     0.086742     0.010538     0.076203    -0.052441    0.0086511   0.00038561    0.0082655      0.87773      0.10761            0      -252.45       509.94      -424.09       3366.3      -252.45      -492.96       3337.3      -1126.6            0            0            0       66.176            0       100.32       48.726      -5064.8       1692.4       835.53       11.933       7.4857       7.9892       3103.4            0       -28853   -0.0005467     -0.17937            0            0            0            0            0            0            0            0            0            0          0.8            0  
          0            0          -13    -0.016288    -0.015337    0.0081028     -0.02344      0.19354      0.08421     0.010537     0.073673    -0.050633    0.0083484   0.00037094    0.0079774        1.062      0.13553            0      -273.54        483.7      -393.66       3250.4      -273.54      -459.82       3222.2        -1089            0            0            0       73.034            0       100.32       43.279      -4890.1         1643       806.29       10.585       6.6708       7.0473       2996.6            0       -25839  -0.00069148      -0.1724            0            0            0            0            0            0            0            0            0            0          0.8            0  
          0            0        -12.5    -0.017499    -0.013611    0.0080805    -0.021692      0.18659      0.08177     0.010537     0.071233    -0.048809    0.0080435   0.00035635    0.0076872       1.2857      0.17007            0      -293.89       458.27      -364.29       3133.6      -293.89      -427.85       3106.1      -1052.8            0            0            0       79.184            0       100.32       37.876        -4714       1595.4       776.85       9.4673       5.9857       6.2668       2888.9            0       -22931  -0.00086251     -0.16567            0            0            0            0            0            0            0            0            0            0          0.8            0  
          0            0          -12    -0.018666    -0.011949    0.0080584    -0.020008      0.17957      0.07942     0.010536     0.068884    -0.046971    0.0077367   0.00034177    0.0073949       1.5621      0.21343            0      -313.49       433.68      -336.01       3015.8      -313.49      -397.05         2989      -1017.9            0            0            0       84.488            0       100.32       32.625      -4536.5       1549.6       747.21       8.5285       5.4004        5.611       2780.3            0       -20131    -0.001064     -0.15919            0            0            0            0            0            0            0            0            0            0          0.8            0  
          0            0        -11.5    -0.019788    -0.010352     0.008036    -0.018388       0.1725     0.077161     0.010534     0.066627    -0.045119    0.0074279   0.00032719    0.0071007       1.9115       0.2689            0      -332.33       409.92      -308.81       2897.1      -332.33      -367.44       2871.1      -984.45            0            0            0       88.888            0       100.32       27.616      -4357.6       1505.5       717.39       7.7303       4.8936       5.0535       2670.8            0       -17441   -0.0013011     -0.15297            0            0            0            0            0            0            0            0            0            0          0.8            0  
          0            0          -11    -0.020865   -0.0088208    0.0080132    -0.016834      0.16538     0.074994      0.01053     0.064464    -0.043253    0.0071172   0.00031261    0.0068045       2.3655      0.34169            0      -350.42       387.02      -282.71       2777.5      -350.42      -339.03       2752.3      -952.33            0            0            0       92.399            0       100.32       22.916      -4177.4       1463.2       687.38       7.0453       4.4494        4.575       2560.6            0       -14861   -0.0015801       -0.147            0            0            0            0            0            0            0            0            0            0          0.8            0  
          0            0        -10.5    -0.021897   -0.0073555    0.0079902    -0.015346      0.15821     0.072919     0.010526     0.062393    -0.041374    0.0068047   0.00029805    0.0065067       2.9769      0.44051            0      -367.74       364.99      -257.72         2657      -367.74      -311.81       2632.7       -921.6            0            0            0       95.095            0       100.32       18.568        -3996       1422.7        657.2       6.4525       4.0559        4.161       2449.5            0       -12392   -0.0019089     -0.14129            0            0            0            0            0            0            0            0            0            0          0.8            0  
