KingAir200B_W1
T1-100.3 m/s-TriUniform-ThickSurf-x0.8m
Freestream speed = 100.310 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0        -12.5            0      -1.0718     0.070407     0.010451     0.059956  -2.1719e-15     -0.03314    0.0013498     -0.03449    3.674e-05   2.0924e-06   3.6803e-07   1.7244e-06      -15.222      -15.759            0       -82983       5451.4       -13429  -1.6816e-10       -82021       -13783  -6.7476e-10       -79690            0            0            0       100.09       -5.395       100.31      -3.7585       47.283        -4813      -7.7094      0.73267  -2.6484e-14      0.17553  -1.4832e+05  -3.0009e+05   5.4683e+05      0.62871     -0.78524            0            0            0            0            0            0            0            0            0         5670          0.8            0  
          0          -12            0      -1.0259     0.065072     0.010138     0.054934  -4.7011e-16    -0.031182    0.0013091    -0.032491   3.5169e-05   1.9612e-06     3.57e-07   1.6042e-06      -15.766      -15.968            0       -79433       5038.4       -12355  -3.6399e-11       -78581       -12628  -5.1987e-10       -76373            0            0            0       100.11      -5.3243       100.31      -3.6294       45.316      -4528.5      -7.0369      0.73278   7.1693e-14      0.17284  -1.4211e+05  -2.9615e+05    5.054e+05      0.62872     -0.75175            0            0            0            0            0            0            0            0            0         5670          0.8            0  
          0        -11.5            0     -0.97983      0.05997     0.009859     0.050111   1.2491e-15    -0.029298    0.0012715     -0.03057   3.3592e-05   1.8352e-06   3.4717e-07    1.488e-06      -16.339      -16.173            0       -75865       4643.3       -11323   9.6714e-11       -75116       -11519    -3.76e-10       -73030            0            0            0       100.12      -5.2569       100.31      -3.5024       43.332        -4255       -6.391      0.73278   1.7825e-13      0.16985  -1.3586e+05   -2.924e+05   4.6577e+05      0.62872     -0.71799            0            0            0            0            0            0            0            0            0         5670          0.8            0  
          0          -11            0     -0.93355     0.055083    0.0095941     0.045489   2.9256e-15    -0.027493     0.001235    -0.028728   3.2008e-05   1.7139e-06   3.3784e-07   1.3761e-06      -16.948      -16.375            0       -72282         4265       -10335   2.2652e-10       -71626       -10459    -2.11e-10       -69662            0            0            0       100.14      -5.1921       100.31      -3.3768       41.333      -3992.8      -5.7729      0.73266   2.9683e-13       0.1665  -1.2957e+05   -2.888e+05   4.2782e+05      0.62871     -0.68397            0            0            0            0            0            0            0            0            0         5670          0.8            0  
          0        -10.5            0     -0.88707     0.050417    0.0093433     0.041074   4.5847e-15    -0.025766    0.0011995    -0.026966   3.0417e-05   1.5974e-06   3.2901e-07   1.2683e-06      -17.595      -16.571            0       -68683       3903.7      -9389.6   3.5498e-10       -68113      -9445.9  -4.8733e-11       -66269            0            0            0       100.15      -5.1306       100.31      -3.2529        39.32        -3742      -5.1826       0.7324   4.0176e-13      0.16275  -1.2323e+05  -2.8538e+05   3.9158e+05      0.62869      -0.6497            0            0            0            0            0            0            0            0            0         5670          0.8            0  
          0          -10            0     -0.84041      0.04598    0.0091122     0.036868   6.2486e-15    -0.024118     0.001166    -0.025284   2.8821e-05   1.4859e-06   3.2087e-07    1.165e-06      -18.278      -16.756            0       -65070       3560.1      -8488.1   4.8381e-10       -64577      -8481.6   1.0401e-10       -62853            0            0            0       100.16      -5.0741       100.31      -3.1316       37.293      -3502.7      -4.6202        0.732   5.4113e-13      0.15851  -1.1685e+05  -2.8223e+05   3.5711e+05      0.62866     -0.61518            0            0            0            0            0            0            0            0            0         5670          0.8            0  
          0         -9.5            0     -0.79356     0.041776    0.0089019     0.032874   7.8674e-15    -0.022548    0.0011342    -0.023683   2.7219e-05   1.3796e-06   3.1347e-07   1.0661e-06      -18.995      -16.922            0       -61443       3234.6      -7630.6   6.0915e-10       -61021      -7565.8    2.525e-10       -59414            0            0            0       100.17      -5.0244       100.31      -3.0135       35.253      -3274.7      -4.0857      0.73142   7.1607e-13       0.1537  -1.1043e+05  -2.7947e+05   3.2447e+05      0.62862     -0.58043            0            0            0            0            0            0            0            0            0         5670          0.8            0  
          0           -9            0     -0.74655      0.03781    0.0087131     0.029097   9.4697e-15    -0.021059    0.0011041    -0.022163   2.5611e-05   1.2786e-06   3.0682e-07   9.7181e-07      -19.745       -17.06            0       -57803       2927.6      -6817.2   7.3321e-10       -57444      -6698.8   4.1553e-10       -55954            0            0            0       100.18      -4.9836       100.31      -2.8994         33.2      -3058.3      -3.5793      0.73065    8.885e-13      0.14821  -1.0398e+05   -2.772e+05   2.9366e+05      0.62857     -0.54546            0            0            0            0            0            0            0            0            0         5670          0.8            0  
          0         -8.5            0     -0.69938     0.034077    0.0085378     0.025539    1.105e-14    -0.019649    0.0010754    -0.020724   2.3998e-05   1.1828e-06   3.0065e-07   8.8217e-07      -20.523      -17.163            0       -54151       2638.5      -6048.3    8.556e-10       -53848        -5881   5.4876e-10       -52474            0            0            0       100.19      -4.9536       100.31      -2.7895       31.135      -2853.6      -3.1015      0.72964   1.0784e-12       0.1419       -97489  -2.7553e+05   2.6467e+05      0.62849     -0.51029            0            0            0            0            0            0            0            0            0         5670          0.8            0  
          0           -8            0     -0.65205     0.030546    0.0083429     0.022203   1.2616e-14    -0.018322    0.0010465    -0.019368    2.238e-05   1.0911e-06   2.9378e-07   7.9729e-07      -21.346      -17.237            0       -50487       2365.1        -5324   9.7681e-10       -50234      -5112.6     6.99e-10       -48975            0            0            0        100.2      -4.9324       100.31      -2.6821       29.059      -2660.9       -2.654      0.72835   1.3212e-12      0.13458       -90966  -2.7435e+05   2.3724e+05       0.6284     -0.47492            0            0            0            0            0            0            0            0            0         5670          0.8            0  
