KingAir200B_W1
T1-84.9 m/s-TriUniform-ThickSurf-x0.8m_SL
Freestream speed = 84.880 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0          -15            0      -1.2975     0.098971     0.011079     0.087892  -1.1035e-14    -0.044222    0.0014216    -0.045643   4.4487e-05   2.7719e-06   3.9014e-07   2.3817e-06       -13.11      -14.934            0  -1.6759e+05        12783       -32411  -1.4253e-09  -1.6482e+05       -33796  -2.4563e-09  -1.5988e+05            0            0            0       84.634      -3.7299        84.88      -4.3619       94.864       -10714      -19.232      0.73078  -3.8877e-13      0.18559  -2.9788e+05  -2.0747e+05   1.0851e+06      0.62859      -0.9482            0            0            0            0            0            0            0            0            0         5670          0.8            0  
          0        -14.5            0      -1.2529     0.092652      0.01071     0.081942  -9.2193e-15    -0.041893    0.0013677    -0.043261   4.2953e-05   2.6202e-06   3.7712e-07   2.2431e-06      -13.522      -15.136            0  -1.6182e+05        11967       -30271  -1.1908e-09  -1.5932e+05       -31482  -2.1969e-09  -1.5459e+05            0            0            0       84.649      -3.6801        84.88      -4.2294       91.727       -10150      -17.885      0.73131  -3.2975e-13      0.18395  -2.8797e+05   -2.047e+05   1.0158e+06      0.62862     -0.91624            0            0            0            0            0            0            0            0            0         5670          0.8            0  
          0          -14            0       -1.208     0.086532     0.010363     0.076169  -7.4491e-15    -0.039636     0.001317    -0.040953   4.1411e-05   2.4729e-06   3.6491e-07    2.108e-06       -13.96      -15.343            0  -1.5602e+05        11177       -28200  -9.6215e-10  -1.5377e+05       -29245  -1.9239e-09  -1.4925e+05            0            0            0       84.663      -3.6305        84.88      -4.0974       88.559      -9602.8      -16.581      0.73178  -2.6228e-13      0.18214  -2.7796e+05  -2.0194e+05   9.4868e+05      0.62865     -0.88395            0            0            0            0            0            0            0            0            0         5670          0.8            0  
          0        -13.5            0      -1.1628      0.08059     0.010012     0.070578  -5.6645e-15    -0.037459    0.0012636    -0.038722   3.9862e-05   2.3289e-06   3.5257e-07   1.9764e-06      -14.429      -15.559            0  -1.5019e+05        10409       -26197  -7.3164e-10  -1.4817e+05       -27083  -1.6556e-09  -1.4386e+05            0            0            0       84.677        -3.58        84.88      -3.9647       85.361      -9075.2      -15.324      0.73216  -1.9228e-13      0.18015  -2.6787e+05  -1.9913e+05   8.8354e+05      0.62867     -0.85135            0            0            0            0            0            0            0            0            0         5670          0.8            0  
          0          -13            0      -1.1174     0.074846    0.0096744     0.065172  -3.9033e-15    -0.035354    0.0012129    -0.036567   3.8305e-05   2.1891e-06   3.4067e-07   1.8485e-06      -14.929      -15.781            0  -1.4433e+05       9667.4       -24264  -5.0416e-10  -1.4252e+05       -24999  -1.3752e-09  -1.3843e+05            0            0            0        84.69      -3.5296        84.88      -3.8321       82.133      -8565.4      -14.111      0.73246  -1.1188e-13      0.17795  -2.5769e+05  -1.9632e+05   8.2057e+05      0.62869     -0.81844            0            0            0            0            0            0            0            0            0         5670          0.8            0  
          0        -12.5            0      -1.0718     0.069324     0.009368     0.059956  -2.1743e-15     -0.03332    0.0011699     -0.03449    3.674e-05   2.0542e-06   3.2988e-07   1.7244e-06       -15.46      -16.005            0  -1.3843e+05       8954.1       -22402  -2.8084e-10  -1.3683e+05       -22993  -1.1256e-09  -1.3294e+05            0            0            0       84.703      -3.4802        84.88      -3.7009       78.878      -8072.6      -12.942      0.73267  -2.6484e-14      0.17553  -2.4742e+05  -1.9358e+05   7.6002e+05      0.62871     -0.78524            0            0            0            0            0            0            0            0            0         5670          0.8            0  
          0          -12            0      -1.0259     0.064019    0.0090852     0.054934  -4.5404e-16    -0.031358    0.0011329    -0.032491   3.5169e-05   1.9241e-06   3.1992e-07   1.6042e-06      -16.025      -16.231            0  -1.3251e+05         8269       -20610  -5.8645e-11  -1.3109e+05       -21065  -8.6725e-10  -1.2741e+05            0            0            0       84.715      -3.4317        84.88      -3.5708       75.595      -7597.1      -11.818      0.73278   7.1693e-14      0.17284  -2.3707e+05  -1.9088e+05   7.0187e+05      0.62872     -0.75175            0            0            0            0            0            0            0            0            0         5670          0.8            0  
          0        -11.5            0     -0.97983     0.058937    0.0088267     0.050111   1.2525e-15     -0.02947    0.0011002     -0.03057   3.3592e-05   1.7989e-06   3.1082e-07    1.488e-06      -16.625      -16.456            0  -1.2656e+05       7612.5       -18889   1.6177e-10  -1.2531e+05       -19216  -6.2724e-10  -1.2183e+05            0            0            0       84.727      -3.3848        84.88      -3.4422       72.286      -7139.7      -10.739      0.73278   1.7825e-13      0.16985  -2.2665e+05  -1.8827e+05   6.4615e+05      0.62872     -0.71799            0            0            0            0            0            0            0            0            0         5670          0.8            0  
          0          -11            0     -0.93355     0.054087    0.0085981     0.045489   2.9352e-15    -0.027657    0.0010707    -0.028728   3.2008e-05   1.6788e-06   3.0277e-07   1.3761e-06       -17.26      -16.677            0  -1.2058e+05       6986.1       -17240   3.7912e-10  -1.1949e+05       -17447  -3.5199e-10  -1.1621e+05            0            0            0       84.738      -3.3401        84.88      -3.3159       68.952      -6700.6      -9.7052      0.73266   2.9683e-13       0.1665  -2.1615e+05  -1.8578e+05   5.9298e+05      0.62871     -0.68397            0            0            0            0            0            0            0            0            0         5670          0.8            0  
          0        -10.5            0     -0.88707     0.049475     0.008401     0.041074   4.5566e-15    -0.025922     0.001044    -0.026966   3.0417e-05   1.5642e-06   2.9583e-07   1.2683e-06       -17.93      -16.887            0  -1.1458e+05       6390.3       -15664   5.8854e-10  -1.1363e+05       -15758  -8.1296e-11  -1.1055e+05            0            0            0       84.748      -3.2984        84.88      -3.1923       65.594      -6280.1      -8.7166       0.7324   4.0176e-13      0.16275  -2.0557e+05  -1.8347e+05   5.4241e+05      0.62869      -0.6497            0            0            0            0            0            0            0            0            0         5670          0.8            0  
