KingAir200B_W1
T5-a0.0°-84.9m/s-TriUniform-ThickSurf-x0.8m_SL


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0            0          -15      0.10767    0.0060012    0.0063367  -0.00033548    0.0062654   -0.0066394   0.00076399   -0.0074034    -0.020577   0.00057496  -9.0014e-05   0.00066498       17.942       5.8874       3.0475        13907       986.07      -43.332       809.26        13907       347.89       815.79        13298            0            0            0       84.748        9.461        84.88       3.1901       -44783      -1608.5       1251.3      0.89388      -3.2011      0.92932        45356   5.2625e+05        65794      -1.1341     0.096247            0            0            0            0            0            0            0            0            0         5670          0.8            0  
          0            0        -14.5      0.10832    0.0060656    0.0063338  -0.00026823     0.006075   -0.0067463   0.00076569    -0.007512    -0.019952   0.00055558  -8.9198e-05   0.00064478       17.858       5.8773       3.0384        13991       981.02      -34.645       784.67        13991       359.96       791.01        13380            0            0            0       84.747       9.4772        84.88       3.2051       -43422      -1634.4       1209.2      0.89542      -3.0854      0.92716        44890   5.2715e+05        66499      -1.4354      0.09699            0            0            0            0            0            0            0            0            0         5670          0.8            0  
          0            0          -14      0.10894    0.0061276    0.0063307  -0.00020306    0.0058828   -0.0068499   0.00076729   -0.0076172    -0.019321   0.00053609  -8.8294e-05   0.00062439       17.779       5.8682       3.0297        14071       976.07      -26.228       759.85        14071       371.65       765.98        13460            0            0            0       84.746       9.4919        84.88       3.2193       -42049      -1659.5       1166.7      0.89689      -2.9707      0.92509        44413   5.2797e+05        67180      -1.9181      0.09771            0            0            0            0            0            0            0            0            0         5670          0.8            0  
          0            0        -13.5      0.10955    0.0061866    0.0063266     -0.00014    0.0056888   -0.0069504   0.00076869   -0.0077191    -0.018684   0.00051668   -8.713e-05   0.00060381       17.707       5.8607       3.0213        14150       971.12      -18.082       734.79        14150       382.96       740.72        13538            0            0            0       84.745       9.5041        84.88       3.2323       -40663      -1683.9       1124.5       0.8983      -2.8568      0.92311        43925   5.2864e+05        67826      -2.8131     0.098407            0            0            0            0            0            0            0            0            0         5670          0.8            0  
          0            0          -13      0.11013    0.0062431    0.0063221  -7.9056e-05    0.0054931   -0.0070475   0.00076995   -0.0078175    -0.018041   0.00049724  -8.5803e-05   0.00058304       17.641       5.8543       3.0133        14225       966.24      -10.211       709.51        14225       393.89       715.24        13612            0            0            0       84.744       9.5146        84.88       3.2445       -39264      -1707.4       1082.2      0.89965      -2.7439      0.92122        43425   5.2923e+05        68445      -5.0348     0.099081            0            0            0            0            0            0            0            0            0         5670          0.8            0  
          0            0        -12.5       0.1107     0.006297    0.0063173  -2.0258e-05    0.0052957   -0.0071414   0.00077105   -0.0079124    -0.017393    0.0004778  -8.4299e-05   0.00056209       17.579       5.8487       3.0056        14298       961.46      -2.6167       684.01        14298       404.44       689.54        13685            0            0            0       84.743       9.5236        84.88       3.2558       -37853      -1730.2       1039.9      0.90094      -2.6318      0.91941        42915   5.2973e+05        69037      -19.849      0.09973            0            0            0            0            0            0            0            0            0         5670          0.8            0  
          0            0          -12      0.11124    0.0063484    0.0063121   3.6379e-05    0.0050967   -0.0072319   0.00077196   -0.0080039    -0.016739   0.00045838  -8.2594e-05   0.00054098       17.522       5.8441       2.9983        14368       956.75       4.6988       658.31        14368       414.59       663.62        13754            0            0            0       84.742       9.5311        84.88       3.2663       -36431      -1752.1       997.61      0.90217      -2.5206      0.91769        42395   5.3015e+05        69600       11.162      0.10036            0            0            0            0            0            0            0            0            0         5670          0.8            0  
          0            0        -11.5      0.11176    0.0063976    0.0063067   9.0838e-05    0.0048962   -0.0073191   0.00077276   -0.0080918    -0.016081   0.00043891  -8.0784e-05    0.0005197       17.469       5.8401       2.9913        14435       952.18       11.733        632.4        14435       424.36       637.51        13821            0            0            0       84.741       9.5376        84.88       3.2762       -34998      -1773.2       955.24      0.90334      -2.4101      0.91604        41863   5.3051e+05        70139       4.5123      0.10096            0            0            0            0            0            0            0            0            0         5670          0.8            0  
          0            0          -11      0.11226    0.0064446    0.0063015    0.0001431    0.0046941   -0.0074028   0.00077348   -0.0081762    -0.015417   0.00041943  -7.8832e-05   0.00049826        17.42       5.8365       2.9846        14500       947.76       18.484       606.31        14500       433.74        611.2        13885            0            0            0        84.74       9.5435        84.88       3.2856       -33554      -1793.5       912.83      0.90445      -2.3003      0.91448        41322   5.3083e+05        70655         2.89      0.10154            0            0            0            0            0            0            0            0            0         5670          0.8            0  
          0            0        -10.5      0.11274    0.0064895    0.0062964   0.00019316    0.0044906    -0.007483   0.00077412   -0.0082571    -0.014749   0.00039989  -7.6774e-05   0.00047667       17.373       5.8333       2.9782        14562       943.49       24.949       580.02        14562       442.72       584.71        13946            0            0            0        84.74       9.5487        84.88       3.2944       -32100      -1812.9       870.32      0.90551      -2.1912        0.913        40770   5.3113e+05        71147       2.1595      0.10209            0            0            0            0            0            0            0            0            0         5670          0.8            0  
          0            0          -10       0.1132    0.0065323    0.0062913   0.00024099    0.0042858   -0.0075596   0.00077469   -0.0083343    -0.014077   0.00038027  -7.4662e-05   0.00045493       17.329       5.8305       2.9722        14621       939.39       31.127       553.56        14621        451.3       558.03        14005            0            0            0       84.739       9.5533        84.88       3.3026       -30636      -1831.5        827.6      0.90651      -2.0828       0.9116        40209   5.3138e+05        71616        1.745      0.10262            0            0            0            0            0            0            0            0            0         5670          0.8            0  
          0            0         -9.5      0.11364    0.0065729    0.0062863   0.00028658    0.0040796   -0.0076328   0.00077517   -0.0084079      -0.0134   0.00036053  -7.2529e-05   0.00043306       17.289       5.8281       2.9665        14678       935.44       37.015       526.94        14678       459.47       531.19        14061            0            0            0       84.738       9.5572        84.88       3.3103       -29163      -1849.2       784.64      0.90745       -1.975      0.91027        39637    5.316e+05        72061       1.4787      0.10312            0            0            0            0            0            0            0            0            0         5670          0.8            0  
          0            0           -9      0.11405    0.0066113    0.0062814   0.00032991    0.0038722   -0.0077023    0.0007756   -0.0084779    -0.012719   0.00034067  -7.0377e-05   0.00041105       17.251       5.8261        2.961        14732       931.66       42.613       500.15        14732       467.25       504.19        14114            0            0            0       84.738       9.5606        84.88       3.3175       -27681      -1866.1       741.43      0.90834      -1.8677      0.90901        39056   5.3179e+05        72483       1.2939       0.1036            0            0            0            0            0            0            0            0            0         5670          0.8            0  
          0            0         -8.5      0.11445    0.0066477    0.0062767   0.00037098    0.0036636   -0.0077683   0.00077598   -0.0085443    -0.012034   0.00032071  -6.8209e-05   0.00038892       17.216       5.8242        2.956        14782       928.06       47.918       473.21        14782       474.61       477.03        14165            0            0            0       84.737       9.5637        84.88       3.3243       -26190        -1882       697.98      0.90918      -1.7611      0.90784        38465   5.3196e+05        72881       1.1586      0.10405            0            0            0            0            0            0            0            0            0         5670          0.8            0  
          0            0           -8      0.11482    0.0066822    0.0062725   0.00040977    0.0034539   -0.0078305   0.00077637   -0.0086069    -0.011345   0.00030071  -6.5958e-05   0.00036666       17.183       5.8224       2.9512        14830       924.67       52.928       446.12        14830       481.57       449.72        14212            0            0            0       84.737       9.5667        84.88       3.3307       -24692      -1897.1       654.45      0.90997      -1.6549      0.90673        37865   5.3213e+05        73260       1.0558      0.10448            0            0            0            0            0            0            0            0            0         5670          0.8            0  
          0            0         -7.5      0.11517    0.0067147    0.0062685   0.00044627    0.0032432   -0.0078891   0.00077671   -0.0086658    -0.010653   0.00028059  -6.3712e-05    0.0003443       17.152       5.8207       2.9467        14876       921.48       57.642        418.9        14876       488.12       422.28        14257            0            0            0       84.736       9.5694        84.88       3.3367       -23186      -1911.3       610.67      0.91071      -1.5492      0.90569        37256   5.3228e+05        73616      0.97535      0.10489            0            0            0            0            0            0            0            0            0         5670          0.8            0  
          0            0           -7       0.1155    0.0067452    0.0062647   0.00048047    0.0030315    -0.007944   0.00077702   -0.0087211   -0.0099581   0.00026036  -6.1475e-05   0.00032183       17.123       5.8192       2.9425        14918       918.48       62.059       391.55        14918       494.25       394.71        14299            0            0            0       84.736       9.5719        84.88       3.3423       -21673      -1924.6       566.64       0.9114      -1.4439      0.90473        36638   5.3241e+05        73950      0.91109      0.10526            0            0            0            0            0            0            0            0            0         5670          0.8            0  
          0            0         -6.5       0.1158    0.0067744     0.006262   0.00051235    0.0028188   -0.0079951   0.00077742   -0.0087725   -0.0092598   0.00023981  -5.9456e-05   0.00029927       17.094       5.8171       2.9386        14957       915.79       66.177       364.09        14957       499.97       367.03        14338            0            0            0       84.735       9.5753        84.88       3.3479       -20153        -1937       521.92      0.91203      -1.3391      0.90384        36012    5.326e+05        74270      0.85893      0.10562            0            0            0            0            0            0            0            0            0         5670          0.8            0  
          0            0           -6      0.11609    0.0068012    0.0062592   0.00054191    0.0026053   -0.0080426   0.00077766   -0.0088203   -0.0085587   0.00021932   -5.729e-05   0.00027661       17.069       5.8155        2.935        14994       913.25       69.995       336.51        14994       505.27       339.22        14374            0            0            0       84.735        9.578        84.88        3.353       -18627      -1948.5       477.33      0.91262      -1.2346      0.90301        35376   5.3275e+05        74564      0.81605      0.10594            0            0            0            0            0            0            0            0            0         5670          0.8            0  
