MK84_Vtail
T1-200.0 m/s-TriUniform-ThickSurf-x0.0625m-z-0.212m
Freestream speed = 200.000 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0          -20            0       -1.214     0.094556     0.018882     0.075674  -8.6168e-13   0.00022579   -0.0013168    0.0015426   1.1609e-13   9.8605e-15  -2.9774e-15   1.2838e-14      -12.838      -14.145            0      -8858.4       689.99      -2510.9  -6.2878e-09      -8513.1      -2280.6  -6.2236e-09      -8732.8            0            0            0        199.4      -16.394          200      -4.4538   9.8655e-10      0.41191  -2.6463e-10     0.055352   1.1159e-14     -0.23371      -2098.4  -1.6082e+05     1.38e+05       1.3008    -0.067195            0            0            0            0            0            0            0            0            0         1000       0.0625       -0.212  
          0        -19.5            0      -1.1865     0.090692     0.018348     0.072344  -8.2743e-13    0.0003599   -0.0012671     0.001627   1.1973e-13   1.0015e-14  -3.4677e-15   1.3482e-14      -13.083       -14.25            0        -8658        661.8      -2392.5  -6.0378e-09      -8337.6      -2173.4   -5.974e-09        -8547            0            0            0       199.42      -16.273          200       -4.371   1.0203e-09      0.65656  -2.6539e-10      0.05566   5.3243e-15     -0.23396      -2054.8  -1.5964e+05   1.3236e+05       1.2998    -0.066041            0            0            0            0            0            0            0            0            0         1000       0.0625       -0.212  
          0          -19            0      -1.1589     0.086968     0.017906     0.069062  -7.9288e-13   0.00042087   -0.0012885    0.0017094   1.2279e-13   4.6341e-15  -9.4232e-15   1.4057e-14      -13.325      -14.345            0      -8456.4       634.62      -2276.6  -5.7858e-09      -8159.7      -2068.4  -5.7223e-09      -8358.9            0            0            0       199.44      -16.166          200      -4.2918   1.0491e-09      0.76778  -3.0945e-10     0.055963    1.211e-15      -0.2342      -2010.6  -1.5859e+05   1.2692e+05       1.2989    -0.064853            0            0            0            0            0            0            0            0            0         1000       0.0625       -0.212  
          0        -18.5            0       -1.131     0.083176     0.017346      0.06583  -7.5776e-13   0.00054625   -0.0012435    0.0017897   1.2646e-13   1.0308e-14  -4.5878e-15   1.4896e-14      -13.598      -14.462            0      -8253.4       606.95      -2163.3  -5.5295e-09      -7979.3      -1965.7  -5.4639e-09      -8168.6            0            0            0       199.46      -16.035          200      -4.2059   1.0837e-09      0.99651  -2.6386e-10      0.05626  -4.1801e-15     -0.23444      -1965.8   -1.573e+05   1.2139e+05        1.298    -0.063633            0            0            0            0            0            0            0            0            0         1000       0.0625       -0.212  
          0          -18            0      -1.1031     0.079449     0.016798     0.062651  -7.2254e-13   0.00065268   -0.0012153     0.001868   1.2961e-13   1.0725e-14  -4.8302e-15   1.5555e-14      -13.884      -14.582            0      -8049.2       579.75      -2052.5  -5.2725e-09      -7796.5      -1865.4  -5.2113e-09      -7976.1            0            0            0       199.48      -15.903          200      -4.1197   1.1134e-09       1.1907  -2.5952e-10     0.056552  -9.7924e-15     -0.23467      -1920.4  -1.5601e+05   1.1595e+05       1.2972     -0.06238            0            0            0            0            0            0            0            0            0         1000       0.0625       -0.212  
          0        -17.5            0      -1.0749     0.075829     0.016301     0.059528   -6.869e-13   0.00069824   -0.0012459    0.0019441   1.3305e-13   1.3016e-14  -3.5456e-15   1.6561e-14      -14.175      -14.697            0      -7843.8       553.34      -1944.4  -5.0124e-09      -7611.4      -1767.4  -4.9469e-09      -7781.4            0            0            0        199.5      -15.779          200      -4.0352   1.1464e-09       1.2738   -2.399e-10     0.056838  -1.5892e-14     -0.23491      -1874.4  -1.5479e+05   1.1067e+05       1.2965    -0.061096            0            0            0            0            0            0            0            0            0         1000       0.0625       -0.212  
          0          -17            0      -1.0466      0.07236     0.015898     0.056462  -6.5093e-13   0.00069207    -0.001326    0.0020181   1.3684e-13   6.3965e-15  -1.0916e-14   1.7312e-14      -14.464      -14.797            0      -7637.1       528.02      -1838.9  -4.7499e-09      -7423.9      -1671.8  -4.6844e-09      -7584.7            0            0            0       199.52      -15.672          200      -3.9551   1.1816e-09       1.2625  -2.9463e-10     0.057119  -2.1547e-14     -0.23514      -1827.9  -1.5374e+05    1.056e+05       1.2958    -0.059781            0            0            0            0            0            0            0            0            0         1000       0.0625       -0.212  
          0        -16.5            0      -1.0181     0.068685     0.015229     0.053456  -6.1476e-13   0.00077996     -0.00131      0.00209    1.401e-13   1.5239e-14  -2.8582e-15   1.8097e-14      -14.823      -14.957            0      -7429.3        501.2        -1736   -4.486e-09      -7234.2      -1578.6  -4.4195e-09      -7385.9            0            0            0       199.55      -15.504          200      -3.8595   1.2125e-09       1.4229   -2.189e-10     0.057395  -2.8481e-14     -0.23537      -1780.8   -1.521e+05   1.0024e+05       1.2952    -0.058434            0            0            0            0            0            0            0            0            0         1000       0.0625       -0.212  
          0          -16            0     -0.98948      0.06525     0.014737     0.050513  -5.7813e-13   0.00077775   -0.0013819    0.0021596   1.4374e-13   1.7031e-14  -2.0623e-15   1.9094e-14      -15.165      -15.085            0      -7220.4       476.14      -1635.9  -4.2187e-09      -7042.3      -1487.8  -4.1403e-09      -7185.2            0            0            0       199.57      -15.373          200      -3.7728    1.247e-09       1.4188  -2.0212e-10     0.057665  -3.5854e-14      -0.2356      -1733.1  -1.5081e+05        95227       1.2947    -0.057058            0            0            0            0            0            0            0            0            0         1000       0.0625       -0.212  
          0        -15.5            0      -0.9607     0.061891     0.014258     0.047634  -5.4132e-13   0.00077667   -0.0014504    0.0022271   1.4757e-13   1.8111e-14   -1.968e-15   2.0079e-14      -15.522      -15.214            0      -7010.3       451.63      -1538.5  -3.9501e-09      -6848.3      -1399.6  -3.8825e-09      -6982.6            0            0            0       199.59      -15.242          200      -3.6861   1.2829e-09       1.4169  -1.9113e-10      0.05793  -4.3136e-14     -0.23583      -1684.9  -1.4952e+05        90326       1.2942    -0.055653            0            0            0            0            0            0            0            0            0         1000       0.0625       -0.212  
