MK84_Vtail
T5-a0.0°-200.0m/s-TriUniform-ThickSurf-x0.0625m-z-0.212m


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0            0          -15    -0.015689    -0.077186    0.0094468    -0.086633      0.52342     0.029033    -0.002508     0.031541      0.17852   -0.0029102   1.5635e-05   -0.0029259      0.20327      0.02546            0      -114.49       446.86      -632.17       3819.5      -114.49      -608.59         3851      -127.31            0            0            0       39.839         9108          200        78.51         1552       52.964        -25.3      0.16931      -10.867      -1.7438      -1193.3   8.9349e+07  -1.1265e+05  -0.00018979   -0.0026563            0            0            0            0            0            0            0            0            0         1000       0.0625       -0.212  
          0            0        -14.5    -0.015762    -0.071763    0.0093102    -0.081073      0.50752      0.02725   -0.0024692     0.029719      0.17309   -0.0028214   1.5603e-05    -0.002837      0.21963     0.027574            0      -115.01       422.45       -591.6       3703.5      -115.01       -569.8         3734       -126.7            0            0            0       42.904       8409.8          200       77.613       1504.8       49.712      -24.528      0.16469      -10.488      -1.6484      -1157.6     8.25e+07  -1.0473e+05  -0.00020468   -0.0025958            0            0            0            0            0            0            0            0            0         1000       0.0625       -0.212  
          0            0          -14    -0.015832    -0.066512    0.0091731    -0.075685      0.49146     0.025524   -0.0024299     0.027954      0.16762   -0.0027316   1.5634e-05   -0.0027472      0.23803     0.029949            0      -115.53       398.66      -552.29       3586.3      -115.53      -532.21       3615.9      -126.11            0            0            0       46.311       7742.9          200       76.611       1457.2       46.563      -23.747      0.16025      -10.112      -1.5568      -1121.5   7.5958e+07       -97070   -0.0002212   -0.0025371            0            0            0            0            0            0            0            0            0         1000       0.0625       -0.212  
          0            0        -13.5    -0.015899    -0.061435     0.009037    -0.070472      0.47526     0.023856   -0.0023895     0.026246      0.16209   -0.0026412   1.5467e-05   -0.0026566       0.2588     0.032633            0      -116.02       375.51      -514.24         3468      -116.02      -495.83       3496.7      -125.54            0            0            0       50.109       7106.1          200        75.49       1409.1       43.521      -22.961        0.156      -9.7366      -1.4689      -1085.1   6.9711e+07       -89659   -0.0002396   -0.0024803            0            0            0            0            0            0            0            0            0         1000       0.0625       -0.212  
          0            0          -13    -0.015965    -0.056531    0.0089021    -0.065433      0.45891     0.022246   -0.0023492     0.024595      0.15651   -0.0025501   1.5078e-05   -0.0025652      0.28241     0.035683            0       -116.5       353.02      -477.48       3348.7       -116.5      -460.68       3376.4         -125            0            0            0       54.355       6498.8          200        74.23       1360.7       40.583       -22.17      0.15192       -9.363      -1.3847      -1048.3   6.3753e+07       -82503  -0.00026018   -0.0024254            0            0            0            0            0            0            0            0            0         1000       0.0625       -0.212  
          0            0        -12.5    -0.016028    -0.051805    0.0087674    -0.060572      0.44242     0.020693   -0.0023089     0.023002      0.15089   -0.0024582    1.485e-05    -0.002473      0.30939     0.039169            0      -116.96        331.2      -442.01       3228.4      -116.96      -426.77         3255      -124.47            0            0            0       59.113       5920.3          200       72.808       1311.8       37.751      -21.371      0.14802       -8.991      -1.3041      -1011.2   5.8078e+07       -75606  -0.00028329   -0.0023725            0            0            0            0            0            0            0            0            0         1000       0.0625       -0.212  
          0            0          -12    -0.016089    -0.047258    0.0086319     -0.05589      0.42579     0.019199    -0.002269     0.021468      0.14522   -0.0023652   1.4918e-05   -0.0023801      0.34045     0.043183            0       -117.4       310.05      -407.84       3107.1       -117.4       -394.1       3132.7      -123.96            0            0            0       64.456         5370          200       71.199       1262.5       35.025      -20.562      0.14429      -8.6204      -1.2271      -973.88    5.268e+07       -68970  -0.00030936   -0.0023215            0            0            0            0            0            0            0            0            0         1000       0.0625       -0.212  
          0            0        -11.5    -0.016147    -0.042893    0.0084944    -0.051388      0.40903     0.017766   -0.0022272     0.019993       0.1395   -0.0022715   1.4952e-05   -0.0022864      0.37645     0.047837            0      -117.83        289.6      -374.98       2984.8      -117.83      -362.69       3009.4      -123.46            0            0            0       70.463       4847.6          200       69.371       1212.8        32.41      -19.748      0.14073      -8.2511      -1.1536      -936.22   4.7555e+07       -62600  -0.00033891   -0.0022724            0            0            0            0            0            0            0            0            0         1000       0.0625       -0.212  
          0            0          -11    -0.016204    -0.038708    0.0083592    -0.047067      0.39215     0.016392   -0.0021852     0.018577      0.13375   -0.0021772   1.4931e-05   -0.0021921      0.41861     0.053287            0      -118.24       269.88      -343.45       2861.6      -118.24      -332.54       2885.2      -122.99            0            0            0       77.229       4351.8          200       67.285       1162.7       29.904      -18.927      0.13734      -7.8832      -1.0835      -898.27   4.2691e+07       -56491   -0.0003726   -0.0022254            0            0            0            0            0            0            0            0            0         1000       0.0625       -0.212  
          0            0        -10.5    -0.016257    -0.034703    0.0082253    -0.042929      0.37516     0.015078   -0.0021429     0.017221      0.12795   -0.0020825   1.4602e-05   -0.0020971      0.46847     0.059731            0      -118.63       250.89      -313.26       2737.6      -118.63      -303.67       2760.2      -122.54            0            0            0       84.844       3882.3          200       64.899       1112.3       27.507      -18.104      0.13411      -7.5165      -1.0168      -860.06   3.8085e+07       -50647  -0.00041124   -0.0021803            0            0            0            0            0            0            0            0            0         1000       0.0625       -0.212  
