MK84_Vtail_UP
T1-200.0 m/s-TriUniform-ThickSurf-x0.212m
Freestream speed = 200.000 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0        -22.5            0      -1.3185      0.11104     0.020759     0.090278   1.8064e-12      -1.0391     0.013102      -1.0522  -8.0356e-13   -3.652e-13  -1.0735e-14  -3.5446e-13      -11.874      -13.635            0      -9621.3       810.25      -3073.3   1.3182e-08        -9141      -2783.4   1.3424e-08      -8863.9            0            0            0       199.29      -17.007          200      -4.8138  -7.6333e-09      -1895.6  -2.5984e-10     0.054341   3.7315e-13      0.23052      -2279.1  -1.6684e+05   1.6205e+05       1.2862    -0.071648            0            0            0            0            0            0            0            0            0         1000        0.212            0  
          0          -22            0      -1.2918      0.10698     0.020196     0.086786   1.7559e-12      -1.0133     0.012961      -1.0262  -7.8205e-13  -3.4685e-13    -9.07e-15  -3.3778e-13      -12.075      -13.724            0      -9426.7       780.66      -2944.1   1.2813e-08      -8977.5      -2666.5   1.3034e-08      -8712.5            0            0            0       199.32      -16.896          200      -4.7341  -7.4038e-09      -1848.5   -2.489e-10     0.054625   3.7038e-13       0.2307      -2238.6  -1.6575e+05   1.5613e+05       1.2844    -0.070565            0            0            0            0            0            0            0            0            0         1000        0.212            0  
          0        -21.5            0       -1.265      0.10303     0.019699      0.08333   1.7048e-12     -0.98745       0.0128      -1.0003  -7.5931e-13  -3.2976e-13  -8.7324e-15  -3.2103e-13      -12.278      -13.809            0      -9230.6       751.82      -2817.3    1.244e-08      -8811.2      -2551.7   1.2622e-08        -8558            0            0            0       199.34      -16.793          200      -4.6564  -7.1647e-09      -1801.4  -2.4802e-10     0.054902   3.6727e-13      0.23087      -2197.5  -1.6474e+05   1.5036e+05       1.2826    -0.069449            0            0            0            0            0            0            0            0            0         1000        0.212            0  
          0          -21            0      -1.2379     0.099292      0.01938     0.079913   1.6531e-12     -0.96142     0.012869     -0.97429  -7.3672e-13  -3.2414e-13   -1.944e-14   -3.047e-13      -12.467      -13.871            0      -9033.2       724.55      -2692.8   1.2063e-08      -8642.2      -2439.1   1.2216e-08      -8400.7            0            0            0       199.36      -16.717          200      -4.5858  -6.9286e-09      -1753.9   -3.355e-10     0.055172   3.6399e-13      0.23104      -2155.7    -1.64e+05   1.4491e+05       1.2809    -0.068298            0            0            0            0            0            0            0            0            0         1000        0.212            0  
          0        -20.5            0      -1.2107     0.095333     0.018797     0.076536   1.6006e-12      -0.9358     0.012548     -0.94834  -7.1258e-13  -2.9507e-13  -6.9011e-15  -2.8817e-13      -12.699      -13.973            0      -8834.5       695.66      -2570.8    1.168e-08      -8470.6      -2328.6   1.1814e-08      -8240.5            0            0            0       199.38      -16.595          200      -4.5024  -6.6799e-09      -1707.2   -2.333e-10     0.055435   3.6013e-13       0.2312      -2113.2   -1.628e+05   1.3913e+05       1.2792    -0.067114            0            0            0            0            0            0            0            0            0         1000        0.212            0  
          0          -20            0      -1.1833     0.091489     0.018285     0.073204   1.5474e-12      -0.9101     0.012326     -0.92242   -6.874e-13  -2.7876e-13  -6.8667e-15  -2.7189e-13      -12.933      -14.068            0      -8634.4       667.61      -2451.2   1.1292e-08      -8296.4      -2220.4   1.1407e-08      -8077.4            0            0            0        199.4      -16.483          200      -4.4213  -6.4241e-09      -1660.3  -2.3334e-10     0.055691   3.5573e-13      0.23135      -2070.1   -1.617e+05   1.3352e+05       1.2775    -0.065897            0            0            0            0            0            0            0            0            0         1000        0.212            0  
          0        -19.5            0      -1.1557     0.087669     0.017751     0.069918   1.4939e-12     -0.88445     0.012084     -0.89654  -6.6319e-13  -2.6335e-13  -7.0104e-15  -2.5634e-13      -13.182      -14.171            0        -8433       639.74      -2334.1   1.0901e-08      -8119.6      -2114.4   1.0975e-08      -7911.6            0            0            0       199.43      -16.364          200      -4.3382  -6.1787e-09      -1613.5  -2.3362e-10      0.05594   3.5219e-13       0.2315      -2026.3  -1.6053e+05   1.2795e+05       1.2759    -0.064647            0            0            0            0            0            0            0            0            0         1000        0.212            0  
          0          -19            0      -1.1279     0.083963     0.017282     0.066681   1.4397e-12     -0.85875     0.011944     -0.87069  -6.3901e-13  -2.4903e-13  -7.8864e-15  -2.4114e-13      -13.433      -14.266            0      -8230.3       612.69      -2219.5   1.0506e-08      -7940.3      -2010.7   1.0556e-08        -7743            0            0            0       199.45      -16.255          200      -4.2574  -5.9351e-09      -1566.6  -2.3839e-10     0.056182   3.4689e-13      0.23165      -1981.9  -1.5946e+05   1.2254e+05       1.2743    -0.063366            0            0            0            0            0            0            0            0            0         1000        0.212            0  
          0        -18.5            0      -1.0999     0.080211     0.016714     0.063496   1.3849e-12      -0.8332     0.011697      -0.8449  -6.1366e-13   -2.339e-13  -7.8293e-15  -2.2607e-13      -13.713      -14.382            0      -8026.4       585.31      -2107.4   1.0106e-08      -7758.6      -1909.3   1.0136e-08      -7571.7            0            0            0       199.47      -16.124          200      -4.1708  -5.6828e-09        -1520  -2.3559e-10     0.056416   3.4204e-13      0.23178      -1936.9  -1.5817e+05   1.1706e+05       1.2727    -0.062054            0            0            0            0            0            0            0            0            0         1000        0.212            0  
          0          -18            0      -1.0718     0.076569     0.016204     0.060365   1.3297e-12     -0.80761     0.011548     -0.81916  -5.8767e-13  -2.1832e-13  -7.0917e-15  -2.1123e-13      -13.998      -14.492            0      -7821.2       558.74        -1998   9.7031e-09      -7574.6      -1810.3   9.7009e-09      -7397.8            0            0            0       199.49      -16.001          200      -4.0862  -5.4264e-09      -1473.3  -2.2636e-10     0.056643   3.3589e-13      0.23191      -1891.4  -1.5697e+05   1.1175e+05       1.2712    -0.060711            0            0            0            0            0            0            0            0            0         1000        0.212            0  
          0        -17.5            0      -1.0435     0.072851      0.01556     0.057291   1.2736e-12      -0.7822     0.011286     -0.79348  -5.6167e-13  -2.0236e-13  -5.5872e-15  -1.9677e-13      -14.324      -14.633            0      -7614.9        531.6      -1891.1   9.2933e-09      -7388.2      -1713.6   9.2693e-09      -7221.4            0            0            0       199.51      -15.847          200      -3.9934  -5.1713e-09      -1426.9  -2.0951e-10     0.056862   3.2973e-13      0.23203      -1845.2  -1.5546e+05   1.0632e+05       1.2696    -0.059338            0            0            0            0            0            0            0            0            0         1000        0.212            0  
          0          -17            0      -1.0151     0.069288     0.015013     0.054275   1.2172e-12     -0.75673     0.011153     -0.76788  -5.3477e-13  -1.8729e-13  -4.6958e-15  -1.8259e-13      -14.651      -14.761            0      -7407.4        505.6        -1787   8.8819e-09      -7199.5      -1619.3   8.8317e-09      -7042.4            0            0            0       199.54       -15.71          200      -3.9048    -4.91e-09      -1380.5  -1.9782e-10     0.057074   3.2377e-13      0.23215      -1798.5  -1.5412e+05   1.0112e+05       1.2681    -0.057935            0            0            0            0            0            0            0            0            0         1000        0.212            0  
          0        -16.5            0     -0.98651     0.065852     0.014531     0.051321   1.1604e-12     -0.73131     0.011051     -0.74236   -5.085e-13   -1.662e-13   2.8071e-15  -1.6901e-13      -14.981      -14.879            0      -7198.7       480.53      -1685.5   8.4677e-09      -7008.6      -1527.5   8.4093e-09      -6860.9            0            0            0       199.56      -15.585          200       -3.819   -4.656e-09      -1334.1  -1.2985e-10     0.057277   3.1594e-13      0.23226      -1751.2  -1.5289e+05        96106       1.2666    -0.056504            0            0            0            0            0            0            0            0            0         1000        0.212            0  
          0          -16            0     -0.95776     0.062541     0.014111      0.04843   1.1028e-12     -0.70599     0.010931     -0.71692  -4.8006e-13  -1.6476e-13  -9.5624e-15  -1.5519e-13      -15.314      -14.987            0      -6988.9       456.37      -1586.7   8.0474e-09      -6815.6      -1438.2   7.9631e-09        -6677            0            0            0       199.57      -15.473          200      -3.7361  -4.3836e-09      -1287.9  -2.2649e-10     0.057473   3.0824e-13      0.23236      -1703.4  -1.5179e+05        91274       1.2651    -0.055045            0            0            0            0            0            0            0            0            0         1000        0.212            0  
          0        -15.5            0     -0.92886     0.059275     0.013671     0.045604   1.0449e-12     -0.68084     0.010749     -0.69159  -4.5286e-13  -1.5459e-13  -1.2403e-14  -1.4218e-13       -15.67      -15.102            0        -6778       432.54      -1490.7   7.6245e-09      -6620.4      -1351.3   7.5211e-09      -6490.8            0            0            0       199.59      -15.355          200      -3.6514  -4.1241e-09        -1242  -2.4293e-10      0.05766   3.0048e-13      0.23245      -1655.1  -1.5063e+05        86508       1.2637    -0.053558            0            0            0            0            0            0            0            0            0         1000        0.212            0  
          0          -15            0     -0.89981     0.056055     0.013208     0.042847   9.8665e-13     -0.65581      0.01054     -0.66635  -4.2564e-13  -1.3408e-13  -4.1545e-15  -1.2992e-13      -16.052      -15.227            0      -6566.1       409.04      -1397.4   7.1998e-09      -6423.2      -1266.9    7.076e-09      -6302.3            0            0            0       199.61      -15.229          200      -3.5647  -3.8666e-09      -1196.4  -1.6816e-10      0.05784   2.9152e-13      0.23253      -1606.3   -1.494e+05        81809       1.2622    -0.052045            0            0            0            0            0            0            0            0            0         1000        0.212            0  
          0        -14.5            0     -0.87063     0.052985     0.012825      0.04016   9.2782e-13     -0.63087     0.010355     -0.64123  -3.9733e-13  -1.2077e-13  -3.1202e-15  -1.1765e-13      -16.432      -15.332            0      -6353.1       386.64        -1307   6.7705e-09      -6224.1      -1185.1   6.6434e-09      -6111.5            0            0            0       199.63      -15.125          200      -3.4826  -3.6003e-09      -1150.9  -1.5164e-10      0.05801    2.812e-13      0.23261      -1556.9  -1.4838e+05        77328       1.2607    -0.050505            0            0            0            0            0            0            0            0            0         1000        0.212            0  
          0          -14            0      -0.8413     0.050063     0.012518     0.037545    8.687e-13     -0.60607     0.010158     -0.61622  -3.6841e-13  -1.0767e-13  -2.0931e-15  -1.0558e-13      -16.805      -15.414            0      -6139.1       365.32      -1219.4   6.3391e-09        -6023      -1105.8   6.1974e-09      -5918.5            0            0            0       199.65      -15.045          200      -3.4055  -3.3297e-09      -1105.6   -1.334e-10     0.058172   2.7026e-13      0.23267      -1507.1  -1.4759e+05        73064       1.2592    -0.048941            0            0            0            0            0            0            0            0            0         1000        0.212            0  
          0        -13.5            0     -0.81185     0.047067     0.012063     0.035004   8.0909e-13     -0.58135     0.009997     -0.59135  -3.3981e-13  -9.6735e-14  -2.4749e-15   -9.426e-14      -17.249      -15.542            0      -5924.2       343.46      -1134.6   5.9041e-09      -5820.1      -1029.2   5.7527e-09      -5723.5            0            0            0       199.66      -14.921          200       -3.318  -3.0638e-09      -1060.5  -1.2811e-10     0.058325   2.5845e-13      0.23272      -1456.9  -1.4637e+05        68691       1.2577    -0.047351            0            0            0            0            0            0            0            0            0         1000        0.212            0  
          0          -13            0     -0.78227     0.044229     0.011689     0.032539   7.4911e-13     -0.55676    0.0098403      -0.5666  -3.1131e-13  -8.5409e-14  -2.1104e-15  -8.3299e-14      -17.687      -15.643            0      -5708.3       322.74      -1052.7   5.4664e-09      -5615.4      -955.12   5.2967e-09      -5526.3            0            0            0       199.68      -14.824          200       -3.236  -2.7999e-09      -1015.7  -1.1468e-10     0.058469   2.4612e-13      0.23277      -1406.2  -1.4542e+05        64548       1.2562    -0.045738            0            0            0            0            0            0            0            0            0         1000        0.212            0  
          0        -12.5            0     -0.75256     0.041478     0.011326     0.030152   6.8871e-13     -0.53231    0.0096919       -0.542  -2.8216e-13  -7.4488e-14  -1.7192e-15  -7.2769e-14      -18.144       -15.74            0      -5491.5       302.67      -973.77   5.0256e-09        -5409      -883.71   4.8524e-09      -5327.2            0            0            0        199.7      -14.733          200      -3.1547  -2.5318e-09      -971.09   -1.013e-10     0.058603    2.317e-13       0.2328        -1355  -1.4453e+05        60534       1.2546    -0.044102            0            0            0            0            0            0            0            0            0         1000        0.212            0  
          0          -12            0     -0.72273     0.038841     0.010995     0.027845   6.2799e-13     -0.50799    0.0095556     -0.51755  -2.5263e-13  -6.4021e-14  -1.4879e-15  -6.2534e-14      -18.608      -15.819            0      -5273.9       283.43      -897.75   4.5825e-09      -5200.9      -814.95   4.4045e-09      -5126.1            0            0            0       199.71      -14.659          200      -3.0762  -2.2613e-09      -926.73  -8.7785e-11     0.058728    2.169e-13      0.23282      -1303.5  -1.4381e+05        56685        1.253    -0.042444            0            0            0            0            0            0            0            0            0         1000        0.212            0  
          0        -11.5            0     -0.69279     0.036324     0.010704      0.02562   5.6706e-13     -0.48383    0.0094213     -0.49325   -2.228e-13  -5.3928e-14  -1.1487e-15   -5.278e-14      -19.072      -15.875            0      -5055.4       265.06      -824.68   4.1379e-09      -4991.2      -748.87    3.948e-09      -4923.1            0            0            0       199.73      -14.608          200      -3.0014  -1.9895e-09      -882.65  -7.3255e-11     0.058842   1.9931e-13      0.23282      -1251.5   -1.433e+05        53013       1.2513    -0.040765            0            0            0            0            0            0            0            0            0         1000        0.212            0  
          0          -11            0     -0.66274     0.033912     0.010433     0.023478   5.0569e-13     -0.45984    0.0092871     -0.46912  -1.9268e-13  -4.4383e-14  -9.9751e-16  -4.3385e-14      -19.543       -15.91            0      -4836.1       247.46      -754.59   3.6901e-09      -4779.9      -685.48   3.4943e-09      -4718.3            0            0            0       199.74      -14.576          200      -2.9292  -1.7163e-09      -838.87  -5.9139e-11     0.058945   1.8079e-13      0.23281      -1199.2  -1.4299e+05        49492       1.2496    -0.039065            0            0            0            0            0            0            0            0            0         1000        0.212            0  
          0        -10.5            0     -0.63258     0.031595     0.010174     0.021421   4.4409e-13     -0.43601    0.0091512     -0.44516  -1.6305e-13  -3.5413e-14  -8.1509e-16  -3.4598e-14      -20.021      -15.924            0        -4616       230.55       -687.5   3.2406e-09      -4567.2      -624.82   3.0357e-09      -4511.7            0            0            0       199.75      -14.562          200      -2.8593  -1.4486e-09      -795.41  -4.4388e-11     0.059037   1.6049e-13      0.23278      -1146.5  -1.4286e+05        46111       1.2477    -0.037345            0            0            0            0            0            0            0            0            0         1000        0.212            0  
          0          -10            0     -0.60232     0.029367    0.0099157     0.019451   3.8224e-13     -0.41237    0.0090135     -0.42138  -1.3234e-13  -2.6893e-14  -7.1602e-16  -2.6177e-14       -20.51      -15.918            0      -4395.2       214.29      -623.44   2.7892e-09      -4353.1      -566.89   2.5838e-09      -4303.4            0            0            0       199.76      -14.568          200      -2.7913  -1.1726e-09      -752.27  -3.0455e-11     0.059117    1.372e-13      0.23274      -1093.4  -1.4291e+05        42859       1.2458    -0.035607            0            0            0            0            0            0            0            0            0         1000        0.212            0  
          0         -9.5            0     -0.57196     0.027229    0.0096605     0.017569   3.2012e-13     -0.38891    0.0088737     -0.39778  -1.0151e-13  -1.8682e-14  -5.8558e-16  -1.8096e-14      -21.005      -15.886            0      -4173.7        198.7      -562.41    2.336e-09      -4137.6      -511.71    2.127e-09      -4093.5            0            0            0       199.77      -14.597          200      -2.7256  -8.9637e-10      -709.48  -1.4528e-11     0.059183   1.1245e-13      0.23267        -1040   -1.432e+05        39739       1.2437    -0.033851            0            0            0            0            0            0            0            0            0         1000        0.212            0  
          0           -9            0     -0.54151     0.025186    0.0094099     0.015776   2.5777e-13     -0.36565    0.0087323     -0.37438   -7.136e-14  -1.1062e-14  -3.9066e-16  -1.0671e-14        -21.5      -15.822            0      -3951.5       183.79      -504.45    1.881e-09      -3920.9      -459.31   1.6645e-09        -3882            0            0            0       199.78      -14.657          200       -2.663  -6.2725e-10      -667.05   2.0648e-12     0.059236   8.3369e-14      0.23258      -986.33  -1.4378e+05        36757       1.2415    -0.032077            0            0            0            0            0            0            0            0            0         1000        0.212            0  
          0         -8.5            0     -0.51098     0.023238     0.009164     0.014074   1.9517e-13     -0.34259    0.0085906     -0.35118  -4.0405e-14  -3.8275e-15  -2.2525e-16  -3.6023e-15      -21.988      -15.718            0      -3728.7       169.57      -449.56   1.4242e-09      -3702.9      -409.69   1.2085e-09      -3669.1            0            0            0       199.79      -14.754          200      -2.6039  -3.5203e-10      -624.98   1.9011e-11     0.059274   5.1567e-14      0.23246      -932.31  -1.4473e+05        33915       1.2391    -0.030287            0            0            0            0            0            0            0            0            0         1000        0.212            0  
          0           -8            0     -0.48036     0.021385    0.0089201     0.012465   1.3242e-13     -0.31974    0.0084433     -0.32818  -9.4789e-15     2.95e-15  -1.4073e-16   3.0907e-15      -22.462      -15.568            0      -3505.2       156.05      -397.76   9.6626e-10      -3483.8      -362.88   7.5183e-10      -3454.6            0            0            0        199.8      -14.895          200      -2.5491  -7.7864e-11       -583.3   3.6865e-11     0.059295    1.483e-14      0.23231      -878.01  -1.4612e+05        31210       1.2365    -0.028483            0            0            0            0            0            0            0            0            0         1000        0.212            0  
          0         -7.5            0     -0.44966     0.019625    0.0086758     0.010949   6.9533e-14     -0.29711     0.008296      -0.3054   2.1707e-14    9.124e-15  -1.5748e-17   9.1397e-15      -22.913      -15.365            0      -3281.2        143.2      -349.07   5.0739e-10      -3263.6      -318.88   2.9102e-10      -3238.9            0            0            0       199.81      -15.093          200       -2.499   1.9747e-10      -542.01    5.401e-11     0.059297  -2.6857e-14      0.23212      -823.44  -1.4806e+05        28641       1.2335    -0.026663            0            0            0            0            0            0            0            0            0         1000        0.212            0  
          0           -7            0     -0.41889     0.017963    0.0084352    0.0095276   6.4644e-15     -0.27469    0.0081482     -0.28284   5.2834e-14   1.4941e-14   2.0108e-16    1.474e-14       -23.32      -15.093            0      -3056.7       131.08      -303.51   4.7171e-11      -3042.4      -277.71   -1.627e-10      -3021.7            0            0            0       199.82      -15.364          200      -2.4554   4.7152e-10      -501.12   7.2949e-11     0.059277  -7.4745e-14      0.23189      -768.62  -1.5072e+05        26215       1.2301     -0.02483            0            0            0            0            0            0            0            0            0         1000        0.212            0  
          0         -6.5            0     -0.38805     0.016397    0.0081954    0.0082019  -5.6825e-14     -0.25252    0.0079961     -0.26051   8.3893e-14   2.0241e-14   3.6209e-16   1.9879e-14      -23.665      -14.742            0      -2831.7       119.65      -261.09  -4.1466e-10      -2820.2      -239.38  -6.1742e-10      -2803.4            0            0            0       199.82       -15.73          200      -2.4196   7.4421e-10      -460.66   9.2275e-11     0.059232  -1.3039e-13       0.2316      -713.56  -1.5431e+05        23931       1.2263    -0.022985            0            0            0            0            0            0            0            0            0         1000        0.212            0  
          0           -6            0     -0.35715     0.014919     0.007946     0.006973  -1.2016e-13     -0.23057    0.0078466     -0.23841   1.1533e-13   2.4925e-14   3.0548e-16   2.4619e-14      -23.939      -14.306            0      -2606.2       108.87      -221.81   -8.768e-10      -2597.2      -203.91  -1.0756e-09      -2583.9            0            0            0       199.83      -16.209          200       -2.392   1.0196e-09      -420.62   1.1069e-10     0.059158  -1.9628e-13      0.23125      -658.28  -1.5901e+05        21773       1.2219    -0.021128            0            0            0            0            0            0            0            0            0         1000        0.212            0  
          0         -5.5            0     -0.32619     0.013562    0.0077203    0.0058418  -1.8359e-13     -0.20884    0.0077153     -0.21656   1.4658e-13   2.9215e-14   4.5365e-16   2.8761e-14      -24.051      -13.736            0      -2380.2       98.965       -185.7  -1.3397e-09      -2373.4       -171.3  -1.5313e-09      -2363.2            0            0            0       199.83      -16.882          200      -2.3809   1.2924e-09      -380.99   1.3067e-10     0.059048  -2.7459e-13      0.23081      -602.79  -1.6561e+05        19793       1.2165    -0.019261            0            0            0            0            0            0            0            0            0         1000        0.212            0  
          0           -5            0     -0.29517     0.012333    0.0075235    0.0048092  -2.4709e-13     -0.18736    0.0075922     -0.19495   1.7836e-13   3.3152e-14    5.868e-16   3.2565e-14      -23.934      -13.003            0      -2153.9       89.994      -152.77  -1.8031e-09      -2148.8      -141.57  -1.9859e-09      -2141.6            0            0            0       199.83      -17.833          200      -2.3925   1.5693e-09       -341.8   1.5197e-10     0.058893  -3.6978e-13      0.23026      -547.12  -1.7494e+05        17999       1.2101    -0.017383            0            0            0            0            0            0            0            0            0         1000        0.212            0  
          0         -4.5            0     -0.26411     0.011199    0.0073229    0.0038759   -3.107e-13     -0.16613    0.0074715      -0.1736   2.0966e-13   3.6334e-14   6.0187e-16   3.5732e-14      -23.584       -12.12            0      -1927.2       81.719      -123.01  -2.2672e-09      -1923.5      -114.71  -2.4445e-09      -1918.9            0            0            0       199.82      -19.133          200       -2.428   1.8414e-09      -303.07   1.7189e-10     0.058678  -4.8713e-13      0.22956      -491.29  -1.8769e+05        16344       1.2021    -0.015497            0            0            0            0            0            0            0            0            0         1000        0.212            0  
          0           -4            0       -0.233     0.010187    0.0071446    0.0030427  -3.7431e-13     -0.14514    0.0073709     -0.15251   2.4109e-13   3.9033e-14    5.702e-16   3.8463e-14      -22.872       -11.04            0      -1700.3       74.338      -96.455  -2.7314e-09      -1697.7      -90.756  -2.8969e-09      -1695.3            0            0            0       199.81      -21.004          200      -2.5035   2.1142e-09      -264.78    1.923e-10     0.058384  -6.3738e-13      0.22866      -435.29  -2.0605e+05        14868       1.1918    -0.013604            0            0            0            0            0            0            0            0            0         1000        0.212            0  
          0         -3.5            0     -0.20186    0.0093064    0.0069961    0.0023102  -4.3796e-13      -0.1244    0.0072889     -0.13169   2.7255e-13   4.1318e-14   5.6019e-16   4.0757e-14       -21.69      -9.7452            0        -1473        67.91      -73.098  -3.1958e-09      -1471.3      -69.695  -3.3507e-09      -1470.9            0            0            0       199.79      -23.796          200      -2.6397   2.3866e-09      -226.94   2.1388e-10     0.057977  -8.3319e-13      0.22746      -379.17  -2.3343e+05        13582       1.1781    -0.011703            0            0            0            0            0            0            0            0            0         1000        0.212            0  
          0           -3            0     -0.17068    0.0085534    0.0068743    0.0016791  -5.0159e-13     -0.10391    0.0072266     -0.11114   3.0373e-13   4.3044e-14   5.1773e-16   4.2527e-14      -19.955       -8.244            0      -1245.5       62.415      -52.948  -3.6602e-09      -1244.4       -51.54  -3.8009e-09      -1245.8            0            0            0       199.75      -28.129          200      -2.8689   2.6562e-09      -189.57   2.3551e-10     0.057399  -1.1007e-12      0.22579      -322.93  -2.7594e+05        12483       1.1589   -0.0097968            0            0            0            0            0            0            0            0            0         1000        0.212            0  
          0         -2.5            0     -0.13947    0.0079306     0.006781    0.0011497  -5.6521e-13    -0.083685    0.0071855    -0.090871   3.3548e-13   4.4189e-14    3.812e-16   4.3808e-14      -17.587       -6.568            0      -1017.8       57.871      -36.013  -4.1244e-09      -1017.2      -36.296  -4.2531e-09      -1019.9            0            0            0       199.68      -35.307          200      -3.2544   2.9303e-09      -152.67   2.5658e-10     0.056538  -1.4885e-12      0.22335      -266.58  -3.4636e+05        11574       1.1302   -0.0078856            0            0            0            0            0            0            0            0            0         1000        0.212            0  
          0           -2            0     -0.10824    0.0074351    0.0067126   0.00072247  -6.2882e-13    -0.063729    0.0071604    -0.070889    3.666e-13   4.4989e-14   3.9718e-16   4.4592e-14      -14.559      -4.7898            0      -789.87       54.255      -22.297  -4.5886e-09      -789.57      -23.968  -4.7021e-09      -793.38            0            0            0       199.53      -48.414          200      -3.9294   3.1987e-09      -116.26   2.7965e-10     0.055158  -2.1004e-12      0.21949      -210.15  -4.7494e+05        10851       1.0833   -0.0059705            0            0            0            0            0            0            0            0            0         1000        0.212            0  
