MK84_wing
T1-200.0 m/s-TriUniform-ThickSurf-x0.181m
Freestream speed = 200.000 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0         -8.5            0     -0.48882      0.14591      0.13921    0.0066967  -4.7316e-15    -0.080315    -0.001041    -0.079274   1.3529e-13   5.9563e-14   4.7013e-14   1.2549e-14      -3.3502      -2.3423            0      -8982.1       2681.1      -1205.9  -8.6943e-11      -8901.6      -1057.4  -9.1101e-11      -8800.4            0            0            0       191.64      -62.389          200       -16.62    7.478e-09      -368.95    2.145e-09      0.13632  -8.2877e-13   -0.0040388      -2968.9  -6.1204e+05   5.3622e+05      0.94647    -0.066638            0            0            0            0            0            0            0            0            0         1000        0.181            0  
          0           -8            0     -0.44325      0.11184      0.10634    0.0054995  -5.3857e-15    -0.080399  -0.00095292    -0.079446   1.5691e-13   5.9312e-14   4.7128e-14   1.2184e-14      -3.9631      -2.6385            0      -8144.6       2055.1      -1033.4  -9.8961e-11      -8079.4      -898.98  -1.4239e-10      -7988.8            0            0            0       193.92      -55.386          200      -14.162   8.6591e-09      -369.33   2.0339e-09      0.13216  -1.0616e-12   -0.0047265      -2692.5  -5.4333e+05   4.1103e+05      0.94763    -0.058581            0            0            0            0            0            0            0            0            0         1000        0.181            0  
          0         -7.5            0      -0.3976     0.068541     0.064123    0.0044179  -7.6261e-15    -0.080268  -0.00065736    -0.079611   1.7867e-13   5.2053e-14   4.0376e-14   1.1677e-14      -5.8009      -3.6578            0      -7305.9       1259.4      -873.12  -1.4013e-10        -7254      -752.04  -1.8711e-10      -7173.5            0            0            0       197.09      -39.952          200      -9.7809    9.849e-09      -368.73   1.5593e-09        0.127  -1.3475e-12   -0.0055839      -2414.9  -3.9193e+05   2.5189e+05      0.94917    -0.050493            0            0            0            0            0            0            0            0            0         1000        0.181            0  
          0           -7            0     -0.35189     0.028269     0.024816     0.003453  -9.3156e-15    -0.080027  -0.00025701     -0.07977   2.0058e-13   2.3899e-14   1.2873e-14   1.1026e-14      -12.448       -7.384            0      -6465.9       519.44      -725.02  -1.7117e-10      -6425.5      -616.62  -2.2462e-10      -6354.7            0            0            0       199.36      -19.791          200       -4.593   1.1049e-08      -367.62  -3.9916e-11      0.12043  -1.7094e-12   -0.0066775      -2136.4  -1.9414e+05   1.0389e+05      0.95121    -0.042379            0            0            0            0            0            0            0            0            0         1000        0.181            0  
          0         -6.5            0     -0.30612     0.011694    0.0090885    0.0026057  -1.0166e-14    -0.079923  -4.7613e-07    -0.079922   2.2234e-13   1.2187e-14   1.9551e-15   1.0232e-14      -26.177      -14.483            0      -5624.9       214.88      -589.19   -1.868e-10      -5594.2      -492.77  -2.5615e-10      -5532.8            0            0            0       199.85       -10.09          200      -2.1877   1.2241e-08      -367.15  -7.1997e-10      0.11185  -2.1771e-12   -0.0081134      -1856.9       -98982        42976      0.95393     -0.03424            0            0            0            0            0            0            0            0            0         1000        0.181            0  
          0           -6            0      -0.2603    0.0093663    0.0074895    0.0018769  -1.1578e-14    -0.080039   2.9725e-05    -0.080069   2.4404e-13   1.1769e-14    2.508e-15   9.2613e-15      -27.791      -14.179            0        -4783       172.11      -465.66  -2.1274e-10      -4760.4      -380.52  -2.8086e-10        -4708            0            0            0       199.87      -10.307          200      -2.0608   1.3432e-08      -367.68  -7.6095e-10      0.10019  -2.8121e-12    -0.010073      -1576.6  -1.0111e+05        34421      0.95758    -0.026078            0            0            0            0            0            0            0            0            0         1000        0.181            0  
          0         -5.5            0     -0.21444     0.008626    0.0073588    0.0012672  -1.2449e-14    -0.080171   3.7631e-05    -0.080209   2.6584e-13    1.165e-14   3.4944e-15   8.1558e-15      -24.859      -11.512            0      -3940.3        158.5      -354.48  -2.2875e-10      -3924.3       -279.9  -2.9932e-10      -3880.5            0            0            0       199.84      -12.695          200      -2.3036    1.463e-08      -368.28  -7.6531e-10     0.083457  -3.7192e-12    -0.012892      -1295.5  -1.2453e+05        31701      0.96253    -0.017896            0            0            0            0            0            0            0            0            0         1000        0.181            0  
          0           -5            0     -0.16853     0.010833     0.010056   0.00077735  -1.3196e-14    -0.080326   1.6177e-05    -0.080342   2.8765e-13   1.3022e-14   6.1198e-15    6.902e-15      -15.557      -6.3866            0      -3096.8       199.06      -255.68  -2.4248e-10      -3086.3      -190.94   -3.112e-10      -3050.6            0            0            0       199.59      -22.881          200      -3.6779   1.5829e-08         -369  -6.6689e-10     0.057532   -5.118e-12    -0.017275      -1013.7  -2.2447e+05        39813      0.96924   -0.0096961            0            0            0            0            0            0            0            0            0         1000        0.181            0  
          0         -4.5            0      -0.1226    0.0095011    0.0090932   0.00040785  -1.3996e-14    -0.080453   1.5837e-05    -0.080469   3.0936e-13   1.1825e-14   6.3377e-15   5.4875e-15      -12.904      -4.5183            0      -2252.8       174.58      -169.28  -2.5718e-10      -2246.5      -113.68  -3.1638e-10      -2218.5            0            0            0        199.4      -32.343          200      -4.4313   1.7025e-08      -369.58  -6.8815e-10     0.012075  -7.5691e-12    -0.024979      -731.39  -3.1728e+05        34916      0.97761   -0.0014804            0            0            0            0            0            0            0            0            0         1000        0.181            0  
          0           -4            0    -0.076646    0.0084321     0.008273   0.00015917  -1.4532e-14    -0.080574    1.527e-05    -0.080589   3.3109e-13   9.4796e-15    5.551e-15   3.9286e-15      -9.0897      -2.5165            0      -1408.4       154.94      -95.325  -2.6702e-10      -1405.1      -48.135  -3.1524e-10      -1384.4            0            0            0        198.8       -58.07          200      -6.2781   1.8222e-08      -370.14  -7.5187e-10    -0.088049  -1.2956e-11    -0.041981      -448.55  -5.6967e+05        30988      0.97898    0.0067486            0            0            0            0            0            0            0            0            0         1000        0.181            0  
          0         -3.5            0    -0.030672    0.0075973    0.0075656   3.1693e-05  -1.4928e-14    -0.080689   1.4231e-05    -0.080703   3.5276e-13   7.2884e-15   5.0755e-15    2.213e-15      -4.0372     -0.70706            0       -563.6        139.6      -33.825   -2.743e-10      -562.58       5.6757  -3.0753e-10      -548.77            0            0            0       194.13      -206.68          200      -13.912   1.9417e-08      -370.66  -7.8613e-10     -0.48867  -3.4499e-11      -0.1101      -165.29  -2.0275e+06        27920      0.78739     0.014988            0            0            0            0            0            0            0            0            0         1000        0.181            0  
          0           -3            0     0.015313    0.0069761    0.0069504   2.5682e-05  -1.5159e-14    -0.080798   1.2869e-05     -0.08081   3.7442e-13     4.87e-15    4.523e-15   3.4704e-16       2.1951      0.27163       8.0811       281.38       128.19       15.197  -2.7855e-10       280.97       47.735  -2.9336e-10       288.32            0            0            0          182       537.99          200       24.492   2.0613e-08      -371.16  -8.1213e-10       1.5175   7.3345e-11       0.2312       118.29   5.2777e+06        25637      0.24219     0.023237            0            0            0            0            0            0            0            0            0         1000        0.181            0  
          0         -2.5            0     0.061302    0.0065583     0.006417   0.00014133  -1.5255e-14      -0.0809   1.1249e-05    -0.080911   3.9602e-13    3.124e-15   4.7918e-15  -1.6678e-15       9.3473       2.3143       4.0389       1126.4       120.51       51.728  -2.8031e-10       1125.2       78.029   -2.726e-10       1126.5            0            0            0       198.87       63.143          200       6.1065   2.1806e-08      -371.63  -7.8019e-10      0.51371   1.9379e-11     0.060482       402.11   6.1944e+05        24102      0.70534     0.031492            0            0            0            0            0            0            0            0            0         1000        0.181            0  
          0           -2            0      0.10729    0.0065244    0.0061457   0.00037871  -1.5233e-14    -0.080996   9.5836e-06    -0.081005   4.1755e-13  -1.7945e-15   2.0411e-15  -3.8356e-15       16.444       5.3863        3.053       1971.4       119.89       75.757  -2.7991e-10         1970        96.55  -2.4537e-10       1965.7            0            0            0       199.63       27.131          200         3.48   2.2996e-08      -372.07  -9.0216e-10       0.3705   1.1676e-11     0.036155       686.09   2.6615e+05        23977      0.80624      0.03975            0            0            0            0            0            0            0            0            0         1000        0.181            0  
          0         -1.5            0      0.15327    0.0067305    0.0059927   0.00073785  -1.4983e-14    -0.081085   7.9036e-06    -0.081092   4.3896e-13  -5.5162e-15   6.3743e-16  -6.1536e-15       22.772        8.915       2.5543       2816.3       123.67       87.275   -2.753e-10         2815       103.29  -2.1163e-10       2805.4            0            0            0       199.81       16.392          200       2.5145    2.418e-08      -372.48  -9.3739e-10      0.31325   8.5945e-12     0.026452       970.14    1.608e+05        24735      0.84449      0.04801            0            0            0            0            0            0            0            0            0         1000        0.181            0  
          0           -1            0      0.19923     0.007196    0.0059774    0.0012186  -1.4776e-14    -0.081167   6.3807e-06    -0.081173   4.6052e-13  -8.6655e-15  -5.0191e-17  -8.6153e-15       27.686       12.358       2.2404       3660.8       132.23       86.279  -2.7151e-10       3659.9        98.25  -1.7138e-10       3645.6            0            0            0       199.87       11.825          200       2.0686   2.5374e-08      -372.86  -9.2067e-10      0.28244   6.9345e-12     0.021247       1254.2   1.1601e+05        26445      0.86397     0.056269            0            0            0            0            0            0            0            0            0         1000        0.181            0  
          0         -0.5            0      0.24517    0.0080284    0.0062076    0.0018209  -1.4276e-14    -0.081242    4.923e-06    -0.081247   4.8189e-13  -1.4379e-14  -3.1544e-15  -1.1225e-14       30.537        15.12       2.0196         4505       147.52        72.77  -2.6231e-10       4504.5       81.429  -1.2465e-10       4485.9            0            0            0       199.89       9.6647          200       1.8756   2.6558e-08      -373.21  -1.0244e-09      0.26319   5.8987e-12     0.018011       1538.1        94811        29505      0.87562     0.064525            0            0            0            0            0            0            0            0            0         1000        0.181            0  
          0            0            0      0.29108    0.0089321    0.0063878    0.0025443  -1.3601e-14     -0.08131   3.8609e-06    -0.081314   5.0316e-13  -1.5848e-14  -1.8666e-15  -1.3982e-14       32.588       17.582       1.8535       5348.6       164.13       46.752  -2.4993e-10       5348.6       52.833  -7.1463e-11         5326            0            0            0       199.91       8.3117          200       1.7576   2.7736e-08      -373.52  -8.7363e-10      0.25002   5.1883e-12     0.015811       1821.8        81538        32825      0.88332     0.072775            0            0            0            0            0            0            0            0            0         1000        0.181            0  
          0          0.5            0      0.33695    0.0098321    0.0064436    0.0033885  -1.2925e-14    -0.081372   2.5937e-06    -0.081374   5.2446e-13   -1.784e-14  -9.5401e-16  -1.6886e-14       34.271       19.893       1.7227       6191.5       180.66       8.2319   -2.375e-10       6191.8       12.471   -1.197e-11       6165.8            0            0            0       199.91       7.3459          200       1.6714   2.8918e-08       -373.8  -7.3111e-10      0.24044   4.6684e-12     0.014222       2105.3        72063        36133      0.88877     0.081017            0            0            0            0            0            0            0            0            0         1000        0.181            0  
          0            1            0      0.38278     0.010974    0.0066205    0.0043531  -1.1655e-14    -0.081426   1.6823e-06    -0.081428   5.4565e-13  -2.6451e-14  -6.5175e-15  -1.9934e-14       34.882       21.581       1.6163       7033.6       201.64      -42.777  -2.1416e-10         7034      -39.645   5.4047e-11       7004.9            0            0            0       199.92       6.7713          200       1.6421   3.0094e-08      -374.05  -9.3295e-10      0.23316   4.2758e-12     0.013024       2388.4        66426        40328      0.89284     0.089249            0            0            0            0            0            0            0            0            0         1000        0.181            0  
          0          1.5            0      0.42857     0.012648    0.0072101    0.0054375    -1.12e-14    -0.081473   1.8491e-06    -0.081475   5.6685e-13  -2.4899e-14  -1.7703e-15  -2.3129e-14       33.885       22.183       1.5275       7874.9        232.4      -106.26   -2.058e-10       7874.8       -103.5   1.2668e-10       7843.1            0            0            0       199.91       6.5877          200       1.6904    3.127e-08      -374.27  -5.5414e-10      0.22743   3.9665e-12     0.012092         2671        64625        46480      0.89599     0.097467            0            0            0            0            0            0            0            0            0         1000        0.181            0  
          0            2            0      0.47429     0.013968    0.0073265     0.006641  -1.0103e-14    -0.081515   9.1533e-08    -0.081515   5.8765e-13  -3.1135e-14   -4.682e-15  -2.6453e-14       33.957       23.386        1.452       8715.1       256.65       -182.2  -1.8564e-10       8714.1      -179.07   2.0508e-10       8680.2            0            0            0       199.91       6.2489          200       1.6868   3.2425e-08      -374.46  -5.8476e-10       0.2228   3.7176e-12     0.011348       2953.1        61301        51331      0.89852      0.10567            0            0            0            0            0            0            0            0            0         1000        0.181            0  
          0          2.5            0      0.51996     0.015465    0.0075017     0.007963  -8.4292e-15    -0.081549  -1.0036e-06    -0.081548   6.0851e-13  -3.2839e-14  -2.9123e-15  -2.9926e-14       33.622       24.244       1.3868       9554.2       284.16      -270.57  -1.5489e-10       9551.5      -266.34   2.9063e-10       9515.9            0            0            0       199.91       6.0276          200       1.7036   3.3584e-08      -374.61  -3.4534e-10      0.21897   3.5109e-12     0.010742       3234.6        59130        56833      0.90059      0.11386            0            0            0            0            0            0            0            0            0         1000        0.181            0  
          0            3            0      0.56555     0.017065    0.0076627    0.0094025  -7.5259e-15    -0.081576  -2.1937e-06    -0.081574   6.2929e-13  -3.6384e-14  -2.8483e-15  -3.3535e-14       33.141       24.923       1.3297        10392       313.57      -371.34  -1.3829e-10        10387      -365.28   3.8209e-10        10350            0            0            0       199.91       5.8634          200       1.7283   3.4739e-08      -374.74  -1.8738e-10      0.21576   3.3391e-12     0.010241       3515.4        57520        62715      0.90235      0.12202            0            0            0            0            0            0            0            0            0         1000        0.181            0  
          0          3.5            0      0.61107     0.018779    0.0078199     0.010959   -5.091e-15    -0.081597  -3.3426e-06    -0.081593   6.4964e-13  -3.9323e-14  -2.0596e-15  -3.7264e-14       32.541       25.438       1.2792        11228       345.06      -484.49  -9.3548e-11        11220      -475.85   4.7978e-10        11182            0            0            0       199.91       5.7448          200       1.7602    3.587e-08      -374.83   2.2584e-11      0.21301   3.1909e-12    0.0098214       3795.4        56356        69011      0.90385      0.13017            0            0            0            0            0            0            0            0            0         1000        0.181            0  
          0            4            0      0.65651     0.020617     0.007987      0.01263  -2.9058e-15     -0.08161  -4.3523e-06    -0.081606   6.7084e-13  -4.3728e-14  -2.5363e-15  -4.1191e-14       31.842         25.8       1.2342        12063       378.85      -609.98  -5.3394e-11        12050      -598.04   5.8394e-10        12012            0            0            0        199.9        5.664          200       1.7988   3.7049e-08       -374.9   1.7499e-10      0.21064    3.063e-12    0.0094653       4074.5        55564        75769      0.90518      0.13829            0            0            0            0            0            0            0            0            0         1000        0.181            0  
