MK84_wing
T5-a0.0°-200.0m/s-VLM2-x0.181m


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0            0          -15      0.24952    0.0081882    0.0062188    0.0019694   4.2375e-05    -0.076549   3.6307e-06    -0.076553   -0.0049785   3.1661e-05   3.1661e-05   3.9349e-22       30.473       15.222       2.0019       4584.9       149.43       36.187      0.77863       4584.9  -2.4364e-18   9.0929e-18       4584.8            0            0            0       199.89       9.6004          200       1.8796      -274.44      -351.65       1.7453       0.2577    -0.059858    0.0043383       1691.8        94180        30091      0.83856       0.0643            0            0            0            0            0            0            0            0            0         1000        0.181            0  
          0            0        -14.5      0.25064    0.0082042    0.0062262     0.001978   4.1087e-05    -0.076891   3.6434e-06    -0.076894   -0.0048272   3.0566e-05   3.0566e-05   3.8372e-22        30.55       15.294       1.9975       4605.5       149.78       36.346      0.75498       4605.5  -2.4048e-18   9.2987e-18       4605.4            0            0            0       199.89       9.5548          200       1.8748       -266.1      -353.22       1.6849       0.2577    -0.057779    0.0043383       1694.8        93732        30151      0.84241     0.064589            0            0            0            0            0            0            0            0            0         1000        0.181            0  
          0            0          -14      0.25172    0.0082199    0.0062335    0.0019864   3.9787e-05    -0.077221   3.6557e-06    -0.077225   -0.0046745   2.9447e-05   2.9447e-05   3.7382e-22       30.624       15.365       1.9931       4625.4       150.13       36.501      0.73109       4625.4  -2.3696e-18   9.5039e-18       4625.4            0            0            0       199.89       9.5111          200       1.8703      -257.68      -354.74       1.6233      0.25769     -0.05571    0.0043383       1697.5        93304        30208      0.84615     0.064868            0            0            0            0            0            0            0            0            0         1000        0.181            0  
          0            0        -13.5      0.25278    0.0082353    0.0062407    0.0019945   3.8475e-05    -0.077541   3.6678e-06    -0.077545   -0.0045204   2.8264e-05   2.8264e-05   3.6382e-22       30.694       15.432        1.989       4644.8       150.48        36.65      0.70698       4644.8  -2.3308e-18   9.7085e-18       4644.7            0            0            0       199.89       9.4695          200        1.866      -249.18       -356.2       1.5581      0.25769    -0.053649    0.0043382         1700        92895        30265      0.84976     0.065138            0            0            0            0            0            0            0            0            0         1000        0.181            0  
          0            0          -13      0.25379    0.0082502    0.0062478    0.0020024   3.7152e-05     -0.07785   3.6795e-06    -0.077854   -0.0043648   2.7075e-05   2.7075e-05   3.5371e-22       30.762       15.497        1.985       4663.4       150.81       36.794      0.68266       4663.4  -2.2884e-18   9.9123e-18       4663.4            0            0            0       199.89       9.4297          200       1.8619      -240.61      -357.63       1.4925      0.25769    -0.051596    0.0043382       1702.2        92505        30319      0.85325     0.065399            0            0            0            0            0            0            0            0            0         1000        0.181            0  
          0            0        -12.5      0.25477    0.0082649    0.0062549      0.00201   3.5817e-05    -0.078149    3.691e-06    -0.078152    -0.004208    2.582e-05    2.582e-05   3.4349e-22       30.826       15.559       1.9812       4681.4       151.13       36.933      0.65813       4681.4  -2.2425e-18   1.0115e-17       4681.4            0            0            0       199.89        9.392          200        1.858      -231.97         -359       1.4233      0.25769     -0.04955    0.0043382       1704.2        92136        30373      0.85662     0.065652            0            0            0            0            0            0            0            0            0         1000        0.181            0  
          0            0          -12      0.25572    0.0082791    0.0062618    0.0020172   3.4471e-05    -0.078436   3.7021e-06     -0.07844   -0.0040499   2.4567e-05   2.4567e-05   3.3317e-22       30.887       15.619       1.9775       4698.8       151.45       37.067       0.6334       4698.8  -2.1931e-18   1.0318e-17       4698.8            0            0            0        199.9       9.3561          200       1.8544      -223.25      -360.32       1.3542      0.25768    -0.047512    0.0043382       1705.9        91783        30426      0.85986     0.065894            0            0            0            0            0            0            0            0            0         1000        0.181            0  
          0            0        -11.5      0.25662    0.0082929    0.0062687    0.0020243   3.3114e-05    -0.078712   3.7128e-06    -0.078716   -0.0038905   2.3289e-05   2.3289e-05   3.2275e-22       30.945       15.676        1.974       4715.5       151.76       37.196      0.60847       4715.5  -2.1401e-18   1.0519e-17       4715.4            0            0            0        199.9        9.322          200       1.8509      -214.46      -361.58       1.2838      0.25768    -0.045481    0.0043382       1707.3        91449        30476      0.86298     0.066128            0            0            0            0            0            0            0            0            0         1000        0.181            0  
          0            0          -11       0.2575    0.0083064    0.0062754     0.002031   3.1748e-05    -0.078977   3.7233e-06    -0.078981   -0.0037299   2.1982e-05   2.1982e-05   3.1224e-22           31       15.731       1.9707       4731.5       152.06       37.319      0.58336       4731.5  -2.0836e-18   1.0719e-17       4731.5            0            0            0        199.9       9.2898          200       1.8476      -205.61       -362.8       1.2118      0.25768    -0.043456    0.0043381       1708.5        91133        30526      0.86597     0.066352            0            0            0            0            0            0            0            0            0         1000        0.181            0  
          0            0        -10.5      0.25833    0.0083194    0.0062819    0.0020374   3.0371e-05    -0.079231   3.7333e-06    -0.079235   -0.0035683    2.068e-05    2.068e-05   3.0163e-22       31.052       15.782       1.9675       4746.8       152.34       37.438      0.55807       4746.8  -2.0237e-18   1.0919e-17       4746.8            0            0            0        199.9       9.2593          200       1.8445       -196.7      -363.97         1.14      0.25768    -0.041438    0.0043381       1709.4        90833        30574      0.86884     0.066566            0            0            0            0            0            0            0            0            0         1000        0.181            0  
