MK84_BigWing_ControlFins-fins
T1-200.0 m/s-VLM2-x0.165m
Freestream speed = 200.000 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0          -10            0     -0.39292     0.045002     0.014474     0.030529  -4.5967e-17    0.0028048   0.00017018    0.0026346  -6.9722e-17  -7.6259e-18   -1.918e-19  -7.4341e-18       -8.731      -5.4729            0      -2368.8       271.31      -230.09  -2.7712e-13      -2364.8      -416.97  -4.3746e-13      -2364.8            0            0            0        198.7      -46.616          200      -6.5339  -2.3857e-13       7.4491   1.5668e-14      0.17026   5.1863e-17  -1.0858e-06      -76.584   -4.573e+05        54262       1.2378    -0.066898            0            0            0            0            0            0            0            0            0         1000        0.165            0  
          0         -9.5            0     -0.37396     0.042033     0.014411     0.027622  -4.2145e-18     0.002673   0.00016076    0.0025123  -7.2212e-17   7.1869e-19  -1.8118e-19   8.9986e-19      -8.8968      -5.4406            0      -2254.5       253.41      -207.86  -2.5409e-14      -2251.1       -376.7  -3.7653e-13      -2251.1            0            0            0       198.75      -46.893          200      -6.4132  -2.4239e-13       7.0993   4.3051e-14      0.17004   8.1444e-17  -1.0845e-06        -72.9  -4.6002e+05        50682       1.2392    -0.063588            0            0            0            0            0            0            0            0            0         1000        0.165            0  
          0           -9            0      -0.3549     0.039201     0.014351     0.024851  -4.1817e-18    0.0025407   0.00015146    0.0023892  -1.6051e-17  -1.7817e-18   -1.235e-19  -1.6582e-18      -9.0531      -5.3932            0      -2139.6       236.34      -186.73  -2.5211e-14      -2136.7      -338.42  -2.5168e-13      -2136.7            0            0            0       198.79      -47.304          200      -6.3033  -5.4952e-14       6.7479   2.5733e-15      0.16983   7.7206e-17  -1.0832e-06      -69.194  -4.6405e+05        47267       1.2406    -0.060273            0            0            0            0            0            0            0            0            0         1000        0.165            0  
          0         -8.5            0     -0.33574     0.036508     0.014292     0.022217  -7.3592e-18    0.0024078    0.0001423    0.0022655  -1.7337e-17  -1.1186e-17    2.646e-19  -1.1451e-17      -9.1961      -5.3285            0      -2024.1        220.1      -166.71  -4.4367e-14      -2021.6      -302.14   1.6104e-13      -2021.6            0            0            0       198.83      -47.879          200       -6.206  -6.4249e-14       6.3949  -2.8981e-14      0.16964   4.6752e-17   -1.082e-06      -65.467  -4.6969e+05        44020       1.2419    -0.056953            0            0            0            0            0            0            0            0            0         1000        0.165            0  
          0           -8            0     -0.31648     0.033958     0.014235     0.019723  -3.7421e-17    0.0022743   0.00013323    0.0021411  -7.4932e-17  -2.6021e-17  -4.1694e-19  -2.5604e-17      -9.3199      -5.2431            0        -1908       204.72       -147.8   -2.256e-13        -1906      -267.87  -2.0238e-13        -1906            0            0            0       198.86      -48.659          200      -6.1243  -2.6521e-13       6.0403  -5.2358e-14      0.16945    2.023e-17  -1.0809e-06      -61.721  -4.7735e+05        40945       1.2431    -0.053629            0            0            0            0            0            0            0            0            0         1000        0.165            0  
          0         -7.5            0     -0.29714     0.031551     0.014181      0.01737  -2.8595e-17    0.0021402   0.00012425     0.002016  -7.3037e-17  -1.8481e-17  -2.4231e-20  -1.8457e-17      -9.4178      -5.1337            0      -1791.4       190.22         -130  -1.7239e-13      -1789.7      -235.62  -2.6829e-13      -1789.7            0            0            0       198.88      -49.696          200      -6.0611  -2.5517e-13       5.6843  -2.9977e-14      0.16928   1.0563e-16  -1.0799e-06      -57.955  -4.8751e+05        38043       1.2442    -0.050301            0            0            0            0            0            0            0            0            0         1000        0.165            0  
          0           -7            0     -0.27772      0.02929      0.01413      0.01516  -4.2774e-17    0.0020057   0.00011539    0.0018903  -3.6942e-17  -1.4466e-17  -5.7368e-19  -1.3892e-17      -9.4816      -4.9967            0      -1674.3       176.58      -113.33  -2.5787e-13        -1673      -205.41  -1.4875e-13        -1673            0            0            0        198.9      -51.058          200      -6.0206  -1.3082e-13        5.327  -3.3652e-14      0.16913   5.1859e-17  -1.0789e-06      -54.173  -5.0088e+05        35317       1.2453     -0.04697            0            0            0            0            0            0            0            0            0         1000        0.165            0  
          0         -6.5            0     -0.25822     0.027176      0.01408     0.013095  -2.3994e-17    0.0018707   0.00010665    0.0017641   -7.467e-17   -1.007e-17  -1.9752e-19  -9.8726e-18      -9.5018      -4.8284            0      -1556.7       163.84      -97.787  -1.4465e-13      -1555.7      -177.25   5.9982e-13      -1555.7            0            0            0        198.9      -52.838          200      -6.0079  -2.5683e-13       4.9685  -5.2892e-15      0.16898   8.2916e-17  -1.0781e-06      -50.374  -5.1834e+05        32767       1.2463    -0.043634            0            0            0            0            0            0            0            0            0         1000        0.165            0  
          0           -6            0     -0.23865     0.025209     0.014032     0.011177  -4.7291e-17    0.0017353   9.7978e-05    0.0016373  -1.8787e-17  -1.1187e-17   3.0585e-19  -1.1493e-17      -9.4666      -4.6246            0      -1438.7       151.98      -83.376   -2.851e-13      -1437.9      -151.13  -4.0608e-13      -1437.9            0            0            0       198.89      -55.167          200      -6.0301  -6.7819e-14       4.6088  -3.1235e-14      0.16885    8.738e-17  -1.0773e-06      -46.559  -5.4119e+05        30396       1.2472    -0.040296            0            0            0            0            0            0            0            0            0         1000        0.165            0  
          0         -5.5            0     -0.21901     0.023394     0.013988    0.0094066  -5.2854e-17    0.0015995   8.9378e-05    0.0015101  -3.9858e-17  -1.2037e-17  -1.0315e-19  -1.1934e-17      -9.3615       -4.381            0      -1320.3       141.04        -70.1  -3.1865e-13      -1319.7      -127.07  -4.9706e-13      -1319.7            0            0            0       198.87      -58.233          200      -6.0972  -1.3921e-13       4.2481  -2.7835e-14      0.16873   8.1761e-17  -1.0767e-06      -42.731  -5.7127e+05        28208       1.2481    -0.036954            0            0            0            0            0            0            0            0            0         1000        0.165            0  
