MK84_BigWing_ControlFins-fins-down
FINSDOW-T1-200.0 m/s-VLM2-x0.165m
Freestream speed = 200.000 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0          -10            0     -0.21435     0.023882    0.0072966     0.016586  -5.7638e-17     0.012423   -0.0020763       0.0145  -4.4518e-17  -2.5035e-17    2.331e-20  -2.5058e-17      -8.9751      -4.1552            0      -1292.3       143.98      -125.92  -3.4749e-13        -1290      -227.89  -2.9651e-13      -1292.4            0            0            0       198.77      -61.398          200      -6.3577  -1.6436e-13       32.995  -5.7712e-14      0.17355   9.9245e-17      -0.1377      -82.433  -6.0231e+05        28796      0.67805      -0.0372            0            0            0            0            0            0            0            0            0         1000        0.165            0  
          0         -9.5            0     -0.20402      0.02227    0.0072603      0.01501  -5.7042e-17     0.011168   -0.0020728      0.01324   1.1974e-17  -2.5138e-17  -3.5908e-20  -2.5102e-17      -9.1612       -4.138            0        -1230       134.26      -113.76   -3.439e-13      -1228.1      -205.88  -4.3364e-13      -1230.3            0            0            0       198.82      -61.653          200      -6.2295   2.6148e-14        29.66  -9.1279e-14      0.17331   1.1837e-16      -0.1375      -78.471  -6.0482e+05        26853       0.6788    -0.035359            0            0            0            0            0            0            0            0            0         1000        0.165            0  
          0           -9            0     -0.19364     0.020732    0.0072248     0.013507  -6.4871e-17    0.0099666   -0.0020693     0.012036   1.6011e-17  -1.8896e-17  -2.6804e-19  -1.8628e-17      -9.3403      -4.1102            0      -1167.4       124.99       -102.2  -3.9109e-13      -1165.8      -184.96   5.6114e-14      -1167.8            0            0            0       198.86      -62.071          200       -6.111   4.3995e-14        26.47  -7.2213e-14      0.17308   2.3962e-17     -0.13732      -74.485  -6.0892e+05        24997      0.67951    -0.033516            0            0            0            0            0            0            0            0            0         1000        0.165            0  
          0         -8.5            0      -0.1832     0.019269    0.0071911     0.012078  -5.2868e-17    0.0088203   -0.0020661     0.010886  -4.4678e-17  -2.0342e-17  -1.5352e-19  -2.0188e-17      -9.5076      -4.0694            0      -1104.5       116.17      -91.238  -3.1873e-13      -1103.1      -165.13  -2.5484e-13      -1104.9            0            0            0        198.9      -62.692          200      -6.0043  -1.6087e-13       23.426   -4.608e-14      0.17287   1.1788e-16     -0.13714      -70.476  -6.1501e+05        23234      0.68019     -0.03167            0            0            0            0            0            0            0            0            0         1000        0.165            0  
          0           -8            0     -0.17271     0.017883    0.0071587     0.010724  -6.7538e-17    0.0077294    -0.002063    0.0097924  -2.8358e-18  -2.5008e-17  -6.4118e-20  -2.4944e-17      -9.6579      -4.0137            0      -1041.2       107.81      -80.888  -4.0717e-13      -1040.1       -146.4  -6.6706e-13      -1041.7            0            0            0       198.94      -63.563          200      -5.9115  -2.1416e-14       20.529  -8.3113e-14      0.17266   1.1643e-16     -0.13697      -66.445  -6.2355e+05        21563      0.68084    -0.029821            0            0            0            0            0            0            0            0            0         1000        0.165            0  
          0         -7.5            0     -0.16217     0.016574    0.0071269    0.0094469  -6.9231e-17    0.0066943   -0.0020598    0.0087542  -4.7688e-17  -2.8549e-17    7.566e-20  -2.8625e-17      -9.7848      -3.9404            0       -977.7        99.92       -71.15  -4.1738e-13      -976.77      -128.78  -2.8605e-13      -978.16            0            0            0       198.96      -64.745          200      -5.8353  -1.7399e-13       17.779    -7.53e-14      0.17247    7.378e-17     -0.13682      -62.394  -6.3515e+05        19984      0.68144    -0.027971            0            0            0            0            0            0            0            0            0         1000        0.165            0  
          0           -7            0     -0.15158     0.015344    0.0070967    0.0082468  -3.2843e-17    0.0057152   -0.0020568     0.007772  -1.6317e-17  -2.0716e-17    1.798e-19  -2.0896e-17      -9.8794      -3.8464            0      -913.87       92.503      -62.025    -1.98e-13      -913.12      -112.27  -1.1555e-13      -914.33            0            0            0       198.98      -66.327          200      -5.7798  -6.3917e-14       15.179  -6.3328e-14       0.1723   6.8351e-17     -0.13667      -58.324  -6.5067e+05        18501      0.68201    -0.026118            0            0            0            0            0            0            0            0            0         1000        0.165            0  
          0         -6.5            0     -0.14095     0.014194    0.0070687    0.0071251   -5.072e-17     0.004792   -0.0020542    0.0068462  -5.5841e-17  -2.3985e-17  -2.1601e-19  -2.3769e-17      -9.9306      -3.7283            0      -849.78       85.572      -53.518  -3.0578e-13      -849.18      -96.871  -2.4305e-13      -850.23            0            0            0       198.99      -68.428          200      -5.7502  -1.9839e-13       12.727  -5.9717e-14      0.17213   1.0926e-16     -0.13653      -54.236  -6.7128e+05        17114      0.68253    -0.024263            0            0            0            0            0            0            0            0            0         1000        0.165            0  
          0           -6            0     -0.13028     0.013124    0.0070414    0.0060827  -5.8237e-17    0.0039255   -0.0020517    0.0059771  -5.6619e-17  -2.4895e-17   1.5838e-19  -2.5053e-17      -9.9269      -3.5831            0      -785.44       79.122      -45.631   -3.511e-13      -784.97      -82.597  -2.9352e-13      -785.86            0            0            0       198.99      -71.202          200      -5.7524  -2.0097e-13       10.426  -6.4239e-14      0.17198    1.469e-17      -0.1364      -50.131  -6.9849e+05        15824      0.68302    -0.022406            0            0            0            0            0            0            0            0            0         1000        0.165            0  
          0         -5.5            0     -0.11957     0.012136    0.0070154    0.0051203  -4.2925e-17    0.0031157   -0.0020492    0.0051649  -1.2326e-17  -1.7378e-17   1.2034e-19  -1.7498e-17      -9.8529       -3.407            0      -720.87       73.163      -38.365  -2.5879e-13      -720.51      -69.449   2.7227e-14      -721.26            0            0            0       198.98      -74.881          200      -5.7953  -4.7564e-14        8.275  -5.4956e-14      0.17185   1.3214e-16     -0.13628      -46.011  -7.3459e+05        14633      0.68347    -0.020548            0            0            0            0            0            0            0            0            0         1000        0.165            0  
