MK84_BigWing_ControlFins-fins-down
FINSDOWN-T5-a0.0°-200.0m/s-VLM2-x0.165m


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0            0          -20   -0.0038152    -0.045699    0.0075977    -0.053297      0.28044     0.028291   -0.0021713     0.030462      0.15743   -0.0025633   0.00014175   -0.0027051     0.083485    0.0051566            0      -23.001       322.12      -321.32       1690.7      -23.001      -615.36       1690.7      -334.19            0            0            0       16.639        49475          200       85.228        536.9       75.137      -8.7419       2.0681      -12.774       -2.095      -117.16   4.8535e+08       -55102  -6.6849e-05   -0.0078902            0            0            0            0            0            0            0            0            0         1000        0.165            0  
          0            0        -19.5    -0.003638    -0.043196     0.007572    -0.050768      0.27456     0.026849   -0.0021698     0.029019      0.15413   -0.0025107    0.0001377   -0.0026484     0.084221    0.0050799            0      -21.933       309.68      -306.07       1655.3      -21.933      -586.16       1655.3      -318.36            0            0            0       16.785        50222          200       85.186       525.65       71.308      -8.5625       2.0663      -13.115      -2.0929      -114.66   4.9268e+08       -52084  -6.3812e-05   -0.0075174            0            0            0            0            0            0            0            0            0         1000        0.165            0  
          0            0          -19   -0.0034646    -0.040747     0.007546    -0.048293       0.2686     0.025438   -0.0021679     0.027606      0.15079   -0.0024573   0.00013364   -0.0025909     0.085028    0.0050048            0      -20.887       297.42      -291.15       1619.3      -20.887      -557.59       1619.4      -302.86            0            0            0       16.944        50975          200        85.14       514.25       67.562      -8.3803       2.0644      -13.473      -2.0907      -112.12   5.0007e+08       -49131   -6.084e-05   -0.0071525            0            0            0            0            0            0            0            0            0         1000        0.165            0  
          0            0        -18.5    -0.003295    -0.038353    0.0075197    -0.045872      0.26256     0.024059   -0.0021657     0.026225       0.1474    -0.002403   0.00012965   -0.0025326     0.085914    0.0049317            0      -19.865       285.34      -276.56       1582.9      -19.865      -529.64       1582.9       -287.7            0            0            0        17.12        51731          200        85.09       502.68       63.899      -8.1952       2.0624      -13.848      -2.0883      -109.55   5.0749e+08       -46244  -5.7934e-05   -0.0067957            0            0            0            0            0            0            0            0            0         1000        0.165            0  
          0            0          -18   -0.0031293    -0.036015    0.0074929    -0.043508      0.25644     0.022712   -0.0021631     0.024875      0.14396    -0.002348   0.00012562   -0.0024736     0.086891    0.0048607            0      -18.866       273.46       -262.3         1546      -18.866      -502.34         1546       -272.9            0            0            0       17.313        52487          200       85.034       490.96       60.321      -8.0075       2.0602      -14.241      -2.0857      -106.95   5.1489e+08       -43425  -5.5094e-05   -0.0064471            0            0            0            0            0            0            0            0            0         1000        0.165            0  
          0            0        -17.5   -0.0029676    -0.033733    0.0074655    -0.041199      0.25024     0.021398   -0.0021602     0.023558      0.14048   -0.0022922   0.00012162   -0.0024138     0.087973    0.0047924            0      -17.891       261.79      -248.38       1508.7      -17.891      -475.68       1508.7      -258.44            0            0            0       17.527        53235          200       84.972       479.09        56.83      -7.8173       2.0578      -14.654      -2.0829      -104.32   5.2224e+08       -40674  -5.2323e-05   -0.0061068            0            0            0            0            0            0            0            0            0         1000        0.165            0  
          0            0          -17   -0.0028098    -0.031509    0.0074379    -0.038947      0.24397     0.020116    -0.002157     0.022273      0.13696   -0.0022356   0.00011763   -0.0023533     0.089176     0.004727            0       -16.94       250.33       -234.8       1470.8       -16.94      -449.68       1470.8      -244.34            0            0            0       17.765        53972          200       84.904       467.08       53.425      -7.6244       2.0552      -15.089      -2.0798      -101.66   5.2946e+08       -37992  -4.9619e-05   -0.0057748            0            0            0            0            0            0            0            0            0         1000        0.165            0  
          0            0        -16.5   -0.0026561    -0.029342    0.0074102    -0.036752      0.23762     0.018867   -0.0021535      0.02102      0.13339   -0.0021784   0.00011366    -0.002292     0.090521    0.0046652            0      -16.013       239.09      -221.57       1432.5      -16.013      -424.34       1432.5       -230.6            0            0            0        18.03        54687          200       84.828       454.92       50.108      -7.4291       2.0524      -15.547      -2.0764      -98.976   5.3648e+08       -35379  -4.6985e-05   -0.0054513            0            0            0            0            0            0            0            0            0         1000        0.165            0  
          0            0          -16   -0.0025064    -0.027234    0.0073822    -0.034616      0.23119     0.017651   -0.0021496     0.019801      0.12979   -0.0021204   0.00010971   -0.0022301     0.092033    0.0046075            0      -15.111       228.09      -208.69       1393.8      -15.111      -399.67       1393.8      -217.22            0            0            0       18.329        55371          200       84.742       442.63        46.88      -7.2313       2.0493       -16.03      -2.0728      -96.261   5.4319e+08       -32837  -4.4421e-05   -0.0051364            0            0            0            0            0            0            0            0            0         1000        0.165            0  
          0            0        -15.5   -0.0023608    -0.025184    0.0073546    -0.032538       0.2247      0.01647   -0.0021457     0.018615      0.12614   -0.0020618    0.0001057   -0.0021675     0.093745    0.0045549            0      -14.233       217.33      -196.17       1354.7      -14.233      -375.69       1354.7      -204.22            0            0            0       18.667        56010          200       84.644        430.2       43.742      -7.0314        2.046       -16.54      -2.0688      -93.519   5.4946e+08       -30366  -4.1928e-05   -0.0048302            0            0            0            0            0            0            0            0            0         1000        0.165            0  
