MK84_BigWing_ControlFins-fins-up
T1-200.0 m/s-VLM2-x0.165m
Freestream speed = 200.000 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0          -10            0     -0.21515     0.024031    0.0073032     0.016728   5.3509e-17   -0.0065213    0.0022475   -0.0087689  -1.7469e-17   5.0538e-17  -3.3439e-20   5.0571e-17      -8.9529      -4.1527            0      -1297.1       144.88      -125.92   3.2259e-13      -1294.9      -227.89   9.1974e-13      -1292.4            0            0            0       198.76      -61.435          200      -6.3733  -2.8721e-14       -17.32    1.801e-13       0.1729   1.1635e-16      0.13718      -82.499  -6.0268e+05        28976      0.67733      -0.0372            0            0            0            0            0            0            0            0            0         1000        0.165            0  
          0         -9.5            0     -0.20475     0.022398    0.0072662     0.015132   4.9768e-17   -0.0055462    0.0022345   -0.0077807  -9.3336e-17   3.1643e-17   7.0626e-20   3.1572e-17      -9.1413      -4.1364            0      -1234.4       135.03      -113.76   3.0004e-13      -1232.5      -205.88    5.125e-13      -1230.3            0            0            0       198.81      -61.678          200       -6.243  -2.9618e-13       -14.73   1.5899e-13      0.17269   2.9791e-17      0.13701      -78.531  -6.0506e+05        27007      0.67812    -0.035359            0            0            0            0            0            0            0            0            0         1000        0.165            0  
          0           -9            0     -0.19429     0.020841    0.0072299     0.013611   6.9502e-17   -0.0046273    0.0022216   -0.0068489  -3.9168e-17   3.2185e-17  -8.6253e-20   3.2271e-17      -9.3227      -4.1093            0      -1171.4       125.64      -102.19   4.1901e-13      -1169.8      -184.96   4.2218e-13      -1167.8            0            0            0       198.86      -62.084          200      -6.1224  -1.1472e-13       -12.29   1.2932e-13       0.1725   4.0606e-17      0.13685      -74.539  -6.0904e+05        25129      0.67888    -0.033515            0            0            0            0            0            0            0            0            0         1000        0.165            0  
          0         -8.5            0     -0.18379     0.019361    0.0071954     0.012166   6.6671e-17   -0.0037647    0.0022091   -0.0059738  -4.9181e-17   2.2546e-17  -7.9195e-20   2.2625e-17      -9.4926      -4.0695            0        -1108       116.72      -91.235   4.0195e-13      -1106.7      -165.13   9.7868e-13      -1104.9            0            0            0        198.9      -62.692          200      -6.0137  -1.5448e-13      -9.9987   1.0081e-13      0.17232   9.1362e-17       0.1367      -70.524  -6.1501e+05        23345       0.6796    -0.031669            0            0            0            0            0            0            0            0            0         1000        0.165            0  
          0           -8            0     -0.17323      0.01796    0.0071624     0.010797   4.7411e-17   -0.0029587    0.0021969   -0.0051556  -1.1429e-17   3.4779e-17  -1.9796e-19   3.4977e-17      -9.6454      -4.0145            0      -1044.4       108.28      -80.886   2.8583e-13      -1043.3       -146.4   4.6137e-13      -1041.7            0            0            0       198.93       -63.55          200      -5.9191  -2.1997e-14       -7.858   1.2287e-13      0.17215   6.6289e-17      0.13656      -66.488  -6.2343e+05        21655      0.68028    -0.029821            0            0            0            0            0            0            0            0            0         1000        0.165            0  
          0         -7.5            0     -0.16263     0.016637      0.00713    0.0095073   5.2435e-17   -0.0022099    0.0021846   -0.0043945  -3.9154e-17   3.2261e-17  -1.6397e-19   3.2425e-17      -9.7749       -3.942            0      -980.45        100.3      -71.147   3.1612e-13      -979.54      -128.78   1.4626e-13      -978.16            0            0            0       198.96       -64.72          200      -5.8412  -1.1796e-13      -5.8691    1.265e-13      0.17199   7.9584e-17      0.13643      -62.432   -6.349e+05        20061      0.68092     -0.02797            0            0            0            0            0            0            0            0            0         1000        0.165            0  
          0           -7            0     -0.15198     0.015395    0.0070993     0.008296   5.9391e-17   -0.0015181    0.0021727   -0.0036908  -2.7413e-17   3.0499e-17  -2.8893e-20   3.0528e-17       -9.872      -3.8486            0      -916.27       92.816      -62.023   3.5805e-13      -915.54      -112.27   9.4963e-14      -914.33            0            0            0       198.98       -66.29          200      -5.7841  -8.0104e-14      -4.0319   1.1464e-13      0.17184   8.2214e-17      0.13631      -58.357   -6.503e+05        18563      0.68153    -0.026117            0            0            0            0            0            0            0            0            0         1000        0.165            0  
          0         -6.5            0      -0.1413     0.014235    0.0070708    0.0071646   2.5681e-17  -0.00088351    0.0021612   -0.0030448  -4.0918e-17    2.585e-17  -1.5201e-20   2.5865e-17      -9.9258      -3.7311            0      -851.85       85.822      -53.516   1.5483e-13      -851.27      -96.871   1.0625e-13      -850.22            0            0            0       198.99      -68.378          200       -5.753  -1.2866e-13      -2.3465   1.0339e-13      0.17171   7.8102e-17       0.1362      -54.264  -6.7079e+05        17164      0.68209    -0.024263            0            0            0            0            0            0            0            0            0         1000        0.165            0  
          0           -6            0     -0.13058     0.013157    0.0070432    0.0061138   5.1266e-17  -0.00030655    0.0021499   -0.0024565  -3.0679e-17   3.3039e-17   8.4445e-20   3.2954e-17      -9.9244      -3.5862            0      -787.21        79.32      -45.629   3.0907e-13      -786.75      -82.597   3.5744e-13      -785.86            0            0            0       198.99       -71.14          200      -5.7538  -9.2306e-14     -0.81418     1.23e-13       0.1716   1.5801e-16       0.1361      -50.155  -6.9788e+05        15864      0.68262    -0.022406            0            0            0            0            0            0            0            0            0         1000        0.165            0  
          0         -5.5            0     -0.11982     0.012161    0.0070168    0.0051443     5.44e-17   0.00021268    0.0021389   -0.0019262  -3.7427e-17   3.1147e-17   1.5981e-20   3.1131e-17      -9.8526      -3.4105            0      -722.36       73.316      -38.364   3.2797e-13         -722      -69.449   3.0664e-13      -721.26            0            0            0       198.98      -74.806          200      -5.7954  -1.1688e-13      0.56485   1.1797e-13      0.17149  -2.7867e-17        0.136      -46.031  -7.3385e+05        14663       0.6831    -0.020548            0            0            0            0            0            0            0            0            0         1000        0.165            0  
