MK84_BigWing_ControlFins-fins-up
FINSUP-T5-a0.0°-200.0m/s-VLM2-x0.165m


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0            0          -20    0.0036718    -0.045699    0.0075978    -0.053297      0.28044    -0.028209    0.0021714     -0.03038     -0.15743   -0.0025492   0.00014156   -0.0026908    -0.080347   -0.0048686       16.503       22.136       322.13      -321.31       1690.7       22.136      -615.37       1690.7       333.33            0            0            0       16.018       -52401          200      -85.406      -536.89      -74.919      -8.6938       2.1326      -13.273       2.1716       117.11  -5.1406e+08       -55102  -6.1917e-05    0.0078304            0            0            0            0            0            0            0            0            0         1000        0.165            0  
          0            0        -19.5    0.0034937    -0.043195    0.0075721    -0.050768      0.27456    -0.026766    0.0021698    -0.028936     -0.15413   -0.0024969   0.00013751   -0.0026344    -0.080881   -0.0047806       16.918       21.063       309.68      -306.07       1655.3       21.063      -586.17       1655.3       317.49            0            0            0       16.123       -53366          200      -85.376      -525.64      -71.089      -8.5154       2.1345      -13.657       2.1738       114.61  -5.2352e+08       -52083  -5.8849e-05    0.0074573            0            0            0            0            0            0            0            0            0         1000        0.165            0  
          0            0          -19    0.0033194    -0.040746    0.0075461    -0.048292       0.2686    -0.025355     0.002168    -0.027523     -0.15078   -0.0024438   0.00013344   -0.0025772    -0.081465   -0.0046935       17.357       20.012       297.42      -291.15       1619.4       20.012      -557.59       1619.4       301.98            0            0            0       16.239       -54356          200      -85.343      -514.24      -67.341      -8.3342       2.1366      -14.062       2.1763       112.07  -5.3324e+08       -49130  -5.5847e-05    0.0070921            0            0            0            0            0            0            0            0            0         1000        0.165            0  
          0            0        -18.5     0.003149    -0.038352    0.0075198    -0.045872      0.26256    -0.023976    0.0021657    -0.026141     -0.14739   -0.0023898   0.00012945   -0.0025192    -0.082106   -0.0046074        17.82       18.984       285.35      -276.55       1582.9       18.984      -529.64       1582.9       286.82            0            0            0       16.366       -55372          200      -85.306      -502.67      -63.677      -8.1502       2.1388       -14.49       2.1789        109.5   -5.432e+08       -46244  -5.2911e-05    0.0067349            0            0            0            0            0            0            0            0            0         1000        0.165            0  
          0            0          -18    0.0029824    -0.036014     0.007493    -0.043507      0.25644    -0.022628    0.0021632    -0.024791     -0.14396   -0.0023351   0.00012542   -0.0024605    -0.082812   -0.0045225       18.311        17.98       273.47       -262.3         1546        17.98      -502.34         1546       272.01            0            0            0       16.506       -56412          200      -85.266      -490.95      -60.098      -7.9636       2.1412      -14.942       2.1818        106.9   -5.534e+08       -43424  -5.0043e-05     0.006386            0            0            0            0            0            0            0            0            0         1000        0.165            0  
          0            0        -17.5    0.0028198    -0.033733    0.0074656    -0.041198      0.25024    -0.021313    0.0021602    -0.023473     -0.14048   -0.0022796   0.00012142    -0.002401    -0.083594    -0.004439       18.832           17       261.79      -248.38       1508.7           17      -475.68       1508.7       257.55            0            0            0       16.661       -57473          200      -85.222      -479.08      -56.605      -7.7744       2.1438      -15.422       2.1849       104.27  -5.6381e+08       -40673  -4.7243e-05    0.0060453            0            0            0            0            0            0            0            0            0         1000        0.165            0  
          0            0          -17    0.0026613    -0.031508     0.007438    -0.038946      0.24397    -0.020031     0.002157    -0.022188     -0.13695   -0.0022234   0.00011743   -0.0023408    -0.084462   -0.0043572       19.385       16.044       250.33       -234.8       1470.8       16.044      -449.68       1470.8       243.44            0            0            0       16.833       -58552          200      -85.172      -467.07      -53.199      -7.5827       2.1467      -15.931       2.1883       101.61   -5.744e+08       -37991  -4.4512e-05     0.005713            0            0            0            0            0            0            0            0            0         1000        0.165            0  
          0            0        -16.5    0.0025067    -0.029342    0.0074103    -0.036752      0.23762    -0.018781    0.0021535    -0.020935     -0.13339   -0.0021664   0.00011346   -0.0022799    -0.085433   -0.0042774       19.973       15.113        239.1      -221.57       1432.6       15.113      -424.34       1432.5        229.7            0            0            0       17.025       -59644          200      -85.117      -454.91      -49.881      -7.3884       2.1499      -16.473       2.1921        98.92  -5.8511e+08       -35379  -4.1851e-05    0.0053892            0            0            0            0            0            0            0            0            0         1000        0.165            0  
          0            0          -16    0.0023563    -0.027233    0.0073823    -0.034616       0.2312    -0.017566    0.0021497    -0.019715     -0.12979   -0.0021088   0.00010951   -0.0022183    -0.086523      -0.0042       20.601       14.206       228.09      -208.69       1393.8       14.206      -399.67       1393.8       216.32            0            0            0        17.24       -60743          200      -85.055      -442.62      -46.652      -7.1918       2.1533      -17.051       2.1962       96.204  -5.9589e+08       -32837  -3.9261e-05     0.005074            0            0            0            0            0            0            0            0            0         1000        0.165            0  
          0            0        -15.5      0.00221    -0.025183    0.0073547    -0.032538       0.2247    -0.016384    0.0021457    -0.018529     -0.12614   -0.0020505    0.0001055    -0.002156    -0.087757   -0.0041256       21.272       13.324       217.33      -196.17       1354.7       13.324      -375.69       1354.7       203.31            0            0            0       17.484       -61840          200      -84.985      -430.19      -43.513       -6.993       2.1572      -17.669       2.2007       93.461  -6.0665e+08       -30365  -3.6742e-05    0.0047674            0            0            0            0            0            0            0            0            0         1000        0.165            0  
