MK84_Vtail_UP
T5-a0.0°-200.0m/s-TriUniform-ThickSurf-x0.2m


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0            0          -15     0.015685    -0.077186    0.0094468    -0.086633      0.52342    -0.081527     0.010246    -0.091773     -0.27241    -0.069468  -0.00029128    -0.069177      -0.2032    -0.025449       7.9848       114.45       446.86      -632.17       3819.5       114.45       -608.5       3851.3       136.44            0            0            0       39.827      -9112.1          200      -78.514      -2368.2      -148.73      -603.93       0.1858      -10.868       1.7897       1193.3  -8.9389e+07  -1.1265e+05  -0.00018967    0.0029142            0            0            0            0            0            0            0            0            0         1000        0.212            0  
          0            0        -14.5     0.015757    -0.071763    0.0093102    -0.081073      0.50752    -0.075385     0.010113    -0.085498     -0.26414    -0.067352  -0.00027701    -0.067075     -0.21957    -0.027562       7.9665       114.98       422.45       -591.6       3703.4       114.98      -569.71       3734.3       135.23            0            0            0       42.892      -8413.6          200      -77.616      -2296.3      -137.52      -585.54      0.18004      -10.489       1.6911       1157.5  -8.2538e+07  -1.0473e+05  -0.00020455    0.0028369            0            0            0            0            0            0            0            0            0         1000        0.212            0  
          0            0          -14     0.015827    -0.066512    0.0091731    -0.075685      0.49146     -0.06944    0.0099776    -0.079417     -0.25578    -0.065216  -0.00026292    -0.064953     -0.23795    -0.029936       7.9488       115.49       398.66      -552.29       3586.3       115.49      -532.13       3616.1       134.06            0            0            0       46.298      -7746.4          200      -76.615      -2223.6      -126.68      -566.96      0.17451      -10.113       1.5964       1121.5  -7.5992e+07       -97070  -0.00022106     0.002762            0            0            0            0            0            0            0            0            0         1000        0.212            0  
          0            0        -13.5     0.015895    -0.061435     0.009037    -0.070472      0.47526    -0.063692    0.0098411    -0.073533     -0.24735    -0.063061  -0.00024933    -0.062811     -0.25872    -0.032618       7.9319       115.98        375.5      -514.24         3468       115.98      -495.76       3496.9       132.93            0            0            0       50.095      -7109.3          200      -75.494      -2150.3      -116.19      -548.23      0.16921      -9.7375       1.5056         1085  -6.9742e+07       -89659  -0.00023946    0.0026895            0            0            0            0            0            0            0            0            0         1000        0.212            0  
          0            0          -13      0.01596    -0.056531    0.0089021    -0.065433      0.45891    -0.058142    0.0097047    -0.067847     -0.23884    -0.060887  -0.00023628     -0.06065     -0.28232    -0.035667       7.9156       116.46       353.01      -477.48       3348.7       116.46      -460.61       3376.6       131.83            0            0            0        54.34      -6501.7          200      -74.234      -2076.3      -106.07      -529.33      0.16412      -9.3639       1.4186       1048.3  -6.3782e+07       -82503  -0.00026002    0.0026194            0            0            0            0            0            0            0            0            0         1000        0.212            0  
          0            0        -12.5     0.016023    -0.051805    0.0087673    -0.060572      0.44242    -0.052793    0.0095674     -0.06236     -0.23025    -0.058694  -0.00022333    -0.058471      -0.3093    -0.039152          7.9       116.92       331.19      -442.01       3228.4       116.92       -426.7       3255.2       130.78            0            0            0       59.097      -5922.9          200      -72.813      -2001.7       -96.31      -510.27      0.15926      -8.9919       1.3353       1011.2  -5.8104e+07       -75606  -0.00028312    0.0025518            0            0            0            0            0            0            0            0            0         1000        0.212            0  
          0            0          -12     0.016084    -0.047258    0.0086319     -0.05589      0.42579    -0.047647    0.0094289    -0.057076      -0.2216    -0.056484  -0.00021035    -0.056274     -0.34034    -0.043163        7.885       117.37       310.05      -407.84         3107       117.37      -394.04       3132.9       129.76            0            0            0       64.439      -5372.5          200      -71.204      -1926.5      -86.921      -491.05      0.15461      -8.6212       1.2556       973.86  -5.2704e+07       -68970  -0.00030917    0.0024867            0            0            0            0            0            0            0            0            0         1000        0.212            0  
          0            0        -11.5     0.016143    -0.042893    0.0084943    -0.051388      0.40903    -0.042708    0.0092858    -0.051994     -0.21288    -0.054257  -0.00019761    -0.054059     -0.37634    -0.047815       7.8707       117.79        289.6      -374.98       2984.8       117.79      -362.63       3009.6       128.78            0            0            0       70.445      -4849.8          200      -69.377      -1850.7      -77.912      -471.69      0.15017       -8.252       1.1796        936.2  -4.7576e+07       -62600  -0.00033871    0.0024241            0            0            0            0            0            0            0            0            0         1000        0.212            0  
          0            0          -11     0.016199    -0.038708    0.0083592    -0.047067      0.39215    -0.037974    0.0091436    -0.047117     -0.20409    -0.052014  -0.00018526    -0.051828     -0.41849    -0.053262       7.8571        118.2       269.88      -343.45       2861.6        118.2      -332.49       2885.4       127.84            0            0            0       77.209      -4353.8          200      -67.291      -1774.3      -69.275      -452.19      0.14594       -7.884       1.1072       898.26  -4.2711e+07       -56491  -0.00037238     0.002364            0            0            0            0            0            0            0            0            0         1000        0.212            0  
          0            0        -10.5     0.016252    -0.034703    0.0082253    -0.042929      0.37516    -0.033446    0.0090011    -0.042447     -0.19525    -0.049755  -0.00017353    -0.049582     -0.46832    -0.059704       7.8441        118.6       250.89      -313.26       2737.6        118.6      -303.62       2760.3       126.94            0            0            0       84.824        -3884          200      -64.905      -1697.4      -61.014      -432.55      0.14192      -7.5173       1.0383       860.04  -3.8102e+07       -50647  -0.00041099    0.0023065            0            0            0            0            0            0            0            0            0         1000        0.212            0  
