MK84_BigWing_ControlFins-wing
T1-200.0 m/s-VLM2-x0.35m
Freestream speed = 200.000 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0         -9.5            0      -0.4564      0.07888     0.067793     0.011088   3.4165e-17    -0.084459   -0.0011548    -0.083304  -1.1358e-16  -1.0502e-17   6.0957e-18  -1.6597e-17       -5.786      -3.9088            0       -16773       2898.8      -2366.4   1.2556e-12       -16610      -2779.7   1.3528e-12       -16611            0            0            0       197.08      -26.436          200      -9.8057  -1.2653e-11      -1551.9   9.1955e-13      0.25972   4.1493e-16    0.0048047      -5358.3  -2.5933e+05   5.7977e+05      0.99667     -0.11853            0            0            0            0            0            0            0            0            0         1000         0.35            0  
          0           -9            0     -0.42105     0.047825     0.038396    0.0094291   2.8888e-17    -0.083886  -0.00063346    -0.083252  -4.9136e-17   7.4638e-18   5.5831e-18   1.8807e-18      -8.8039      -5.7127            0       -15474       1757.6      -2078.4   1.0616e-12       -15337      -2429.3   1.7107e-12       -15338            0            0            0       198.72      -18.088          200      -6.4802  -5.3181e-12      -1541.4   1.6583e-12      0.25191   4.1247e-16    0.0046856      -4940.9  -1.7744e+05   3.5152e+05      0.99747     -0.10607            0            0            0            0            0            0            0            0            0         1000         0.35            0  
          0         -8.5            0     -0.38562     0.015374    0.0074729    0.0079014   2.5876e-17    -0.083156   3.9382e-05    -0.083195  -6.4432e-17  -3.5891e-18   -7.127e-19  -2.8764e-18      -25.082      -15.576            0       -14172       565.01      -1807.5   9.5095e-13       -14059      -2101.2   7.7948e-13       -14060            0            0            0       199.84      -6.6342          200      -2.2831  -7.0725e-12        -1528   6.5821e-13       0.2427   7.9711e-16    0.0045452      -4521.5       -65081     1.13e+05      0.99844    -0.093592            0            0            0            0            0            0            0            0            0         1000         0.35            0  
          0           -8            0     -0.35012     0.013456    0.0069502    0.0065059   2.1215e-17    -0.083087   4.5373e-05    -0.083133  -7.8243e-17   1.1935e-17  -3.0815e-19   1.2243e-17      -26.019      -15.396            0       -12867       494.51        -1554   7.7965e-13       -12775      -1795.5   1.0358e-12       -12776            0            0            0       199.85      -6.7117          200       -2.201  -8.3545e-12      -1526.7   2.5044e-12      0.23166   5.7278e-16     0.004377      -4100.4       -65841        98903       0.9996    -0.081109            0            0            0            0            0            0            0            0            0         1000         0.35            0  
          0         -7.5            0     -0.31455     0.011946     0.006702    0.0052439   2.1667e-17    -0.083017    4.795e-05    -0.083065  -7.0067e-17  -4.3574e-18  -2.4548e-19  -4.1119e-18      -26.331      -14.768            0       -11560       439.01      -1317.8   7.9626e-13       -11486      -1512.2   9.1218e-13       -11486            0            0            0       199.86      -6.9972          200      -2.1749  -7.7179e-12      -1525.4   5.3237e-13      0.21815   5.3787e-16    0.0041713      -3677.6       -68642        87802        1.001     -0.06862            0            0            0            0            0            0            0            0            0         1000         0.35            0  
          0           -7            0     -0.27891     0.010718    0.0066019    0.0041164   1.8355e-17    -0.082942   4.9696e-05    -0.082992  -9.1186e-17   7.0745e-18  -2.6999e-19   7.3445e-18      -26.022      -13.743            0       -10250        393.9        -1099   6.7454e-13       -10192      -1251.5   5.7099e-13       -10192            0            0            0       199.85      -7.5191          200      -2.2007  -9.8796e-12      -1524.1   1.9997e-12      0.20123   8.7216e-16    0.0039138      -3253.2       -73762        78780       1.0026    -0.056126            0            0            0            0            0            0            0            0            0         1000         0.35            0  
          0         -6.5            0     -0.24322    0.0097755    0.0066509    0.0031246   1.6845e-17    -0.082863   5.1013e-05    -0.082914  -7.9201e-17  -1.9695e-18  -3.2967e-19  -1.6399e-18       -24.88       -12.27            0      -8938.3       359.25      -897.75   6.1904e-13      -8893.8      -1013.4   7.3538e-13      -8894.1            0            0            0       199.84      -8.4214          200      -2.3016  -8.6962e-12      -1522.6   7.7282e-13      0.17938   1.2701e-15    0.0035813      -2827.5       -82614        71850       1.0044    -0.043628            0            0            0            0            0            0            0            0            0         1000         0.35            0  
          0           -6            0     -0.20747    0.0093579    0.0070884    0.0022695   1.6072e-17    -0.082792   3.8003e-05     -0.08283  -8.7064e-17   -4.912e-18  -2.6402e-19  -4.6479e-18      -22.171      -10.099            0      -7624.6        343.9      -714.04   5.9063e-13      -7591.6      -797.93   5.8993e-13      -7591.8            0            0            0        199.8      -10.232          200      -2.5825  -9.5998e-12      -1521.3   4.6491e-13      0.15002   1.1849e-15    0.0031348      -2400.4  -1.0038e+05        68781       1.0062    -0.031126            0            0            0            0            0            0            0            0            0         1000         0.35            0  
          0         -5.5            0     -0.17168    0.0087066    0.0071547    0.0015519   1.1459e-17    -0.082712   2.9941e-05    -0.082742  -6.2135e-17   4.0039e-19  -6.1756e-19   1.0179e-18      -19.719      -8.1705            0      -6309.4       319.97      -547.96   4.2112e-13      -6285.8      -605.27   4.4258e-13      -6285.9            0            0            0       199.74      -12.647          200      -2.9031  -6.8081e-12      -1519.8   7.0045e-13      0.10847   1.7837e-15    0.0025029      -1972.2  -1.2407e+05        63993       1.0076    -0.018622            0            0            0            0            0            0            0            0            0         1000         0.35            0  
          0           -5            0     -0.13586    0.0078217    0.0068491   0.00097259   9.5853e-18    -0.082622    2.656e-05    -0.082648  -4.5555e-17  -2.1605e-19    -5.95e-19   3.7894e-19      -17.369       -6.402            0      -4992.7       287.45      -399.54   3.5226e-13      -4976.8      -435.42   4.5944e-13      -4976.9            0            0            0       199.67      -16.141          200      -3.2951  -4.9997e-12      -1518.2   4.1424e-13     0.045023   7.5267e-16    0.0015383        -1543  -1.5834e+05        57490       1.0068   -0.0061167            0            0            0            0            0            0            0            0            0         1000         0.35            0  
