MK84_BigWing_ControlFins-wing
WING-T5-a0.0°-200.0m/s-VLM2-x0.35m


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0            0          -20      0.19915    0.0094044    0.0068177    0.0025867   0.00026649    -0.072998   3.8722e-06    -0.073002    -0.010272    0.0001217    0.0001217   9.2393e-22       21.177       9.4504       2.2408       7318.9       343.23       95.062       9.7935       7318.9  -8.4461e-18   2.3206e-17       7318.6            0            0            0       199.78       10.934          200       2.7036      -1132.5      -1341.3       13.418      0.53327     -0.15473    0.0089543       3025.6   1.0726e+05        69123      0.81344       0.1062            0            0            0            0            0            0            0            0            0         1000         0.35            0  
          0            0        -19.5      0.20029    0.0094234    0.0068229    0.0026005   0.00026091    -0.073398   3.8874e-06    -0.073402    -0.010057   0.00012041   0.00012041   9.0983e-22       21.255       9.5123       2.2344       7360.7       344.03       95.567       9.5883       7360.7  -8.6662e-18   2.4473e-17       7360.4            0            0            0       199.78       10.863          200       2.6937      -1108.8      -1348.7       13.275      0.53322     -0.15063     0.008954       3028.2   1.0657e+05        69262      0.81841       0.1068            0            0            0            0            0            0            0            0            0         1000         0.35            0  
          0            0          -19       0.2014    0.0094415    0.0068276    0.0026139   0.00025524     -0.07379   3.9019e-06    -0.073794   -0.0098384   0.00011919   0.00011919   8.9547e-22       21.332       9.5732       2.2283       7401.6        344.8       96.061       9.3802       7401.6  -8.8642e-18   2.5743e-17       7401.3            0            0            0       199.78       10.794          200        2.684      -1084.7      -1355.9       13.141      0.53318     -0.14655    0.0089536       3030.3   1.0589e+05        69395      0.82327      0.10739            0            0            0            0            0            0            0            0            0         1000         0.35            0  
          0            0        -18.5      0.20249    0.0094589    0.0068318    0.0026271    0.0002495    -0.074173   3.9159e-06    -0.074177   -0.0096171   0.00011804   0.00011804   8.8084e-22       21.408       9.6332       2.2223       7441.6       345.53       96.544       9.1692       7441.6  -9.0399e-18   2.7017e-17       7441.3            0            0            0       199.78       10.727          200       2.6745      -1060.3      -1362.9       13.013      0.53315     -0.14248    0.0089533         3032   1.0523e+05        69523      0.82802      0.10796            0            0            0            0            0            0            0            0            0         1000         0.35            0  
          0            0          -18      0.20356    0.0094755    0.0068356    0.0026399   0.00024369    -0.074547   3.9293e-06    -0.074551   -0.0093929   0.00011694   0.00011694   8.6595e-22       21.482       9.6922       2.2165       7480.6       346.24       97.017       8.9555       7480.6  -9.1934e-18   2.8294e-17       7480.3            0            0            0       199.78       10.661          200       2.6652      -1035.6      -1369.8       12.892      0.53311     -0.13843    0.0089529       3033.2   1.0459e+05        69645      0.83267      0.10852            0            0            0            0            0            0            0            0            0         1000         0.35            0  
          0            0        -17.5      0.20459    0.0094915     0.006839    0.0026525    0.0002378    -0.074913   3.9423e-06    -0.074917   -0.0091659   0.00011587   0.00011587    8.508e-22       21.556         9.75       2.2108       7518.8       346.93       97.478        8.739       7518.8  -9.3245e-18   2.9574e-17       7518.5            0            0            0       199.79       10.598          200       2.6562      -1010.5      -1376.5       12.774      0.53307      -0.1344    0.0089526         3034   1.0397e+05        69762      0.83721      0.10906            0            0            0            0            0            0            0            0            0         1000         0.35            0  
          0            0          -17      0.20561    0.0095069    0.0068422    0.0026647   0.00023183    -0.075269   3.9549e-06    -0.075273    -0.008936   0.00011477   0.00011477    8.354e-22       21.627       9.8065       2.2054         7556       347.59       97.927       8.5198         7556  -9.4333e-18   3.0855e-17       7555.7            0            0            0       199.79       10.537          200       2.6474       -985.2      -1383.1       12.653      0.53304     -0.13039    0.0089523       3034.3   1.0337e+05        69876      0.84163       0.1096            0            0            0            0            0            0            0            0            0         1000         0.35            0  
          0            0        -16.5      0.20659    0.0095215    0.0068449    0.0026766    0.0002258    -0.075616   3.9668e-06     -0.07562   -0.0087035   0.00011373   0.00011373   8.1975e-22       21.697        9.862       2.2001       7592.3       348.22       98.365       8.2981       7592.3  -9.5198e-18   3.2138e-17         7592            0            0            0       199.79       10.478          200       2.6388      -959.56      -1389.5       12.539        0.533     -0.12639     0.008952       3034.1   1.0279e+05        69983      0.84595      0.11011            0            0            0            0            0            0            0            0            0         1000         0.35            0  
          0            0          -16      0.20755    0.0095357    0.0068474    0.0026882    0.0002197    -0.075955   3.9784e-06    -0.075959   -0.0084682   0.00011267   0.00011267   8.0386e-22       21.766       9.9161        2.195       7627.6       348.83       98.792       8.0738       7627.6  -9.5838e-18   3.3423e-17       7627.3            0            0            0       199.79       10.421          200       2.6305      -933.62      -1395.7       12.422      0.53297      -0.1224    0.0089517       3033.5   1.0223e+05        70087      0.85014      0.11062            0            0            0            0            0            0            0            0            0         1000         0.35            0  
          0            0        -15.5      0.20849    0.0095491    0.0068496    0.0026995   0.00021353    -0.076283   3.9894e-06    -0.076287   -0.0082304   0.00011167   0.00011167   7.8773e-22       21.833       9.9691       2.1901       7661.9       349.42       99.207       7.8471       7661.9  -9.6254e-18   3.4708e-17       7661.6            0            0            0       199.79       10.365          200       2.6224      -907.41      -1401.7       12.311      0.53294     -0.11843    0.0089514       3032.4   1.0168e+05        70186      0.85423      0.11111            0            0            0            0            0            0            0            0            0         1000         0.35            0  
          0            0          -15      0.20939     0.009562    0.0068516    0.0027105   0.00020729    -0.076603   4.0001e-06    -0.076607   -0.0079901   0.00011063   0.00011063   7.7136e-22       21.898       10.021       2.1853       7695.2       349.98        99.61        7.618       7695.2  -9.6446e-18   3.5994e-17       7694.9            0            0            0       199.79       10.312          200       2.6146      -880.91      -1407.6       12.197      0.53291     -0.11447    0.0089512       3030.8   1.0116e+05        70281      0.85819      0.11159            0            0            0            0            0            0            0            0            0         1000         0.35            0  
          0            0        -14.5      0.21027    0.0095744    0.0068533    0.0027211   0.00020099    -0.076913   4.0103e-06    -0.076917   -0.0077474   0.00010962   0.00010962   7.5477e-22       21.962       10.071       2.1808       7727.6       350.52          100       7.3865       7727.6  -9.6413e-18    3.728e-17       7727.3            0            0            0       199.79        10.26          200        2.607      -854.15      -1413.3       12.086      0.53288     -0.11053    0.0089509       3028.8   1.0065e+05        70372      0.86204      0.11205            0            0            0            0            0            0            0            0            0         1000         0.35            0  
          0            0          -14      0.21113    0.0095863    0.0068549    0.0027314   0.00019464    -0.077213   4.0201e-06    -0.077217   -0.0075023   0.00010857   0.00010857   7.3795e-22       22.024        10.12       2.1763       7758.9       351.04       100.38       7.1529       7758.9  -9.6156e-18   3.8566e-17       7758.6            0            0            0       199.79       10.211          200       2.5997      -827.12      -1418.8        11.97      0.53285      -0.1066    0.0089507       3026.3   1.0017e+05        70459      0.86577       0.1125            0            0            0            0            0            0            0            0            0         1000         0.35            0  
          0            0        -13.5      0.21195    0.0095977    0.0068563    0.0027414   0.00018822    -0.077503   4.0296e-06    -0.077507   -0.0072549   0.00010748   0.00010748   7.2092e-22       22.084       10.167       2.1721       7789.3       351.55       100.75        6.917       7789.3  -9.5674e-18   3.9851e-17       7788.9            0            0            0        199.8       10.164          200       2.5927      -799.85      -1424.1        11.85      0.53283     -0.10269    0.0089504       3023.4        99704        70543      0.86938      0.11293            0            0            0            0            0            0            0            0            0         1000         0.35            0  
          0            0          -13      0.21275    0.0096093    0.0068583     0.002751   0.00018174    -0.077784    4.039e-06    -0.077788   -0.0070053    0.0001063    0.0001063   7.0367e-22        22.14       10.212        2.168       7818.6       352.05        101.1        6.679       7818.6  -9.4968e-18   4.1135e-17       7818.3            0            0            0        199.8       10.119          200       2.5861      -772.33      -1429.3        11.72       0.5328    -0.098781    0.0089502         3020        99264        70628      0.87287      0.11335            0            0            0            0            0            0            0            0            0         1000         0.35            0  
          0            0        -12.5      0.21352    0.0096254    0.0068651    0.0027603   0.00017521    -0.078055    4.051e-06    -0.078059   -0.0067535   0.00010425   0.00010425   6.8621e-22       22.183        10.25       2.1641       7846.9       352.72       101.44        6.439       7846.9  -9.4038e-18   4.2418e-17       7846.5            0            0            0        199.8       10.081          200       2.5811      -744.58      -1434.3       11.493      0.53278    -0.094888      0.00895       3016.1        98893        70746      0.87623      0.11376            0            0            0            0            0            0            0            0            0         1000         0.35            0  
          0            0          -12      0.21426    0.0096435    0.0068743    0.0027693   0.00016863    -0.078316   4.0641e-06     -0.07832   -0.0064997   0.00010169   0.00010169   6.6855e-22       22.218       10.284       2.1604       7874.1       353.46       101.77        6.197       7874.1  -9.2884e-18   4.3699e-17       7873.8            0            0            0        199.8       10.047          200        2.577       -716.6      -1439.1       11.212      0.53275    -0.091007    0.0089498       3011.8        98565        70880      0.87947      0.11415            0            0            0            0            0            0            0            0            0         1000         0.35            0  
          0            0        -11.5      0.21497    0.0096626    0.0068847    0.0027779   0.00016199    -0.078567   4.0777e-06    -0.078571    -0.006244   9.8834e-05   9.8834e-05    6.507e-22       22.248       10.315       2.1568       7900.3       354.24       102.09       5.9532       7900.3  -9.1508e-18   4.4977e-17         7900            0            0            0        199.8       10.017          200       2.5736       -688.4      -1443.7       10.896      0.53273    -0.087136    0.0089496       3007.1        98270        71020      0.88259      0.11452            0            0            0            0            0            0            0            0            0         1000         0.35            0  
          0            0          -11      0.21566    0.0096824    0.0068962    0.0027862   0.00015531    -0.078808   4.0916e-06    -0.078812   -0.0059863   9.5758e-05   9.5758e-05   6.3265e-22       22.273       10.344       2.1534       7925.5       355.03       102.39       5.7075       7925.5  -8.9908e-18   4.6253e-17       7925.1            0            0            0        199.8         9.99          200       2.5707      -659.99      -1448.1       10.557      0.53271    -0.083275    0.0089494       3001.8        98002        71165      0.88558      0.11488            0            0            0            0            0            0            0            0            0         1000         0.35            0  
          0            0        -10.5      0.21631    0.0097026    0.0069085    0.0027941   0.00014857    -0.079038   4.1057e-06    -0.079042   -0.0057268   9.2459e-05   9.2459e-05   6.1442e-22       22.294       10.369       2.1501       7949.5       355.85       102.68       5.4601       7949.5  -8.8085e-18   4.7527e-17       7949.2            0            0            0        199.8       9.9655          200       2.5682      -631.38      -1452.3       10.194      0.53269    -0.079424    0.0089492       2996.2        97761        71314      0.88844      0.11523            0            0            0            0            0            0            0            0            0         1000         0.35            0  
          0            0          -10      0.21694    0.0097231    0.0069214    0.0028016    0.0001418    -0.079259   4.1199e-06    -0.079263   -0.0054656    8.897e-05    8.897e-05     5.96e-22       22.312       10.392        2.147       7972.5       356.66       102.96        5.211       7972.5  -8.6041e-18   4.8796e-17       7972.2            0            0            0        199.8       9.9433          200       2.5662      -602.58      -1456.4       9.8089      0.53267    -0.075582     0.008949         2990        97544        71465      0.89118      0.11556            0            0            0            0            0            0            0            0            0         1000         0.35            0  
          0            0         -9.5      0.21754    0.0097431    0.0069343    0.0028088   0.00013498    -0.079469   4.1337e-06    -0.079473   -0.0052027   8.5376e-05   8.5376e-05   5.7741e-22       22.327       10.414        2.144       7994.5       357.46       103.23       4.9603       7994.5  -8.3775e-18   5.0062e-17       7994.1            0            0            0        199.8       9.9228          200       2.5645      -573.59      -1460.2       9.4128      0.53265    -0.071749    0.0089489       2983.5        97343        71612      0.89379      0.11587            0            0            0            0            0            0            0            0            0         1000         0.35            0  
          0            0           -9       0.2181    0.0097628    0.0069471    0.0028157   0.00012811    -0.079668   4.1473e-06    -0.079673   -0.0049382   8.1679e-05   8.1679e-05   5.5865e-22        22.34       10.433       2.1413       8015.3       358.25       103.48       4.7082       8015.3  -8.1289e-18   5.1324e-17         8015            0            0            0        199.8       9.9041          200        2.563      -544.43      -1463.9       9.0051      0.53263    -0.067924    0.0089487       2976.5        97159        71757      0.89627      0.11617            0            0            0            0            0            0            0            0            0         1000         0.35            0  
          0            0         -8.5      0.21864    0.0097819    0.0069597    0.0028222   0.00012121    -0.079858   4.1604e-06    -0.079862   -0.0046722    7.789e-05    7.789e-05   5.3973e-22       22.352       10.451       2.1386       8035.1       359.01       103.72       4.4546       8035.1  -7.8583e-18   5.2581e-17       8034.7            0            0            0        199.8       9.8869          200       2.5617      -515.11      -1467.4       8.5874      0.53262    -0.064107    0.0089486         2969        96991        71897      0.89862      0.11645            0            0            0            0            0            0            0            0            0         1000         0.35            0  
