Wing_short
T1-35.0 m/s-TriUniform-ThickSurf-x0.0675m
Freestream speed = 35.000 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0        -12.5            0     -0.40391      0.17908      0.17235    0.0067268  -1.2321e-15     -0.18383   0.00098451     -0.18481    5.275e-15   1.6582e-15   1.2908e-15   3.6748e-16      -2.2555      -1.4335            0      -159.58       70.752      -31.945  -4.8681e-13      -156.37      -23.653   -3.105e-13      -156.42            0            0            0       31.996      -12.167           35      -23.911   4.1182e-12      -19.296   3.7569e-13     -0.05934  -2.5649e-14   -0.0074126      -32.888      -1193.5       2476.3       1.0232     0.023968            0            0            0            0            0            0            0            0            0           10       0.0675            0  
          0          -12            0     -0.36217      0.14752      0.14211    0.0054071  -1.3634e-15      -0.1845   0.00083411     -0.18533   9.8824e-15   7.5962e-15   7.0642e-15   5.3209e-16      -2.4551      -1.4775            0      -143.09       58.283      -27.661  -5.3868e-13      -140.41       -19.92  -4.6505e-13       -140.7            0            0            0       32.414      -11.804           35      -22.162   7.6994e-12      -19.366   4.2331e-12    -0.073867  -5.3706e-14   -0.0091995      -29.446      -1157.9       2039.9       1.0235     0.026753            0            0            0            0            0            0            0            0            0           10       0.0675            0  
          0        -11.5            0     -0.32036     0.087747     0.083518    0.0042299  -1.4952e-15     -0.18525   0.00058857     -0.18584   1.4547e-14   1.0082e-14   9.4404e-15   6.4123e-16      -3.6509      -2.0664            0      -126.57       34.668      -23.596  -5.9076e-13      -124.36      -16.389  -6.3542e-13      -124.88            0            0            0       33.757      -8.4399           35      -15.318   1.1326e-11      -19.445    5.496e-12    -0.092246  -9.0646e-14    -0.011476      -25.986      -827.95       1213.4       1.0236     0.029552            0            0            0            0            0            0            0            0            0           10       0.0675            0  
          0          -11            0     -0.27847     0.071307      0.06811    0.0031966  -1.6274e-15     -0.18587   0.00045982     -0.18633   1.9142e-14   7.2341e-15   6.5467e-15   6.8737e-16      -3.9052      -2.0608            0      -110.02       28.173      -19.753  -6.4297e-13      -108.24      -13.063  -7.9219e-13      -108.98            0            0            0       33.906       -8.463           35      -14.363     1.49e-11       -19.51    2.716e-12     -0.11622  -1.3714e-13    -0.014465      -22.509      -830.22       986.04       1.0235     0.032363            0            0            0            0            0            0            0            0            0           10       0.0675            0  
          0        -10.5            0     -0.23651     0.058188      0.05588    0.0023085  -1.7594e-15     -0.18646    0.0003423      -0.1868    2.383e-14   7.2393e-15   6.5539e-15   6.8539e-16      -4.0645      -1.9767            0      -93.442        22.99      -16.132  -6.9514e-13      -92.044      -9.9421  -9.3012e-13      -92.988            0            0            0       33.986      -8.8231           35      -13.822    1.855e-11      -19.572   2.1856e-12     -0.14877  -2.0091e-13    -0.018546      -19.018      -865.55       804.64       1.0223     0.035185            0            0            0            0            0            0            0            0            0           10       0.0675            0  
          0          -10            0     -0.19449     0.048516     0.046949     0.001567  -1.8922e-15     -0.18696   0.00029952     -0.18726   2.8452e-14   6.0234e-15   5.4103e-15    6.131e-16      -4.0088      -1.7679            0      -76.841       19.168      -12.734  -7.4761e-13      -75.781      -7.0272  -1.0588e-12      -76.918            0            0            0       33.959      -9.8649           35      -14.007   2.2149e-11      -19.625   7.8058e-13     -0.19547   -2.912e-13    -0.024429      -15.512      -967.75       670.89       1.0185     0.038018            0            0            0            0            0            0            0            0            0           10       0.0675            0  
          0         -9.5            0     -0.15242     0.039968     0.038995   0.00097295  -2.0249e-15     -0.18745   0.00026357     -0.18771   3.3207e-14   3.9624e-15   3.4693e-15   4.9317e-16      -3.8135      -1.4888            0       -60.22       15.791        -9.56       -8e-13      -59.457      -4.3193  -1.1695e-12      -60.772            0            0            0       33.855      -11.714           35      -14.693   2.5855e-11      -19.676  -1.2384e-12     -0.26807  -4.3341e-13    -0.033609      -11.993      -1149.1       552.68       1.0074     0.040859            0            0            0            0            0            0            0            0            0           10       0.0675            0  
          0           -9            0      -0.1103     0.026208      0.02568    0.0005275  -2.1574e-15     -0.18793   0.00020916     -0.18814   3.7823e-14    1.494e-14   1.4634e-14   3.0542e-16      -4.2088      -1.3978            0       -43.58       10.354      -6.6115  -8.5238e-13      -43.076      -1.8193  -1.2869e-12      -44.556            0            0            0       34.052      -12.477           35      -13.365   2.9456e-11      -19.727   6.9604e-12     -0.39625  -6.8251e-13    -0.049869      -8.4613        -1224        362.4      0.97311     0.043707            0            0            0            0            0            0            0            0            0           10       0.0675            0  
          0         -8.5            0    -0.068148     0.018796     0.018564   0.00023149  -2.2899e-15     -0.18838   0.00017444     -0.18856   4.2486e-14   1.3408e-15   1.2758e-15   6.5015e-17      -3.6257     -0.94649            0      -26.924        7.426      -3.8892  -9.0473e-13      -26.642      0.47217  -1.3737e-12      -28.276            0            0            0        33.74      -18.426           35      -15.419   3.3097e-11      -19.774   -3.901e-12     -0.68324  -1.2408e-12    -0.086358      -4.9188      -1807.6       259.91      0.84641     0.046561            0            0            0            0            0            0            0            0            0           10       0.0675            0  
          0           -8            0    -0.025961     0.017421     0.017336   8.5683e-05  -2.4226e-15      -0.1888   0.00015952     -0.18896   4.7172e-14   1.4657e-15   1.6954e-15  -2.2966e-16      -1.4902      -0.2401            0      -10.257        6.883       -1.394  -9.5714e-13      -10.162       2.5543  -1.4537e-12      -11.935            0            0            0       29.063      -72.638           35      -33.864   3.6761e-11      -19.818  -4.0269e-12      -1.9037  -3.6167e-12     -0.24174      -1.3663      -7125.8       240.91      0.33185      0.04942            0            0            0            0            0            0            0            0            0           10       0.0675            0  
