V_tail
T1-35.0 m/s-TriUniform-ThinSurf-x0.09m-z0.15m
Freestream speed = 35.000 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0          -18            0      -1.0529      0.11217     0.024714     0.087451  -2.0404e-16   -0.0032702   -0.0078473    0.0045771   1.6084e-16   3.3626e-17  -7.4876e-19   3.4375e-17      -9.3871      -9.6322            0      -125.09       13.326      -28.774  -2.4241e-14      -122.18    0.0014075  -1.6304e-14      -110.44            0            0            0       34.803      -3.3019           35      -6.0808    1.468e-14    -0.082056   -1.592e-15     0.076447  -1.3407e-16     0.072923       -13.39      -323.91        466.4       1.1199    -0.080492            0            0            0            0            0            0            0            0            0           10         0.09         0.15  
          0        -17.5            0      -1.0261      0.10643      0.02339     0.083043   -1.167e-16    -0.003511   -0.0074044    0.0038934   2.8608e-16   8.3946e-17   5.3348e-18   7.8612e-17      -9.6404      -9.7652            0       -121.9       12.645      -27.247  -1.3865e-14      -119.23    0.0013719  -5.1564e-14       -107.5            0            0            0       34.813      -3.2569           35      -5.9221   2.6605e-14    -0.088098  -5.4382e-16     0.076457  -1.3113e-16     0.072905      -13.067       -319.5       442.57         1.12    -0.078449            0            0            0            0            0            0            0            0            0           10         0.09         0.15  
          0          -17            0     -0.99902      0.10069     0.021977     0.078718  -1.6449e-16   -0.0036545   -0.0068948    0.0032402   6.2146e-17   9.6768e-19    2.762e-19   6.9148e-19      -9.9212      -9.9164            0      -118.69       11.963      -25.758  -1.9543e-14      -116.24    0.0013359  -4.6816e-14      -104.53            0            0            0       34.824      -3.2072           35      -5.7556   5.3512e-15      -0.0917  -1.5441e-15     0.076458  -1.8523e-16     0.072878      -12.739      -314.63       418.71       1.1201    -0.076382            0            0            0            0            0            0            0            0            0           10         0.09         0.15  
          0        -16.5            0     -0.97179     0.095005     0.020526     0.074479  -7.9677e-17   -0.0036567   -0.0062746    0.0026179   1.5795e-16   3.1542e-17   4.2355e-18   2.7306e-17      -10.229      -10.083            0      -115.45       11.287      -24.306   -9.466e-15      -113.21    0.0012996  -2.4518e-14      -101.55            0            0            0       34.834      -3.1541           35      -5.5837   1.4286e-14    -0.091755  -1.3082e-15     0.076449  -1.2973e-16     0.072841      -12.408      -309.42       395.05       1.1202    -0.074292            0            0            0            0            0            0            0            0            0           10         0.09         0.15  
          0          -16            0     -0.94437     0.090012     0.019683     0.070329  -5.8302e-17   -0.0039597   -0.0059861    0.0020264    2.063e-16   4.1368e-17    1.699e-18   3.9669e-17      -10.492      -10.196            0       -112.2       10.694      -22.894  -6.9266e-15      -110.15     0.001263  -3.4364e-14      -98.554            0            0            0       34.842      -3.1194           35      -5.4447   1.8777e-14    -0.099359  -1.5406e-15      0.07643  -8.8792e-17     0.072795      -12.072      -306.01       374.29       1.1203    -0.072179            0            0            0            0            0            0            0            0            0           10         0.09         0.15  
          0        -15.5            0     -0.91678     0.085191     0.018918     0.066272  -1.1407e-16   -0.0042807   -0.0057468    0.0014661   1.0183e-16   1.8673e-17   5.2146e-18   1.3459e-17      -10.761      -10.304            0      -108.92       10.121       -21.52  -1.3552e-14      -107.06    0.0012261  -1.9437e-14      -95.542            0            0            0        34.85      -3.0866           35      -5.3089   9.1283e-15     -0.10741  -8.3393e-16     0.076402  -4.9108e-17     0.072741      -11.733       -302.8       354.24       1.1204    -0.070044            0            0            0            0            0            0            0            0            0           10         0.09         0.15  
          0          -15            0       -0.889     0.080424     0.018112     0.062311  -7.7199e-17   -0.0045613   -0.0054984    0.0009371   1.4614e-16   2.8133e-17   1.3205e-18   2.6813e-17      -11.054      -10.422            0      -105.62       9.5548      -20.185  -9.1716e-15      -103.94    0.0011889  -3.9879e-14      -92.517            0            0            0       34.858      -3.0515           35      -5.1692    1.329e-14     -0.11445  -9.5085e-16     0.076365  -1.7361e-16     0.072677      -11.391      -299.35       334.42       1.1205    -0.067889            0            0            0            0            0            0            0            0            0           10         0.09         0.15  
          0        -14.5            0     -0.86106     0.075638     0.017189     0.058449  -1.6092e-16   -0.0047065   -0.0051461   0.00043955   1.5279e-16   2.2337e-17   2.1913e-18   2.0146e-17      -11.384      -10.564            0       -102.3       8.9862      -18.891  -1.9118e-14      -100.78    0.0011515   -4.073e-14      -89.479            0            0            0       34.866      -3.0108           35      -5.0201   1.3727e-14      -0.1181   -1.493e-15     0.076319  -1.0392e-16     0.072605      -11.045      -295.36       314.52       1.1206    -0.065715            0            0            0            0            0            0            0            0            0           10         0.09         0.15  
          0          -14            0     -0.83295      0.07123     0.016541     0.054689  -1.4879e-16   -0.0049662   -0.0049398  -2.6392e-05   9.9167e-17    1.005e-17   2.2091e-18   7.8411e-18      -11.694      -10.673            0      -98.959       8.4624      -17.636  -1.7677e-14      -97.591    0.0011138  -2.5288e-15      -86.429            0            0            0       34.873        -2.98           35      -4.8877   8.8048e-15     -0.12461  -1.2724e-15     0.076264  -1.7367e-16     0.072523      -10.696      -292.34       296.19       1.1208    -0.063524            0            0            0            0            0            0            0            0            0           10         0.09         0.15  
          0        -13.5            0     -0.80468      0.06687     0.015836     0.051034  -1.4518e-16   -0.0051684   -0.0047078  -0.00046057   1.6353e-16   2.3779e-17   7.2559e-19   2.3053e-17      -12.033      -10.794            0        -95.6       7.9445      -16.422  -1.7248e-14      -94.374    0.0010758   -2.866e-14      -83.368            0            0            0        34.88      -2.9463           35      -4.7505   1.4752e-14     -0.12969  -1.3522e-15     0.076199  -3.8624e-17     0.072433      -10.343      -289.04       278.06       1.1209    -0.061316            0            0            0            0            0            0            0            0            0           10         0.09         0.15  
          0          -13            0     -0.77625     0.062627     0.015141     0.047486   -5.452e-17   -0.0053156   -0.0044527  -0.00086287   2.1545e-16   3.8666e-17   1.9839e-18   3.6682e-17      -12.395       -10.92            0      -92.222       7.4404      -15.249  -6.4773e-15      -91.128    0.0010376   -2.188e-14      -80.297            0            0            0       34.887      -2.9124           35      -4.6126   1.9578e-14     -0.13338    -9.66e-16     0.076125  -5.9404e-18     0.072334      -9.9873       -285.7       260.41        1.121    -0.059092            0            0            0            0            0            0            0            0            0           10         0.09         0.15  
