V_tail
T5-a0.0°-35.0m/s-TriUniform-ThinSurf-x0.09m-z0.15m


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0            0          -15  -0.00019657    -0.022801    0.0093646    -0.032166      0.20824    0.0011683   -0.0020875    0.0032558    -0.059242  -0.00096131  -2.2373e-05  -0.00093893     0.008621   0.00012087            0    -0.023353       3.8246      -3.8214        24.74    -0.023353  -1.6178e-05       19.643      -2.0412            0            0            0      0.30173   2.6313e+05           35       89.506      -5.3162     0.029316    -0.086264       11.365        257.7      -23.787      -5.1727   2.5813e+07       -94.81  -1.0612e-07   -0.0022339            0            0            0            0            0            0            0            0            0           10         0.09         0.15  
          0            0        -14.5  -0.00019749    -0.020819    0.0092833    -0.030102      0.20192   0.00097301   -0.0020784    0.0030514    -0.057442  -0.00093194  -2.1534e-05  -0.00091041    0.0094862   0.00013331            0    -0.023463       3.6468      -3.5763       23.989    -0.023463  -1.5108e-05       19.046      -1.9117            0            0            0        0.332   2.3857e+05           35       89.456      -5.1547     0.024415    -0.083629       10.596        248.7      -22.151      -5.0157   2.3404e+07      -86.569  -1.1447e-07   -0.0020926            0            0            0            0            0            0            0            0            0           10         0.09         0.15  
          0            0          -14  -0.00019839    -0.018901     0.009202    -0.028103      0.19553    0.0007843    -0.002069    0.0028533    -0.055625  -0.00090231  -2.0704e-05   -0.0008816     0.010496   0.00014784            0    -0.023569       3.4734      -3.3387        23.23    -0.023569  -1.4072e-05       18.444      -1.7862            0            0            0      0.36735   2.1513e+05           35       89.399      -4.9916      0.01968     -0.08097       9.8582       239.74      -20.581      -4.8571   2.1104e+07      -78.593  -1.2372e-07   -0.0019557            0            0            0            0            0            0            0            0            0           10         0.09         0.15  
          0            0        -13.5  -0.00019925    -0.017047    0.0091207    -0.026168      0.18908    0.0006023   -0.0020593    0.0026616    -0.053791  -0.00087242  -1.9885e-05  -0.00085253     0.011688   0.00016499            0    -0.023672       3.3047      -3.1089       22.464    -0.023672  -1.3069e-05       17.835      -1.6647            0            0            0      0.40906   1.9277e+05           35        89.33       -4.827     0.015113    -0.078287       9.1505       230.83      -19.076       -4.697    1.891e+07      -70.885  -1.3403e-07   -0.0018233            0            0            0            0            0            0            0            0            0           10         0.09         0.15  
          0            0          -13  -0.00020009    -0.015259    0.0090388    -0.024298      0.18257   0.00042706   -0.0020493    0.0024764     -0.05194  -0.00084228  -1.9073e-05   -0.0008232     0.013113   0.00018548            0    -0.023772       3.1405      -2.8868       21.691    -0.023772    -1.21e-05       17.222      -1.5474            0            0            0       0.4589   1.7147e+05           35       89.249      -4.6609     0.010716    -0.075583       8.4725       221.96      -17.633      -4.5355   1.6821e+07      -63.451  -1.4556e-07   -0.0016952            0            0            0            0            0            0            0            0            0           10         0.09         0.15  
          0            0        -12.5   -0.0002009    -0.013538    0.0089564    -0.022494      0.17601   0.00025868    -0.002039    0.0022977    -0.050074  -0.00081189  -1.8265e-05  -0.00079362      0.01484   0.00021033            0    -0.023867        2.981      -2.6724       20.911    -0.023867  -1.1165e-05       16.603      -1.4342            0            0            0      0.51933   1.5121e+05           35        89.15      -4.4934    0.0064908    -0.072855       7.8236       213.12      -16.252      -4.3726   1.4834e+07      -56.293  -1.5851e-07   -0.0015717            0            0            0            0            0            0            0            0            0           10         0.09         0.15  
          0            0          -12  -0.00020167    -0.011883    0.0088737    -0.020757       0.1694   9.6932e-05   -0.0020286    0.0021255    -0.048192  -0.00078126  -1.7465e-05   -0.0007638     0.016972   0.00024102            0     -0.02396       2.8265       -2.466       20.126     -0.02396  -1.0264e-05       15.979      -1.3251            0            0            0      0.59393   1.3196e+05           35       89.028      -4.3246    0.0024322    -0.070107       7.2035       204.32      -14.933      -4.2084   1.2945e+07      -49.411  -1.7311e-07   -0.0014528            0            0            0            0            0            0            0            0            0           10         0.09         0.15  
          0            0        -11.5  -0.00020242    -0.010295    0.0087907    -0.019086      0.16273  -5.7882e-05   -0.0020179      0.00196    -0.046296  -0.00075041  -1.6669e-05  -0.00073374     0.019662   0.00027974            0    -0.024049       2.6769      -2.2675       19.334    -0.024049  -9.3982e-06        15.35      -1.2202            0            0            0      0.68804   1.1369e+05           35       88.874      -4.1544   -0.0014524    -0.067339       6.6117       195.56      -13.674       -4.043   1.1153e+07      -42.808  -1.8966e-07   -0.0013383            0            0            0            0            0            0            0            0            0           10         0.09         0.15  
          0            0          -11  -0.00020314    -0.008774    0.0087082    -0.017482      0.15602  -0.00020623   -0.0020074    0.0018012    -0.044385  -0.00071934  -1.5878e-05  -0.00070346     0.023152   0.00032998            0    -0.024134       2.5326       -2.077       18.536    -0.024134  -8.5671e-06       14.717      -1.1196            0            0            0      0.81011        96382           35       88.674      -3.9829   -0.0051748    -0.064551       6.0479       186.82      -12.474      -3.8762    9.455e+06      -36.484  -2.0853e-07   -0.0012286            0            0            0            0            0            0            0            0            0           10         0.09         0.15  
          0            0        -10.5  -0.00020383    -0.007319    0.0086275    -0.015946      0.14925  -0.00034846   -0.0019975     0.001649    -0.042461  -0.00068807  -1.5101e-05  -0.00067297     0.027849   0.00039759            0    -0.024216       2.3936      -1.8945       17.732    -0.024216  -7.7711e-06       14.079      -1.0232            0            0            0      0.97434        79992           35       88.405      -3.8103   -0.0087438    -0.061745       5.5116       178.12      -11.333      -3.7083   7.8472e+06      -30.434  -2.3016e-07   -0.0011234            0            0            0            0            0            0            0            0            0           10         0.09         0.15  
          0            0          -10  -0.00020448   -0.0059323    0.0085467    -0.014479      0.14245  -0.00048371   -0.0019874    0.0015037    -0.040524   -0.0006566  -1.4333e-05  -0.00064227     0.034469    0.0004929            0    -0.024294       2.2601      -1.7202       16.923    -0.024294  -7.0105e-06       13.437     -0.93111            0            0            0       1.2057        64524           35       88.026      -3.6365    -0.012137    -0.058921       5.0026       169.45       -10.25      -3.5393   6.3298e+06      -24.667  -2.5512e-07   -0.0010229            0            0            0            0            0            0            0            0            0           10         0.09         0.15  
          0            0         -9.5  -0.00020511   -0.0046138    0.0084664     -0.01308      0.13559  -0.00061209   -0.0019772    0.0013651    -0.038575  -0.00062494  -1.3568e-05  -0.00061137     0.044455   0.00063667            0    -0.024368        2.132       -1.554       16.109    -0.024368  -6.2856e-06        12.79     -0.84332            0            0            0       1.5544        49954           35       87.455      -3.4615    -0.015359     -0.05608       4.5204       160.81      -9.2237      -3.3692   4.9005e+06      -19.185  -2.8414e-07  -0.00092717            0            0            0            0            0            0            0            0            0           10         0.09         0.15  
          0            0           -9   -0.0002057   -0.0033633    0.0083874    -0.011751       0.1287  -0.00073377   -0.0019671    0.0012334    -0.036614   -0.0005931   -1.281e-05  -0.00058029     0.061161   0.00087719            0    -0.024439       2.0095       -1.396        15.29    -0.024439  -5.5964e-06        12.14     -0.75987            0            0            0       2.1366        36257           35         86.5      -3.2856    -0.018412    -0.053223       4.0647       152.19      -8.2543      -3.1981   3.5568e+06      -13.985  -3.1813e-07  -0.00083613            0            0            0            0            0            0            0            0            0           10         0.09         0.15  
          0            0         -8.5  -0.00020627   -0.0021815    0.0083091    -0.010491      0.12177  -0.00084842    -0.001957    0.0011085    -0.034641   -0.0005611  -1.2063e-05  -0.00054903     0.094553     0.001358            0    -0.024506       1.8928      -1.2463       14.467    -0.024506  -4.9434e-06       11.486     -0.68079            0            0            0       3.2947        23420           35       84.599      -3.1086    -0.021289    -0.050351       3.6354        143.6      -7.3407       -3.026   2.2975e+06      -9.0711  -3.5829e-07  -0.00074986            0            0            0            0            0            0            0            0            0           10         0.09         0.15  
          0            0           -8   -0.0002068   -0.0010681    0.0082325   -0.0093005       0.1148  -0.00095691   -0.0019476   0.00099065    -0.032659  -0.00052894  -1.1327e-05  -0.00051761      0.19362    0.0027844            0    -0.024569        1.782       -1.105       13.639    -0.024569  -4.3265e-06       10.829     -0.60609            0            0            0       6.6531        11422           35       79.042      -2.9307    -0.024011    -0.047465        3.232       135.03      -6.4823      -2.8529   1.1205e+06      -4.4412  -4.0623e-07  -0.00066837            0            0            0            0            0            0            0            0            0           10         0.09         0.15  
          0            0         -7.5   -0.0002073  -2.4467e-05    0.0081563   -0.0081808      0.10779   -0.0010584   -0.0019382   0.00087971    -0.030666  -0.00049663  -1.0599e-05  -0.00048603       8.4727      0.12199            0    -0.024628        1.677     -0.97192       12.807    -0.024628  -3.7461e-06       10.168     -0.53581            0            0            0       34.759       260.71           35       6.7312      -2.7518    -0.026559    -0.044565       2.8543       126.49      -5.6787       -2.679        25576     -0.10174  -4.6407e-07   -0.0005917            0            0            0            0            0            0            0            0            0           10         0.09         0.15  
