First Responder_Vtail
T1-200.0 m/s-TriUniform-ThickSurf-x0.085m-z0.05m
Freestream speed = 200.000 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0          -20            0      -1.1564      0.11394     0.016333     0.097603    9.017e-14    -0.014132     0.002734    -0.016866  -2.1707e-14   5.3045e-15  -1.0241e-15   6.3286e-15      -10.149      -10.914            0      -4541.7       447.49      -1193.1   3.5415e-10      -4398.9      -1019.3   3.0256e-10      -4457.2            0            0            0       199.04      -14.481          200      -5.6271  -5.3821e-11       -11.95   3.6628e-11     0.084687   1.0404e-14     0.084535      -520.08       -35514        89498       1.2377     -0.09793            0            0            0            0            0            0            0            0            0          250        0.085         0.05  
          0        -19.5            0      -1.1297      0.10887     0.015705      0.09317   8.7285e-14    -0.013868    0.0026656    -0.016533  -2.0918e-14   5.7759e-15  -5.7883e-16   6.3547e-15      -10.376      -11.029            0        -4437       427.61      -1136.2   3.4282e-10      -4304.7      -970.88   2.9279e-10      -4361.1            0            0            0       199.08       -14.33          200      -5.5048  -5.1942e-11      -11.726   3.6682e-11     0.084729   1.0331e-14     0.084384      -509.01       -35144        85522       1.2376     -0.09572            0            0            0            0            0            0            0            0            0          250        0.085         0.05  
          0          -19            0      -1.1029       0.1039     0.015091     0.088804   8.4565e-14     -0.01359    0.0026096      -0.0162  -2.0173e-14   5.6728e-15  -5.5166e-16   6.2244e-15      -10.615      -11.148            0      -4331.6       408.06      -1080.4   3.3213e-10      -4209.1      -923.53   2.8367e-10      -4263.6            0            0            0       199.12      -14.177          200      -5.3817   -5.032e-11      -11.492   3.5218e-11     0.084764   1.0256e-14     0.084228      -497.78       -34769        81611       1.2374    -0.093483            0            0            0            0            0            0            0            0            0          250        0.085         0.05  
          0        -18.5            0      -1.0758     0.099354     0.014843      0.08451   8.1638e-14     -0.01307    0.0027975    -0.015867  -1.8812e-14   8.3102e-15   1.9133e-15   6.3969e-15      -10.828      -11.231            0      -4225.3       390.22      -1025.9   3.2064e-10      -4112.3      -877.24   2.7141e-10      -4164.9            0            0            0       199.15      -14.072          200      -5.2765  -4.6667e-11      -11.051   4.0882e-11     0.084791   9.8947e-15     0.084068       -486.4       -34512        78044       1.2372    -0.091218            0            0            0            0            0            0            0            0            0          250        0.085         0.05  
          0          -18            0      -1.0485     0.094508     0.014217      0.08029   7.8814e-14    -0.012863    0.0026714    -0.015534  -1.8274e-14   6.6746e-15   4.3455e-16     6.24e-15      -11.095      -11.361            0      -4118.2       371.19      -972.69   3.0955e-10      -4014.1      -832.02   2.6089e-10      -4064.9            0            0            0       199.19      -13.911          200      -5.1503  -4.5609e-11      -10.877   3.5406e-11      0.08481   9.7333e-15     0.083903      -474.87       -34117        74237       1.2371    -0.088928            0            0            0            0            0            0            0            0            0          250        0.085         0.05  
          0        -17.5            0      -1.0211     0.090748       0.0146     0.076148   7.5871e-14    -0.012262    0.0029395    -0.015202  -1.7362e-14   8.3585e-15   2.1757e-15   6.1828e-15      -11.252       -11.37            0      -4010.4       356.42      -920.73   2.9799e-10      -3914.8      -787.88   2.5323e-10      -3963.7            0            0            0       199.21        -13.9          200      -5.0787  -4.3389e-11      -10.369   3.8941e-11     0.084822   1.0045e-14     0.083732       -463.2       -34089        71284        1.237    -0.086612            0            0            0            0            0            0            0            0            0          250        0.085         0.05  
          0          -17            0     -0.99347     0.086023     0.013935     0.072087   7.2877e-14    -0.012077    0.0027924     -0.01487  -1.6535e-14   8.8496e-15   2.7739e-15   6.0757e-15      -11.549      -11.511            0      -3901.9       337.86      -870.05   2.8623e-10      -3814.2      -744.85   2.4152e-10      -3861.4            0            0            0       199.25       -13.73          200      -4.9488   -4.143e-11      -10.212    3.925e-11     0.084826   9.6925e-15     0.083555      -451.38       -33672        67572       1.2369    -0.084272            0            0            0            0            0            0            0            0            0          250        0.085         0.05  
          0        -16.5            0     -0.96565     0.081851      0.01374     0.068111    6.996e-14    -0.011814    0.0027246    -0.014538  -1.5904e-14   4.6362e-15  -1.3081e-15   5.9442e-15      -11.798      -11.593            0      -3792.6       321.47      -820.68   2.7477e-10      -3712.4      -702.94   2.3173e-10      -3757.9            0            0            0       199.29      -13.632          200       -4.845  -4.0029e-11      -9.9893   2.6454e-11     0.084823   9.4855e-15     0.083373      -439.42       -33433        64295       1.2369    -0.081909            0            0            0            0            0            0            0            0            0          250        0.085         0.05  
          0          -16            0     -0.93765     0.077541      0.01332     0.064221   6.6937e-14    -0.011682    0.0025251    -0.014207  -1.5442e-14    5.917e-15   2.3324e-16   5.6838e-15      -12.092      -11.709            0      -3682.7       304.55      -772.63    2.629e-10      -3609.6      -662.14   2.2226e-10      -3653.3            0            0            0       199.32      -13.497          200      -4.7274   -3.919e-11      -9.8781   2.9352e-11     0.084812   9.3441e-15     0.083184      -427.33       -33102        60909       1.2368    -0.079524            0            0            0            0            0            0            0            0            0          250        0.085         0.05  
          0        -15.5            0     -0.90948      0.07317     0.012748     0.060422    6.394e-14    -0.011424    0.0024529    -0.013877  -1.3929e-14   5.3994e-15   -3.493e-16   5.7487e-15       -12.43      -11.854            0        -3572       287.38      -725.91   2.5113e-10      -3505.5      -622.49   2.1051e-10      -3547.6            0            0            0       199.36      -13.333          200      -4.5997  -3.5086e-11      -9.6599   2.6346e-11     0.084792   9.1122e-15     0.082989      -415.11       -32698        57476       1.2368    -0.077117            0            0            0            0            0            0            0            0            0          250        0.085         0.05  
