First Responder_Vtail
T5-a0.0°-200.0m/s-TriUniform-ThickSurf-x0.085m-z0.05m


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0            0          -15     0.020553    -0.044089    0.0079812     -0.05207      0.32709    -0.012716    0.0020636     -0.01478     -0.14362     0.002964   4.4365e-05    0.0029196     -0.46617    -0.066832       6.9753       80.724        166.3      -204.51       1284.7       80.724      -186.36       1295.9       14.037            0            0            0       84.504      -2364.8          200      -65.006      -423.94      -10.753       8.7489     -0.03872      -3.8832      0.48439       246.89  -5.7996e+06       -34632  -0.00073294  -0.00079582            0            0            0            0            0            0            0            0            0          250        0.085         0.05  
          0            0        -14.5     0.020648    -0.040841    0.0078849    -0.048726      0.31715    -0.012092    0.0020295    -0.014122     -0.13926    0.0028746   4.3678e-05    0.0028309     -0.50557    -0.072647       6.9593       81.095       157.57      -191.37       1245.6       81.095      -174.99       1256.5        18.08            0            0            0       90.237      -2175.5          200       -63.18      -411.06      -10.225       8.4851    -0.028422       -3.748      0.46335       239.63  -5.3354e+06       -32081  -0.00079048  -0.00058685            0            0            0            0            0            0            0            0            0          250        0.085         0.05  
          0            0          -14      0.02074    -0.037697    0.0077875    -0.045485      0.30712    -0.011489    0.0019945    -0.013484     -0.13485    0.0027845    4.313e-05    0.0027414     -0.55016     -0.07923       6.9439       81.456       149.06      -178.64       1206.2       81.456      -163.97       1216.8       21.997            0            0            0       96.406      -1994.7          200      -61.182      -398.05       -9.715       8.2191    -0.018533      -3.6134      0.44314       232.29  -4.8921e+06       -29612  -0.00085434  -0.00038436            0            0            0            0            0            0            0            0            0          250        0.085         0.05  
          0            0        -13.5     0.020828    -0.034658    0.0076899    -0.042348      0.29699    -0.010908    0.0019586    -0.012867     -0.13041    0.0026929   4.1935e-05     0.002651     -0.60096     -0.08673        6.929       81.804       140.77      -166.33       1166.4       81.804      -153.31       1176.7       25.788            0            0            0       103.02      -1822.2          200      -58.996      -384.93      -9.2234       7.9487   -0.0090456      -3.4793      0.42376       224.89   -4.469e+06       -27225  -0.00092549   -0.0001884            0            0            0            0            0            0            0            0            0          250        0.085         0.05  
          0            0          -13     0.020914    -0.031724    0.0075937    -0.039318      0.28677    -0.010348    0.0019222     -0.01227     -0.12592    0.0025998   4.0005e-05    0.0025598     -0.65925    -0.095339       6.9148       82.141       132.73      -154.42       1126.3       82.141         -143       1136.2       29.451            0            0            0       110.08      -1657.7          200      -56.605      -371.69      -8.7498       7.6738   4.5486e-05      -3.3458      0.40518       217.42  -4.0655e+06       -24920   -0.0010051    9.513e-07            0            0            0            0            0            0            0            0            0          250        0.085         0.05  
          0            0        -12.5     0.020997    -0.028897    0.0074969    -0.036394      0.27647   -0.0098089    0.0018856    -0.011694      -0.1214    0.0025061   3.8361e-05    0.0024678     -0.72662     -0.10529       6.9012       82.466       124.91      -142.94       1085.8       82.466      -133.06       1095.3       32.985            0            0            0       117.57        -1501          200      -53.997      -358.33      -8.2941       7.3974    0.0087465      -3.2129      0.38741       209.88  -3.6813e+06       -22699   -0.0010944   0.00018365            0            0            0            0            0            0            0            0            0          250        0.085         0.05  
          0            0          -12     0.021077    -0.026176    0.0074008    -0.033577      0.26608    -0.009291     0.001849     -0.01114     -0.11683    0.0024119   3.6823e-05     0.002375     -0.80519     -0.11689       6.8881       82.779       117.35      -131.88         1045       82.779      -123.48       1054.2        36.39            0            0            0       125.43        -1352          200      -51.159      -344.86      -7.8562       7.1192     0.017063      -3.0805      0.37041       202.28  -3.3158e+06       -20562   -0.0011952   0.00035963            0            0            0            0            0            0            0            0            0          250        0.085         0.05  
          0            0        -11.5     0.021153    -0.023563    0.0073053    -0.030868      0.25561   -0.0087952    0.0018118    -0.010607     -0.11224    0.0023175   3.5885e-05    0.0022816     -0.89772     -0.13057       6.8756        83.08       110.04      -121.24       1003.9        83.08      -114.27       1012.7       39.663            0            0            0       133.61      -1210.4          200      -48.085      -331.29      -7.4369       6.8405     0.025001      -2.9485      0.35419       194.62  -2.9686e+06       -18509   -0.0013096   0.00052885            0            0            0            0            0            0            0            0            0          250        0.085         0.05  
          0            0          -11     0.021227    -0.021059    0.0072099    -0.028269      0.24506   -0.0083213     0.001774    -0.010095      -0.1076    0.0022222     3.48e-05    0.0021874       -1.008     -0.14685       6.8637       83.369       102.98      -111.03       962.49       83.369      -105.43        970.9       42.805            0            0            0       141.98      -1076.2          200      -44.773      -317.62      -7.0363       6.5594     0.032565       -2.817      0.33874        186.9  -2.6394e+06       -16542     -0.00144   0.00069125            0            0            0            0            0            0            0            0            0          250        0.085         0.05  
          0            0        -10.5     0.021297    -0.018665    0.0071147     -0.02578      0.23444   -0.0078699    0.0017355   -0.0096054     -0.10294    0.0021261   3.3511e-05    0.0020926       -1.141     -0.16651       6.8523       83.646       96.183      -101.25       920.76       83.646      -96.966       928.82       45.814            0            0            0       150.41      -949.12          200      -41.232      -303.85      -6.6545       6.2757      0.03976       -2.686      0.32403       179.13  -2.3277e+06       -14662   -0.0015895   0.00084679            0            0            0            0            0            0            0            0            0          250        0.085         0.05  
