First Responder_wing
T1-200.0 m/s-TriUniform-ThickSurf-x0.095m
Freestream speed = 200.000 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0          -13            0     -0.78091     0.049186     0.017738     0.031448    -2.38e-19    -0.072918   3.5085e-05    -0.072954   5.5361e-15    3.814e-16   1.0955e-17   3.7045e-16      -15.877       -14.03            0      -8035.5       506.12      -1492.3   -2.449e-15      -7902.4      -824.23  -4.1184e-12        -7961            0            0            0        199.6      -6.9593          200       -3.604   9.0182e-11      -200.09  -1.4385e-11      0.06751  -1.0899e-14   -0.0016213      -1374.5       -17068   1.0122e+05       1.0127    -0.052719            0            0            0            0            0            0            0            0            0          250        0.095            0  
          0        -12.5            0     -0.74269      0.04316     0.014708     0.028451  -2.1762e-19    -0.073358   3.7546e-05    -0.073396   5.6539e-15   4.4231e-16   1.1901e-16    3.233e-16      -17.208       -14.83            0      -7642.3       444.11      -1368.3  -2.2393e-15      -7524.5      -745.49  -3.9227e-12      -7586.5            0            0            0       199.66       -6.584          200      -3.3259   9.2031e-11      -201.29  -1.3038e-11     0.066311  -1.2924e-14   -0.0018252      -1308.5       -16147        88823       1.0125    -0.049249            0            0            0            0            0            0            0            0            0          250        0.095            0  
          0          -12            0     -0.70433     0.038452     0.012859     0.025593  -1.9811e-19     -0.07379   3.7775e-05    -0.073828   6.1077e-15   4.7783e-16   1.0544e-16    3.724e-16      -18.317      -15.373            0      -7247.6       395.67      -1249.3  -2.0385e-15        -7144      -670.36  -3.8999e-12      -7208.9            0            0            0        199.7      -6.3515          200      -3.1249   9.9635e-11      -202.48  -1.3211e-11      0.06495  -1.4089e-14   -0.0020563        -1242       -15577        79135       1.0123    -0.045746            0            0            0            0            0            0            0            0            0          250        0.095            0  
          0        -11.5            0     -0.66584     0.034399     0.011523     0.022876  -1.7948e-19    -0.074213   3.7067e-05     -0.07425   6.5336e-15   4.8873e-16   9.6297e-17   3.9243e-16      -19.356      -15.795            0      -6851.5       353.97      -1135.3  -1.8468e-15      -6760.9      -598.86  -3.6552e-12      -6828.5            0            0            0       199.73      -6.1819          200      -2.9574    1.067e-10      -203.64  -1.3561e-11     0.063398  -1.5663e-14   -0.0023195      -1175.1       -15161        70794       1.0121    -0.042213            0            0            0            0            0            0            0            0            0          250        0.095            0  
          0          -11            0     -0.62722     0.030805     0.010503     0.020302  -1.6173e-19    -0.074626   3.5943e-05    -0.074662   6.7383e-15    4.642e-16   8.2759e-17   3.8144e-16      -20.361      -16.125            0      -6454.1       316.99      -1026.4  -1.6642e-15      -6375.4      -531.02  -3.4614e-12      -6445.3            0            0            0       199.76      -6.0551          200      -2.8118    1.101e-10      -204.77  -1.3666e-11     0.061621  -1.7557e-14   -0.0026207      -1107.8       -14850        63397       1.0119     -0.03865            0            0            0            0            0            0            0            0            0          250        0.095            0  
          0        -10.5            0     -0.58847     0.027548     0.009675     0.017873  -1.4488e-19    -0.075029   3.4973e-05    -0.075064   7.2949e-15   4.8283e-16   6.6792e-17   4.1604e-16      -21.362      -16.387            0      -6055.4       283.47      -922.67  -1.4908e-15      -5987.5      -466.84  -3.2505e-12      -6059.4            0            0            0       199.78      -5.9584          200      -2.6802   1.1934e-10      -205.88  -1.4071e-11     0.059575  -1.9962e-14   -0.0029677      -1040.1       -14613        56694       1.0118    -0.035058            0            0            0            0            0            0            0            0            0          250        0.095            0  
          0          -10            0     -0.54961     0.024613     0.009022     0.015591  -1.2891e-19    -0.075422    3.394e-05    -0.075456   7.8807e-15   5.2514e-16   5.8874e-17   4.6626e-16       -22.33      -16.554            0      -5655.5       253.27      -824.07  -1.3265e-15      -5597.5      -406.36   -3.173e-12        -5671            0            0            0        199.8      -5.8981          200      -2.5642   1.2911e-10      -206.96  -1.4016e-11     0.057204  -2.2683e-14   -0.0033702      -971.97       -14465        50654       1.0118     -0.03144            0            0            0            0            0            0            0            0            0          250        0.095            0  
          0         -9.5            0     -0.51064     0.022018    0.0085587     0.013459  -1.1385e-19    -0.075805   3.2799e-05    -0.075838   7.8982e-15   4.5361e-16   5.1369e-17   4.0224e-16      -23.192      -16.573            0      -5254.5       226.56      -730.65  -1.1715e-15      -5205.3      -349.58  -2.9382e-12      -5280.1            0            0            0       199.81      -5.8915          200      -2.4689   1.2935e-10      -208.01  -1.4096e-11     0.054435   -2.505e-14   -0.0038411       -903.5       -14449        45313       1.0118    -0.027797            0            0            0            0            0            0            0            0            0          250        0.095            0  
          0           -9            0     -0.47157     0.019788    0.0083104     0.011478  -9.9693e-20    -0.076178   3.0867e-05    -0.076208   8.5152e-15    4.662e-16   3.2638e-17   4.3356e-16      -23.831      -16.365            0      -4852.5       203.62      -642.44  -1.0258e-15      -4811.2      -296.54  -2.7181e-12        -4887            0            0            0       199.82      -5.9664          200      -2.4029   1.3959e-10      -209.03  -1.4351e-11     0.051168  -2.8921e-14   -0.0043976      -834.68       -14633        40724       1.0118     -0.02413            0            0            0            0            0            0            0            0            0          250        0.095            0  
          0         -8.5            0     -0.43241     0.017654    0.0080045    0.0096498  -8.6442e-20     -0.07654   2.8614e-05    -0.076569   8.9139e-15    4.773e-16   5.2348e-17   4.2495e-16      -24.493      -16.106            0      -4449.5       181.66      -559.47  -8.8949e-16      -4415.3      -247.23  -2.5025e-12      -4491.7            0            0            0       199.83      -6.0623          200       -2.338   1.4618e-10      -210.03  -1.3921e-11     0.047271  -3.3011e-14   -0.0050631      -765.55       -14868        36332       1.0119     -0.02044            0            0            0            0            0            0            0            0            0          250        0.095            0  
