First Responder_wing
T5-a0.0°-200.0m/s-VLM2-x0.095m


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0            0          -15      0.20918    0.0074458    0.0049762    0.0024697   5.5617e-07    -0.077447   3.7699e-06     -0.07745   -0.0004046   4.2207e-05   8.1678e-06    3.404e-05       28.094       12.849       2.1864       2152.5       75.753       25.413     0.005723       2152.5    0.0035113    -0.013104       2151.8            0            0            0       199.87       7.5988          200       2.0386      -6.6613      -212.51       0.6949       0.1937   -0.0030947    0.0048476       377.87        18636        15324      0.92529     0.040519            0            0            0            0            0            0            0            0            0          250        0.095            0  
          0            0        -14.5      0.21015    0.0074449    0.0049639     0.002481   5.3927e-07    -0.077802   3.7691e-06    -0.077806  -0.00039231    4.092e-05   7.9141e-06   3.3006e-05       28.227        12.94       2.1814       2162.4       75.796        25.53    0.0055491       2162.4    0.0032861    -0.012706       2161.8            0            0            0       199.87       7.5457          200        2.029      -6.4589      -213.49       0.6737       0.1937    -0.002987    0.0048476       379.53        18506        15322      0.92955     0.040706            0            0            0            0            0            0            0            0            0          250        0.095            0  
          0            0          -14      0.21108     0.007444    0.0049519    0.0024921   5.2221e-07    -0.078147   3.7683e-06     -0.07815   -0.0003799   3.9615e-05   7.6541e-06   3.1961e-05       28.356       13.028       2.1766         2172       75.838       25.643    0.0053735         2172    0.0030678    -0.012304       2171.4            0            0            0       199.88       7.4948          200       2.0198      -6.2546      -214.43      0.65223       0.1937   -0.0028797    0.0048476       381.15        18381        15320      0.93368     0.040887            0            0            0            0            0            0            0            0            0          250        0.095            0  
          0            0        -13.5      0.21198    0.0074431    0.0049404    0.0025027   5.0499e-07     -0.07848   3.7674e-06    -0.078484  -0.00036737     3.83e-05   7.3928e-06   3.0907e-05       28.481       13.113       2.1719       2181.3       75.879       25.753    0.0051963       2181.3    0.0028566    -0.011898       2180.8            0            0            0       199.88        7.446          200       2.0109      -6.0483      -215.35      0.63057       0.1937   -0.0027728    0.0048476        382.7        18261        15318      0.93768     0.041062            0            0            0            0            0            0            0            0            0          250        0.095            0  
          0            0          -13      0.21286    0.0074423    0.0049292     0.002513   4.8762e-07    -0.078802   3.7666e-06    -0.078806  -0.00035473   3.6974e-05   7.1302e-06   2.9844e-05       28.601       13.196       2.1675       2190.3       75.919       25.859    0.0050176       2190.3    0.0026525    -0.011489       2189.8            0            0            0       199.88       7.3994          200       2.0024      -5.8403      -216.23      0.60874       0.1937   -0.0026665    0.0048476        384.2        18147        15316      0.94154     0.041232            0            0            0            0            0            0            0            0            0          250        0.095            0  
          0            0        -12.5       0.2137    0.0074414    0.0049184     0.002523   4.7009e-07    -0.079113   3.7657e-06    -0.079117  -0.00034198   3.5638e-05   6.8664e-06   2.8772e-05       28.718       13.276       2.1632         2199       75.958       25.962    0.0048373         2199    0.0024555    -0.011076       2198.5            0            0            0       199.88       7.3549          200       1.9943      -5.6304      -217.09      0.58674       0.1937   -0.0025605    0.0048476       385.65        18038        15314      0.94527     0.041395            0            0            0            0            0            0            0            0            0          250        0.095            0  
          0            0          -12      0.21451    0.0074406    0.0049081    0.0025326   4.5243e-07    -0.079412   3.7648e-06    -0.079416  -0.00032913   3.4294e-05    6.604e-06    2.769e-05        28.83       13.353       2.1591       2207.3       75.996        26.06    0.0046555       2207.3    0.0022659     -0.01066       2206.9            0            0            0       199.88       7.3124          200       1.9866      -5.4188      -217.91      0.56462      0.19371    -0.002455    0.0048476       387.04        17934        15313      0.94886     0.041552            0            0            0            0            0            0            0            0            0          250        0.095            0  
          0            0        -11.5      0.21529    0.0074398    0.0048981    0.0025418   4.3462e-07      -0.0797   3.7639e-06    -0.079704  -0.00031618   3.2947e-05   6.3462e-06   2.6601e-05       28.938       13.427       2.1552       2215.4       76.032       26.155    0.0044723       2215.4    0.0020835    -0.010241       2214.9            0            0            0       199.88       7.2719          200       1.9792      -5.2056       -218.7      0.54244      0.19371   -0.0023498    0.0048476       388.37        17834        15311      0.95231     0.041703            0            0            0            0            0            0            0            0            0          250        0.095            0  
          0            0          -11      0.21604    0.0074391    0.0048884    0.0025506   4.1669e-07    -0.079977   3.7629e-06     -0.07998  -0.00030313   3.1609e-05   6.1065e-06   2.5503e-05       29.041       13.499       2.1515       2223.1       76.066       26.246    0.0042877       2223.1    0.0019084   -0.0098179       2222.7            0            0            0       199.88       7.2334          200       1.9721      -4.9907      -219.46      0.52042      0.19371    -0.002245    0.0048476       389.65        17740        15310      0.95562     0.041848            0            0            0            0            0            0            0            0            0          250        0.095            0  
          0            0        -10.5      0.21676    0.0074383    0.0048792    0.0025591   3.9863e-07    -0.080241    3.762e-06    -0.080245  -0.00028999   3.0257e-05   5.8596e-06   2.4397e-05       29.141       13.567       2.1479       2230.4         76.1       26.333    0.0041019       2230.4    0.0017408   -0.0093924       2230.1            0            0            0       199.88       7.1967          200       1.9654      -4.7744      -220.18      0.49815      0.19371   -0.0021406    0.0048476       390.87        17650        15308      0.95879     0.041987            0            0            0            0            0            0            0            0            0          250        0.095            0  
          0            0          -10      0.21744    0.0074375    0.0048703    0.0025672   3.8044e-07    -0.080494    3.761e-06    -0.080498  -0.00027676   2.8886e-05   5.6018e-06   2.3285e-05       29.236       13.633       2.1445       2237.5       76.131       26.416    0.0039147       2237.5    0.0015806   -0.0089639       2237.2            0            0            0       199.88        7.162          200        1.959      -4.5566      -220.88      0.47558      0.19371   -0.0020365    0.0048476       392.03        17565        15306      0.96183      0.04212            0            0            0            0            0            0            0            0            0          250        0.095            0  
          0            0         -9.5       0.2181    0.0074368    0.0048619    0.0025749   3.6214e-07    -0.080735     3.76e-06    -0.080739  -0.00026345   2.7492e-05   5.3275e-06   2.2164e-05       29.327       13.696       2.1413       2244.2       76.161       26.496    0.0037264       2244.2    0.0014279   -0.0085327       2243.9            0            0            0       199.88       7.1291          200       1.9529      -4.3374      -221.54      0.45263      0.19371   -0.0019327    0.0048476       393.13        17484        15305      0.96471     0.042247            0            0            0            0            0            0            0            0            0          250        0.095            0  
          0            0           -9      0.21872     0.007436    0.0048538    0.0025822   3.4373e-07    -0.080964   3.7591e-06    -0.080968  -0.00025006    2.609e-05   5.0524e-06   2.1038e-05       29.413       13.756       2.1382       2250.6        76.19       26.571     0.003537       2250.6    0.0012827   -0.0080989       2250.3            0            0            0       199.88       7.0981          200       1.9472      -4.1169      -222.17      0.42955      0.19371   -0.0018293    0.0048476       394.18        17408        15303      0.96746     0.042367            0            0            0            0            0            0            0            0            0          250        0.095            0  
          0            0         -8.5      0.21931    0.0074353    0.0048462    0.0025892   3.2522e-07    -0.081181   3.7582e-06    -0.081185  -0.00023659   2.4681e-05   4.7764e-06   1.9904e-05       29.495       13.813       2.1354       2256.7       76.218       26.642    0.0033465       2256.7    0.0011452   -0.0076627       2256.4            0            0            0       199.89       7.0689          200       1.9418      -3.8952      -222.76      0.40635      0.19371   -0.0017261    0.0048476       395.16        17337        15302      0.97006     0.042481            0            0            0            0            0            0            0            0            0          250        0.095            0  
