Tail_set
T1-30.0 m/s-Quads-ThickSurf-x0.0475m
Freestream speed = 30.000 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0         -5.5            0      -0.4008     0.053534      0.03188     0.021653   -3.501e-05    -0.068898    0.0039634    -0.072861      0.01178     0.003259    0.0010449    0.0022142      -7.4868      -4.7398            0      -41.007       5.4771      -1.7251   -0.0035819       -41.03       1.5667      0.45959      -43.328            0            0            0       29.736      -6.7324           30      -7.6078       1.4168      -1.1279      0.25101     0.015319  -0.00084971    -0.016383      -3.2496      -779.33       164.31      0.32572     -0.00614            0            0            0            0            0            0            0            0            0         11.8       0.0475            0  
          0           -5            0     -0.28895     0.030493     0.018991     0.011502  -2.4739e-05    -0.067685    0.0036472    -0.071333     0.009283    0.0019127    0.0006211    0.0012916       -9.476      -5.0937            0      -29.563       3.1198      -1.4043   -0.0025311      -29.553      0.66856      0.20359      -32.242            0            0            0       29.834      -6.2647           30      -6.0241       1.1109       -1.108      0.13011    0.0081493   -0.0006367    -0.012517      -2.3035      -725.19       93.593      0.31871   -0.0023547            0            0            0            0            0            0            0            0            0         11.8       0.0475            0  
          0         -4.5            0     -0.17664     0.018017     0.013483    0.0045334  -1.4448e-05    -0.066605    0.0035174    -0.070122    0.0062728    0.0010818   0.00044107   0.00064077      -9.8042      -4.1206            0      -18.072       1.8433     -0.95554   -0.0014782      -18.053      0.24282     0.046473      -20.706            0            0            0       29.845      -7.7442           30      -5.8239      0.74814      -1.0903      0.06959    -0.011862   -0.0004291    -0.010827      -1.3557      -896.46         55.3      0.30218    0.0020953            0            0            0            0            0            0            0            0            0         11.8       0.0475            0  
          0           -4            0     -0.06396     0.013941     0.013181   0.00075982  -4.1395e-06     -0.06575    0.0034804     -0.06923    0.0027568   0.00070635   0.00043118   0.00027517       -4.588      -1.1603            0      -6.5439       1.4263     -0.37893  -0.00042352      -6.5333      0.28957    -0.011713      -8.7241            0            0            0       29.312      -27.502           30      -12.296      0.32867      -1.0763     0.060803     -0.11216   -0.0002443    -0.022692     -0.40629      -3183.5       42.789      0.23638     0.007174            0            0            0            0            0            0            0            0            0         11.8       0.0475            0  
          0         -3.5            0     0.048996     0.013102     0.012913   0.00018931   6.1824e-06    -0.065191     0.003467    -0.068658   -0.0012571   0.00063031    0.0004224   0.00020791       3.7396      0.82776       4.5177       5.0128       1.3405      0.32536   0.00063253       5.0023      0.80881     0.029049       3.6994            0            0            0       28.982        38.55           30       14.971     -0.14741      -1.0672     0.083775      0.26217   6.1513e-05     0.045521      0.54447       4462.5       40.214      0.55675     0.012845            0            0            0            0            0            0            0            0            0         11.8       0.0475            0  
          0           -3            0      0.16213     0.014412     0.011584    0.0028279   1.6515e-05    -0.064929    0.0034751    -0.068404   -0.0057607   0.00083086   0.00037894   0.00045192        11.25       4.5299       2.4835       16.588       1.4745       1.1571    0.0016897        16.55       1.8004      0.16875       16.561            0            0            0       29.882       7.0444           30       5.0796     -0.67994      -1.0629      0.13425      0.11763   0.00023118     0.026183        1.496       815.44       44.236      0.40813     0.019071            0            0            0            0            0            0            0            0            0         11.8       0.0475            0  
          0         -2.5            0      0.27536     0.019847     0.011168    0.0086792   2.6855e-05    -0.064973    0.0034977     -0.06847    -0.010745    0.0013852   0.00036534    0.0010199       13.874       7.2806       1.9057       28.173       2.0306        2.116    0.0027476       28.108       3.2639      0.40734       29.857            0            0            0       29.922        4.383           30       4.1225      -1.2688      -1.0636      0.21987     0.093749   0.00043038     0.027203       2.4483       507.36       60.918      0.38357     0.025815            0            0            0            0            0            0            0            0            0         11.8       0.0475            0  
          0           -2            0      0.38859     0.029751     0.012006     0.017744   3.7199e-05     -0.06525    0.0036055    -0.068856    -0.016202    0.0023171   0.00039276    0.0019243       13.062       8.1423       1.6042       39.758       3.0438       3.2019     0.003806        39.67       5.1991      0.74475       43.583            0            0            0       29.912       3.9191           30        4.378      -1.9137      -1.0681      0.34193     0.085024    0.0006319      0.03078       3.4008       453.67       91.315      0.37363      0.03304            0            0            0            0            0            0            0            0            0         11.8       0.0475            0  
          0         -1.5            0      0.50173     0.044148     0.014126     0.030022   4.7545e-05    -0.065719    0.0038413     -0.06956    -0.022121    0.0036314   0.00045412    0.0031773       11.365       8.0499       1.4118       51.333       4.5169       4.4143    0.0048644       51.235       7.6052       1.1809       57.736            0            0            0       29.885       3.9641           30       5.0286      -2.6146      -1.0758      0.49956     0.081131   0.00083315     0.035176       4.3535       458.87       135.51      0.36813     0.040706            0            0            0            0            0            0            0            0            0         11.8       0.0475            0  
          0           -1            0      0.61467     0.065513     0.020004     0.045509   5.7889e-05     -0.06636    0.0042232    -0.070584    -0.028493    0.0054244   0.00063353    0.0047909       9.3825        7.356       1.2755       62.889       6.7027       5.7529    0.0059227       62.798       10.482       1.7156        72.31            0            0            0       29.831        4.338           30       6.0837      -3.3712      -1.0863       0.7027     0.079352    0.0010335     0.039934       5.3059       502.16       201.08      0.36451     0.048776            0            0            0            0            0            0            0            0            0         11.8       0.0475            0  
