Tail_set
T5-a0.0-30.0m/s-VLM2-x0.0m


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0            0          -15      0.28926    -0.031207     0.035226    -0.066433      0.36064     -0.11933     0.029775     -0.14911    -0.040799     0.011943    0.0014589     0.010484      -9.2693      -4.9853       1.8593       29.595       6.5887      -6.7969       36.898       29.595      -9.8865       36.897        30.32            0            0            0       29.827      -6.4009           30      -6.1575      -4.8421      -1.9534       1.4174     0.075316     0.083592     0.010203       4.9726      -740.96      -95.785    -0.055299     0.021786            0            0            0            0            0            0            0            0            0         11.8       0.0475            0  
          0            0        -14.5      0.29054    -0.029069     0.032834    -0.061904      0.34969     -0.11553      0.02719     -0.14272    -0.039881     0.011618    0.0013459     0.010272      -9.9948      -5.3874       1.8552       29.726       6.1855      -6.3335       35.777       29.726      -9.2523       35.776       30.404            0            0            0       29.851      -5.9232           30      -5.7135      -4.7331      -1.8912       1.3788     0.075168     0.080695    0.0098779        4.954      -685.65      -89.224    -0.059871     0.021839            0            0            0            0            0            0            0            0            0         11.8       0.0475            0  
          0            0          -14      0.29178    -0.026794     0.030721    -0.057515      0.33862      -0.1116     0.024925     -0.13653    -0.038953     0.011294    0.0012436      0.01005       -10.89      -5.8824       1.8513       29.853       5.8149      -5.8845       34.645       29.853      -8.6377       34.644       30.486            0            0            0       29.874      -5.4248           30      -5.2467       -4.623      -1.8269       1.3403     0.075025      0.07781    0.0095651       4.9345      -627.96       -82.24     -0.06499     0.021891            0            0            0            0            0            0            0            0            0         11.8       0.0475            0  
          0            0        -13.5      0.29298    -0.024346     0.028922    -0.053268      0.32746      -0.1075     0.023042     -0.13054    -0.038015     0.010977     0.001159    0.0098176      -12.034      -6.5138       1.8475       29.976       5.4808        -5.45       33.503       29.976       -8.043       33.502       30.565            0            0            0       29.897      -4.8989           30      -4.7502      -4.5117      -1.7597       1.3027     0.074887     0.074936     0.009265       4.9142      -567.08      -74.726     -0.07075     0.021941            0            0            0            0            0            0            0            0            0         11.8       0.0475            0  
          0            0          -13      0.29414    -0.021838     0.027326    -0.049164      0.31619     -0.10334     0.021417     -0.12475    -0.037067     0.010657    0.0010824     0.009575      -13.469       -7.305       1.8438       30.094       5.1718      -5.0301        32.35       30.094      -7.4683       32.349       30.642            0            0            0       29.918      -4.3683           30       -4.246      -4.3992      -1.6916       1.2648     0.074756     0.072073    0.0089773       4.8929      -505.67      -67.029    -0.077263     0.021989            0            0            0            0            0            0            0            0            0         11.8       0.0475            0  
          0            0        -12.5      0.29526    -0.019466     0.025738    -0.045205      0.30483    -0.099261     0.019908     -0.11917    -0.036111     0.010334    0.0010115    0.0093224      -15.168      -8.2419       1.8403       30.209       4.8682       -4.625       31.187       30.209      -6.9138       31.186       30.715            0            0            0       29.935      -3.8718           30       -3.772      -4.2857      -1.6249       1.2265      0.07463      0.06922    0.0087018       4.8708      -448.19      -59.749    -0.084671     0.022035            0            0            0            0            0            0            0            0            0         11.8       0.0475            0  
          0            0          -12      0.29634    -0.017609     0.023782     -0.04139      0.29337    -0.095663     0.018128     -0.11379    -0.035146    0.0099891   0.00092942    0.0090597      -16.829      -9.1612        1.837       30.319       4.5315      -4.2347       30.015       30.319      -6.3797       30.014       30.787            0            0            0       29.947      -3.4832           30      -3.4006      -4.1711       -1.566       1.1855      0.07451     0.066376    0.0084385       4.8479      -403.21      -54.047     -0.09315      0.02208            0            0            0            0            0            0            0            0            0         11.8       0.0475            0  
          0            0        -11.5      0.29737    -0.016391     0.021331    -0.037723      0.28183    -0.092875     0.015744     -0.10862    -0.034172     0.009617   0.00082991    0.0087871      -18.142      -9.8931       1.8338       30.425        4.149      -3.8595       28.834       30.425      -5.8662       28.833       30.855            0            0            0       29.955      -3.2255           30       -3.155      -4.0556      -1.5204       1.1414     0.074395     0.063542     0.008187        4.824      -373.38      -50.311     -0.10292     0.022123            0            0            0            0            0            0            0            0            0         11.8       0.0475            0  
          0            0          -11      0.29837     -0.01565     0.018553    -0.034203      0.27019    -0.090981     0.012675     -0.10366    -0.033189    0.0092143   0.00070969    0.0085046      -19.065      -10.414       1.8307       30.526       3.7379      -3.4994       27.644       30.526      -5.3733       27.643        30.92            0            0            0       29.959      -3.0643           30      -3.0026       -3.939      -1.4893       1.0936     0.074285     0.060717    0.0079473       4.7994      -354.71      -48.036     -0.11427     0.022164            0            0            0            0            0            0            0            0            0         11.8       0.0475            0  
          0            0        -10.5      0.29932    -0.014228     0.016604    -0.030832      0.25848    -0.088333     0.010569    -0.098902    -0.032199    0.0088289   0.00061658    0.0082123      -21.037       -11.51       1.8278       30.624       3.4165      -3.1545       26.446       30.624      -4.9013       26.445       30.983            0            0            0       29.966      -2.7725           30      -2.7215      -3.8215       -1.446       1.0478     0.074181       0.0579    0.0077193       4.7739      -320.94      -43.671     -0.12758     0.022204            0            0            0            0            0            0            0            0            0         11.8       0.0475            0  
          0            0          -10      0.30023    -0.012227     0.015384    -0.027611      0.24669    -0.085174    0.0091858     -0.09436    -0.031201    0.0084706   0.00056026    0.0079103      -24.555      -13.455        1.825       30.717       3.1747       -2.825       25.239       30.717      -4.4502       25.238       31.043            0            0            0       29.975      -2.3717           30      -2.3321       -3.703      -1.3943       1.0053     0.074082     0.055091    0.0075028       4.7475      -274.55      -37.528     -0.14333     0.022242            0            0            0            0            0            0            0            0            0         11.8       0.0475            0  
