H2_w1_VTP
w1VTP_T1-30.0 m/s-TriUniform-ThickSurf-x0.04m
Freestream speed = 30.000 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0          -25            0      -1.6353      0.32238      0.20781      0.11458   1.2544e-05    -0.066172    0.0066688    -0.072841  -2.7979e-05  -1.3603e-05   -4.513e-07  -1.3152e-05      -5.0725      -6.4866            0      -167.31       32.984      -60.084    0.0012834      -156.59      -52.561   -0.0020506       -154.1            0            0            0       29.433            0           30      -11.152   -0.0036691      -1.0832  -5.9794e-05     0.028546   2.1018e-05    0.0033461      -18.643            0       989.51       1.0247     -0.04668            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0        -24.5            0         -1.6      0.31408      0.20425      0.10983   1.2143e-05    -0.065866    0.0066286    -0.072495  -2.7165e-05   -1.331e-05  -8.5511e-07  -1.2454e-05      -5.0943      -6.4439            0       -163.7       32.134      -57.661    0.0012424      -153.62      -50.411   -0.0017728      -151.22            0            0            0       29.438            0           30      -11.106   -0.0035467      -1.0782  -0.00010039     0.028593    2.069e-05    0.0033504       -18.29            0       964.03       1.0234    -0.045749            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0          -24            0      -1.5645      0.30546      0.20032      0.10514   1.1737e-05    -0.065573     0.006581    -0.072154  -2.6353e-05   -1.264e-05   -8.613e-07  -1.1779e-05      -5.1219      -6.4065            0      -160.07       31.252      -55.279    0.0012008      -150.61      -48.298   -0.0015041      -148.29            0            0            0       29.444            0           30      -11.047   -0.0034258      -1.0734  -9.8357e-05     0.028629    2.036e-05    0.0033537      -17.931            0       937.55       1.0221     -0.04479            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0        -23.5            0      -1.5287      0.29677      0.19626      0.10051   1.1325e-05    -0.065288    0.0065303    -0.071818  -2.5543e-05  -1.2025e-05  -8.9967e-07  -1.1125e-05      -5.1513      -6.3693            0      -156.41       30.363      -52.938    0.0011587      -147.54      -46.222   -0.0012446       -145.3            0            0            0        29.45            0           30      -10.986   -0.0033065      -1.0688  -9.9973e-05     0.028654   2.0026e-05    0.0033559      -17.565            0       910.88       1.0209    -0.043804            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0          -23            0      -1.4927      0.28809      0.19215     0.095939   1.0909e-05    -0.065009    0.0064778    -0.071487  -2.4735e-05  -1.1389e-05  -8.9586e-07  -1.0493e-05      -5.1814      -6.3305            0      -152.72       29.475      -50.638    0.0011161      -144.42      -44.184  -0.00099435      -142.27            0            0            0       29.456            0           30      -10.924   -0.0031889      -1.0642  -9.7152e-05     0.028666   1.9691e-05    0.0033567      -17.194            0       884.26       1.0197    -0.042791            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0        -22.5            0      -1.4565       0.2796      0.18817     0.091436   1.0487e-05    -0.064735    0.0064262    -0.071161  -2.3931e-05  -1.0731e-05  -8.4932e-07  -9.8822e-06       -5.209      -6.2864            0      -149.01       28.607      -48.382    0.0010729      -141.25      -42.185  -0.00075346      -139.18            0            0            0       29.462            0           30      -10.867   -0.0030728      -1.0597  -8.9783e-05     0.028666   1.9354e-05    0.0033561      -16.816            0        858.2       1.0186    -0.041751            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0          -22            0      -1.4199      0.27115      0.18414     0.087003    1.006e-05    -0.064468     0.006373    -0.070841  -2.3131e-05  -1.0175e-05  -8.8197e-07  -9.2927e-06      -5.2368      -6.2403            0      -145.28       27.741      -46.169    0.0010293      -138.03      -40.225    -0.000522      -136.05            0            0            0       29.468            0           30      -10.811   -0.0029585      -1.0553  -9.1234e-05     0.028652   1.9015e-05    0.0033539      -16.433            0       832.24       1.0175    -0.040685            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0        -21.5            0      -1.3832      0.26277      0.18013     0.082644   9.6286e-06    -0.064207     0.006319    -0.070526  -2.2336e-05  -9.5802e-06  -8.5567e-07  -8.7245e-06      -5.2639      -6.1909            0      -141.52       26.885      -43.999   0.00098512      -134.77      -38.304  -0.00030002      -132.86            0            0            0       29.473            0           30      -10.756   -0.0028459      -1.0511  -8.6343e-05     0.028624   1.8675e-05    0.0033501      -16.044            0       806.54       1.0164    -0.039593            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0          -21            0      -1.3462      0.25393      0.17556     0.078364   9.1924e-06    -0.063961    0.0062547    -0.070216  -2.1546e-05  -8.9797e-06  -8.0222e-07  -8.1775e-06      -5.3016      -6.1513            0      -137.74        25.98      -41.875   0.00094049      -131.46      -36.423  -8.7595e-05      -129.63            0            0            0        29.48            0           30      -10.682    -0.002735       -1.047  -7.8567e-05      0.02858   1.8333e-05    0.0033443       -15.65            0        779.4       1.0154    -0.038475            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0        -20.5            0       -1.309      0.24496      0.17079     0.074164   8.7517e-06    -0.063726    0.0061857    -0.069912  -2.0761e-05  -8.4845e-06  -8.3312e-07  -7.6513e-06      -5.3439      -6.1141            0      -133.93       25.062      -39.796    0.0008954       -128.1      -34.584   0.00011521      -126.36            0            0            0       29.488            0           30      -10.599    -0.002626      -1.0432  -8.0273e-05      0.02852   1.7991e-05    0.0033365       -15.25            0       751.86       1.0144    -0.037333            0            0            0            0            0            0            0            0            0            0         0.04            0  
