H2_w1_VTP
w1VTP_T5-a0.0°-30.0m/s-TriUniform-ThickSurf-x0.04m


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0            0          -15      0.31473    -0.016132     0.020233    -0.036365      0.23048    -0.071237     0.018233     -0.08947    -0.036475     0.011355   0.00018099     0.011174      -19.509      -10.945       1.7825       32.201       4.5795      -3.7206       23.581       32.201      -2.1922       24.705         31.6            0            0            0       29.961            0           30      -2.9343       -4.329      -1.1661       1.3477     0.066896     0.026488      0.02067        4.492            0      -49.516     -0.11959     0.021054            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0            0        -14.5      0.31618     -0.01447     0.019235    -0.033705      0.22348    -0.070877     0.016908    -0.087785    -0.035357     0.010989   0.00016169     0.010828      -21.851      -12.287       1.7784       32.349       4.3543      -3.4484       22.865       32.349      -2.0235       23.946       31.773            0            0            0       29.969            0           30      -2.6203      -4.1963      -1.1602       1.3042     0.067043     0.025565     0.020013       4.4899            0      -44.412     -0.13022     0.021198            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0            0          -14      0.31758    -0.012902     0.018225    -0.031127      0.21641    -0.070633     0.015519    -0.086152    -0.034229     0.010623   0.00014499     0.010478      -24.615      -13.871       1.7745       32.492       4.1311      -3.1847       22.141       32.492        -1.86        23.18        31.94            0            0            0       29.975            0           30      -2.3264      -4.0624      -1.1563       1.2608     0.067184     0.024646     0.019382       4.4872            0      -39.601     -0.14226     0.021336            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0            0        -13.5      0.31894    -0.011491     0.017141    -0.028632      0.20927    -0.070565     0.014008    -0.084572    -0.033091     0.010257   0.00013116     0.010126      -27.755      -15.674       1.7707       32.631       3.9036      -2.9294       21.411       32.631      -1.7018       22.408       32.102            0            0            0       29.981            0           30      -2.0635      -3.9273      -1.1551       1.2173     0.067319     0.023731     0.018777       4.4836            0      -35.271     -0.15598     0.021471            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0            0          -13      0.32025    -0.010317     0.015905    -0.026222      0.20207    -0.070792     0.012253    -0.083045    -0.031944    0.0098874    0.0001161    0.0097713      -31.041      -17.567       1.7671       32.766        3.664      -2.6828       20.675       32.766      -1.5489       21.629       32.259            0            0            0       29.984            0           30      -1.8452      -3.7911      -1.1589       1.1735     0.067449     0.022821     0.018197       4.4794            0      -31.667     -0.17173     0.021601            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0            0        -12.5      0.32152   -0.0092072     0.014689    -0.023896      0.19481    -0.071064     0.010508    -0.081572    -0.030787    0.0095091    9.516e-05     0.009414      -34.921      -19.801       1.7636       32.895       3.4299      -2.4449       19.932       32.895      -1.4014       20.845        32.41            0            0            0       29.988            0           30      -1.6403      -3.6539      -1.1633       1.1286     0.067573     0.021913     0.017641       4.4744            0       -28.26     -0.18993     0.021726            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0            0          -12      0.32274   -0.0078797     0.013776    -0.021656      0.18749    -0.070958    0.0091954    -0.080153    -0.029622     0.009125   7.0713e-05    0.0090543      -40.958      -23.269       1.7602        33.02       3.2305      -2.2156       19.183        33.02      -1.2593       20.054       32.555            0            0            0       29.991            0           30      -1.3986      -3.5156      -1.1616        1.083     0.067691      0.02101     0.017111       4.4686            0      -24.186     -0.21118     0.021847            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0            0        -11.5      0.32391   -0.0063291     0.013172    -0.019502      0.18011     -0.07046    0.0083283    -0.078788    -0.028449    0.0087502   5.7877e-05    0.0086924      -51.179      -29.128       1.7571        33.14       3.0664      -1.9952       18.428        33.14      -1.1226       19.259       32.695            0            0            0       29.994            0           30      -1.1194      -3.3764      -1.1534       1.0385     0.067804     0.020109     0.016605       4.4622            0      -19.426     -0.23621     0.021963            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0            0          -11      0.32504   -0.0046976     0.012737    -0.017434      0.17268    -0.069768    0.0077105    -0.077478    -0.027267    0.0083747    4.642e-05    0.0083283      -69.193      -39.448        1.754       33.256       2.9232      -1.7837       17.667       33.256     -0.99146       18.457       32.829            0            0            0       29.997            0           30       -0.828      -3.2361      -1.1421      0.99392     0.067912     0.019212     0.016122        4.455            0      -14.419     -0.26606     0.022074            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0            0        -10.5      0.32612   -0.0030564     0.012398    -0.015454      0.16519    -0.068979    0.0072449    -0.076224    -0.026078     0.008003   4.0911e-05    0.0079621       -106.7      -60.933       1.7511       33.366       2.7938      -1.5811       16.901       33.366     -0.86585       17.651       32.958            0            0            0       29.999            0           30     -0.53697       -3.095      -1.1292      0.94981     0.068014     0.018318     0.015663        4.447            0      -9.3813     -0.30215     0.022181            0            0            0            0            0            0            0            0            0            0         0.04            0  
