W1
T5-a0.0°-30.0m/s-TriUniform-ThickSurf-x0.04m


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0            0          -15      0.31167     0.011156    0.0069371    0.0042194  -5.0377e-21    -0.055438    0.0001232    -0.055561    -0.015481    0.0011213   0.00021896   0.00090239       27.937       15.596       1.7912       31.888       1.1267       0.4317  -5.1542e-19       31.888      0.28182    0.0049014       31.492            0            0            0       29.981            0           30       2.0501      -1.8373     -0.90752      0.13308      0.06798    -0.020144     0.010559       4.1128            0       34.243       1.0108     0.021188            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0            0        -14.5      0.31311     0.011178    0.0069389    0.0042389  -5.0487e-21    -0.055697   0.00012352     -0.05582    -0.015363    0.0010977   0.00021953   0.00087821       28.012       15.674       1.7871       32.035       1.1298      0.43369  -5.1654e-19       32.035      0.28337    0.0047513       31.638            0            0            0       29.981            0           30       2.0446      -1.8233     -0.91175      0.13028     0.067982    -0.019443     0.010555       4.1318            0       34.309       1.0154     0.021286            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0            0          -14       0.3145     0.011199    0.0069411    0.0042578  -5.0589e-21    -0.055947   0.00012383    -0.056071    -0.015242    0.0010739   0.00022009   0.00085378       28.083       15.749       1.7832       32.177       1.1328      0.43562  -5.1759e-19       32.177      0.28487    0.0045997       31.779            0            0            0       29.981            0           30       2.0393       -1.809     -0.91585      0.12745     0.067984    -0.018745     0.010551       4.1501            0       34.373       1.0199     0.021381            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0            0        -13.5      0.31585     0.011219    0.0069432     0.004276  -5.0684e-21     -0.05619   0.00012413    -0.056314    -0.015118    0.0010497   0.00022063   0.00082911       28.153       15.822       1.7793       32.315       1.1358      0.43749  -5.1855e-19       32.315      0.28631    0.0044467       31.915            0            0            0       29.981            0           30       2.0343      -1.7943     -0.91982      0.12459     0.067986    -0.018049     0.010547       4.1678            0       34.436       1.0243     0.021473            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0            0          -13      0.31715     0.011239    0.0069452    0.0042937   -5.077e-21    -0.056424   0.00012442    -0.056549    -0.014991    0.0010253   0.00022116   0.00080419       28.219       15.892       1.7757       32.448       1.1386       0.4393  -5.1944e-19       32.448      0.28772    0.0042923       32.047            0            0            0       29.981            0           30       2.0295      -1.7792     -0.92366      0.12169     0.067988    -0.017357     0.010543       4.1849            0       34.496       1.0285     0.021562            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0            0        -12.5      0.31841     0.011258    0.0069471    0.0043107  -5.0849e-21     -0.05665    0.0001247    -0.056775    -0.014862    0.0010007   0.00022166   0.00077904       28.283        15.96       1.7722       32.577       1.1414      0.44104  -5.2024e-19       32.577      0.28907    0.0041366       32.175            0            0            0       29.981            0           30       2.0249      -1.7638     -0.92736      0.11877     0.067989    -0.016668      0.01054       4.2015            0       34.554       1.0326     0.021648            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0            0          -12      0.31962     0.011276     0.006949    0.0043272   -5.092e-21    -0.056868   0.00012497    -0.056993    -0.014729   0.00097582   0.00022215   0.00075367       28.345       16.025       1.7688       32.701        1.144      0.44272  -5.2097e-19       32.701      0.29037    0.0039797       32.297            0            0            0       29.981            0           30       2.0206      -1.7481     -0.93093      0.11581     0.067991    -0.015981     0.010537       4.2174            0        34.61       1.0365     0.021731            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0            0        -11.5      0.32078     0.011294    0.0069507    0.0043429  -5.0983e-21    -0.057078   0.00012523    -0.057203    -0.014594   0.00095069   0.00022261   0.00072808       28.404       16.087       1.7656        32.82       1.1466      0.44434  -5.2161e-19        32.82      0.29163    0.0038215       32.415            0            0            0       29.981            0           30       2.0164       -1.732     -0.93436      0.11283     0.067992    -0.015297     0.010533       4.2327            0       34.664       1.0403     0.021811            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0            0          -11       0.3219     0.011311    0.0069525    0.0043581  -5.1038e-21    -0.057279   0.00012548    -0.057404    -0.014455   0.00092534   0.00022306   0.00070228        28.46       16.147       1.7625       32.934        1.149      0.44589  -5.2218e-19       32.934      0.29283    0.0036621       32.528            0            0            0       29.981            0           30       2.0124      -1.7156     -0.93765      0.10982     0.067994    -0.014615      0.01053       4.2474            0       34.716       1.0439     0.021887            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0            0        -10.5      0.32297     0.011327    0.0069541    0.0043726  -5.1085e-21    -0.057472   0.00012572    -0.057597    -0.014314   0.00089977   0.00022349   0.00067628       28.514       16.205       1.7596       33.044       1.1514      0.44737  -5.2266e-19       33.044      0.29399    0.0035015       32.637            0            0            0       29.982            0           30       2.0086      -1.6988      -0.9408      0.10679     0.067995    -0.013935     0.010527       4.2615            0       34.766       1.0473      0.02196            0            0            0            0            0            0            0            0            0            0         0.04            0  
