W2
T1-30.0 m/s-TriUniform-ThickSurf-x0.04m
Freestream speed = 30.000 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0          -20            0      -1.4027      0.24075      0.18163     0.059117   9.9223e-21    -0.063696    0.0031238     -0.06682     0.030546    0.0064157    0.0040531    0.0023625      -5.8266      -6.9008            0      -210.33       36.097      -63.606   1.4877e-18      -200.67      -55.282    0.0017493      -198.36            0            0            0       29.568            0           30      -9.7386       7.5225      -1.5281      -1.1263     0.029433   1.8673e-05    0.0033432      -35.705            0       1082.9      0.99713    -0.041287            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0        -19.5            0      -1.3611       0.2324      0.17667     0.055733    8.962e-21     -0.06348    0.0030485    -0.066528      0.02966     0.006188    0.0039425    0.0022454      -5.8565      -6.8324            0      -204.08       34.846      -60.245   1.3438e-18      -195.16      -52.305    0.0016411      -192.96            0            0            0       29.572            0           30      -9.6899       7.3178      -1.5229      -1.0369     0.029373   1.8342e-05    0.0033404      -34.723            0       1045.4      0.99578    -0.039978            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0          -19            0      -1.3192      0.22373      0.17131     0.052425   8.0424e-21    -0.063279    0.0029653    -0.066244     0.028769    0.0059532    0.0038228    0.0021304      -5.8963      -6.7723            0       -197.8       33.546      -56.965   1.2059e-18      -189.58      -49.401     0.001536      -187.49            0            0            0       29.578            0           30      -9.6256       7.1104      -1.5181     -0.95266     0.029294    1.801e-05    0.0033354      -33.728            0       1006.4      0.99449    -0.038644            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0        -18.5            0      -1.2771      0.21492      0.16573     0.049196   7.1638e-21     -0.06309    0.0028776    -0.065967     0.027872    0.0057157    0.0036983    0.0020174      -5.9423      -6.7153            0      -191.49       32.225      -53.766   1.0741e-18      -183.94       -46.57    0.0014342      -181.95            0            0            0       29.584            0           30      -9.5526       6.9005      -1.5135     -0.87264     0.029194   1.7678e-05    0.0033278      -32.722            0       966.76      0.99325    -0.037284            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0          -18            0      -1.2349      0.20604      0.15999     0.046049   6.3263e-21    -0.062911    0.0027863    -0.065698     0.026969    0.0054769    0.0035702    0.0019067      -5.9934      -6.6601            0      -185.16       30.893      -50.649   9.4856e-19      -178.23      -43.813    0.0013357      -176.35            0            0            0       29.591            0           30      -9.4725        6.688      -1.5093     -0.79654     0.029072   1.7345e-05    0.0033174      -31.704            0       926.79      0.99206      -0.0359            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0        -17.5            0      -1.1924      0.19638       0.1534     0.042987   5.5302e-21    -0.062756    0.0026793    -0.065436      0.02606    0.0052215    0.0034232    0.0017983      -6.0719      -6.6304            0      -178.79       29.446      -47.616    8.292e-19      -172.45      -41.132    0.0012404      -170.68            0            0            0       29.601            0           30      -9.3523       6.4731      -1.5056     -0.72813     0.028925   1.7013e-05    0.0033038      -30.675            0       883.38      0.99092    -0.034491            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0          -17            0      -1.1498      0.18703      0.14701     0.040013   4.7758e-21    -0.062606    0.0025751    -0.065182     0.025146    0.0049731    0.0032808    0.0016923      -6.1478      -6.5922            0       -172.4       28.043      -44.668   7.1609e-19      -166.62      -38.526    0.0011485      -164.94            0            0            0       29.611            0           30      -9.2389       6.2557       -1.502     -0.66177     0.028752    1.668e-05    0.0032866      -29.636            0       841.29      0.98984    -0.033059            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0        -16.5            0       -1.107      0.17617      0.13904     0.037128   4.0634e-21    -0.062493    0.0024421    -0.064935     0.024227    0.0046915    0.0031027    0.0015889      -6.2838      -6.6115            0      -165.98       26.415      -41.804   6.0926e-19      -160.73      -35.997    0.0010599      -159.15            0            0            0       29.627            0           30      -9.0422       6.0361      -1.4992     -0.60728     0.028549   1.6349e-05    0.0032654      -28.585            0       792.44      0.98881    -0.031604            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0          -16            0       -1.064      0.16525      0.13091     0.034336    3.393e-21    -0.062391    0.0023055    -0.064696     0.023302    0.0044095    0.0029214    0.0014881       -6.439      -6.6419            0      -159.54       24.778      -39.027   5.0875e-19      -154.78      -33.546   0.00097462       -153.3            0            0            0       29.645            0           30      -8.8278       5.8142      -1.4968     -0.55677     0.028314   1.6019e-05    0.0032396      -27.525            0       743.33      0.98783    -0.030127            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0        -15.5            0      -1.0209      0.15485      0.12321     0.031639    2.765e-21     -0.06229    0.0021755    -0.064465     0.022373    0.0041394    0.0027495      0.00139      -6.5928      -6.6614            0      -153.08       23.218      -36.336   4.1459e-19      -148.78      -31.174   0.00089278      -147.39            0            0            0       29.661            0           30      -8.6249         5.59      -1.4944     -0.50724     0.028042   1.5691e-05    0.0032087      -26.455            0       696.55      0.98691    -0.028628            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0          -15            0     -0.97763      0.14375      0.11471     0.029038   2.1795e-21    -0.062212    0.0020304    -0.064243     0.021438    0.0038545    0.0025598    0.0012947       -6.801      -6.7245            0      -146.59       21.554      -33.734    3.268e-19      -142.72       -28.88   0.00081436      -141.42            0            0            0       29.681            0           30      -8.3647       5.3638      -1.4925     -0.46532     0.027729   1.5365e-05    0.0031719      -25.375            0       646.61      0.98605    -0.027109            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0        -14.5            0     -0.93419      0.13026      0.10372     0.026537   1.6368e-21    -0.062187    0.0018404    -0.064028     0.020499    0.0035169    0.0023146    0.0012023      -7.1718      -6.9318            0      -140.07       19.531      -31.219   2.4541e-19      -136.61      -26.666   0.00073939       -135.4            0            0            0       29.713            0           30      -7.9379       5.1355      -1.4919      -0.4404      0.02737   1.5043e-05    0.0031283      -24.286            0       585.93      0.98525    -0.025569            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0          -14            0     -0.89062      0.10914     0.085004     0.024137   1.1368e-21    -0.062309    0.0015118    -0.063821     0.019555    0.0030097    0.0018969    0.0011128      -8.1602       -7.701            0      -133.54       16.365      -28.794   1.7046e-19      -130.45      -24.533   0.00066788      -129.33            0            0            0       29.777            0           30      -6.9865       4.9052      -1.4948     -0.46151     0.026959   1.4726e-05     0.003077      -23.188            0       490.94       0.9845     -0.02401            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0        -13.5            0      -0.8469      0.08531     0.063469     0.021841   6.7993e-22    -0.062491    0.0011313    -0.063622     0.018607    0.0024428    0.0014164    0.0010265      -9.9273      -9.1358            0      -126.98       12.791       -26.46   1.0195e-19      -124.24       -22.48   0.00059986       -123.2            0            0            0       29.849            0           30      -5.7521        4.673      -1.4992     -0.50175     0.026487   1.4413e-05    0.0030167      -22.081            0       383.74      0.98382    -0.022432            0            0            0            0            0            0            0            0            0            0         0.04            0  
