H2_wing
T1-30.0 m/s-TriUniform-ThickSurf-x0.0m
Freestream speed = 30.000 m/s


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift_(N)     Drag_(N)     Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Drag_x_V_(W)  Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          0          -23            0      -1.6482      0.28896      0.20808     0.080872    1.652e-20    -0.065215    0.0035031    -0.068719   -2.028e-05  -6.3687e-06   -9.132e-07  -5.4555e-06      -5.7041      -7.3231            0      -247.13       43.326      -85.401    2.477e-18      -232.23      -74.618    0.0024638       -229.2            0            0            0       29.549            0           30      -9.9437   -0.0053019      -1.5645   0.00052555     0.029463   2.0621e-05    0.0033224       -41.33            0       1299.8       1.0064    -0.048561            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0        -22.5            0      -1.6079      0.28101      0.20392     0.077089   1.5322e-20    -0.064939     0.003446    -0.068385  -1.9469e-05  -5.5881e-06  -5.0532e-07  -5.0828e-06      -5.7219      -7.2554            0      -241.08       42.134       -81.58   2.2974e-18      -227.16      -71.225    0.0023371      -224.26            0            0            0       29.552            0           30      -9.9134   -0.0050806      -1.5579   0.00058311     0.029492   2.0301e-05    0.0033295      -40.426            0         1264       1.0047     -0.04742            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0          -22            0      -1.5673      0.27319      0.19982     0.073365   1.4163e-20    -0.064669    0.0033893    -0.068058  -1.8668e-05   -5.206e-06  -4.7856e-07  -4.7274e-06       -5.737      -7.1822            0         -235       40.962      -77.833   2.1237e-18      -222.01      -67.899    0.0022134      -219.23            0            0            0       29.554            0           30      -9.8877   -0.0048634      -1.5514   0.00055218     0.029509    1.998e-05    0.0033353      -39.509            0       1228.9       1.0031    -0.046249            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0        -21.5            0      -1.5265       0.2651       0.1954     0.069703   1.3044e-20    -0.064412    0.0033262    -0.067738  -1.7879e-05  -5.2566e-06  -8.6755e-07  -4.3891e-06      -5.7581      -7.1142            0      -228.88       39.749      -74.161   1.9558e-18      -216.78       -64.64    0.0020928      -214.12            0            0            0       29.558            0           30      -9.8522   -0.0046502      -1.5453   0.00042359     0.029513   1.9656e-05    0.0033397      -38.577            0       1192.5       1.0015     -0.04505            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0          -21            0      -1.4854      0.25693      0.19082     0.066105   1.1963e-20    -0.064165    0.0032598    -0.067425  -1.7102e-05  -4.9167e-06  -8.4914e-07  -4.0675e-06      -5.7815      -7.0464            0      -222.73       38.524      -70.565   1.7938e-18      -211.49      -61.451    0.0019752      -208.94            0            0            0       29.561            0           30      -9.8131   -0.0044413      -1.5393   0.00039223     0.029502    1.933e-05    0.0033426      -37.633            0       1155.7      0.99999    -0.043823            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0        -20.5            0      -1.4442      0.24885      0.18627     0.062576   1.0923e-20    -0.063926     0.003193    -0.067119  -1.6338e-05    -4.56e-06  -7.9761e-07  -3.7623e-06      -5.8035      -6.9743            0      -216.54       37.312      -67.046   1.6378e-18      -206.11      -58.331    0.0018607      -203.69            0            0            0       29.564            0           30      -9.7767   -0.0042366      -1.5336   0.00036973     0.029476   1.9002e-05    0.0033438      -36.675            0       1119.4      0.99853    -0.042568            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0          -20            0      -1.4027      0.24075      0.18163     0.059117   9.9223e-21    -0.063696    0.0031238     -0.06682  -1.5587e-05  -4.2915e-06  -8.1827e-07  -3.4732e-06      -5.8266      -6.9008            0      -210.33       36.097      -63.606   1.4877e-18      -200.67      -55.282    0.0017493      -198.36            0            0            0       29.568            0           30      -9.7386   -0.0040363      -1.5281   0.00033095     0.029433   1.8673e-05    0.0033432      -35.705            0       1082.9      0.99713    -0.041287            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0        -19.5            0      -1.3611       0.2324      0.17667     0.055733    8.962e-21     -0.06348    0.0030485    -0.066528   -1.485e-05  -3.9468e-06  -7.4702e-07  -3.1998e-06      -5.8565      -6.8324            0      -204.08       34.846      -60.245   1.3438e-18      -195.16      -52.305    0.0016411      -192.96            0            0            0       29.572            0           30      -9.6899   -0.0038403      -1.5229   0.00031517     0.029373   1.8342e-05    0.0033404      -34.723            0       1045.4      0.99578    -0.039978            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0          -19            0      -1.3192      0.22373      0.17131     0.052425   8.0424e-21    -0.063279    0.0029653    -0.066244  -1.4126e-05  -3.6636e-06  -7.2187e-07  -2.9417e-06      -5.8963      -6.7723            0       -197.8       33.546      -56.965   1.2059e-18      -189.58      -49.401     0.001536      -187.49            0            0            0       29.578            0           30      -9.6256   -0.0036487      -1.5181   0.00028933     0.029294    1.801e-05    0.0033354      -33.728            0       1006.4      0.99449    -0.038644            0            0            0            0            0            0            0            0            0            0         0.04            0  
          0        -18.5            0      -1.2771      0.21492      0.16573     0.049196   7.1638e-21     -0.06309    0.0028776    -0.065967  -1.3417e-05  -3.4233e-06  -7.2484e-07  -2.6985e-06      -5.9423      -6.7153            0      -191.49       32.225      -53.766   1.0741e-18      -183.94       -46.57    0.0014342      -181.95            0            0            0       29.584            0           30      -9.5526   -0.0034616      -1.5135    0.0002577     0.029194   1.7678e-05    0.0033278      -32.722            0       966.76      0.99325    -0.037284            0            0            0            0            0            0            0            0            0            0         0.04            0  
